 	a23	a30	a53	a20	a15	a6	a37	a75	a47	a0	a56	a94	a38	a83	a90	a79	a7	a40	a75	a47	a36	a2	a57	a87	a40	a36	a26	a62	a96	a83	a75	a21	a12	a75	a6	a37	a38	a9	a10	a87	a23	a87	</S>
il	0.0233662	0.0226287	0.0311114	0.0646457	0.0282683	0.0408117	0.03035	0.0385545	0.0429568	0.0504465	0.0402829	0.0395094	0.0295773	0.0182283	0.0282125	0.0293499	0.0160903	0.0130741	0.0196516	0.0154474	0.0272101	0.0290487	0.0190852	0.00712277	0.00548944	0.00545866	0.0031429	0.00278845	0.00366045	0.00264346	0.00310954	0.00192164	0.00362974	0.00694065	0.0149609	0.0220134	0.042131	0.0296814	0.0308302	0.028195	0.0274063	0.0276946	0.0332721
n'	0.00351847	0.00554362	0.00364975	0.0206984	0.0175129	0.0506279	0.027098	0.0191493	0.018138	0.0228367	0.0423614	0.0404394	0.0714476	0.0454276	0.0531893	0.0604178	0.0373514	0.0288909	0.0533273	0.0256819	0.0410256	0.0218521	0.0131776	0.00791993	0.00318878	0.00425384	0.00727545	0.00864562	0.0124629	0.0122391	0.0128924	0.0133328	0.00900155	0.0114822	0.0218867	0.0385579	0.0180148	0.0192194	0.0159597	0.0184334	0.0168916	0.0169935	0.00798532
a	0.021253	0.0147614	0.014319	0.0142112	0.0182426	0.0194678	0.0241844	0.0392451	0.0294922	0.0564371	0.0448379	0.0365144	0.0315162	0.0469442	0.0413713	0.0294279	0.0525125	0.0652127	0.0468391	0.0299667	0.0642954	0.0218647	0.0247128	0.0267576	0.0130365	0.0110175	0.0189699	0.0100742	0.00416608	0.00464403	0.00296391	0.00442846	0.00484392	0.00715893	0.00567247	0.0107607	0.00863703	0.012255	0.0133502	0.0150018	0.01191	0.0139654	0.0127569
pas	0.0667657	0.0393798	0.0445247	0.0438692	0.0437304	0.0362497	0.0401508	0.0401499	0.0336323	0.0251471	0.0276362	0.0271479	0.0218405	0.0338257	0.0321699	0.014305	0.0133197	0.0157213	0.0181182	0.0145214	0.0162884	0.017958	0.0247832	0.0276165	0.0223654	0.0195594	0.0171956	0.0278841	0.0377163	0.0262781	0.0220485	0.0260356	0.00631135	0.00441196	0.00390099	0.00633292	0.00594627	0.0049678	0.00622488	0.00687588	0.00822475	0.00953959	0.0193292
cuit	0.052495	0.022819	0.0202871	0.0199496	0.0158825	0.013629	0.0162578	0.0256529	0.0220243	0.031215	0.0204492	0.0247144	0.0190302	0.0245349	0.0358168	0.0199792	0.0218067	0.034792	0.0221038	0.0189618	0.023367	0.0181556	0.0168113	0.0226579	0.0182698	0.0162942	0.0210608	0.0235693	0.0187625	0.0132728	0.0122957	0.00721195	0.0090054	0.00910876	0.00640777	0.0192502	0.0170739	0.0183214	0.0318309	0.0383211	0.0322636	0.0459222	0.0783649
le	0.0381681	0.0172381	0.0140851	0.0139272	0.0111121	0.0197742	0.0192422	0.0224175	0.0182529	0.0252922	0.0224756	0.0221987	0.0236087	0.0239332	0.0248726	0.0238625	0.0269857	0.0516584	0.0287433	0.031751	0.0357883	0.0233729	0.02755	0.0181941	0.0214532	0.0117667	0.0100355	0.00886776	0.00684139	0.00782066	0.00980827	0.009056	0.0164883	0.0139028	0.0126307	0.0308647	0.0266947	0.0350361	0.0402306	0.0405145	0.0305373	0.0403926	0.0425538
boisson	0.0330862	0.0223713	0.0174059	0.0137301	0.0169244	0.0217444	0.0221329	0.0204058	0.0176962	0.0194103	0.0300818	0.0411468	0.0334097	0.0340011	0.0388076	0.0314838	0.0330393	0.0673842	0.0358529	0.0205756	0.0296896	0.0178849	0.0201525	0.00938416	0.00819883	0.00668132	0.00828227	0.00829812	0.0067294	0.00624944	0.00643615	0.00479658	0.0153048	0.0174191	0.0182644	0.0250301	0.025009	0.0320211	0.0305164	0.0374478	0.0278963	0.030594	0.0370234
à	0.0461449	0.0155676	0.0136349	0.0262174	0.0125244	0.0198524	0.0203874	0.0233625	0.0271114	0.0409526	0.0503061	0.0444209	0.0600211	0.0628552	0.0956211	0.0630286	0.026791	0.0246206	0.0216871	0.0104583	0.0159635	0.0105271	0.00722389	0.00154037	0.000352037	0.000340443	0.000559946	0.000995243	0.0017297	0.00264309	0.00607915	0.00497668	0.00841457	0.0100584	0.00840385	0.025549	0.0272606	0.0177587	0.0283056	0.0269324	0.0236508	0.0343406	0.030829
la	0.0478687	0.0148332	0.0140742	0.018493	0.012797	0.0156855	0.0116326	0.0191301	0.0188484	0.0261785	0.0239318	0.0244429	0.0286267	0.0359325	0.0391333	0.026207	0.0268695	0.0207551	0.0175207	0.0131617	0.0158633	0.0124989	0.0163539	0.00517428	0.0017494	0.00114867	0.00250147	0.00334676	0.00459944	0.00504362	0.0103284	0.00747368	0.0108654	0.0124917	0.0099928	0.0364036	0.0386395	0.0467934	0.0669347	0.0523959	0.0591035	0.0825005	0.0416746
braise	0.0148555	0.00665401	0.0102003	0.0162069	0.00897167	0.0110025	0.0144225	0.0122925	0.0151674	0.0114087	0.0127399	0.0163006	0.0142883	0.0176474	0.0199061	0.0182357	0.0109582	0.00712827	0.0142786	0.0087369	0.0110205	0.0116783	0.00867635	0.00255985	0.00130069	0.00055483	0.00116309	0.00194171	0.00199397	0.00381807	0.00559734	0.00679102	0.0196035	0.0371161	0.0308515	0.0437238	0.0484463	0.0725819	0.0712382	0.0746709	0.088387	0.101738	0.0931456
