 	a57	a13	a62	a47	a12	a21	a85	a47	a7	a79	a56	a21	a61	a47	a34	a56	a25	a98	a25	a69	a7	a98	a6	a37	a54	a36	a2	a57	a87	a23	a99	</S>
je	0.0437279	0.0543405	0.0541452	0.0379146	0.0707024	0.0233586	0.0396455	0.0193914	0.0159866	0.0189465	0.0183913	0.0215326	0.0163013	0.0118678	0.0138569	0.0180436	0.0168866	0.027393	0.0260299	0.0268198	0.0351462	0.0291861	0.0199354	0.0209216	0.0234446	0.0311286	0.0159509	0.031633	0.0341461	0.047082	0.0467439	0.0893995
voudrais	0.0357836	0.0289552	0.0401873	0.0647732	0.0693455	0.0662891	0.0727123	0.0537458	0.0353765	0.0396651	0.0400013	0.0422572	0.0477052	0.0346912	0.0278725	0.0459586	0.0234802	0.00762792	0.0103842	0.0100512	0.0151193	0.0197241	0.0205473	0.0122017	0.0159588	0.0130914	0.0271646	0.0217326	0.0152437	0.0153417	0.0136313	0.0133801
manger	0.0373057	0.00959034	0.016468	0.0174496	0.0244916	0.0220772	0.0278342	0.0533074	0.0871892	0.04674	0.0366168	0.0798472	0.101245	0.0485428	0.0230997	0.0218494	0.0108151	0.0041314	0.00684377	0.00911265	0.00673337	0.00869195	0.0136103	0.0145169	0.0256664	0.0429495	0.0419081	0.0244709	0.0372901	0.0343047	0.0340328	0.0312677
la	0.0659016	0.0183518	0.0119957	0.00956795	0.0125168	0.0191477	0.0210009	0.0189478	0.0153424	0.0110404	0.00754454	0.00862565	0.00971682	0.00892379	0.00823379	0.0144401	0.0206433	0.0276964	0.0359676	0.0558557	0.0256975	0.0266227	0.0316599	0.0449205	0.0529229	0.0492895	0.046531	0.0490661	0.061716	0.0717575	0.0558735	0.0824822
partie	0.0217408	0.014098	0.00621397	0.00536378	0.00918126	0.00797973	0.0340986	0.0311498	0.0786633	0.0592745	0.0643262	0.0756236	0.0503892	0.0386451	0.0568036	0.0710327	0.0720755	0.0773875	0.0315753	0.0406141	0.0101289	0.0114565	0.0103501	0.0150036	0.01704	0.0231157	0.0102768	0.00888028	0.0147528	0.0121372	0.0120918	0.00852995
molle	0.149894	0.103288	0.0595236	0.0506458	0.0444644	0.0358619	0.0376486	0.0368435	0.015427	0.0242391	0.0130038	0.0133138	0.00921403	0.00594406	0.00569216	0.00737912	0.00944589	0.00733577	0.0161071	0.0234556	0.0134235	0.0198894	0.0273563	0.0286729	0.0333299	0.0564286	0.0249838	0.0221726	0.0259318	0.0224187	0.0225068	0.034158
de	0.0738966	0.0404292	0.0389079	0.0446723	0.0365186	0.0270099	0.0212356	0.0342112	0.0189944	0.0257694	0.0151219	0.0179095	0.0132026	0.0115762	0.0108876	0.0172912	0.0206419	0.0241005	0.01728	0.0274224	0.0149737	0.0160383	0.0173353	0.0443656	0.0460343	0.0576235	0.0362783	0.0431573	0.0514241	0.0408946	0.0461186	0.0486774
l'	0.10016	0.0322735	0.022939	0.0146186	0.0111105	0.00807402	0.0102807	0.00846643	0.0101601	0.0140889	0.00960424	0.00997586	0.00727468	0.00710736	0.0066359	0.0103539	0.0157713	0.0109945	0.00985597	0.00880433	0.0118554	0.0160424	0.01783	0.0414456	0.0648779	0.100585	0.073522	0.0764524	0.0811234	0.0624537	0.0584253	0.0668363
asperge	0.0393009	0.0171441	0.0174809	0.0175975	0.0156123	0.0122875	0.0123106	0.0146933	0.0150738	0.0226296	0.0172491	0.0280389	0.0300435	0.02373	0.0181862	0.02163	0.0260303	0.0158771	0.0214852	0.0179564	0.0211162	0.0194234	0.0203183	0.0354574	0.0482654	0.0938824	0.0333178	0.0819358	0.0674218	0.0586468	0.0613234	0.0545339
</S>	0.0901483	0.0401648	0.0194009	0.0117812	0.0149544	0.00503868	0.00573526	0.00405714	0.0045773	0.0062132	0.00522701	0.00608379	0.00642341	0.00325397	0.00300787	0.00528981	0.00614495	0.00330611	0.00599146	0.00530272	0.0074079	0.00897441	0.0134984	0.02332	0.0439899	0.106426	0.0504051	0.0978006	0.0800975	0.0828257	0.0714478	0.161704
