 	a66	a87	a23	a62	a61	a43	a93	a75	a61	a34	a21	a5	a61	a21	a5	a75	a85	a6	a36	a75	a85	a47	a36	a2	a57	a87	a23	a24	a83	a75	a47	a6	a36	a37	a83	a98	a85	a5	a85	a47	a36	a54	a7	a44	a38	a25	a9	a87	a23	a87	</S>
cette	0.0408563	0.0628131	0.0351825	0.0338454	0.0356843	0.0249733	0.0306661	0.0301456	0.028764	0.049846	0.0357683	0.0320311	0.0347058	0.0258614	0.0307476	0.0099172	0.0126541	0.00515842	0.00741647	0.00396957	0.00663524	0.00960384	0.00569922	0.00715622	0.00658263	0.00685071	0.00685133	0.0106479	0.0124946	0.011467	0.0219376	0.011347	0.00815539	0.00676374	0.00936081	0.00978996	0.0098039	0.0167457	0.0110587	0.00872401	0.00991947	0.0120513	0.00798175	0.0110105	0.0170256	0.0141255	0.0215064	0.0145624	0.0247504	0.0141918	0.0841926
jeune	0.00346878	0.00444077	0.00566668	0.00450927	0.00327069	0.00335186	0.0032776	0.0050998	0.00726412	0.0158487	0.0194359	0.0465319	0.108969	0.0915588	0.0824735	0.125245	0.139057	0.0405726	0.0783673	0.0306037	0.0236149	0.0438196	0.0180046	0.0209456	0.0160593	0.00936014	0.00223958	0.00504572	0.00390138	0.00501994	0.0037931	0.00373998	0.00543901	0.00393826	0.000955533	0.00133924	0.000632339	0.000724033	0.00111578	0.00180699	0.000982985	0.00104352	0.00172196	0.000943466	0.000967027	0.000806785	0.000390505	0.000309355	0.000962248	0.000748165	0.000615506
fille	0.0186789	0.00605842	0.00457689	0.00469721	0.00385616	0.00444181	0.00533297	0.0033137	0.0102361	0.00508488	0.0280167	0.0252573	0.0553483	0.0454367	0.0190986	0.0339099	0.0414375	0.0182558	0.0283041	0.0206495	0.0220557	0.0747277	0.0247509	0.0130797	0.0547624	0.0583222	0.0197027	0.0690904	0.0369045	0.0510747	0.0322538	0.0182532	0.0316859	0.0264791	0.0082187	0.00833099	0.00553671	0.00238707	0.00601404	0.0147757	0.00483796	0.0033798	0.00477616	0.00322019	0.00188934	0.00435059	0.00202169	0.00198934	0.00545751	0.00605303	0.00162693
a	0.0531759	0.0285796	0.0197918	0.0113363	0.00631661	0.013109	0.00703987	0.0058221	0.00553548	0.00605124	0.00907156	0.0125184	0.0126023	0.0128897	0.0139429	0.0191128	0.0152465	0.02108	0.0169639	0.0190531	0.0300338	0.0548448	0.0578176	0.0427455	0.039423	0.0404507	0.0312456	0.0173534	0.0233268	0.0179958	0.0102635	0.00867763	0.0131246	0.0136766	0.0111858	0.00982398	0.0132083	0.0111206	0.0092707	0.0111396	0.0127848	0.0103564	0.0129485	0.0189559	0.0156914	0.0262551	0.0210385	0.0357843	0.0186172	0.0223175	0.0292828
perdu	0.0203641	0.010307	0.0088185	0.00502917	0.00424038	0.00947905	0.00707243	0.0051343	0.00519796	0.00578595	0.0045047	0.00690997	0.00316986	0.00665871	0.00651105	0.0132975	0.00888248	0.0246668	0.0174807	0.0357648	0.027979	0.0380389	0.0481982	0.0262199	0.0651968	0.0598362	0.0791205	0.0590302	0.066088	0.0402286	0.0261339	0.0237514	0.0158819	0.0127411	0.0137591	0.00846855	0.00744598	0.00722754	0.00771786	0.00636587	0.0117628	0.00958801	0.00836274	0.0120314	0.01054	0.0103101	0.0227302	0.0169155	0.0119331	0.0104624	0.0266585
la	0.0216404	0.00913875	0.00783048	0.00446581	0.00354335	0.00582706	0.00529235	0.00452056	0.00806239	0.0102247	0.0134885	0.0169209	0.0139412	0.0104548	0.0188597	0.028073	0.0228401	0.0434519	0.034605	0.0459965	0.0384091	0.0527382	0.062038	0.0373148	0.0638714	0.0559461	0.0572688	0.0513383	0.0424215	0.034749	0.0205694	0.0151315	0.00782061	0.00477924	0.00525027	0.00351273	0.00315899	0.00308997	0.00243637	0.00356666	0.00799912	0.00472771	0.00554907	0.00831153	0.00900688	0.00911767	0.0113295	0.0115437	0.0112466	0.0114381	0.0151415
raison	0.0156096	0.00558574	0.00358872	0.00193517	0.00177276	0.00359145	0.00269687	0.00179041	0.00285951	0.00235354	0.00755558	0.00708541	0.00894668	0.00786232	0.00989398	0.0198161	0.0148682	0.0231769	0.0151188	0.0311015	0.0285966	0.0318933	0.0403337	0.0232663	0.085778	0.0621073	0.0839571	0.0683748	0.0417619	0.0368706	0.0221659	0.0239509	0.017156	0.0169124	0.0198755	0.014889	0.0136251	0.0067511	0.00679101	0.0120339	0.0127477	0.0114557	0.00876889	0.0264714	0.0149503	0.00691294	0.0164083	0.0161708	0.0164112	0.0164706	0.00893227
depuis	0.0230283	0.0150779	0.00950821	0.00893104	0.0076766	0.0149774	0.0103454	0.00753371	0.0107847	0.00868143	0.0170015	0.0183799	0.021469	0.0228823	0.024087	0.0361008	0.0290437	0.0308938	0.0290357	0.0308386	0.0267374	0.0225613	0.0245104	0.0222999	0.0417238	0.0318587	0.0454119	0.0326932	0.0238513	0.0221945	0.0211025	0.01841	0.015492	0.0139069	0.0223729	0.0163681	0.0156086	0.00925859	0.00836037	0.0119923	0.0150244	0.0145692	0.00879419	0.0150588	0.0189213	0.0088939	0.0167467	0.0163144	0.0202929	0.0184698	0.0239227
qu'	0.0289024	0.0237924	0.0155674	0.010541	0.011829	0.0196379	0.0218195	0.0132033	0.0102335	0.00812397	0.00782504	0.0102311	0.0096969	0.0135216	0.0126139	0.0279011	0.0162197	0.0219867	0.0235156	0.0237725	0.0162102	0.0159642	0.0151566	0.0132396	0.0322547	0.0243613	0.0352719	0.025249	0.0151193	0.0152085	0.0185907	0.0140898	0.0135429	0.0129723	0.0195168	0.0152482	0.0164689	0.0103664	0.0124851	0.0109532	0.0176365	0.0247139	0.0281516	0.0233603	0.0261113	0.0187743	0.0278268	0.0287714	0.045997	0.0361514	0.0393014
on	0.0213438	0.0145402	0.00880773	0.00789518	0.0117374	0.0183571	0.0243056	0.0165485	0.0126251	0.00636117	0.00855147	0.00833427	0.015841	0.0112959	0.0123782	0.0152462	0.0128169	0.0108127	0.0126425	0.0115172	0.00938061	0.0135872	0.0119484	0.0103364	0.0193901	0.0164385	0.0254496	0.0163542	0.0145139	0.0154075	0.016226	0.0163516	0.0185939	0.0162542	0.0202728	0.0183187	0.0193325	0.0182264	0.0153073	0.0148189	0.0254615	0.0269394	0.0301447	0.0413803	0.0392823	0.0223759	0.043756	0.0412409	0.0483935	0.04752	0.0450385
