 	a66	a87	a10	a53	a93	a56	a34	a75	a85	a47	a98	a37	a90	a4	a61	a21	a85	a0	a21	a43	a75	a5	a61	a31	a0	a10	a87	</S>
onze	0.0352639	0.0510494	0.0644977	0.0680791	0.0537015	0.0327825	0.0338756	0.0404886	0.0350493	0.0210386	0.0200456	0.0170378	0.00793052	0.00651008	0.00960898	0.00585229	0.0093951	0.0137676	0.0287076	0.0415626	0.0652364	0.0508208	0.060065	0.053978	0.0355991	0.0338049	0.0195688	0.0846825
a	0.0322915	0.0251883	0.0366507	0.0241037	0.0296282	0.0371793	0.0355014	0.0393573	0.0115426	0.0339477	0.0294873	0.0217986	0.0339196	0.0310854	0.0241497	0.0310904	0.0256282	0.0251329	0.027083	0.0263541	0.0423234	0.0555594	0.0457601	0.0579115	0.0439211	0.0532673	0.06094	0.0591971
craché	0.0851027	0.0570772	0.0825229	0.0756979	0.0590176	0.0436836	0.0310153	0.025478	0.0109789	0.0182179	0.0135241	0.00992663	0.0119165	0.00898912	0.00898418	0.00721733	0.00693977	0.00713703	0.00789293	0.0122593	0.0186734	0.0284233	0.0282864	0.0365795	0.0209021	0.05767	0.0853963	0.14049
dans	0.0654048	0.0814435	0.063648	0.0440763	0.0486554	0.042016	0.0291859	0.0134898	0.0127212	0.00984997	0.0160924	0.0224639	0.0202285	0.0283007	0.0369659	0.0258308	0.0229412	0.0167569	0.0291932	0.0234745	0.0561539	0.0611038	0.0286577	0.0562506	0.0289134	0.0401667	0.031639	0.0443761
la	0.0650302	0.0458255	0.0375923	0.0203704	0.0305428	0.0298099	0.0254258	0.0151441	0.0127274	0.0133473	0.0153001	0.0121782	0.0164069	0.0176205	0.033717	0.0405736	0.0338921	0.0229354	0.0295632	0.0263943	0.0525595	0.0734807	0.0651542	0.050468	0.0509141	0.0637386	0.0450713	0.0542164
figure	0.0492127	0.0403193	0.0261002	0.0220851	0.0304356	0.0425832	0.0408155	0.040887	0.0373392	0.0309095	0.0366975	0.0339028	0.0330642	0.026695	0.01784	0.0311309	0.0403804	0.0486439	0.0348784	0.0527418	0.0537752	0.0689699	0.0462506	0.0252294	0.0279774	0.0210711	0.0105211	0.0295431
de	0.0493271	0.0378177	0.0609015	0.0538168	0.0499243	0.0390865	0.0378018	0.0404746	0.0467183	0.0563072	0.0271229	0.00886164	0.00672686	0.00606664	0.00531973	0.00516246	0.00784954	0.0152031	0.0156859	0.0293255	0.0176545	0.0200959	0.02965	0.0283996	0.0479363	0.0458999	0.0550027	0.155861
son	0.0601145	0.0477453	0.0336412	0.0168505	0.0285365	0.0135614	0.0116995	0.00920936	0.0100463	0.0146448	0.0212588	0.0183987	0.0220033	0.0283138	0.0481209	0.0479051	0.0454237	0.0379898	0.0293346	0.0458804	0.0460636	0.0363272	0.0605612	0.0501379	0.0531298	0.070935	0.0728239	0.019343
ami	0.0616587	0.066548	0.0482717	0.0372389	0.048446	0.0189836	0.0161639	0.0113234	0.0107847	0.0091792	0.013627	0.0213128	0.0208027	0.0222271	0.0349614	0.0287374	0.0230746	0.0199779	0.0139739	0.0274796	0.0320493	0.0250273	0.0748727	0.0491693	0.0672062	0.0760931	0.113906	0.00690357
</S>	0.0441294	0.0516925	0.0596074	0.0356836	0.0503585	0.0212194	0.0192008	0.0151099	0.0141507	0.0131791	0.00713674	0.00472757	0.00403919	0.00459366	0.0112429	0.0102337	0.011805	0.0138293	0.0139137	0.0281954	0.0284318	0.0266342	0.0642988	0.0486617	0.0695141	0.0740076	0.0772032	0.1772
