 	a15	a66	a87	a10	a87	a23	a87	a79	a54	a15	a79	a98	a15	a7	a47	a36	a7	a90	a15	a20	a58	a84	a10	a54	a47	a37	a79	a7	a79	a98	a47	a85	a92	a21	a5	a36	a37	a26	a36	a2	a57	a87	a23	a87	a23	a87	a23	</S>
donne-lui	0.0223281	0.0228936	0.0217528	0.0256315	0.0237973	0.0247437	0.0281984	0.023531	0.0468492	0.0698501	0.0569773	0.0702047	0.075464	0.0570551	0.0230572	0.0247429	0.0181022	0.0328379	0.0527513	0.0318526	0.0442768	0.0216646	0.0298442	0.00648818	0.00679828	0.00711293	0.00466464	0.00477046	0.00594761	0.00378094	0.00235265	0.0019467	0.00192201	0.00218692	0.00264142	0.00375672	0.00410865	0.00472697	0.00721113	0.00707126	0.00773243	0.00816664	0.00696383	0.00631879	0.00470943	0.00917789	0.00960094	0.0214361
un	0.0142189	0.00961126	0.00894172	0.00676794	0.00909218	0.0113145	0.00982411	0.00968083	0.0144732	0.043847	0.0230543	0.0517608	0.0447639	0.0245945	0.0166009	0.0204557	0.0182431	0.0210756	0.0218229	0.026735	0.0195841	0.0221619	0.0204896	0.0117418	0.0101011	0.0109745	0.0107806	0.013082	0.0153238	0.0107336	0.00890488	0.0105108	0.0138718	0.0146381	0.0093989	0.0121558	0.019945	0.0231675	0.0232443	0.0324648	0.0257485	0.0331869	0.0226399	0.0311211	0.0419517	0.0554435	0.0471455	0.0226094
pain	0.0166269	0.00844172	0.00583126	0.0053583	0.0101731	0.00991061	0.0125922	0.0108953	0.0154641	0.0355317	0.0586285	0.0937445	0.0457981	0.0422307	0.0451921	0.0428974	0.0363445	0.0203043	0.0221667	0.0138277	0.0144582	0.0524099	0.0487992	0.027674	0.0468137	0.0529259	0.0476817	0.0371265	0.0123422	0.0153635	0.00911801	0.00595892	0.00499593	0.0114142	0.0109394	0.00666798	0.00273041	0.00357075	0.00308484	0.0042262	0.00290826	0.00154826	0.0026876	0.00280063	0.00170835	0.00320962	0.00708955	0.00778656
parmi	0.0687776	0.0343986	0.0216592	0.0105513	0.0126518	0.00726215	0.00830409	0.0131786	0.0122821	0.0295697	0.0144097	0.0455572	0.0286931	0.0260194	0.026256	0.028128	0.0311958	0.0377292	0.0158977	0.016054	0.0137073	0.0241223	0.0271499	0.0297647	0.0285393	0.0235182	0.0264475	0.0201559	0.0155511	0.00883382	0.0067191	0.00718364	0.0057614	0.00904423	0.00931467	0.013979	0.0106105	0.0171381	0.00953308	0.0178864	0.00741251	0.0110261	0.0121503	0.0271537	0.0286935	0.0222397	0.0267225	0.0510662
les	0.0414241	0.0168237	0.0114953	0.0043834	0.00840915	0.00286212	0.00308119	0.00469281	0.00561177	0.0167939	0.015171	0.0226994	0.0127372	0.0129812	0.0147726	0.0304916	0.0319977	0.023193	0.00950121	0.00919562	0.00747264	0.01798	0.0118968	0.0112367	0.0130215	0.0147241	0.0239718	0.0137845	0.0158052	0.0120344	0.00880616	0.00841545	0.0105742	0.0118349	0.0259663	0.020018	0.00975229	0.0182253	0.0139348	0.0287465	0.0146575	0.0219697	0.028184	0.0624591	0.0329866	0.0470048	0.0835954	0.112624
pains	0.0115443	0.00696171	0.00461324	0.00279683	0.00341005	0.00249399	0.00354465	0.00724129	0.00806842	0.0221562	0.0308785	0.0708914	0.0473659	0.034126	0.0436855	0.0724009	0.0931904	0.0670729	0.0566752	0.0610428	0.0322536	0.0461284	0.034039	0.0187791	0.0219094	0.0174502	0.020012	0.00903818	0.00919568	0.00748991	0.00646964	0.00274166	0.00226867	0.00509226	0.00846694	0.0106746	0.00821679	0.0142336	0.00845634	0.00880571	0.00705318	0.00635971	0.00857892	0.00903371	0.00434061	0.00455302	0.0049407	0.0132585
que	0.0301086	0.0145594	0.0112857	0.0069662	0.0112335	0.00845832	0.00439716	0.00683474	0.0233168	0.0384813	0.0580731	0.0697423	0.0346257	0.032263	0.0176225	0.0179103	0.0141769	0.0190713	0.0118356	0.0104231	0.0123921	0.00737121	0.0139332	0.0101899	0.0141857	0.0220854	0.0177177	0.019263	0.0178457	0.00819685	0.00350025	0.00184546	0.00529498	0.00588214	0.0151205	0.0112265	0.0131651	0.00919265	0.018218	0.0325343	0.020652	0.0635755	0.0377366	0.0564804	0.0271106	0.0230309	0.0401047	0.0307631
j'	0.0237844	0.00882504	0.00796652	0.00548676	0.00619426	0.00403761	0.00293998	0.00419716	0.00625023	0.0106527	0.0103491	0.0210153	0.0213055	0.0111139	0.0200394	0.0122702	0.0129496	0.0134908	0.00994234	0.00710848	0.0058501	0.0105071	0.00961835	0.0164346	0.0173857	0.0204522	0.0170925	0.0187574	0.0156783	0.00792674	0.00716143	0.006469	0.00701024	0.00769694	0.0109384	0.0142975	0.0282474	0.0379944	0.0519474	0.0501767	0.0393574	0.0777809	0.0731873	0.0976083	0.0475296	0.032175	0.0298953	0.0209046
ai	0.050438	0.0163544	0.0140462	0.0105594	0.0113148	0.00654941	0.00562714	0.00819941	0.0113695	0.0179859	0.00611822	0.0191034	0.0129575	0.00806058	0.0197123	0.0124156	0.0138816	0.0135692	0.00801329	0.00702078	0.00638606	0.00944386	0.00867737	0.00833088	0.012513	0.0147585	0.0174979	0.0138254	0.0146785	0.0103957	0.00495456	0.00713023	0.00708911	0.00919705	0.0101609	0.017436	0.0309674	0.0263141	0.0471986	0.0783501	0.0366006	0.0747308	0.0740278	0.0590803	0.044232	0.0364372	0.0287985	0.0174908
ramenés	0.0514108	0.0208038	0.0159848	0.011295	0.014695	0.00548101	0.00998469	0.0164932	0.0219003	0.0151881	0.00559739	0.0108218	0.010803	0.00819941	0.0154195	0.010921	0.0121057	0.0142884	0.00766973	0.00992987	0.00682006	0.00950324	0.00742806	0.00679266	0.00833209	0.0101143	0.0154816	0.0104905	0.0121383	0.00732859	0.00473952	0.0048723	0.00281874	0.00670885	0.0102938	0.0219543	0.024778	0.0415738	0.0401164	0.0642001	0.0241983	0.054064	0.072584	0.0651817	0.0381848	0.0479342	0.0383528	0.0540224
