 	a66	a10	a87	a23	a50	a88	a0	a61	a21	a12	a88	a31	a0	a75	a85	a6	a37	a21	a85	a92	a98	a85	a6	a56	a43	a90	a15	a69	a44	a4	a44	a26	a84	a57	a84	a57	a82	</S>
nous	0.0370972	0.0403328	0.0256515	0.0305147	0.0230108	0.0197078	0.00971833	0.0112598	0.0089565	0.00505683	0.00503102	0.00690656	0.00571561	0.00250656	0.00297818	0.00625549	0.00570753	0.00732609	0.00880961	0.0140036	0.0118367	0.0213469	0.022953	0.0234229	0.0249525	0.0332123	0.0238246	0.0263726	0.0238476	0.0245071	0.024833	0.0300841	0.0839602	0.0749558	0.0722603	0.0794656	0.0644812	0.0571369
avons	0.0226484	0.0141141	0.0303335	0.0275725	0.0198842	0.0139451	0.0121409	0.00851513	0.0109237	0.0082847	0.0117925	0.0137451	0.0346312	0.0388035	0.0377619	0.035151	0.03151	0.0246988	0.0446844	0.0436313	0.0472705	0.0257739	0.0387568	0.0225336	0.0265079	0.0127778	0.014367	0.0140706	0.028532	0.0310272	0.0450025	0.0532808	0.0469637	0.0285131	0.0176209	0.0164221	0.0153179	0.0304901
comblé	0.0267918	0.0154982	0.0101161	0.00798282	0.00684669	0.00433154	0.0066607	0.00426279	0.00529502	0.00461416	0.00568212	0.00555038	0.00876059	0.00976358	0.0114177	0.00719142	0.0110255	0.0188488	0.0298986	0.024091	0.0241746	0.0185855	0.0173394	0.0114304	0.0149107	0.0132459	0.0130867	0.0189314	0.0249837	0.0619586	0.0755367	0.10826	0.0983238	0.0946144	0.059727	0.0490253	0.0268758	0.0443602
les	0.0244144	0.0334903	0.0224231	0.0279788	0.0247829	0.0189461	0.0103426	0.0167894	0.00940936	0.00804928	0.0096388	0.0141923	0.00964721	0.012791	0.0163237	0.0152088	0.0182791	0.0181385	0.0244062	0.019632	0.0247208	0.0273579	0.0386114	0.0330708	0.0323144	0.0435149	0.0429582	0.0324297	0.0303433	0.0282692	0.0267384	0.0340954	0.0404488	0.0285506	0.0330849	0.0429188	0.0443516	0.0613372
trous	0.0342031	0.0264125	0.0263643	0.0212883	0.0214569	0.0137641	0.0107881	0.0194317	0.00883131	0.0100866	0.0101757	0.0143209	0.00506033	0.00668318	0.00787312	0.0119816	0.014063	0.0218202	0.0234243	0.0351113	0.0387545	0.0460001	0.0350593	0.0376212	0.0315551	0.0382909	0.0337225	0.0304665	0.0278498	0.0340432	0.0306052	0.0306383	0.0416942	0.0403191	0.0350418	0.0456201	0.0396182	0.0399595
qui	0.104877	0.0770237	0.053958	0.0417031	0.0531671	0.0275684	0.0214682	0.0220682	0.0138181	0.0153289	0.0263011	0.0334942	0.024563	0.0167141	0.0204622	0.0254967	0.0367347	0.0189434	0.0422442	0.0343192	0.0299528	0.0467018	0.0251414	0.0209363	0.0167852	0.0205721	0.0125748	0.0134884	0.0209717	0.0156316	0.013565	0.00755549	0.00842228	0.00633817	0.00483478	0.00444784	0.0075454	0.0142814
étaient	0.157429	0.0819279	0.0432767	0.0315761	0.0325495	0.0202293	0.0155044	0.00533336	0.00850709	0.00746619	0.0114121	0.0195978	0.020843	0.0220804	0.0149882	0.0156567	0.031355	0.0112552	0.0349963	0.0144827	0.0196874	0.0437735	0.017001	0.0167557	0.0142671	0.0150951	0.00849036	0.0100546	0.0218583	0.0198598	0.0211837	0.02612	0.0229943	0.0172948	0.0224599	0.0272713	0.0287325	0.0466335
au	0.0676158	0.0464485	0.0313742	0.0351041	0.0256199	0.0197909	0.0189842	0.00958012	0.0145525	0.0109119	0.0136217	0.0226902	0.00590787	0.00597393	0.00596348	0.00913403	0.0175527	0.0231519	0.0212434	0.0293573	0.0236697	0.0331496	0.0287638	0.0181512	0.0175631	0.0131232	0.00847969	0.00820535	0.0109282	0.0241487	0.0244535	0.0861895	0.0692598	0.0468925	0.0395976	0.0325439	0.0344809	0.0458209
milieu	0.0578143	0.0471591	0.0211776	0.0263684	0.0173617	0.0145689	0.0134796	0.0113918	0.0139114	0.0101099	0.00799387	0.0165241	0.011162	0.0106312	0.00583112	0.00955878	0.016927	0.025089	0.0363397	0.0257394	0.0277288	0.0195894	0.0122885	0.0123142	0.0117704	0.0102544	0.00789231	0.00796145	0.0103276	0.0156097	0.0186144	0.0441322	0.0617002	0.0534624	0.0676514	0.0576663	0.0436083	0.118289
de	0.104226	0.0450034	0.0242108	0.0255075	0.0216498	0.0128567	0.00711714	0.00263605	0.00464826	0.00211639	0.00327462	0.00369278	0.00365439	0.00261526	0.00161745	0.00235185	0.00298019	0.00519136	0.0133098	0.012547	0.0132803	0.0191801	0.0110067	0.0122773	0.01117	0.0121945	0.0117059	0.00961854	0.0147734	0.0153406	0.0267844	0.0414868	0.042938	0.0424058	0.053102	0.0757669	0.0748051	0.210957
la	0.0609336	0.0505182	0.0284828	0.0267504	0.0204814	0.0115852	0.00775734	0.00500115	0.00474919	0.00218647	0.00278127	0.00738513	0.00440011	0.00365015	0.00212507	0.00400281	0.00632774	0.00614093	0.0176458	0.0132581	0.0135452	0.018118	0.00803002	0.0106222	0.00885446	0.0114096	0.0134471	0.0141285	0.0177044	0.0210861	0.0446678	0.0538018	0.0523265	0.0495083	0.0663345	0.0851841	0.07791	0.147159
route	0.0390413	0.0231794	0.0129884	0.0214852	0.0161722	0.00621196	0.00628418	0.00536869	0.00633483	0.00486881	0.0042408	0.00848484	0.00393007	0.00371751	0.00323949	0.00642316	0.0109728	0.0144311	0.023619	0.0147463	0.0134084	0.0155489	0.00988863	0.0116372	0.0157114	0.0128862	0.0167264	0.0220579	0.0298346	0.0318507	0.0449128	0.035021	0.0520421	0.0507446	0.0694822	0.0977301	0.093928	0.140849
</S>	0.0420526	0.0355686	0.0334379	0.0305707	0.0290286	0.0199993	0.0188098	0.0178017	0.0108351	0.0070128	0.00997565	0.0190379	0.0121172	0.0126492	0.00943409	0.0147577	0.0217407	0.0142395	0.0139092	0.0109589	0.00951573	0.00780538	0.0132186	0.00934784	0.00845937	0.00756064	0.00523084	0.0101106	0.0169812	0.0222243	0.0279589	0.0362845	0.0948456	0.0753278	0.0646532	0.0671197	0.0560527	0.0833663
