 	a66	a10	a87	a23	a79	a90	a69	a90	a25	a75	a56	a90	a56	a93	a12	a93	a56	a96	a93	a56	a47	a61	a47	a96	a88	a71	a9	a99	a87	a97	a87	a23	a99	a97	</S>
le	0.0473489	0.0556827	0.0568651	0.0510683	0.0471729	0.0361783	0.034138	0.0311701	0.0432347	0.0390789	0.0391345	0.0279769	0.0283151	0.0215666	0.015215	0.00917634	0.00432378	0.00441166	0.00686792	0.00717614	0.0113663	0.0164678	0.0154303	0.0207033	0.0319528	0.0395747	0.0458975	0.046124	0.0345135	0.0318872	0.0245936	0.0209387	0.0251915	0.00762106	0.0216358
coup	0.00289775	0.00832956	0.0141553	0.00875702	0.0127315	0.0093443	0.0195173	0.0361434	0.0455965	0.123873	0.207572	0.156609	0.0907563	0.0449327	0.0447117	0.0378202	0.0264406	0.0173501	0.0186982	0.0102816	0.0165851	0.0109797	0.00640926	0.00470517	0.00360785	0.00395483	0.00263409	0.00297612	0.00246311	0.00158418	0.00130097	0.00190264	0.00168356	0.00171843	0.000977124
de	0.0857975	0.101877	0.091002	0.0260272	0.0138308	0.00719144	0.0128726	0.0153059	0.0139043	0.033807	0.0235424	0.0348915	0.0300863	0.0269741	0.0143909	0.0180242	0.0130796	0.0206719	0.0176129	0.0188652	0.0257108	0.0367502	0.0391646	0.04508	0.0279769	0.0309071	0.0230118	0.0228323	0.0141919	0.0238677	0.0146273	0.0221293	0.0207089	0.0250098	0.00827645
poing	0.0863514	0.068129	0.0461631	0.0153105	0.0124171	0.00697406	0.00811668	0.00944627	0.00922695	0.00823617	0.00541584	0.00579919	0.0108845	0.00593692	0.00769896	0.0187805	0.0509535	0.032404	0.049818	0.0289739	0.0214155	0.0248918	0.00814321	0.0197947	0.00922847	0.0156354	0.0311331	0.0325004	0.0404144	0.070905	0.0545812	0.0466059	0.0656004	0.0467185	0.0253953
lui	0.0796919	0.0577898	0.0408955	0.0228949	0.0179947	0.0222652	0.0453924	0.0572186	0.0420575	0.0413103	0.0215727	0.0256879	0.0380428	0.0343893	0.0215007	0.0309444	0.0231275	0.0159073	0.0129221	0.0113706	0.00605432	0.0101925	0.00670402	0.00540662	0.00433085	0.00393814	0.00861441	0.0108738	0.0111299	0.0231009	0.0286986	0.0319714	0.0455417	0.0691854	0.0712813
a	0.0456223	0.0272068	0.02214	0.0198004	0.0198192	0.029458	0.0391633	0.0794208	0.0580574	0.0625812	0.0228231	0.0359511	0.0409629	0.0269531	0.0218695	0.0210918	0.0224366	0.0172372	0.0222081	0.0221016	0.0158515	0.0268699	0.0223037	0.0198599	0.0108831	0.0124384	0.0168566	0.0156888	0.0108397	0.0211158	0.0225234	0.0209045	0.0451647	0.0337093	0.0480861
donné	0.0244217	0.0265089	0.0217956	0.0221929	0.0193917	0.0225867	0.0308796	0.0324315	0.0438565	0.0464447	0.0282056	0.043507	0.0361505	0.0452886	0.0392123	0.0411281	0.0233119	0.0285997	0.0291202	0.0222403	0.0283556	0.030652	0.0224412	0.0179103	0.0150268	0.0146245	0.0187318	0.0239042	0.0186923	0.0176898	0.0223827	0.0224965	0.0352835	0.0317212	0.0528136
une	0.0242677	0.0241079	0.0210953	0.0261736	0.0302413	0.0339518	0.0243883	0.0255079	0.0248648	0.0250108	0.023951	0.0396881	0.0311911	0.0401782	0.0360176	0.0329522	0.0211875	0.0185562	0.00965392	0.00969025	0.00867527	0.0140306	0.0139255	0.0127438	0.0216255	0.0185376	0.0304741	0.0414963	0.0215519	0.0224807	0.0452049	0.0529284	0.0453822	0.0651325	0.0631352
enflure	0.0174329	0.00855879	0.00703594	0.00590372	0.00546846	0.00676647	0.00999663	0.0169579	0.0149698	0.0133391	0.0161707	0.0242547	0.0208108	0.0179146	0.0130875	0.0184279	0.0142116	0.0141005	0.0137513	0.0131581	0.0114987	0.0238516	0.012298	0.0208439	0.0287714	0.0270257	0.0367199	0.0571572	0.0541935	0.0469869	0.0818736	0.0837805	0.073991	0.0900053	0.0786852
à	0.0299836	0.018656	0.0122313	0.0128361	0.00965002	0.0122424	0.0177154	0.0147605	0.0245032	0.0105632	0.00755064	0.0154	0.0110355	0.0122415	0.00600468	0.00589045	0.00370597	0.00646884	0.00402952	0.00620668	0.00555959	0.0105257	0.00578293	0.0163041	0.025556	0.0267321	0.0369727	0.0520873	0.0523186	0.0628412	0.0752733	0.088802	0.0747952	0.103816	0.120958
