 	a15	a66	a87	a23	a99	a62	a12	a96	a93	a56	a94	a56	a75	a98	a15	a20	a85	a6	a85	a47	a36	a2	a54	a79	a98	a79	a56	a90	a56	a43	a96	a75	a79	a7	a84	a87	a23	a99	a97	</S>
pour	0.0459585	0.0639609	0.0428696	0.0473779	0.0370734	0.0315594	0.0406628	0.0546573	0.0444582	0.0574456	0.0482303	0.0356752	0.0234306	0.0147259	0.0122054	0.0116235	0.006629	0.00915526	0.0100413	0.0110468	0.011171	0.016024	0.0143687	0.0260489	0.0125101	0.00897384	0.0122571	0.0129748	0.00849533	0.00915286	0.012155	0.0190578	0.025996	0.0455908	0.0242503	0.0169954	0.0171344	0.021074	0.0130634	0.0239195
sécher	0.0261865	0.0169655	0.0128935	0.012828	0.0126688	0.0154876	0.0207366	0.024612	0.0107416	0.0199174	0.0432657	0.0470347	0.0639339	0.0464977	0.062199	0.0330703	0.0387791	0.0350248	0.0310493	0.0272329	0.0347674	0.0202386	0.0277758	0.00981487	0.00917852	0.0178351	0.0155256	0.0299486	0.0111546	0.00857163	0.00948196	0.0207619	0.020064	0.0194232	0.0228157	0.0264462	0.0194383	0.0187057	0.0243574	0.0325701
un	0.0237954	0.0132119	0.0120677	0.0111736	0.010127	0.0132967	0.0164488	0.0157344	0.0113779	0.0244008	0.0231749	0.0243321	0.0410067	0.0431327	0.054579	0.0241653	0.0398507	0.0370298	0.038626	0.0307558	0.0115645	0.00887369	0.00494465	0.00639553	0.00979637	0.0531802	0.0467742	0.0485141	0.0263877	0.0153529	0.0152665	0.0155572	0.0232442	0.0223237	0.0270834	0.0267494	0.0256633	0.0286896	0.0364779	0.0388739
habit	0.023884	0.00954256	0.00931065	0.00599832	0.00791605	0.00638669	0.00438499	0.00287974	0.00226268	0.00270178	0.00116458	0.00170549	0.00330569	0.0125113	0.0298849	0.0416516	0.13013	0.0776589	0.074421	0.0449129	0.0405868	0.0270991	0.0399151	0.0376213	0.0400354	0.0423921	0.0599172	0.0555307	0.0236752	0.0192958	0.0144372	0.00800728	0.0151613	0.0184679	0.0144577	0.0100891	0.0114422	0.0111238	0.00880961	0.00932113
il	0.0611662	0.0310378	0.0234812	0.0181452	0.0189883	0.0171667	0.0134673	0.00999865	0.0112464	0.0107113	0.00487073	0.0126225	0.0191871	0.0441578	0.0715481	0.0857499	0.108879	0.0983456	0.0565251	0.0621599	0.0215447	0.0241519	0.0098125	0.00680139	0.00690089	0.00633084	0.00559333	0.00594606	0.0046732	0.00360598	0.00416072	0.00426459	0.00718028	0.00984974	0.00614372	0.0105199	0.0143208	0.0127497	0.0166959	0.0392986
faut	0.0249494	0.0137495	0.013625	0.00921909	0.0109103	0.0107347	0.00623384	0.00526273	0.00592617	0.00628193	0.005129	0.0126613	0.0281576	0.0448036	0.0641627	0.0665038	0.120388	0.0767756	0.0485843	0.0509002	0.0193486	0.0173429	0.0124778	0.0150622	0.0234226	0.0270128	0.0291206	0.0249392	0.0221066	0.0145255	0.0127868	0.0162161	0.0172765	0.0292163	0.0141214	0.0198894	0.0236649	0.0139336	0.0102237	0.0123539
d'	0.030558	0.0226778	0.011672	0.0123098	0.0100326	0.0121883	0.0187495	0.0141926	0.0103689	0.0181563	0.0188978	0.0244653	0.0305701	0.0431871	0.0571008	0.0561366	0.0654637	0.0306013	0.0256587	0.0372607	0.0122745	0.0120877	0.00695958	0.0136163	0.0248037	0.0342352	0.026679	0.024497	0.0244277	0.017607	0.0180343	0.0228002	0.0177146	0.0309751	0.0176221	0.02479	0.0377736	0.0265202	0.0248463	0.0314881
abord	0.0260051	0.02763	0.0168508	0.0171309	0.0134012	0.013066	0.0127249	0.0126037	0.00979837	0.0162635	0.012554	0.0157623	0.0174991	0.0247979	0.0287749	0.0242429	0.0323185	0.0172687	0.0160554	0.0174419	0.0084002	0.0159033	0.0104645	0.0184882	0.0348221	0.0425754	0.0419966	0.0530132	0.040137	0.0320232	0.0257419	0.025389	0.0321337	0.0279155	0.0260297	0.027275	0.0295096	0.0305971	0.0400991	0.0652958
le	0.0269739	0.0241914	0.0105573	0.0107321	0.00940655	0.010357	0.0194706	0.0215365	0.0184627	0.0188178	0.0222018	0.0228049	0.0172944	0.0204429	0.0197502	0.0112556	0.0121704	0.00675467	0.00777706	0.00945311	0.00433491	0.00796873	0.00599572	0.0145798	0.0183689	0.0131181	0.0149218	0.0211791	0.0255553	0.0183482	0.0179461	0.0241392	0.0511523	0.0732528	0.0584107	0.0594377	0.0592976	0.0614643	0.0642501	0.0658676
mettre	0.0333323	0.0356794	0.0290038	0.0237592	0.0215504	0.0199777	0.0168302	0.0127093	0.0133101	0.0175472	0.00824761	0.0133625	0.0135905	0.0289741	0.0375028	0.0362579	0.0425346	0.0340377	0.034042	0.0352635	0.0255867	0.0283283	0.0214702	0.0134191	0.0137386	0.012455	0.011936	0.0104904	0.0113771	0.0136443	0.0167814	0.0192942	0.0272677	0.0397952	0.0213564	0.0250807	0.0500313	0.0286136	0.0429154	0.0589059
à	0.0382875	0.0417393	0.0210926	0.0239311	0.0230873	0.0231378	0.029871	0.026014	0.0297638	0.0304987	0.0212338	0.0200809	0.0137866	0.0159324	0.0170772	0.0182129	0.013676	0.0122662	0.0124407	0.0134755	0.00793059	0.0097218	0.00430033	0.0104151	0.0130119	0.00889711	0.0102861	0.00680005	0.00802103	0.00797664	0.0155636	0.0247488	0.0380191	0.0838503	0.0358812	0.040514	0.0555536	0.0423025	0.0401395	0.0904614
l'	0.058236	0.0486192	0.0271553	0.027853	0.0262573	0.0204918	0.0206621	0.0149234	0.0149389	0.0137374	0.00756979	0.00883385	0.00568088	0.0100926	0.0142551	0.0146365	0.0132122	0.0149517	0.0098857	0.00998097	0.00761807	0.0083819	0.0060645	0.00907045	0.0105441	0.00894151	0.0207325	0.0148172	0.0172816	0.0169392	0.0301823	0.0327615	0.0700901	0.0710764	0.0517243	0.0424077	0.0578359	0.0452549	0.0405621	0.0557402
envers	0.092599	0.0795363	0.0580389	0.0438789	0.0336341	0.0281294	0.0239721	0.0156816	0.00968241	0.0108232	0.00529792	0.00490135	0.00363759	0.00595013	0.00785428	0.0116739	0.0091026	0.0128373	0.00964198	0.00923906	0.013378	0.0183272	0.0262323	0.0385748	0.0219015	0.0123829	0.0373685	0.0351292	0.0354761	0.0194848	0.025717	0.017651	0.0277095	0.0264744	0.0197805	0.0225843	0.0299345	0.033532	0.0309826	0.031267
</S>	0.0676716	0.0463454	0.0324859	0.03513	0.030703	0.0276587	0.0287089	0.0313716	0.0301835	0.0295176	0.0179484	0.014994	0.00752625	0.00757489	0.00866741	0.00750298	0.00784616	0.0125158	0.00715804	0.00837483	0.00684468	0.00869402	0.00373811	0.00854436	0.00767343	0.00610592	0.0110878	0.0128371	0.0112761	0.0211206	0.0364816	0.0345189	0.0579498	0.0478848	0.0319709	0.03729	0.0417338	0.0438672	0.0404898	0.0700061
