 	a87	a23	a83	a75	a41	a12	a62	a88	a71	a38	a21	a37	a98	a85	a35	a26	a38	a24	a62	a41	a36	a2	a57	a87	a23	a97	</S>
je	0.0293391	0.0399708	0.0386995	0.0381817	0.0331863	0.029113	0.0285951	0.0184772	0.0174795	0.0159918	0.0151606	0.00776982	0.0115294	0.0171448	0.01685	0.0201315	0.0178669	0.0483653	0.0400478	0.0508186	0.0889809	0.0526492	0.0801958	0.0661082	0.0714172	0.0487204	0.0572097
mange	0.0632151	0.0355115	0.0585323	0.0482684	0.0806145	0.0656007	0.0422939	0.0285512	0.0200826	0.0128857	0.0150827	0.00957414	0.0169102	0.0427182	0.0422165	0.0294703	0.0162887	0.0125241	0.0357373	0.0257987	0.0427486	0.0762771	0.053658	0.0362408	0.029893	0.031478	0.0278278
de	0.0212522	0.0396422	0.0655909	0.0534622	0.0682179	0.0828318	0.0375483	0.0159062	0.00746279	0.00601852	0.00756864	0.00674962	0.0104988	0.0220677	0.0338616	0.0465576	0.0461917	0.0414333	0.05042	0.0248601	0.0428526	0.0275611	0.0302566	0.0455817	0.0587576	0.050621	0.0562274
l'	0.0961368	0.0463963	0.0273046	0.0357517	0.0611723	0.0590858	0.046327	0.0487024	0.0481647	0.0566474	0.0580649	0.0517459	0.0585984	0.0257695	0.0293043	0.0190202	0.027509	0.0149994	0.0131977	0.0162313	0.0127571	0.0133566	0.0158981	0.0178468	0.0248571	0.0225778	0.0525768
oseille	0.0479422	0.0356399	0.0219165	0.0274866	0.0378268	0.0295824	0.0336876	0.049297	0.0371947	0.0384247	0.0299909	0.0228236	0.0283563	0.0405955	0.0614662	0.0819828	0.134451	0.0373655	0.0371595	0.0416345	0.0291373	0.0110667	0.0137485	0.0197139	0.0189053	0.0169422	0.0156621
préparée	0.0750056	0.121188	0.098259	0.108285	0.0997759	0.03627	0.0237204	0.00684429	0.00274737	0.00343518	0.00394426	0.00595539	0.00372922	0.0125836	0.0284657	0.0379866	0.0812489	0.0268811	0.0404915	0.0361145	0.0311831	0.0274511	0.0199847	0.0176102	0.0215287	0.014634	0.0146768
sans	0.0825802	0.0945028	0.103802	0.0652887	0.0406345	0.0280385	0.00403437	0.00184191	0.000719056	0.0010244	0.0014967	0.00140256	0.00100667	0.00190012	0.00905785	0.0159084	0.0611243	0.0288754	0.0554626	0.0435219	0.0507381	0.0424979	0.0570114	0.0480976	0.0570378	0.0521721	0.0502222
assaison	0.0376349	0.0576982	0.0699124	0.0552911	0.0530535	0.0471607	0.0279443	0.0222903	0.012751	0.0185339	0.0226369	0.0155891	0.0134877	0.0151536	0.0211439	0.0215295	0.0668185	0.0376063	0.0347097	0.0431749	0.0437756	0.0186562	0.0295787	0.0492961	0.0533728	0.044136	0.0670644
nement	0.0453841	0.036027	0.0303923	0.0260763	0.0308284	0.0407281	0.0206536	0.0212637	0.021546	0.0223267	0.0206336	0.0143456	0.0194157	0.0155701	0.0182952	0.0182618	0.0318479	0.0282758	0.0321323	0.0312647	0.0420236	0.0411706	0.0554807	0.0597188	0.0642183	0.0758797	0.136239
</S>	0.0212585	0.0142062	0.00931291	0.0100812	0.00948865	0.00824214	0.00297831	0.00376254	0.00446666	0.00507299	0.00567515	0.00368553	0.00419443	0.00563288	0.0174483	0.0263842	0.0526686	0.0536791	0.0793216	0.0761509	0.0887358	0.076682	0.0893625	0.0763685	0.0803649	0.0913382	0.0834373
