 	a23	a87	a23	a79	a58	a57	a82	a53	a69	a94	a38	a75	a73	a84	a53	a69	a20	a58	a84	a40	a73	a94	a31	a88	a71	a38	a41	a73	a2	a11	a90	a54	a41	a35	a41	a18	a38	a24	a62	a24	a94	a98	a66	a25	a87	a97	a99	a87	</S>
le	0.0471623	0.0309385	0.0252921	0.0672102	0.029776	0.014915	0.021176	0.0189169	0.0268418	0.0207034	0.0254571	0.0338246	0.0206226	0.0190985	0.0193336	0.0152862	0.010928	0.0157986	0.0116922	0.0164472	0.026701	0.0177049	0.0165293	0.0267331	0.0166969	0.0181196	0.0142679	0.0169476	0.0140497	0.0134929	0.013074	0.0117818	0.0139985	0.0130598	0.0107819	0.0133471	0.00808846	0.0100855	0.0116271	0.0121009	0.01484	0.0229018	0.0240634	0.0342469	0.0288986	0.0280258	0.0232936	0.010262	0.0228592
chef	0.00220032	0.00649843	0.0139749	0.0225674	0.0158163	0.0164751	0.0297165	0.0210089	0.0217802	0.0246841	0.0266925	0.0207583	0.031895	0.0202074	0.0195422	0.0149915	0.0141618	0.031518	0.035993	0.0384014	0.062207	0.077092	0.0425597	0.0653472	0.0624094	0.0840559	0.0394166	0.0346911	0.0282196	0.0142507	0.00959324	0.00712973	0.00706754	0.00861446	0.00659897	0.00488999	0.00360116	0.00181254	0.00185135	0.00128133	0.000538412	0.000760468	0.000772059	0.000499109	0.000529717	0.000597232	0.00135586	0.00178757	0.001587
du	0.0217988	0.0253705	0.033062	0.0321344	0.049417	0.0334732	0.0491611	0.0675758	0.0647763	0.0461484	0.0282262	0.0369913	0.012692	0.0292066	0.0226393	0.0143588	0.0128662	0.0262578	0.0221106	0.0262998	0.0679957	0.026913	0.0318381	0.0279313	0.0207027	0.0210905	0.0140783	0.0125557	0.0103906	0.00716465	0.00867389	0.0162013	0.00647124	0.00547377	0.00751739	0.00450117	0.00251931	0.0030264	0.00246369	0.0026678	0.00254607	0.00195491	0.00392289	0.00432983	0.00360729	0.00550636	0.00609666	0.00766599	0.00962713
village	0.00350936	0.00222248	0.00261878	0.00314327	0.00365838	0.0125414	0.0259311	0.0346896	0.0213085	0.0277691	0.0324332	0.0303415	0.0904224	0.0876957	0.0581339	0.049347	0.0299973	0.0582234	0.0581932	0.0556637	0.0426901	0.0300448	0.0315477	0.0223324	0.0372926	0.0200418	0.0207555	0.0185345	0.0256081	0.0118656	0.0108072	0.00506273	0.003447	0.00182703	0.00152912	0.00140159	0.0012039	0.002004	0.000977778	0.00188231	0.00239398	0.00242148	0.00292838	0.00374091	0.00245466	0.00188759	0.00180941	0.00200142	0.00166328
a	0.0427162	0.0227807	0.0121768	0.0202767	0.0206946	0.0144065	0.007899	0.0132155	0.0110782	0.016615	0.0287426	0.00961521	0.021581	0.0161211	0.0106526	0.0166783	0.011715	0.0480971	0.0203704	0.0863423	0.0349171	0.0544985	0.0286872	0.0228921	0.0159081	0.0124605	0.00617321	0.0175463	0.0126196	0.00732291	0.00560853	0.00811961	0.00851258	0.00410531	0.00661653	0.0067886	0.00802729	0.0118604	0.00940156	0.00888123	0.00708083	0.00764409	0.0170632	0.0215108	0.0193479	0.0332786	0.0292913	0.0238851	0.0981765
convoqué	0.0335286	0.0204709	0.0110058	0.0121448	0.0292514	0.0160597	0.0145686	0.0182912	0.0207574	0.0123554	0.0247169	0.00978579	0.0176945	0.0170813	0.00691961	0.014654	0.0162342	0.0349667	0.0262567	0.0374346	0.038059	0.0474956	0.0524084	0.031078	0.0211092	0.0180498	0.0101057	0.0196687	0.0318693	0.0144206	0.0121858	0.0155273	0.0136616	0.00972876	0.00507617	0.00912635	0.00721328	0.00921527	0.00728401	0.013053	0.0063801	0.00717817	0.0150559	0.0175066	0.019717	0.0381168	0.0275468	0.0263676	0.0616171
l'	0.0308048	0.0271603	0.0186604	0.0137635	0.0157745	0.0125241	0.00971804	0.0102181	0.0090829	0.0152357	0.0204646	0.0130902	0.0139964	0.0172032	0.00718738	0.0151932	0.010583	0.0230455	0.0148813	0.0218244	0.0110636	0.0404204	0.0198299	0.0247489	0.015812	0.0192034	0.0110088	0.0166847	0.0241323	0.0210102	0.0178381	0.0200763	0.0202983	0.0155852	0.0128379	0.0171922	0.0176401	0.0230603	0.0157937	0.0327843	0.0150433	0.0170746	0.0271397	0.0352604	0.0327242	0.0484463	0.0450725	0.0348085	0.0269981
assemblée	0.0280641	0.0239497	0.0174672	0.017508	0.0183849	0.00953214	0.0142772	0.0181013	0.0176351	0.0149398	0.0560667	0.0230749	0.0486417	0.033599	0.0193384	0.0370008	0.0292671	0.0627501	0.0344285	0.0419947	0.0184571	0.0303872	0.030697	0.0233628	0.0172282	0.0191783	0.0160436	0.0260382	0.0201697	0.00937529	0.0085243	0.0132859	0.00763219	0.0049212	0.00612057	0.00849939	0.0061709	0.00765241	0.00404001	0.00584851	0.00564186	0.00871295	0.0112483	0.0174105	0.0182633	0.0241483	0.0214768	0.018317	0.025127
des	0.0466725	0.037166	0.0355932	0.0361347	0.036201	0.018894	0.0207105	0.0165153	0.0138387	0.0182343	0.0211544	0.027427	0.0124712	0.0224822	0.0075434	0.0183629	0.0122487	0.0126551	0.00984102	0.00905648	0.00482007	0.00680726	0.0144232	0.0088068	0.00749635	0.00808551	0.00491779	0.00347585	0.00301921	0.00246839	0.0023138	0.00558397	0.00233902	0.00430743	0.005843	0.00552261	0.00668734	0.0134396	0.00434501	0.00696871	0.00956833	0.0176167	0.0210415	0.0285332	0.0363107	0.0587019	0.0679383	0.0649988	0.140417
anciens	0.0372718	0.0301316	0.0254589	0.0252563	0.0266787	0.0151784	0.0172013	0.0165964	0.0103779	0.00952181	0.0193303	0.015071	0.0196607	0.0186152	0.018163	0.0153303	0.0229938	0.0216062	0.0164558	0.0180019	0.0109823	0.026516	0.0224906	0.0192981	0.014618	0.018083	0.0152041	0.018227	0.0132158	0.0125482	0.0132256	0.0200767	0.0132697	0.0156139	0.0183977	0.0177177	0.0199645	0.0170691	0.00933855	0.010522	0.0110995	0.0276282	0.0211513	0.0255078	0.0319097	0.0297636	0.0416775	0.0365721	0.0494105
