 	a82	a99	a9	a99	a83	a75	a92	a21	a5	a36	a98	a85	a5	a21	a12	a43	a54	a15	a7	a27	a10	a9	a99	a3	a97	</S>
aujourd'	0.0778278	0.0607664	0.0595533	0.0429001	0.0327142	0.0262689	0.0137682	0.0181443	0.0173707	0.025854	0.0233984	0.020943	0.0251087	0.0286539	0.0292406	0.0278531	0.0610949	0.0493867	0.0425068	0.0396827	0.0498926	0.0377861	0.0252576	0.0401304	0.0409278	0.0829691
hui	0.0464516	0.037626	0.0624558	0.0503799	0.0534156	0.0514182	0.0462629	0.0234494	0.0154181	0.0639408	0.0579163	0.0611972	0.0685022	0.103391	0.0894181	0.0515366	0.0192757	0.00524493	0.00694651	0.00592619	0.0037018	0.00902837	0.00641664	0.00673021	0.0457365	0.00821315
le	0.0932629	0.04707	0.0419696	0.0397714	0.0484889	0.0397768	0.0239579	0.0188587	0.0196478	0.0243402	0.0219941	0.0306445	0.0187139	0.0116598	0.0100134	0.0211605	0.0338237	0.039767	0.0335137	0.0661298	0.0351497	0.0340964	0.0604785	0.062632	0.0728279	0.0502512
notable	0.0721877	0.0636397	0.0658466	0.064261	0.0337383	0.0392815	0.0645048	0.0257174	0.0270458	0.0311173	0.0323788	0.0687724	0.0357227	0.0452877	0.0349074	0.0353433	0.0148433	0.0156468	0.0227954	0.0221776	0.022494	0.0239879	0.0316508	0.0265964	0.0390934	0.0409622
a	0.058675	0.0579146	0.0646823	0.0619515	0.0355133	0.0355464	0.024974	0.0358339	0.0354069	0.0332653	0.0500805	0.0448187	0.0363757	0.0357345	0.0319884	0.0213715	0.0103731	0.0207839	0.021529	0.0230919	0.0433225	0.0299202	0.0453285	0.0336459	0.0280993	0.0797733
porté	0.0605617	0.0556204	0.0576589	0.0539037	0.0461259	0.0449158	0.034023	0.0310464	0.0294944	0.0294846	0.0263798	0.0414392	0.0264201	0.0297611	0.0296339	0.0303879	0.0212477	0.0152019	0.029518	0.0221049	0.0411257	0.0412694	0.0706226	0.0410702	0.0338491	0.0571336
le	0.0552086	0.0342151	0.0289345	0.0284273	0.0261843	0.0258632	0.0192486	0.0174165	0.0176873	0.0130775	0.0127148	0.0189883	0.0130153	0.0135581	0.0234433	0.0274745	0.0372833	0.0268613	0.0460142	0.0535247	0.062539	0.0669865	0.114086	0.080567	0.0482992	0.088382
gros	0.0688825	0.0378225	0.0305231	0.0305529	0.0307818	0.0230576	0.0202493	0.0223197	0.0267358	0.0249181	0.0217724	0.0339132	0.0221728	0.0196151	0.0234187	0.0218583	0.0182122	0.0201935	0.0336951	0.0380691	0.0636966	0.0695438	0.0995957	0.0813505	0.0540304	0.0630193
pagne	0.0568854	0.038114	0.0315327	0.0274765	0.0319037	0.0293282	0.0221153	0.0170071	0.0110873	0.00620002	0.00500004	0.00648894	0.00637846	0.00795359	0.00998841	0.0143615	0.0166664	0.016823	0.0399094	0.0422891	0.0631434	0.0780609	0.122346	0.106961	0.0670706	0.124909
aux	0.0573375	0.0347788	0.0290241	0.0262574	0.0311733	0.0309007	0.0240268	0.0139376	0.00989874	0.00796845	0.00706648	0.00887005	0.0080189	0.00783045	0.0125373	0.0173488	0.0228451	0.0231686	0.0492673	0.0510404	0.0506372	0.0716031	0.120128	0.102635	0.0655408	0.116159
bordures	0.0591946	0.0283512	0.0254179	0.0258526	0.0303741	0.0267066	0.0232584	0.0181821	0.0137601	0.0116656	0.00960973	0.0103408	0.0107579	0.00967795	0.00971762	0.0123316	0.0176997	0.0256758	0.0363189	0.0499274	0.040884	0.0444219	0.0894659	0.115271	0.104031	0.151106
rouges	0.0407747	0.0135212	0.0117569	0.0127232	0.0137207	0.0142653	0.0090017	0.0124762	0.00912138	0.0091809	0.00652503	0.00812927	0.0100508	0.0127384	0.020013	0.0233882	0.0301349	0.0360561	0.0446584	0.0590843	0.0484724	0.0495045	0.0880599	0.120874	0.0707218	0.225047
</S>	0.0247975	0.0137605	0.013117	0.0136634	0.0120603	0.00999022	0.00604132	0.00432921	0.00409098	0.00436926	0.0039193	0.00474694	0.00609975	0.00591705	0.0126344	0.022032	0.0360553	0.0495186	0.0510311	0.0897275	0.0519518	0.0580874	0.0926315	0.121298	0.0867419	0.201388
