 	a66	a97	a87	a23	a97	a99	a13	a50	a62	a96	a43	a94	a96	a35	a94	a90	a25	a98	a6	a0	a75	a5	a37	a93	a4	a13	a50	a75	a5	a36	a94	a36	a2	a57	a87	a23	a99	a87	</S>
je	0.0372955	0.028513	0.032504	0.0241597	0.0318869	0.0283305	0.0373852	0.0160458	0.021489	0.00945762	0.0245474	0.0243878	0.0249239	0.0177002	0.025336	0.0102943	0.0142494	0.0293576	0.019786	0.0154208	0.0275397	0.0407217	0.0252869	0.0445258	0.0300835	0.0200033	0.0235943	0.0485213	0.0191901	0.024903	0.0286385	0.0192418	0.0133234	0.0245642	0.0292829	0.0235674	0.0197721	0.0255853	0.0385845
me	0.0324305	0.0261901	0.0190464	0.0297116	0.0202459	0.0119691	0.0177396	0.0338304	0.0184441	0.0163391	0.017041	0.0223339	0.0218941	0.0313235	0.0370969	0.0324268	0.0387054	0.0315111	0.0246736	0.0361953	0.0186491	0.0308478	0.0397418	0.0288875	0.0335679	0.0227242	0.013154	0.0164899	0.0153731	0.0198548	0.0239698	0.0239837	0.0226608	0.0246875	0.0231723	0.0270488	0.0358885	0.0251459	0.0350043
suis	0.0510834	0.0236401	0.0150628	0.019724	0.012338	0.010976	0.0188755	0.0342036	0.0207063	0.0209208	0.0193911	0.0315273	0.0280491	0.0232876	0.0196979	0.0211102	0.026991	0.0265821	0.0175599	0.0290728	0.0226808	0.0180347	0.0202002	0.0174345	0.00721736	0.0097881	0.00655271	0.0149192	0.0232507	0.0240107	0.0290257	0.0320113	0.0292737	0.0345934	0.0445185	0.0495561	0.0431274	0.0582394	0.0447659
abrité	0.0276214	0.0291212	0.0462781	0.0280955	0.0443034	0.0236639	0.0287479	0.0190817	0.0220999	0.0296149	0.0172757	0.0129147	0.0137295	0.0145536	0.0214038	0.0416634	0.0381521	0.0401805	0.0449297	0.0424233	0.0443273	0.0289888	0.0433404	0.0258707	0.066511	0.0543505	0.0403445	0.0178177	0.0164621	0.00808153	0.00715665	0.00820667	0.00528277	0.00635262	0.00951274	0.00754751	0.00679736	0.00608396	0.0111111
de	0.0630988	0.0564636	0.0523885	0.0455655	0.0488174	0.0473195	0.0462608	0.030869	0.0340024	0.0244096	0.0306247	0.0181463	0.0205188	0.0154689	0.0149353	0.0164433	0.0150619	0.014996	0.0186759	0.0201215	0.0228114	0.01554	0.0118798	0.011349	0.0118735	0.0220421	0.029491	0.0220932	0.0198467	0.0202975	0.0244877	0.0197252	0.0148534	0.0169007	0.0178016	0.0174632	0.0158059	0.014777	0.0367731
la	0.0248672	0.0175694	0.0242601	0.0165489	0.0190214	0.00913292	0.0120987	0.0178452	0.0159794	0.0155942	0.0222488	0.0180781	0.019886	0.0153975	0.012316	0.0119613	0.0135775	0.0176133	0.0115426	0.0119735	0.0110824	0.0117339	0.0235458	0.0165885	0.0451334	0.0197535	0.0364192	0.0271822	0.0567475	0.066332	0.081332	0.0750582	0.0572375	0.0408181	0.0289074	0.025115	0.0174406	0.0163839	0.0156773
pluie	0.0644231	0.0426011	0.0348616	0.0300427	0.0286589	0.0144246	0.0278109	0.0256653	0.0238842	0.0136846	0.0308409	0.0162328	0.0206297	0.00956122	0.018149	0.0112493	0.0134796	0.0260048	0.018564	0.0189901	0.0175448	0.0158202	0.0127709	0.0130654	0.0202262	0.017447	0.0201511	0.0273827	0.0268237	0.0326344	0.0409229	0.0444515	0.0447838	0.0344424	0.0357986	0.0341285	0.0340696	0.0248509	0.0129267
dans	0.103318	0.0550479	0.0302636	0.0340705	0.0301198	0.0097521	0.0269147	0.0219703	0.00962194	0.00586798	0.0198504	0.020141	0.0182115	0.0089802	0.0128874	0.00660007	0.00515127	0.0095515	0.00687885	0.00591801	0.00535237	0.00449924	0.00729911	0.00557167	0.00931139	0.00463781	0.0125156	0.0127591	0.029816	0.0298007	0.0389404	0.0696142	0.063789	0.0291703	0.0366423	0.0321064	0.0631769	0.0372391	0.0666415
la	0.10954	0.0456919	0.0169148	0.0223743	0.0169935	0.00773114	0.0141536	0.0123646	0.00694952	0.0050798	0.0109526	0.0101387	0.0105637	0.0047638	0.00725273	0.00374326	0.00320883	0.00744868	0.00486665	0.00455727	0.00410349	0.00205607	0.00198363	0.00231161	0.00280141	0.00414406	0.0164328	0.0179685	0.0339996	0.0288602	0.0456306	0.0445611	0.0396584	0.0367935	0.0540954	0.0594204	0.0979556	0.0781623	0.103772
maison	0.0810408	0.0378672	0.0167603	0.0185059	0.0125178	0.009069	0.0211386	0.0151117	0.00803943	0.00741283	0.0171151	0.0201942	0.0202555	0.00600794	0.0073222	0.00369084	0.00388486	0.0109488	0.0078185	0.0134109	0.0180503	0.0102993	0.0115323	0.0108727	0.0125391	0.0123241	0.0284197	0.0281334	0.0351822	0.0384648	0.0549128	0.0569006	0.043832	0.0439756	0.066316	0.0552464	0.0508671	0.041359	0.0426605
de	0.0964575	0.0381838	0.0228321	0.0205698	0.0193156	0.0109589	0.0324164	0.0246316	0.0170678	0.00483675	0.0194514	0.0224454	0.0225596	0.00985636	0.0128681	0.0100604	0.00862262	0.015921	0.00656804	0.00785525	0.0131079	0.00851214	0.00682983	0.00889171	0.00461019	0.00831245	0.0167234	0.0264047	0.0403204	0.031125	0.0327734	0.0482616	0.0273349	0.0431467	0.0583786	0.0532466	0.0436217	0.0832513	0.0216689
mon	0.0850818	0.0318481	0.0152903	0.0158167	0.0143131	0.00648061	0.0213663	0.0192291	0.0108462	0.0024596	0.010332	0.0109321	0.0127371	0.00515285	0.00779762	0.00743678	0.00715653	0.0158784	0.00793366	0.00725922	0.0107919	0.00559725	0.00847944	0.0124458	0.00889563	0.0119277	0.0250523	0.0406836	0.0430381	0.0377109	0.0449598	0.0549512	0.0315844	0.0484137	0.0674929	0.0642816	0.0559603	0.0828517	0.0295339
ami	0.0437866	0.0268447	0.0200633	0.0226278	0.0241278	0.0166182	0.0300071	0.0254407	0.0219425	0.0185165	0.0238853	0.0240619	0.021009	0.0125358	0.0196401	0.0214218	0.0229348	0.0322758	0.0251413	0.0252633	0.0379381	0.0256469	0.0227179	0.0246587	0.0106093	0.0113759	0.01848	0.0217306	0.0272577	0.0249356	0.0231438	0.0337125	0.0295926	0.0258659	0.0571878	0.0305687	0.0338891	0.0456713	0.0168733
</S>	0.0490797	0.0203931	0.0121396	0.0121636	0.0116647	0.00642359	0.0153678	0.0127361	0.00932204	0.00277406	0.00883164	0.0125819	0.0114695	0.00575407	0.00691164	0.00651584	0.00484938	0.00734154	0.00276816	0.00408635	0.00690337	0.0040643	0.00451196	0.0076912	0.00427688	0.00494549	0.0148164	0.0229899	0.0350168	0.0303703	0.0315328	0.0559448	0.0498998	0.0496703	0.0796666	0.0748517	0.0954201	0.0874153	0.116838
