 	a66	a87	a10	a87	a23	a4	a57	a13	a93	a96	a90	a25	a56	a75	a21	a5	a21	a5	a61	a47	a43	a75	a92	a37	a61	a62	a83	a75	a36	a27	a82	a87	a23	a99	a3	a99	a97	a87	a97	a87	a23	a87	</S>
qui	0.0185137	0.0261064	0.0289016	0.038778	0.0471294	0.0506199	0.0315407	0.0175403	0.0225945	0.0271672	0.0225895	0.0179349	0.0207732	0.0276458	0.0226927	0.0108423	0.00920658	0.00680362	0.00526848	0.00642593	0.00449102	0.00584671	0.00410172	0.00430087	0.00463616	0.00558393	0.0140246	0.0138342	0.0196389	0.0250024	0.0457115	0.0396964	0.0260902	0.0398638	0.0446923	0.0459114	0.02889	0.0287283	0.0344094	0.028142	0.0223566	0.0152056	0.0397672
parmi	0.019151	0.0138763	0.0147478	0.0168499	0.022747	0.0436767	0.0500583	0.0508892	0.077635	0.0656674	0.0389602	0.0198593	0.0368776	0.0321268	0.0152786	0.00705916	0.0080123	0.00407857	0.00738456	0.00563637	0.0139304	0.00854126	0.00964214	0.00856288	0.0102135	0.0186423	0.0169945	0.0175509	0.0214975	0.0227122	0.0222961	0.0205588	0.0220558	0.020829	0.0279255	0.024914	0.0255947	0.0240642	0.0215007	0.0217838	0.0304771	0.0222193	0.0169213
vous	0.0533116	0.0403851	0.0535278	0.0537145	0.0487092	0.0639653	0.0499852	0.0535353	0.0727749	0.0523988	0.0307665	0.0210295	0.0203758	0.0249343	0.0241991	0.0180628	0.0188111	0.0103632	0.0134659	0.00923219	0.0116467	0.0098234	0.00888069	0.00452901	0.00429228	0.0046403	0.00407397	0.00405257	0.0105708	0.00853318	0.0107147	0.0100612	0.0086718	0.00925717	0.0121358	0.0112869	0.0136246	0.0106673	0.0142644	0.0147089	0.0262822	0.0270471	0.026687
a	0.0799489	0.0755678	0.0457523	0.0364777	0.0253396	0.0151027	0.0214233	0.0342391	0.0409115	0.0243572	0.0217707	0.0266916	0.0217847	0.0226138	0.0205736	0.0175533	0.0164706	0.0166192	0.0158101	0.0192957	0.0270561	0.0191505	0.027039	0.0191228	0.0172966	0.0167347	0.0138775	0.011165	0.0165804	0.0153691	0.0177169	0.0115837	0.0127762	0.00764749	0.0134416	0.00983863	0.0144116	0.011191	0.0149929	0.0156619	0.0292456	0.0308936	0.0289038
laissé	0.0683203	0.0596791	0.0347571	0.0405572	0.0219599	0.0152936	0.0193097	0.027875	0.0373183	0.031396	0.0436242	0.0465606	0.0395113	0.0381153	0.0307559	0.0197234	0.0166131	0.0106905	0.00889938	0.0074098	0.0120166	0.00997066	0.0149973	0.0132714	0.0133113	0.0166766	0.0167749	0.0106681	0.0127487	0.010986	0.01066	0.00617995	0.00983581	0.00639937	0.0111681	0.0117642	0.0141061	0.0137261	0.0297007	0.0199229	0.0346199	0.0496889	0.032437
l'	0.0462302	0.0247582	0.0134996	0.0128847	0.0181495	0.00942057	0.00495749	0.00932035	0.0102584	0.0149053	0.0362474	0.0148639	0.0143551	0.0157691	0.0117931	0.00678016	0.010117	0.00770933	0.00939599	0.00646163	0.00681843	0.0142063	0.0150558	0.0366264	0.0581059	0.0911525	0.0700021	0.0560764	0.0513246	0.0408388	0.0519772	0.0223638	0.0398897	0.0159688	0.0216859	0.0120448	0.019939	0.00863037	0.0144086	0.0157063	0.0210042	0.0115378	0.00675953
argent	0.0340081	0.0181794	0.00866321	0.00700121	0.00819403	0.00546014	0.00496018	0.00799557	0.0109647	0.00813857	0.0151321	0.00652469	0.00430739	0.00696657	0.00663343	0.00510738	0.0077819	0.0055584	0.00754481	0.00336291	0.00412068	0.00627065	0.00932951	0.0124379	0.0234304	0.0351506	0.0493911	0.0427116	0.0572818	0.0741929	0.0997521	0.0454289	0.0773119	0.0406486	0.070565	0.023241	0.0421947	0.0138207	0.0284882	0.0208263	0.0175504	0.017561	0.00580931
pour	0.0482735	0.0228828	0.0221472	0.0261897	0.0244574	0.0266867	0.023562	0.0214723	0.0126623	0.00484063	0.00782317	0.00797761	0.00583443	0.00678546	0.00594108	0.0041901	0.00332034	0.00304058	0.00249596	0.00216666	0.00230672	0.00183237	0.00193292	0.00251968	0.00358487	0.00712024	0.0215502	0.0116609	0.0245623	0.0387158	0.0489115	0.0524803	0.0509656	0.0305581	0.0502201	0.062589	0.0544925	0.0329772	0.0741948	0.035501	0.0585633	0.0331113	0.0168994
les	0.064149	0.0497717	0.0529896	0.0481964	0.0376098	0.0235934	0.0192195	0.0134668	0.0113345	0.00865899	0.00894628	0.00697904	0.00624718	0.00792459	0.00763842	0.00584776	0.00419204	0.00469716	0.00584695	0.00528254	0.00782066	0.00579515	0.00744134	0.00499868	0.00541194	0.00886475	0.0155527	0.00650867	0.0121796	0.0161058	0.0251685	0.0300158	0.0261091	0.0219234	0.0483015	0.0623394	0.0423187	0.0330176	0.0616004	0.0289811	0.053034	0.0558712	0.0280484
courses	0.0750345	0.0360397	0.0184501	0.0167854	0.00937509	0.0104307	0.00807024	0.013255	0.00955167	0.00611779	0.0177141	0.0160046	0.0132837	0.0151436	0.0145947	0.00876354	0.0131406	0.00928847	0.00779536	0.0103483	0.0196211	0.0159596	0.0119612	0.0115539	0.0129376	0.0193263	0.0294373	0.0156138	0.027576	0.0272246	0.0262215	0.0227529	0.0272339	0.0175036	0.0260889	0.0346161	0.0403224	0.0286668	0.0553486	0.0386424	0.0590171	0.0725118	0.0306753
