 	a23	a87	a10	a87	a23	a83	a93	a90	a98	a85	a37	a66	a62	a21	a85	a7	a98	a85	a37	a98	a85	a37	a66	a62	a21	a6	a36	a2	a57	a10	a24	a61	a75	a25	a92	a37	a21	a47	a62	a93	a13	a83	a44	a57	a87	a23	a87	a23	a87	</S>
ingobha	0.0211468	0.0297716	0.0213748	0.0248646	0.0276567	0.0261148	0.0268627	0.0525458	0.0351971	0.0336584	0.0475265	0.0976823	0.0890673	0.0575379	0.0436758	0.025993	0.0125822	0.0111696	0.0061925	0.00818219	0.0096311	0.00817651	0.00788597	0.00841605	0.0109097	0.0115484	0.0114752	0.0143653	0.0171403	0.00967166	0.00787665	0.0121141	0.00779258	0.0088534	0.00978996	0.0110821	0.00952256	0.0138867	0.0105037	0.00829025	0.00705205	0.00858773	0.0069008	0.00771026	0.00803779	0.00702825	0.0082671	0.00982337	0.0093396	0.0195184
haït	0.00902212	0.00624582	0.00677807	0.00963112	0.0127615	0.0134318	0.013044	0.0171868	0.0143988	0.0103132	0.0155649	0.00923624	0.019151	0.0220804	0.0266647	0.0146499	0.030324	0.0195188	0.0202692	0.0306579	0.0298263	0.029341	0.0537085	0.0402692	0.0639279	0.0478277	0.0283384	0.0401559	0.0329043	0.0269138	0.0184465	0.00901565	0.0065376	0.00984204	0.00927316	0.007769	0.00787193	0.0108705	0.0150532	0.0182247	0.0167987	0.0161998	0.0134281	0.0138253	0.0175449	0.023645	0.0206958	0.0172826	0.0238726	0.00966003
les	0.013912	0.00956399	0.00563725	0.00539207	0.00849023	0.00812717	0.00762065	0.0256097	0.0180449	0.0143473	0.022543	0.0123552	0.0168076	0.0118606	0.0143127	0.0102172	0.0215131	0.0176545	0.0218243	0.0229883	0.0313891	0.0427754	0.02392	0.0277389	0.023994	0.0312459	0.0427961	0.0357271	0.0255734	0.0234684	0.0152248	0.00875702	0.00493687	0.010543	0.00388249	0.00479432	0.00534274	0.00498428	0.00699565	0.0240418	0.0243417	0.0254382	0.0250864	0.0412807	0.0364647	0.0373554	0.0352748	0.0280534	0.0344654	0.0252866
enfants	0.0825555	0.0637326	0.0360844	0.0251888	0.0177794	0.00939898	0.00407936	0.0138567	0.00808122	0.00476047	0.00688018	0.00209431	0.00302199	0.00457482	0.00353907	0.00395159	0.00501038	0.00540384	0.00682476	0.00669243	0.00594014	0.00822142	0.0088949	0.0125114	0.00838005	0.00796339	0.0104757	0.0101862	0.011479	0.00992821	0.00967462	0.0101594	0.0161632	0.0127606	0.0205138	0.0412175	0.0359732	0.026405	0.0163432	0.0120913	0.0296491	0.0310773	0.0290773	0.0423624	0.0489002	0.044345	0.048378	0.0360665	0.0393331	0.0420182
des	0.0548841	0.0405778	0.0235855	0.0158771	0.0148571	0.00968856	0.00279442	0.021111	0.00852546	0.00628787	0.00641688	0.00412531	0.00901529	0.00864697	0.00811905	0.0121493	0.00982851	0.0188086	0.0322669	0.0212642	0.0176417	0.0327834	0.0311428	0.049701	0.0270623	0.0258987	0.0316849	0.0231195	0.0164042	0.0101188	0.0101214	0.0112169	0.0137429	0.0120602	0.012783	0.0185505	0.0167891	0.0142336	0.00802111	0.00690643	0.00887004	0.00927367	0.00886134	0.0212909	0.028834	0.0353283	0.0431333	0.0411025	0.0391512	0.0453423
autres	0.0366903	0.025736	0.0236453	0.0246651	0.0268916	0.0263595	0.0139896	0.0256807	0.0193237	0.0126177	0.0102501	0.00527918	0.0117938	0.015456	0.0118604	0.0123206	0.0128674	0.0189761	0.0149102	0.0266063	0.0233716	0.0351816	0.0293773	0.0305762	0.0164755	0.0244106	0.0278015	0.0183225	0.0177566	0.0253408	0.0253939	0.0166999	0.0119346	0.0126994	0.0116634	0.0132911	0.014317	0.0124639	0.0120492	0.0118486	0.0120182	0.0152324	0.0161402	0.0254861	0.0224784	0.0247537	0.0276069	0.0251561	0.0286537	0.0355794
parce	0.0639184	0.0439715	0.0223771	0.0132269	0.0146025	0.0106012	0.0068291	0.0187554	0.016181	0.0146147	0.012108	0.0211258	0.0160213	0.020778	0.0209414	0.0187714	0.0272388	0.0383065	0.0464106	0.0659803	0.0465294	0.0753185	0.0683321	0.0604845	0.0271052	0.0134567	0.0165448	0.00551454	0.00742303	0.00803136	0.00739784	0.00566427	0.00779173	0.0103486	0.00629407	0.0168275	0.0102759	0.0093861	0.00591192	0.0045802	0.00925875	0.00587668	0.00596597	0.00650042	0.00552142	0.00661081	0.00881407	0.00578134	0.00813992	0.0115524
qu'	0.0503678	0.0225688	0.0124825	0.0108437	0.012694	0.00936372	0.00734388	0.016809	0.0121544	0.0117052	0.00993328	0.0107621	0.0160999	0.0213226	0.0347597	0.0280126	0.0276254	0.0267391	0.0411802	0.0428741	0.0452339	0.0438716	0.05523	0.0490561	0.0426225	0.0223668	0.0203495	0.0179857	0.0147348	0.0192885	0.0159269	0.0098835	0.00871097	0.0152393	0.00797854	0.0061408	0.00385217	0.00427493	0.00266031	0.00490615	0.00510216	0.00714294	0.00578923	0.0119276	0.0122647	0.0208401	0.0279578	0.0269304	0.0341546	0.0119354
elle	0.0778334	0.0355715	0.0187655	0.0114509	0.0146213	0.0138407	0.0104557	0.0183188	0.0146579	0.00882901	0.0108659	0.00927118	0.0178162	0.0130773	0.0172166	0.0127949	0.0209512	0.0167752	0.0162168	0.0218357	0.0260506	0.0190394	0.0277468	0.0253074	0.0292042	0.0220644	0.0232641	0.0162344	0.0140598	0.0256719	0.0228709	0.015747	0.0191801	0.0358562	0.0287377	0.0244207	0.0201546	0.0207623	0.00568614	0.0109407	0.00842901	0.0111983	0.0098093	0.0127729	0.0171305	0.020927	0.0263921	0.0273531	0.0326959	0.0191268
est	0.0414501	0.0399266	0.0294323	0.017076	0.0162366	0.0158251	0.0182375	0.00911752	0.00785001	0.00301808	0.00319679	0.00393186	0.00760888	0.00588054	0.00639219	0.00478593	0.00677088	0.00516846	0.0066282	0.00945177	0.0132611	0.0105538	0.017775	0.0193569	0.0250363	0.029365	0.0313382	0.032169	0.0315494	0.053389	0.0373969	0.0222458	0.0336831	0.050422	0.0294542	0.0208873	0.0250817	0.012815	0.00327702	0.00626625	0.00772785	0.00943003	0.0120865	0.0160494	0.0218064	0.0282255	0.0372098	0.0316106	0.0364071	0.0361385
