 	a66	a87	a10	a97	a3	a79	a12	a96	a88	a18	a62	a47	a62	a21	a12	a18	a21	a85	a92	a79	a44	a56	a75	a21	a47	a88	a71	a9	a3	a97	a79	a53	a93	a54	a37	a44	a93	a70	a83	a30	a13	a24	a83	a38	a3	a97	a99	a97	</S>
la	0.045109	0.0231469	0.0244284	0.0105461	0.012898	0.0219053	0.012707	0.0165822	0.0336249	0.0128448	0.0164699	0.0243472	0.0173324	0.0280672	0.0109923	0.0159593	0.0204978	0.0137552	0.0110419	0.00511723	0.00562654	0.00778097	0.00733221	0.00669006	0.00912862	0.0111748	0.0150229	0.021713	0.0238381	0.089908	0.0481333	0.0254118	0.0250135	0.0169355	0.0125263	0.0179723	0.0231822	0.0150986	0.0197683	0.0185102	0.0257515	0.0226045	0.0259308	0.0206171	0.0221622	0.0170759	0.021499	0.0169436	0.0292751
manière	0.00389852	0.00687233	0.014283	0.0070436	0.00644429	0.0110569	0.00727802	0.00764079	0.028914	0.0242691	0.0139984	0.0112052	0.0190628	0.0223498	0.0326148	0.0492554	0.0475147	0.0648806	0.057896	0.0290686	0.0286712	0.0657413	0.0344881	0.0398614	0.039233	0.0199847	0.0329168	0.021698	0.0682549	0.0540586	0.0282008	0.0231719	0.00894584	0.00740383	0.00968016	0.00886699	0.00569718	0.0077979	0.00554572	0.00244861	0.00532951	0.00146026	0.00170427	0.000873445	0.00127174	0.00383903	0.0015537	0.00355596	0.00219819
dont	0.100252	0.0878143	0.0417305	0.0242841	0.00894875	0.00952592	0.00743976	0.00742285	0.0194794	0.0194979	0.0076607	0.0240807	0.0109536	0.0151339	0.0177209	0.0168162	0.021992	0.0296004	0.0175009	0.0260835	0.0406913	0.0201323	0.0403108	0.0453063	0.0390371	0.0264867	0.0125335	0.0107066	0.0132132	0.00584536	0.00706211	0.00379945	0.00877248	0.0084987	0.00997637	0.0125721	0.00743287	0.0106826	0.0121473	0.00716967	0.0163227	0.0125952	0.0100676	0.012344	0.0131935	0.0247499	0.0246127	0.0191334	0.0106656
coule	0.0502364	0.028999	0.0348217	0.027958	0.0129815	0.00942459	0.00978399	0.015145	0.0198676	0.0191556	0.00750632	0.0177758	0.0113802	0.00851928	0.00961214	0.00875126	0.00883688	0.021982	0.0104692	0.0229212	0.0244771	0.0104725	0.0163056	0.040335	0.0404192	0.126655	0.0256087	0.0393007	0.0154627	0.0165275	0.0154708	0.0147372	0.0150815	0.0140543	0.00786545	0.0126319	0.0166201	0.0185579	0.018405	0.0143568	0.0199335	0.0156631	0.0106605	0.0106315	0.0140124	0.0227718	0.0222237	0.019719	0.00491202
de	0.0305844	0.0173851	0.0086533	0.00533841	0.002377	0.00247085	0.00251636	0.00272323	0.00380053	0.00723672	0.00442314	0.00536677	0.00628468	0.0057987	0.00849	0.0105383	0.0117903	0.0082997	0.0113101	0.0236233	0.053933	0.0468468	0.0581409	0.054555	0.0862675	0.107244	0.0439019	0.0347344	0.013688	0.0106031	0.0150825	0.0135003	0.00871873	0.00991356	0.022033	0.0356331	0.0370033	0.0215095	0.018571	0.00910772	0.0158914	0.0105416	0.00890324	0.0102705	0.0140741	0.0194185	0.0217643	0.00895341	0.010185
l'	0.0344722	0.0223639	0.0229355	0.0143951	0.00731569	0.00736045	0.00508075	0.00953715	0.0147891	0.0122401	0.00470701	0.0115154	0.00836547	0.0108504	0.00429558	0.00932512	0.0097376	0.0118673	0.0137895	0.0136471	0.03083	0.0181495	0.0179379	0.027262	0.0308068	0.0774542	0.0462164	0.0517995	0.0290349	0.0347374	0.0704781	0.0440824	0.0444302	0.0223792	0.01837	0.0260777	0.0613316	0.0308569	0.0220652	0.00814327	0.0095012	0.00195416	0.00204892	0.00190796	0.00278424	0.00660169	0.00690974	0.00518995	0.00206868
huile	0.0414242	0.0317717	0.0223361	0.0120945	0.0108295	0.00936017	0.00613541	0.00997693	0.0119507	0.00663424	0.00861219	0.015666	0.0216924	0.0107957	0.00450969	0.00886305	0.00630173	0.0104186	0.0095064	0.0124898	0.0248195	0.015285	0.0209125	0.0290128	0.027666	0.0428419	0.0291976	0.0341244	0.0168556	0.0186678	0.0357472	0.0136066	0.0313871	0.0305112	0.0409027	0.0355829	0.0670258	0.0290899	0.0215399	0.0216552	0.0165017	0.0129393	0.011853	0.0135905	0.0156345	0.0206431	0.017495	0.0253839	0.00815822
la	0.04084	0.0358141	0.0404796	0.0257277	0.0274744	0.021733	0.0173344	0.0229384	0.0125581	0.0117177	0.0125207	0.0273786	0.0136583	0.0126243	0.0122461	0.00886085	0.0115019	0.0122774	0.00930216	0.0110056	0.0195033	0.0153377	0.0153649	0.0210147	0.0190131	0.0420046	0.0233202	0.0177121	0.0106604	0.0134207	0.0284715	0.00836099	0.0209214	0.0137952	0.0253949	0.0265929	0.0578316	0.0217778	0.0134086	0.0112603	0.0121283	0.0112955	0.0166919	0.0164235	0.0248491	0.0290312	0.0264733	0.0411531	0.00879393
bouteille	0.0235263	0.0187808	0.0194501	0.0111527	0.0144471	0.0174633	0.0102574	0.0155803	0.00959477	0.00583959	0.00532543	0.00742977	0.00825786	0.0150922	0.00752022	0.00821383	0.0137132	0.00997344	0.0101441	0.0157661	0.0225817	0.0161535	0.0158335	0.0200991	0.0178491	0.0285835	0.0157498	0.0196404	0.00789163	0.0150547	0.0190737	0.00515846	0.0106396	0.00990983	0.0166953	0.0166199	0.0229865	0.0134301	0.0175985	0.0325196	0.0231	0.0390885	0.0567768	0.0492062	0.0556883	0.0501265	0.048734	0.0551299	0.0305526
s'	0.0452601	0.0237788	0.0162043	0.00654503	0.0067455	0.00874829	0.0103175	0.00996467	0.0114496	0.0117677	0.00518261	0.00674942	0.0068831	0.0109493	0.00939727	0.00672022	0.0146456	0.00818613	0.00881674	0.0120595	0.0132105	0.00763676	0.00859122	0.0133864	0.0120733	0.0257211	0.014764	0.00828541	0.00416482	0.00492861	0.011928	0.00371653	0.00917946	0.0224081	0.0344955	0.052636	0.0248165	0.029588	0.0456358	0.0489163	0.0544924	0.0373072	0.0390903	0.0346455	0.0416772	0.0509152	0.0364114	0.0305317	0.0384755
