 	a87	a23	a87	a40	a73	a94	a38	a73	a94	a76	a73	a32	a75	a94	a75	a73	a20	a41	a27	a38	a93	a13	a38	a24	a98	a50	a24	a9	a87	</S>
on	0.0493547	0.0624116	0.073676	0.133408	0.0826261	0.0428833	0.039708	0.0343398	0.012662	0.0157186	0.0273079	0.0394483	0.0215137	0.0152976	0.0204061	0.0394606	0.0123589	0.0109268	0.0136013	0.0118835	0.0140874	0.035326	0.0328603	0.0240469	0.0213527	0.0159103	0.0122141	0.0119426	0.0097274	0.0635393
l'	0.00722271	0.00435584	0.00550418	0.0232121	0.0385738	0.0418735	0.0571884	0.0428281	0.048106	0.0280156	0.0360384	0.0248546	0.0313329	0.0292505	0.0338794	0.0272269	0.0174898	0.0216647	0.0280753	0.0211255	0.0441489	0.0620228	0.0522996	0.0553612	0.0463174	0.0505541	0.0403393	0.0264645	0.0312675	0.0234061
a	0.0980539	0.0500109	0.0246871	0.0215442	0.0190609	0.0215075	0.0257542	0.0263539	0.024905	0.032009	0.0395588	0.0509633	0.0322142	0.0166107	0.0123741	0.0100847	0.00248406	0.00280487	0.00391399	0.00292968	0.0106771	0.00821264	0.0134486	0.0182337	0.0353525	0.040572	0.036068	0.063067	0.125627	0.130916
grondé	0.0241512	0.041646	0.0534314	0.0128731	0.00876412	0.00973754	0.0141078	0.0217899	0.0178927	0.0234197	0.0371686	0.0378584	0.0509376	0.0716519	0.118016	0.0910194	0.162154	0.0458139	0.034556	0.0155392	0.0151586	0.0140643	0.00894439	0.00821222	0.00959895	0.00736854	0.00850969	0.0110226	0.00908065	0.0155122
car	0.0854945	0.0588174	0.0482149	0.0184473	0.0166356	0.014015	0.0104852	0.0174807	0.0126494	0.0185691	0.0147448	0.0125943	0.023464	0.0136697	0.0318711	0.027814	0.0143831	0.0047381	0.00346858	0.00270446	0.00317701	0.00629817	0.00812154	0.0218795	0.0639346	0.0368774	0.0662396	0.086106	0.114959	0.142145
il	0.0670544	0.0339592	0.0285126	0.0213031	0.0124172	0.0146929	0.0168735	0.0151303	0.0133415	0.0231302	0.020567	0.019285	0.0181581	0.0158703	0.0144189	0.0279211	0.0191579	0.0298183	0.0355397	0.0321295	0.0226438	0.0283231	0.0221183	0.0359806	0.0435105	0.0659969	0.0791589	0.0673273	0.075388	0.0802718
a	0.0215017	0.0190344	0.0146409	0.0160784	0.0165819	0.0188215	0.0261391	0.020175	0.0207828	0.0318307	0.0463028	0.0406281	0.0457288	0.0483216	0.0344232	0.0372162	0.0197495	0.0268479	0.0119037	0.017406	0.0292671	0.0324671	0.0234311	0.0388718	0.0406612	0.0626178	0.0655213	0.0645674	0.0690808	0.0393999
fait	0.0172346	0.0106043	0.00726847	0.00445488	0.00455416	0.00499575	0.00685859	0.00632439	0.00840794	0.00978806	0.014748	0.0136776	0.0130997	0.0124485	0.00994657	0.0132994	0.00878868	0.021623	0.0227713	0.0622721	0.0328951	0.0574343	0.0544715	0.0972278	0.0695612	0.0911581	0.0759493	0.0894407	0.0887888	0.0699072
une	0.0207422	0.013289	0.00677923	0.00315492	0.00332524	0.00315533	0.00408262	0.00371327	0.00884754	0.00798525	0.014224	0.0106718	0.00908301	0.0100943	0.00770511	0.0179725	0.00490954	0.00930747	0.0170887	0.0604773	0.0660062	0.102078	0.0936065	0.0993252	0.0562693	0.0782502	0.046964	0.0715345	0.0678914	0.0814662
bêtise	0.0283191	0.022447	0.0149453	0.00513156	0.00363631	0.00256929	0.00332084	0.00300261	0.00569953	0.00720289	0.011037	0.0112738	0.00776761	0.00958898	0.0109373	0.0141015	0.00615517	0.0102703	0.0252152	0.0509104	0.0468213	0.092388	0.0833577	0.0885187	0.0495109	0.0769626	0.0523897	0.0723657	0.0649927	0.119161
</S>	0.0376577	0.0329824	0.0179268	0.00594633	0.0043128	0.0027483	0.003722	0.002589	0.00302976	0.00407448	0.0060021	0.00306433	0.00545154	0.0074219	0.0109233	0.00921557	0.00440904	0.00296441	0.00654249	0.00673045	0.017483	0.0651831	0.0416583	0.0615331	0.0492628	0.0741237	0.0673879	0.0747237	0.106715	0.264214
