 	a66	a87	a23	a30	a54	a47	a92	a37	a85	a6	a36	a21	a56	a92	a85	a6	a37	a66	a3	a97	a87	a23	a99	a97	</S>
le	0.0591747	0.0630112	0.0631778	0.0588494	0.0426706	0.0361294	0.0428343	0.037881	0.0486163	0.0526422	0.024451	0.0180761	0.00617279	0.00344905	0.00704148	0.0133803	0.0256459	0.0251184	0.0443969	0.0505256	0.0539898	0.0420164	0.0496823	0.0531499	0.0779171
guérisseur	0.011704	0.0229759	0.0204989	0.0316921	0.092484	0.224469	0.128231	0.114848	0.115773	0.0429404	0.0668334	0.026892	0.0524473	0.0112567	0.00695982	0.00305568	0.00236994	0.00382728	0.00308464	0.00202098	0.00165424	0.00281567	0.00211587	0.00456848	0.00448159
a	0.0447385	0.0522672	0.0598504	0.0601489	0.061054	0.074999	0.0627705	0.110179	0.0187011	0.0117736	0.00694753	0.00673721	0.00493937	0.00824747	0.00476544	0.0079269	0.011002	0.0111396	0.0145778	0.0215869	0.0181764	0.0818357	0.0488382	0.129343	0.0674542
préparé	0.0118071	0.00502698	0.00384837	0.00399824	0.00472413	0.0145356	0.00734125	0.033441	0.0560275	0.0759012	0.0541789	0.131253	0.0788039	0.102002	0.0359039	0.0702064	0.0619514	0.0483913	0.0301304	0.0233146	0.0223386	0.0220522	0.0208506	0.0275676	0.0544034
un	0.0515754	0.038318	0.0196384	0.0120154	0.00717965	0.00327456	0.00273676	0.00362881	0.00837756	0.0109301	0.0109743	0.0228873	0.0319286	0.029852	0.0551748	0.0742343	0.0790224	0.0478381	0.0552634	0.059295	0.0508514	0.0563838	0.0636965	0.0570743	0.147849
repas	0.0629737	0.029819	0.00882245	0.00753859	0.0057242	0.00768284	0.0099783	0.0173671	0.0489234	0.028075	0.0303076	0.0431767	0.0517421	0.0186594	0.0450471	0.0520079	0.0628188	0.0510377	0.0466629	0.0560886	0.0556584	0.063548	0.0781705	0.039649	0.0785206
pour	0.0249742	0.0140838	0.00812425	0.0104523	0.00721568	0.0063271	0.00740268	0.00731228	0.0166606	0.0178679	0.017432	0.0260932	0.0135258	0.0110093	0.0297708	0.0362157	0.0472132	0.0424662	0.0676828	0.0961962	0.0826642	0.0758733	0.0820217	0.0655417	0.185873
le	0.0210561	0.0149043	0.0122374	0.0160934	0.00965101	0.0139011	0.0197416	0.0276725	0.0389314	0.0349301	0.0329208	0.0344873	0.0204177	0.0180695	0.0257575	0.0304418	0.0438293	0.0451193	0.0743631	0.097207	0.0708494	0.049234	0.0589963	0.0695061	0.119682
délivrer	0.041177	0.0211116	0.0127993	0.00831155	0.00716139	0.00488912	0.00804748	0.0138769	0.00985961	0.00623121	0.00771345	0.00544901	0.0050931	0.0070397	0.00242588	0.00578436	0.0146523	0.0197356	0.0182541	0.0490161	0.0610002	0.11324	0.182835	0.179895	0.1944
d'	0.0207239	0.0165502	0.00733138	0.00786473	0.00532134	0.00468081	0.00800451	0.00991466	0.0163756	0.0157192	0.0195445	0.0195419	0.0142253	0.00799954	0.0129722	0.0170995	0.0321942	0.0331707	0.0637574	0.105715	0.101289	0.0930801	0.105795	0.0729772	0.188152
un	0.0196285	0.0161777	0.0111906	0.0110951	0.00718424	0.00848665	0.0129277	0.0138794	0.0221956	0.0197175	0.0209758	0.0259171	0.020019	0.0138857	0.0201662	0.023513	0.039988	0.0414302	0.0791622	0.0941543	0.0756176	0.057093	0.0830813	0.0565293	0.205984
démon	0.0279444	0.0220668	0.00931575	0.0102507	0.00656573	0.0113476	0.0138247	0.0128831	0.0259737	0.0284427	0.0252437	0.0352047	0.0273232	0.033691	0.0292861	0.0414722	0.0798991	0.074917	0.0730355	0.0899465	0.0760711	0.0714505	0.0533826	0.040355	0.0801069
</S>	0.0233108	0.0228911	0.0245764	0.0145126	0.0141554	0.0104207	0.0153566	0.0123082	0.0162272	0.0160446	0.02181	0.0361752	0.0380771	0.043353	0.0425569	0.0434677	0.0691734	0.0629521	0.0725612	0.0774872	0.0660181	0.059357	0.0629868	0.0570048	0.077216
