 	a66	a87	a23	a83	a24	a62	a21	a12	a43	a62	a96	a93	a56	a0	a88	a71	a0	a56	a44	a43	a21	a25	a94	a98	a92	a37	a26	a82	a87	a23	a99	a97	</S>
nous	0.0169897	0.0199958	0.021578	0.016508	0.0241262	0.0237494	0.0432974	0.0453049	0.0254539	0.0163166	0.0155243	0.00970524	0.0157109	0.00905245	0.0113933	0.00937144	0.0094504	0.0203966	0.0180862	0.0177437	0.0564741	0.0901248	0.0858743	0.0671961	0.0644103	0.0347637	0.0377239	0.0330798	0.0397624	0.0275937	0.0159561	0.0222702	0.035016
avons	0.0245792	0.0225152	0.0277747	0.0331855	0.0251001	0.024015	0.0151399	0.02628	0.0280364	0.0212286	0.0149142	0.0614062	0.0381563	0.0704727	0.117407	0.0793354	0.0470085	0.0500882	0.0285498	0.0305831	0.0387788	0.0206775	0.0254251	0.0151646	0.00960185	0.0078703	0.00881142	0.0113184	0.0127465	0.00994663	0.0197451	0.0146564	0.0194812
attaché	0.012418	0.00868449	0.00765238	0.00904174	0.00872206	0.00871649	0.0124994	0.0111934	0.0459639	0.0381163	0.053757	0.0863009	0.0345523	0.0561747	0.0275701	0.0351907	0.0260111	0.0398525	0.0443403	0.0190344	0.0265028	0.041862	0.0406257	0.0408996	0.0327038	0.0466521	0.0438043	0.0388651	0.029085	0.0197224	0.0159029	0.0270072	0.0105748
le	0.0592347	0.0498693	0.0244046	0.0487923	0.024675	0.0415389	0.0524834	0.0241774	0.0554628	0.05016	0.0668522	0.0866176	0.0692254	0.0560405	0.0566464	0.0342809	0.0281749	0.0126449	0.0123279	0.0124611	0.00802687	0.00847434	0.0116068	0.015463	0.0189441	0.0150428	0.0121763	0.0119091	0.00865037	0.00601888	0.00408616	0.00614657	0.00738431
cabri	0.0451922	0.0369984	0.0273505	0.0344835	0.0334566	0.0287192	0.0475391	0.029854	0.0448823	0.0467006	0.077242	0.0308038	0.032372	0.0333268	0.0271077	0.0298611	0.034199	0.0253935	0.0340256	0.0260923	0.0199992	0.0168513	0.0197339	0.0307296	0.0356743	0.0228389	0.0334694	0.0152489	0.0102295	0.0162926	0.0165837	0.0226803	0.0140683
sous	0.0914569	0.0951022	0.0612087	0.0673311	0.043303	0.0550558	0.0402332	0.0386334	0.0204958	0.0186552	0.0192172	0.01304	0.0187327	0.0154673	0.0117093	0.0130044	0.0106925	0.00908077	0.00730627	0.00976409	0.012403	0.00832092	0.00963655	0.0119979	0.0114897	0.0159674	0.022997	0.0160682	0.0209857	0.0376905	0.0471886	0.0317461	0.0940188
le	0.0979782	0.0628965	0.0464972	0.0408496	0.0642454	0.0442425	0.0309286	0.033467	0.0194394	0.0117618	0.00782784	0.00696189	0.00639597	0.00543636	0.0102828	0.01069	0.0104497	0.0116228	0.0103793	0.0167936	0.0209844	0.0242015	0.0259474	0.0299501	0.0266217	0.0314583	0.0384173	0.0238083	0.033994	0.0499622	0.0562502	0.0476084	0.0416498
manguier	0.0310545	0.0264075	0.0263688	0.0219047	0.0321155	0.022512	0.0234915	0.0229136	0.0184032	0.0172024	0.0131675	0.0131514	0.0109499	0.0127448	0.02303	0.0233804	0.0217848	0.0227795	0.0157763	0.0170762	0.0231872	0.0289585	0.023897	0.0328334	0.0364782	0.0472538	0.0348118	0.0458711	0.0556776	0.0782785	0.0765729	0.0732951	0.0266703
avec	0.0303795	0.0266969	0.0156736	0.0233615	0.0188917	0.0232823	0.0326003	0.0216196	0.0177534	0.0166007	0.00769053	0.0141191	0.0171155	0.0178851	0.0166361	0.0153091	0.0147766	0.0135449	0.0125356	0.0121598	0.0190873	0.0145482	0.0148403	0.0196654	0.018129	0.0352622	0.0351829	0.0415626	0.0734946	0.105622	0.084587	0.0812047	0.0881823
une	0.0229745	0.0134028	0.00761998	0.0099164	0.00932463	0.0125922	0.0195548	0.0113745	0.0134999	0.0106251	0.00594838	0.00901638	0.00882725	0.00855496	0.0141783	0.0191932	0.0219712	0.01857	0.0191334	0.0149705	0.0224196	0.0248438	0.0332319	0.0367694	0.0290897	0.0536075	0.0571888	0.0587103	0.0728388	0.105734	0.0836717	0.0933991	0.0572466
corde	0.0246141	0.0214077	0.030326	0.026806	0.0292928	0.0164851	0.0280075	0.0179582	0.0225119	0.0227555	0.0172428	0.0310832	0.0207444	0.0261404	0.0248468	0.0364961	0.0440471	0.0626911	0.0479955	0.0302079	0.0339492	0.0251047	0.0280075	0.0262982	0.0220455	0.034128	0.0312519	0.034253	0.0316177	0.0445324	0.0258648	0.052182	0.0291048
</S>	0.00860467	0.00670558	0.00806835	0.00724138	0.0067812	0.0068325	0.0101871	0.00660134	0.00871877	0.0101811	0.00583742	0.00998713	0.00805307	0.00902091	0.0115202	0.00927236	0.00810037	0.00883398	0.0066062	0.00674497	0.0152832	0.0126642	0.0192512	0.0259324	0.0412607	0.0689649	0.0597355	0.0779267	0.0960424	0.139807	0.0988659	0.104308	0.0760588
