 	a30	a87	a23	a79	a73	a94	a76	a98	a5	a12	a96	a54	a98	a92	a24	a94	a53	a69	a57	a82	a87	a23	a75	a61	a66	a25	a38	a90	a44	a56	a75	a92	a94	a69	a44	a58	a94	a90	a58	a38	a90	a15	a90	a15	a44	a58	a57	a53	a90	a32	a25	a90	a57	a40	a98	a73	a84	a87	</S>
avec	0.0350281	0.0291347	0.015267	0.0155264	0.0261313	0.0136737	0.0127934	0.0137072	0.0246406	0.0242265	0.0246061	0.0240855	0.0174246	0.0139932	0.019083	0.020028	0.0230775	0.0179432	0.0198417	0.019899	0.0134608	0.0225532	0.0178486	0.0186205	0.0169965	0.0225904	0.0111093	0.00814432	0.0182617	0.00951735	0.0124009	0.0127272	0.0111302	0.0102019	0.00772552	0.00927025	0.0132927	0.00740899	0.0123785	0.024018	0.00807077	0.0127663	0.00487533	0.00726375	0.00893765	0.0153057	0.012399	0.0213665	0.00988801	0.00695462	0.0190966	0.0122163	0.0131294	0.0170719	0.0295916	0.0328748	0.0243086	0.0205256	0.0335902
la	0.00308339	0.00360741	0.00391243	0.00449435	0.0101265	0.0116793	0.0158306	0.0162686	0.0298741	0.0184623	0.0221885	0.0298779	0.0156399	0.0164321	0.0311417	0.0370705	0.0279707	0.0194226	0.0132903	0.0133801	0.021939	0.0228775	0.0300332	0.01697	0.0143814	0.012212	0.0103393	0.0166138	0.00902764	0.010446	0.0142767	0.00912774	0.0152154	0.0100658	0.0145135	0.0163643	0.0162579	0.0212137	0.0399613	0.058978	0.045687	0.0966582	0.0695567	0.0139722	0.00788767	0.00394751	0.00429704	0.00300921	0.00212975	0.0025322	0.00185614	0.00233993	0.00145941	0.00187176	0.00209629	0.00314659	0.0039845	0.00441475	0.00458574
pluie	0.017224	0.0118957	0.00802983	0.0109146	0.0157655	0.0262566	0.0280812	0.0518557	0.0858134	0.0525442	0.0676437	0.0483225	0.0437283	0.0801209	0.0455323	0.0236165	0.0130171	0.00906276	0.0084899	0.00906758	0.0138063	0.00965817	0.0208452	0.0138583	0.013675	0.00870345	0.00952703	0.00588314	0.00775008	0.00754188	0.0126992	0.0105072	0.0116336	0.0072825	0.0131883	0.00953055	0.0153516	0.0157957	0.0314501	0.0225133	0.0267916	0.0138608	0.0089898	0.00446588	0.00511715	0.003589	0.000942945	0.00103732	0.000741582	0.000822185	0.000397301	0.000575095	0.000835004	0.00227189	0.00285281	0.00199832	0.00167975	0.00332432	0.00152444
qui	0.016249	0.00753681	0.00471373	0.00484719	0.00644751	0.0150635	0.0194237	0.0352205	0.0575692	0.0496554	0.0584253	0.0625007	0.0485773	0.0464515	0.0469619	0.0492359	0.0232781	0.009934	0.00534843	0.0047016	0.00364213	0.00339113	0.00447646	0.00487203	0.00162	0.00238588	0.00287645	0.00499647	0.00363568	0.00395981	0.00741022	0.00596506	0.00923771	0.0142941	0.0167606	0.0126744	0.0273213	0.0257796	0.0324688	0.0297575	0.0297129	0.0210618	0.0156425	0.0102975	0.0120895	0.00807013	0.0028711	0.00292523	0.00203096	0.00178659	0.00233557	0.00542727	0.00602579	0.017376	0.0223874	0.0124974	0.00992253	0.0160188	0.0118543
était	0.0188053	0.020375	0.0104722	0.00708383	0.00674362	0.00852361	0.00754477	0.00774454	0.0103324	0.00800526	0.00894576	0.00852481	0.00832906	0.00815754	0.00919234	0.0118671	0.0144655	0.017929	0.0215755	0.016878	0.0193616	0.0145326	0.0247634	0.0290836	0.030257	0.025083	0.0218191	0.0274053	0.029455	0.0340657	0.029385	0.0218988	0.0257934	0.0209636	0.0207735	0.0289269	0.0268885	0.0228496	0.0164472	0.0193505	0.0137429	0.0148651	0.0120045	0.0178607	0.0128508	0.0187257	0.00902385	0.0146676	0.0115882	0.0113315	0.0179213	0.0221251	0.0183675	0.0110025	0.0199865	0.0103772	0.0108078	0.0211777	0.0109751
tombée	0.033431	0.0169692	0.0127012	0.0102242	0.00500376	0.00375898	0.00518104	0.00534378	0.00198939	0.00388908	0.00891284	0.00969554	0.0270862	0.00672663	0.00337535	0.00419013	0.00768192	0.0107147	0.0131881	0.0158457	0.0131921	0.018973	0.0387872	0.044618	0.0252474	0.0408535	0.0187072	0.0227058	0.023699	0.0354722	0.0356403	0.0254764	0.0290157	0.0232013	0.0328107	0.0317156	0.0357747	0.0420235	0.00773157	0.00681613	0.00921034	0.0131403	0.0153623	0.0237042	0.0147206	0.0285988	0.0227277	0.0232349	0.0132769	0.00667954	0.00707787	0.0194177	0.00762934	0.00617988	0.0069907	0.00806712	0.00713531	0.00578552	0.00269094
on	0.0282922	0.00943139	0.007654	0.00446788	0.00440861	0.00464799	0.00691231	0.00220746	0.00182896	0.00255828	0.0044075	0.00351854	0.00401632	0.0029616	0.00425576	0.0147297	0.00564338	0.0061071	0.0057589	0.0112372	0.0147362	0.0164337	0.0262507	0.030615	0.0192124	0.0286034	0.0136924	0.0307412	0.0204014	0.0225489	0.0433828	0.0214559	0.0295082	0.021972	0.0178495	0.0198381	0.0232885	0.0247144	0.012811	0.0208837	0.009636	0.0342962	0.0238634	0.0212764	0.00948951	0.0223338	0.0140481	0.0364911	0.0139353	0.0107571	0.00959331	0.0284639	0.0111201	0.0195336	0.0283514	0.0382859	0.0263176	0.0324299	0.0157931
ne	0.0242625	0.0142192	0.00844329	0.00677147	0.00526786	0.00513182	0.0046341	0.0021258	0.00331883	0.0025741	0.0044978	0.00368873	0.00326499	0.00131967	0.00167004	0.00466474	0.00281791	0.00494743	0.00598338	0.00779352	0.0112181	0.0184432	0.0261477	0.0291549	0.0216564	0.0322889	0.0176765	0.0477981	0.0247552	0.0283711	0.042516	0.0226176	0.0253343	0.0308928	0.0205364	0.0194676	0.024643	0.0262454	0.0192768	0.0168069	0.0125884	0.0208454	0.0159883	0.0204107	0.0109272	0.0229859	0.0158171	0.0357324	0.0133325	0.0112223	0.0140823	0.0279968	0.0176452	0.0166237	0.0207509	0.0225582	0.0260283	0.0334113	0.017809
pouvait	0.0217786	0.0213964	0.0150521	0.0100878	0.00943703	0.00754136	0.010322	0.00466558	0.00688197	0.00293426	0.00570133	0.00419884	0.00342676	0.00502098	0.00536017	0.0063431	0.00472681	0.00893689	0.00757609	0.0113977	0.0144834	0.0195356	0.0161363	0.0177685	0.0154966	0.0155979	0.011623	0.0187801	0.0119582	0.0130304	0.0119687	0.00920301	0.0087732	0.0121646	0.00839009	0.00745956	0.0087289	0.00957447	0.00909624	0.0117747	0.0112765	0.0132467	0.023349	0.029027	0.017657	0.020369	0.0187681	0.0369488	0.0158271	0.0157987	0.0180264	0.0269832	0.0215952	0.0297829	0.0570787	0.050534	0.0468534	0.0654839	0.0570652
plus	0.0164039	0.0137865	0.00928626	0.006535	0.00765123	0.0084572	0.0115271	0.00705583	0.0082591	0.00384271	0.00620789	0.00684114	0.0058593	0.00542536	0.00430517	0.00473553	0.00567332	0.00785672	0.0100037	0.0141316	0.0149262	0.0187365	0.0267705	0.030524	0.0290684	0.0298464	0.0265056	0.0260622	0.0227661	0.0314422	0.0260487	0.0155037	0.017231	0.0140993	0.0125711	0.0107369	0.0126562	0.0116975	0.0096148	0.0155991	0.0114736	0.0264069	0.0227757	0.0268532	0.0167118	0.024873	0.0234736	0.0276985	0.0178949	0.0133384	0.0159771	0.0161793	0.0166737	0.0164189	0.0326482	0.0286601	0.0269824	0.0396068	0.0291029
