 	a66	a87	a23	a87	a79	a69	a7	a98	a15	a79	a90	a4	a58	a70	a90	a15	a25	a56	a25	a56	a44	a90	a69	a34	a12	a96	a21	a5	a18	a62	a34	a75	a79	a92	a47	a96	a18	a93	a4	a70	a83	a96	a12	a36	a27	a82	a87	a23	a87	</S>
il	0.013912	0.0237942	0.0112539	0.00907174	0.00994702	0.0162453	0.0202397	0.0321705	0.0256062	0.0250426	0.0281821	0.0162595	0.0218376	0.0194	0.0373773	0.0209182	0.0454267	0.0499846	0.0407161	0.0884168	0.062145	0.0680961	0.0601371	0.0347908	0.0234424	0.0246906	0.0141067	0.00631672	0.00400636	0.00437125	0.00465642	0.0063083	0.00664281	0.0108282	0.00520146	0.00402986	0.00481294	0.00597023	0.00586555	0.00604589	0.00516038	0.00658838	0.00647796	0.00624582	0.00619304	0.00550641	0.00674337	0.00797664	0.00893232	0.0219087
ne	0.00880795	0.00650099	0.00734399	0.00829798	0.00899191	0.00964207	0.024086	0.0452718	0.0181413	0.0369208	0.0292997	0.0298161	0.0389406	0.0357082	0.0244186	0.0289223	0.0384542	0.0335565	0.0379694	0.0394983	0.0397801	0.0288411	0.0218498	0.0149068	0.0129383	0.011874	0.0155828	0.0168717	0.0295683	0.0266467	0.0187161	0.0243351	0.013227	0.0109861	0.0172381	0.00778317	0.00786428	0.00562411	0.00870499	0.00959514	0.0113548	0.0128627	0.0129567	0.0173404	0.0162837	0.0166134	0.012994	0.0175426	0.0187029	0.00982628
faut	0.0173058	0.00983086	0.00908219	0.0122106	0.011122	0.0185865	0.0142808	0.0576699	0.0154567	0.0348873	0.0186366	0.0126637	0.0105783	0.0135238	0.00583298	0.0100276	0.0144203	0.024542	0.0216503	0.0274669	0.0302602	0.0190875	0.0321036	0.0376397	0.040284	0.0294937	0.0362542	0.0652846	0.10251	0.0647218	0.0332521	0.0351077	0.0082989	0.00443402	0.0149832	0.00928665	0.00186446	0.00479947	0.00276383	0.00302723	0.00444008	0.00465091	0.00563952	0.00630436	0.0056486	0.00640592	0.00624322	0.0067706	0.0126009	0.00606335
pas	0.0507214	0.0250068	0.025082	0.0143287	0.0152973	0.0199702	0.0180386	0.0282024	0.0268282	0.0276268	0.0397311	0.0382699	0.0253453	0.0364529	0.0183586	0.0402593	0.0166882	0.0294287	0.0288049	0.0214976	0.0183828	0.0147648	0.017884	0.0167668	0.0139248	0.0162532	0.01728	0.0157864	0.0147995	0.0235008	0.0230459	0.0149242	0.020997	0.019627	0.0143904	0.0133537	0.0114955	0.0119805	0.0104514	0.00619358	0.00631518	0.00668905	0.00932453	0.00963372	0.00984316	0.0124847	0.0101809	0.0198738	0.0191686	0.0347451
enflammer	0.0266019	0.0243124	0.0257848	0.0188465	0.0294638	0.0132142	0.0130065	0.014534	0.0250742	0.0410169	0.0619893	0.0493232	0.0600518	0.0680544	0.0374011	0.0495207	0.0166336	0.0148524	0.0192305	0.0291013	0.0229271	0.0206712	0.0169856	0.0196117	0.0185439	0.0233797	0.0232742	0.020107	0.0185688	0.0154773	0.0210666	0.0113975	0.0140611	0.0123898	0.0102046	0.0081474	0.0064031	0.00760209	0.00585547	0.0059666	0.00552526	0.00485621	0.00556377	0.00544454	0.00530447	0.00556955	0.00443744	0.00702984	0.00808901	0.00752563
la	0.0295327	0.0268026	0.0260991	0.0143426	0.0164694	0.013024	0.0091375	0.00537853	0.0114782	0.0309262	0.0660354	0.0344703	0.0363684	0.0613019	0.0318376	0.0361593	0.0204684	0.022896	0.0256683	0.036364	0.0237914	0.0297463	0.0323533	0.0350586	0.0295868	0.0392898	0.0250779	0.0230858	0.0109867	0.00536812	0.00577064	0.00540602	0.00353252	0.00451096	0.00347261	0.00417819	0.00357345	0.00518881	0.00426733	0.00577772	0.00605956	0.0064242	0.00885423	0.016418	0.0141544	0.0196087	0.0132887	0.0210051	0.0174164	0.0219874
savane	0.0166614	0.00794256	0.00853356	0.00426775	0.00512069	0.00385899	0.00714318	0.0141383	0.0148761	0.0434002	0.048211	0.0258752	0.0440358	0.0381967	0.0210983	0.030758	0.0144652	0.0229217	0.0306864	0.0394361	0.03189	0.0237903	0.0262673	0.0462559	0.032395	0.0478806	0.0319153	0.0547528	0.0468194	0.0212996	0.0111836	0.0136982	0.00814948	0.00610865	0.0090339	0.00588138	0.0051841	0.0121445	0.00421907	0.00486655	0.00485402	0.00567663	0.00699427	0.0209316	0.0098703	0.0156443	0.00852115	0.0162477	0.0157646	0.0101324
de	0.0160763	0.0095027	0.00859766	0.00454839	0.00362326	0.00375833	0.00482437	0.00707073	0.011993	0.0366177	0.0507977	0.0272838	0.0428629	0.0475279	0.0252631	0.0571452	0.0316359	0.0403353	0.0549922	0.0668237	0.0374975	0.0382872	0.0255832	0.0371156	0.0262965	0.0385585	0.0233533	0.021644	0.0212735	0.00843377	0.00543892	0.0103297	0.00577372	0.00501379	0.00906981	0.00443976	0.00340174	0.00580511	0.002007	0.00368424	0.00280926	0.00482323	0.00648197	0.0158211	0.01218	0.0145917	0.0126595	0.0171869	0.0164297	0.0127298
peur	0.0208147	0.0172533	0.0129577	0.00873768	0.00883027	0.00413235	0.00486068	0.00667858	0.00628892	0.0223442	0.0371091	0.0233995	0.0394099	0.03867	0.0236689	0.0483645	0.0317909	0.0352555	0.0395889	0.062944	0.0411551	0.0394039	0.0285296	0.0244805	0.0213143	0.0268207	0.0215364	0.0179194	0.0133682	0.009873	0.00993475	0.0118742	0.00780716	0.00657992	0.0102423	0.00546061	0.00430099	0.0060626	0.00246111	0.00431753	0.00524922	0.00556137	0.00865915	0.0194899	0.0154246	0.0183314	0.0181723	0.0301088	0.030158	0.0423035
que	0.0197251	0.012058	0.00897797	0.00607577	0.00849207	0.00371672	0.00362689	0.00656255	0.00508908	0.0109359	0.0140985	0.0116413	0.0182552	0.0161516	0.0112861	0.0269078	0.0264274	0.0278192	0.032217	0.0437431	0.0386025	0.0371041	0.0423298	0.046288	0.0414393	0.0487944	0.0420599	0.0406965	0.0276317	0.0233529	0.0232003	0.0246604	0.0141633	0.0103223	0.0173917	0.00918533	0.00661266	0.00903092	0.00284603	0.00463955	0.00664783	0.00570801	0.00839971	0.0135826	0.0115157	0.0139832	0.0151364	0.0301507	0.0324506	0.0382663
le	0.0366929	0.0168211	0.00780681	0.00384225	0.00615876	0.0060084	0.0030562	0.00454719	0.00374301	0.00418819	0.00518468	0.00349774	0.0036122	0.00460951	0.00364633	0.0052402	0.0190069	0.0216145	0.023788	0.0298026	0.0239418	0.0277596	0.0307084	0.0287401	0.027592	0.0193366	0.0282505	0.0151687	0.0157277	0.00976448	0.00631422	0.0126997	0.00456134	0.00491115	0.030809	0.00902132	0.010043	0.0287558	0.0226079	0.0289079	0.0339539	0.0237502	0.0297817	0.0364522	0.0334249	0.042289	0.0472705	0.0423624	0.0548723	0.0573542
hangar	0.0252799	0.00564042	0.00362949	0.00194398	0.00334031	0.00280269	0.00118224	0.00228818	0.00247673	0.00490905	0.00587291	0.00340517	0.00378963	0.00480517	0.00292865	0.00649724	0.00866342	0.00979004	0.019385	0.0273146	0.0221114	0.0267529	0.0379721	0.0476737	0.0455795	0.0399787	0.0510706	0.0355237	0.0334111	0.0267131	0.020754	0.0259117	0.0117955	0.00897818	0.0370407	0.0183509	0.0112568	0.0326159	0.0171497	0.0204598	0.0351233	0.0246115	0.0250593	0.0316584	0.0229958	0.025073	0.0296625	0.0259881	0.0503409	0.0124426
du	0.0413826	0.0155854	0.00741045	0.00394769	0.00559165	0.00691461	0.0045933	0.00660389	0.0056746	0.00544253	0.00533263	0.00499966	0.0042372	0.00686164	0.00721633	0.00517148	0.0132479	0.0138883	0.0226462	0.0323455	0.0288782	0.0425478	0.0528653	0.0528626	0.0458756	0.0304365	0.0468811	0.0232187	0.0223041	0.0138566	0.00918431	0.0173215	0.00897159	0.0118637	0.0289716	0.00978174	0.0110225	0.0218822	0.0135923	0.0128874	0.0155969	0.0142633	0.0138606	0.016561	0.0172259	0.0258106	0.0249571	0.0440673	0.0593089	0.0440497
récolteur	0.0319332	0.0233281	0.0234685	0.017701	0.0270008	0.0178479	0.0101143	0.00975894	0.00823298	0.0118518	0.0136216	0.0124049	0.0106187	0.0130397	0.0127262	0.0170948	0.0299539	0.0179252	0.0243551	0.0248961	0.0255471	0.031761	0.0379451	0.0369205	0.032627	0.0311228	0.0311575	0.0177514	0.0110451	0.0133632	0.014275	0.0179488	0.0116292	0.0139045	0.0242064	0.0189248	0.0208157	0.0319491	0.0224275	0.0182911	0.0247423	0.010855	0.0191103	0.0151166	0.0137235	0.0149153	0.0157208	0.0195402	0.0290701	0.0157192
du	0.0303117	0.0346507	0.0173186	0.0131697	0.0159758	0.0187196	0.0120781	0.00941321	0.00775815	0.00749335	0.00987611	0.00936742	0.00850454	0.00960797	0.010265	0.00785145	0.0118451	0.0116726	0.0135679	0.0251164	0.0304815	0.0371353	0.0496863	0.045074	0.0355126	0.0350843	0.0348888	0.0237783	0.0148775	0.0140806	0.0105853	0.0187825	0.0128388	0.0159672	0.0175021	0.0100999	0.0165342	0.0223603	0.0174188	0.0251882	0.0269648	0.0183661	0.0249135	0.0185363	0.0202071	0.0174409	0.0194132	0.0240259	0.0259864	0.0317059
