 	a66	a87	a23	a9	a24	a62	a47	a88	a62	a21	a92	a37	a93	a56	a0	a90	a69	a94	a18	a25	a87	a23	a87	</S>
nous	0.0667791	0.0804515	0.0405274	0.0203034	0.0119792	0.00747864	0.00538352	0.00272431	0.00320135	0.00450203	0.00410055	0.00438362	0.0103196	0.015141	0.0155739	0.0392745	0.0483428	0.0616624	0.104947	0.0644124	0.0913489	0.0979056	0.0849371	0.11432
portons	0.0542736	0.0466922	0.0702983	0.070635	0.0722399	0.0549788	0.0461575	0.046939	0.0438707	0.0443483	0.042869	0.0450949	0.0452187	0.0333905	0.0313888	0.0194448	0.0276945	0.0150748	0.0181125	0.0207309	0.026165	0.0301847	0.0436417	0.0505559
le	0.100053	0.067717	0.0636713	0.0752553	0.106579	0.061533	0.0398856	0.0468332	0.0421097	0.0368462	0.048999	0.038929	0.0220565	0.0110034	0.0135653	0.0132055	0.0177297	0.0161813	0.0317827	0.0273723	0.0270022	0.0197748	0.0395421	0.032373
cabri	0.0920534	0.0735456	0.0781027	0.0634674	0.0610295	0.0374662	0.0261739	0.0177249	0.0562884	0.0374354	0.0498357	0.0453898	0.0931198	0.0526554	0.0437826	0.03911	0.0244959	0.0204743	0.0166365	0.0280094	0.00752252	0.0101977	0.00809892	0.0173841
dans	0.0423563	0.0334348	0.0344321	0.0295714	0.0317733	0.0291138	0.030025	0.0210131	0.0235578	0.0290604	0.0282221	0.0336642	0.0334066	0.0412509	0.0261633	0.031699	0.0358092	0.0553828	0.0555139	0.0797341	0.0750735	0.056079	0.0784599	0.0652036
un	0.0622526	0.0209823	0.0149908	0.00800779	0.00877091	0.0165315	0.026755	0.0324795	0.0230247	0.0197301	0.0243559	0.0325268	0.0339159	0.0351832	0.0347885	0.0417221	0.057386	0.0697143	0.0703991	0.0616165	0.0794889	0.0843912	0.0942665	0.0467199
panier	0.033792	0.0127255	0.0112855	0.00844353	0.00650633	0.0127516	0.021638	0.0187466	0.0151543	0.023515	0.0190141	0.0216649	0.0226383	0.0257565	0.0277794	0.0382974	0.0517123	0.0655407	0.098581	0.0953688	0.0925784	0.101141	0.104171	0.0711977
tissé	0.0429848	0.0236595	0.015294	0.00805956	0.00258523	0.00485508	0.00656279	0.00639051	0.00535477	0.00781804	0.0079402	0.00821004	0.0111612	0.0207993	0.0180259	0.0323917	0.053093	0.0958026	0.0872537	0.079734	0.146648	0.0986156	0.110551	0.106209
en	0.0337061	0.019912	0.0142646	0.00985195	0.00415259	0.00611138	0.00766703	0.00713069	0.00791389	0.00925456	0.00941362	0.0111046	0.0154341	0.0336293	0.0293428	0.0404488	0.0577726	0.0846237	0.0849629	0.0756596	0.135556	0.0839962	0.100414	0.117677
palmes	0.0396265	0.0200886	0.0208584	0.015149	0.00889721	0.00856443	0.0133965	0.0141324	0.0152558	0.0142833	0.0174299	0.0153427	0.01557	0.0203809	0.0170482	0.022056	0.031689	0.0585833	0.0711752	0.0776508	0.110695	0.101788	0.148503	0.121836
</S>	0.0680125	0.0185776	0.0174797	0.00861103	0.00846181	0.00775441	0.0104123	0.00905445	0.00890004	0.0101281	0.0137426	0.0169038	0.0160235	0.024789	0.0229119	0.0330511	0.0413224	0.0594622	0.0507879	0.0502947	0.0824897	0.0934387	0.138536	0.188854
