 	a10	a87	a23	a13	a70	a94	a26	a54	a73	a2	a40	a73	a26	a54	a73	a41	a94	a96	a43	a0	a11	a54	a15	a69	a58	a82	a38	a75	a5	a70	a13	a53	a20	a84	a57	a87	a23	a79	a20	a73	a84	a20	a73	a53	a69	a94	a70	a75	a14	a73	a26	a38	a61	a75	a94	a58	a82	a87	a23	a87	a23	a87	</S>
il	0.0202183	0.0155003	0.0228326	0.01876	0.011341	0.00760585	0.0151294	0.00791804	0.0112981	0.0125165	0.0132874	0.0105071	0.0131766	0.00858576	0.009854	0.0135823	0.0162614	0.0181189	0.0164538	0.0142492	0.0153236	0.0139131	0.019031	0.0224998	0.0160191	0.0184715	0.0185278	0.00941056	0.00881189	0.00449721	0.00318909	0.00360652	0.00405071	0.00519137	0.00297358	0.0027891	0.0025888	0.0035809	0.00476059	0.0118415	0.0121835	0.0190835	0.0179954	0.0450447	0.0650599	0.0602206	0.0536679	0.0457651	0.0103982	0.00658323	0.00603286	0.0187675	0.0115204	0.00942509	0.0191502	0.0122386	0.0148362	0.0183191	0.0152267	0.0222971	0.019699	0.0106765	0.0175344
avait	0.00418748	0.00229726	0.00291114	0.00299112	0.00557316	0.00562095	0.0106248	0.0126478	0.0136727	0.0165464	0.0106512	0.0250052	0.0173905	0.0114572	0.0270327	0.0346082	0.0287694	0.0436547	0.0157667	0.0172962	0.0187608	0.0106048	0.0258576	0.0204104	0.0286441	0.0243132	0.0131846	0.028031	0.0237538	0.0297586	0.0326421	0.0343841	0.0365473	0.0319081	0.0159777	0.0157976	0.0102566	0.0122349	0.0130817	0.0135223	0.0193327	0.0209531	0.0203159	0.0379202	0.0210683	0.0338667	0.0118913	0.00516593	0.0020117	0.00187333	0.000904399	0.00149149	0.0018468	0.00114725	0.000765728	0.00108652	0.000792122	0.0026941	0.0081805	0.0100068	0.0170951	0.0190477	0.0121663
tellement	0.0179855	0.0080682	0.00575884	0.00728728	0.00737626	0.0200875	0.0249189	0.0412625	0.0191597	0.00981714	0.0118532	0.0176877	0.0192327	0.0169115	0.0153418	0.0232246	0.019377	0.0225987	0.0128633	0.0111025	0.0113537	0.00931499	0.0161249	0.0115559	0.0100983	0.0123324	0.00994009	0.0181897	0.0286789	0.0254091	0.0298098	0.0232626	0.0212499	0.0160237	0.0149859	0.0123265	0.0136204	0.00531176	0.00439406	0.0109793	0.00856657	0.00809219	0.0134427	0.0186923	0.00648355	0.00604057	0.00398264	0.00416443	0.00338238	0.0033554	0.00395412	0.00299402	0.00139319	0.00203482	0.00342227	0.0070513	0.0185423	0.0214457	0.0246808	0.0379236	0.0245753	0.0529964	0.0859066
faim	0.0207116	0.020014	0.019176	0.0207022	0.00980315	0.0151862	0.0176027	0.0142561	0.017759	0.0119077	0.0304888	0.0201532	0.020449	0.0195391	0.0240243	0.0216869	0.0202817	0.0237065	0.0115556	0.0091075	0.01363	0.0077327	0.0151027	0.00727032	0.00783281	0.00718937	0.0137428	0.022409	0.0398566	0.0276289	0.0412203	0.0292308	0.0293946	0.0255068	0.0277035	0.0209367	0.0221732	0.0120883	0.0121962	0.0191221	0.0144723	0.0168588	0.0162018	0.0172861	0.00876549	0.00603333	0.00659384	0.00706659	0.00871938	0.00650161	0.0102896	0.0105234	0.00801326	0.00676922	0.00773614	0.00593478	0.00480481	0.00577681	0.0103724	0.0121473	0.0110141	0.00841422	0.0196257
il	0.0162417	0.0141834	0.0165383	0.0160646	0.0100296	0.0134939	0.0173723	0.00942996	0.0101951	0.00950022	0.0120717	0.0104546	0.0118952	0.0130087	0.0138502	0.0126941	0.0147686	0.0149058	0.0119758	0.0152933	0.0140535	0.0143676	0.016269	0.0184895	0.0183649	0.0251183	0.0209068	0.026412	0.0387675	0.0315382	0.0351493	0.0304394	0.0265564	0.0274679	0.0337133	0.0276409	0.0350967	0.0122989	0.00886821	0.00992508	0.0097274	0.015878	0.00896438	0.00989702	0.00659038	0.00981576	0.0121919	0.0144343	0.0178383	0.0160741	0.0212512	0.0123627	0.00761954	0.00638629	0.00373114	0.0049012	0.00622169	0.00803503	0.0137928	0.0107025	0.0125342	0.016641	0.0189989
a	0.00996109	0.00755376	0.00698532	0.00649079	0.00572898	0.0053961	0.00547042	0.00700271	0.00629044	0.00909086	0.00900058	0.00583528	0.00511834	0.00810947	0.00558832	0.00646479	0.00518326	0.00594616	0.00625538	0.00882066	0.0103846	0.0112639	0.0135894	0.0127495	0.0225715	0.0158047	0.0164357	0.0204366	0.0258939	0.0328619	0.0504699	0.0272302	0.0218325	0.0318926	0.0357755	0.0595218	0.0564733	0.0364703	0.0213114	0.0353112	0.0171786	0.0289374	0.00866238	0.0106832	0.00522697	0.00617359	0.00902925	0.0096731	0.00944742	0.0107326	0.0113985	0.0109709	0.0139371	0.00944326	0.00990211	0.0135778	0.0160623	0.0123679	0.0164091	0.016393	0.0179821	0.0216462	0.019592
avala	0.0104958	0.0102944	0.00805058	0.00604226	0.00623083	0.00688318	0.00687992	0.0092648	0.00819264	0.00958341	0.0121809	0.00858289	0.0101627	0.0200389	0.0148351	0.0148304	0.00592441	0.0117225	0.0149882	0.00963328	0.0223201	0.0236321	0.032272	0.0178742	0.0363486	0.0159366	0.0141583	0.0158801	0.0249312	0.031432	0.0417754	0.0289841	0.0273808	0.0322734	0.0314412	0.0350312	0.0278145	0.035511	0.02717	0.0428066	0.0245524	0.0180557	0.0133008	0.0163903	0.00853049	0.00607315	0.00881612	0.00719083	0.00724181	0.00878679	0.00557108	0.00376045	0.00346624	0.00283066	0.00441971	0.00489029	0.00625817	0.0123718	0.0179668	0.0160493	0.0125931	0.0117395	0.00935384
tout	0.0110578	0.00855481	0.00830088	0.00736271	0.00618872	0.00915207	0.00643019	0.00911186	0.00756161	0.0091996	0.00868323	0.00753101	0.00595624	0.00959135	0.00648851	0.007332	0.00836234	0.0102013	0.0109604	0.00693385	0.0124864	0.00996658	0.020559	0.0164265	0.0208839	0.0185024	0.0115281	0.0142356	0.0140223	0.0219492	0.0343752	0.0321526	0.0279794	0.0492528	0.0472	0.0707104	0.0650574	0.0813332	0.0290807	0.0524276	0.0136954	0.0164981	0.0066748	0.00657549	0.004727	0.00576237	0.00669135	0.00665686	0.00524018	0.00689632	0.00477272	0.00505535	0.00520966	0.0047206	0.00641965	0.00462748	0.00357685	0.00887536	0.00909897	0.0107932	0.011154	0.0132717	0.017917
d'	0.0200915	0.0166667	0.0161621	0.0178707	0.0147063	0.0170553	0.0115642	0.0150077	0.0108268	0.00889129	0.00727634	0.00821738	0.00682349	0.00783374	0.0064066	0.00686261	0.0102785	0.0106804	0.0108049	0.00840888	0.0109903	0.00845054	0.0165804	0.0177743	0.0172979	0.0188431	0.0122008	0.0148443	0.0146499	0.0163681	0.0169398	0.0226854	0.0220455	0.0274129	0.0254073	0.0308961	0.0254268	0.0473866	0.0178253	0.0290779	0.00975295	0.0123018	0.00906952	0.0103283	0.0104999	0.0136611	0.0150363	0.0140265	0.0116875	0.0144523	0.0147456	0.016404	0.0130676	0.0167577	0.0104818	0.00669541	0.0050037	0.0132126	0.0157364	0.0216522	0.022902	0.0283396	0.0486462
un	0.015306	0.0156914	0.0266646	0.0230095	0.0233655	0.013643	0.0129826	0.0128348	0.00885	0.00572604	0.00718647	0.00857767	0.00867516	0.0103687	0.00806403	0.00837553	0.0111387	0.0121926	0.0121261	0.0093953	0.011435	0.00976553	0.0147566	0.0149993	0.0171493	0.0155021	0.0128749	0.0144888	0.0117153	0.0129687	0.0117037	0.0141915	0.0158248	0.0202994	0.0185584	0.0190856	0.0153305	0.0306185	0.0156257	0.0210612	0.0106287	0.0102931	0.00757632	0.00834334	0.00819479	0.0113153	0.0174279	0.0189306	0.0118698	0.0147086	0.0175505	0.0164358	0.0166832	0.0180647	0.0148786	0.0128928	0.0112423	0.0191859	0.018849	0.0229365	0.0304824	0.0467845	0.0625967
