 	a66	a87	a23	a83	a75	a6	a85	a5	a24	a18	a88	a62	a96	a93	a90	a98	a85	a92	a21	a85	a92	a85	a6	a36	a61	a31	a18	a31	a21	a56	a96	a93	a43	a11	a13	a9	a87	a23	a99	a97	</S>
la	0.0412109	0.0522955	0.0359334	0.0353607	0.0443222	0.0596124	0.0729078	0.0302846	0.0139748	0.0251165	0.0171525	0.00646553	0.00966607	0.0255156	0.027119	0.0258353	0.0173334	0.0170312	0.0219318	0.0234538	0.019442	0.0203323	0.0244252	0.0216046	0.0230221	0.0241865	0.0256281	0.0318444	0.0146222	0.0240117	0.0141882	0.0136633	0.0155637	0.013709	0.0140983	0.0157672	0.0145054	0.0159835	0.0151558	0.010975	0.0247487
forêt	0.00470307	0.0065354	0.0145196	0.0119585	0.0319345	0.0283418	0.0761297	0.0283728	0.020892	0.0520698	0.101823	0.0517571	0.0834433	0.0816644	0.0931312	0.074898	0.0288759	0.0100712	0.0212352	0.0445289	0.0158487	0.00384928	0.0141687	0.0183214	0.0362401	0.00623533	0.00590101	0.00256294	0.00327472	0.00332138	0.00288239	0.00199244	0.00209841	0.00209534	0.00102199	0.000523527	0.0011291	0.00425388	0.00254223	0.00254208	0.00230939
qu'	0.0224129	0.0386959	0.0340867	0.0417029	0.0642381	0.06198	0.13649	0.154911	0.0345585	0.142051	0.0834898	0.0719082	0.0195389	0.0182796	0.0100578	0.00787347	0.00528187	0.00456826	0.00739281	0.00452272	0.00411971	0.00374227	0.00498742	0.00425764	0.0053525	0.00131901	0.00150504	0.00173643	0.00152041	0.000654136	0.00092383	0.000227546	0.000752536	0.000692616	0.00084042	0.000364017	0.000305753	0.000617674	0.000468353	0.000864111	0.000707446
il	0.0384373	0.0208289	0.0127278	0.0103715	0.0166856	0.0246351	0.0325175	0.0300488	0.014966	0.0164192	0.0124287	0.0262158	0.0195788	0.0353632	0.0493453	0.0668227	0.10226	0.0971635	0.0292204	0.0313403	0.023052	0.0102173	0.0281859	0.0270201	0.0400382	0.0185918	0.0166945	0.00818633	0.00995113	0.00703075	0.00325426	0.00370856	0.00545983	0.00913338	0.00723775	0.00802536	0.0116814	0.0150014	0.0158264	0.01893	0.0253967
nous	0.0509322	0.0364934	0.0146241	0.0140181	0.00994392	0.0124446	0.00979058	0.0137547	0.00862747	0.0115749	0.0154512	0.02222	0.0315562	0.0273381	0.0566555	0.0674519	0.0962605	0.0894853	0.0228733	0.0401922	0.0371001	0.0261688	0.0408523	0.0364398	0.0351801	0.020943	0.023308	0.0122232	0.0204677	0.0105808	0.0137116	0.00314742	0.00569149	0.00579334	0.00690013	0.00586302	0.00523553	0.0102462	0.00868909	0.0113977	0.00837246
a	0.0223233	0.0162937	0.0136592	0.0148233	0.00878964	0.0217918	0.0191991	0.0376736	0.0526628	0.0504397	0.0518717	0.08262	0.0641303	0.0421241	0.0390005	0.0360405	0.0328701	0.0382151	0.0181588	0.0180618	0.0290956	0.020543	0.0163918	0.0170627	0.0186701	0.0177206	0.0219089	0.0301963	0.0333233	0.0215918	0.0266907	0.00640925	0.0145053	0.00457615	0.00736282	0.00415276	0.0047776	0.00767993	0.0043875	0.00560652	0.00659806
indiquée	0.0183532	0.0133706	0.0119156	0.0146107	0.0115824	0.0212473	0.0263102	0.0438529	0.0462665	0.0582249	0.0628642	0.0886018	0.046301	0.0281295	0.0257496	0.0252247	0.0262257	0.0316836	0.0184636	0.0152354	0.0294536	0.0192501	0.0125724	0.0152719	0.0160718	0.0187422	0.021664	0.0397076	0.0359684	0.0420048	0.0241241	0.01133	0.0125508	0.00796901	0.0105649	0.008637	0.007204	0.00828654	0.00703976	0.00771185	0.00966195
pour	0.0603699	0.0451839	0.0305238	0.0345611	0.0198809	0.0293798	0.0142577	0.0172769	0.0272628	0.0202705	0.0157995	0.0202985	0.0270157	0.025244	0.0235264	0.0252299	0.0294432	0.0515953	0.0285279	0.0196324	0.0282068	0.0258581	0.0180438	0.0129628	0.012328	0.0123194	0.0253214	0.0294201	0.0272127	0.0172107	0.0389241	0.016075	0.0235155	0.0192106	0.0146246	0.0150331	0.0149694	0.0145103	0.0180365	0.0217132	0.0292237
la	0.0424759	0.0266444	0.0191208	0.016149	0.0115392	0.00833527	0.00706815	0.0108365	0.015583	0.0185596	0.0178561	0.034324	0.0227739	0.028774	0.0246443	0.0255288	0.0274477	0.0286914	0.0258205	0.0121363	0.0147237	0.0153517	0.00855418	0.00599081	0.00637814	0.00456617	0.00650387	0.0130644	0.0115042	0.0133826	0.0317719	0.023796	0.0393448	0.0248435	0.0210042	0.0394719	0.049181	0.0677048	0.0675873	0.0707408	0.0402255
chasse	0.0318139	0.0275854	0.0203117	0.0178006	0.0146665	0.0128476	0.0112998	0.0142794	0.0202673	0.0310873	0.0320765	0.0350374	0.0326454	0.051021	0.0395223	0.0413547	0.03476	0.0317094	0.0294163	0.0111281	0.0146199	0.0153317	0.00814606	0.00692109	0.00402105	0.00234384	0.00311351	0.00721654	0.00654684	0.00554021	0.0168005	0.011301	0.0224233	0.0221855	0.02513	0.0405567	0.0567581	0.0631664	0.0492097	0.0450153	0.0330224
