 	a66	a87	a23	a99	a83	a88	a71	a88	a54	a7	a44	a11	a90	a11	a75	a6	a37	a7	a58	a84	a87	a23	a10	a38	a66	a13	a44	a13	a38	a66	a54	a7	a26	a44	a7	a18	a25	a87	a23	a87	</S>
j'	0.0594134	0.0657177	0.0481861	0.0301574	0.0395286	0.0339644	0.0302843	0.0573206	0.0374372	0.0239654	0.02524	0.0126717	0.0192649	0.0158099	0.015411	0.0135383	0.0117879	0.0124209	0.011802	0.0135756	0.0142157	0.0106773	0.0135228	0.0156223	0.026289	0.0686423	0.0143119	0.0265008	0.00781095	0.00932102	0.0109159	0.0169234	0.0165255	0.0169362	0.0248308	0.0207959	0.0188184	0.0223836	0.02272	0.0186215	0.0261174
aime	0.018813	0.0118193	0.0274373	0.00973641	0.015815	0.0092998	0.0142875	0.0110004	0.0141817	0.013019	0.0226658	0.0336929	0.0392122	0.0480748	0.0733712	0.045568	0.0773906	0.0669722	0.0635304	0.045275	0.0462923	0.0336814	0.0217154	0.0150787	0.0112248	0.00620541	0.00546393	0.00431334	0.00558938	0.00747065	0.00637114	0.00920864	0.0137171	0.0158953	0.0146484	0.0158928	0.0180726	0.0202248	0.0188405	0.0236513	0.0252793
travailler	0.0686132	0.0366702	0.0387674	0.0253296	0.0201363	0.0214056	0.0168092	0.019484	0.0139165	0.0114405	0.00780545	0.0128769	0.0112954	0.0157247	0.0302773	0.0331818	0.0496963	0.0386397	0.0356024	0.0331339	0.0273355	0.0144379	0.0217013	0.0222591	0.0278076	0.0285361	0.0241151	0.020731	0.0192082	0.0163485	0.00974301	0.00930091	0.00863359	0.0112832	0.0146268	0.0175644	0.0196875	0.0196708	0.0285968	0.0281992	0.0694075
avec	0.0368984	0.0202581	0.0113582	0.00814437	0.0059267	0.00670037	0.00539868	0.00630669	0.00589837	0.0114533	0.0118368	0.0122606	0.0116586	0.0231377	0.0391786	0.0403261	0.0373357	0.0517009	0.0212943	0.0165519	0.0268333	0.0209204	0.0352139	0.0128919	0.0232808	0.0338238	0.042131	0.0235472	0.0282966	0.0283149	0.027862	0.0266662	0.0282347	0.0283978	0.0368587	0.038947	0.0366054	0.0321839	0.0315517	0.0329436	0.020871
toi	0.0753468	0.0323886	0.0208335	0.0238106	0.0134112	0.0145652	0.0109454	0.0102599	0.0101467	0.0177799	0.0130829	0.0143172	0.00879741	0.0176033	0.0294384	0.0359298	0.042618	0.0387294	0.0262268	0.0183693	0.0261603	0.0181819	0.0268442	0.0106998	0.0172628	0.0221249	0.0245261	0.0151227	0.0353608	0.0320978	0.0218642	0.0334235	0.00905895	0.0221118	0.0257009	0.0273618	0.0256184	0.0269545	0.0370223	0.0386746	0.0292276
parce	0.0441033	0.0288755	0.0305649	0.0235424	0.0141978	0.0199715	0.0211069	0.0148286	0.0185714	0.0224211	0.0194997	0.0271714	0.0265565	0.040871	0.0503142	0.0505589	0.0516396	0.0245822	0.0232246	0.0317793	0.0381878	0.0196032	0.0225393	0.017978	0.0149049	0.0157627	0.0162749	0.0156637	0.0259017	0.0344776	0.0264331	0.0271518	0.00870535	0.0163992	0.0168258	0.0170394	0.0175841	0.0173287	0.0174198	0.0168385	0.0125997
que	0.0530268	0.0325202	0.0340863	0.0166533	0.0225213	0.0193469	0.0338974	0.0203728	0.0191199	0.0168167	0.0239795	0.0417952	0.0377886	0.032821	0.0544194	0.04275	0.0445464	0.0205632	0.0127395	0.0138395	0.012937	0.0115205	0.0137878	0.00847724	0.012675	0.0113748	0.0113237	0.0081811	0.0220393	0.0209096	0.018696	0.0260207	0.0157412	0.0249683	0.0263044	0.0312726	0.0294157	0.032959	0.0284971	0.0280552	0.01124
tu	0.0299822	0.0162548	0.00906222	0.00808808	0.0061138	0.00773523	0.00862421	0.00845455	0.00540798	0.00670788	0.00727433	0.0144617	0.0112778	0.00903885	0.0316189	0.0206566	0.0265179	0.012414	0.0101302	0.0132648	0.0107931	0.0101165	0.0125582	0.00789084	0.0139005	0.0225928	0.0371446	0.0400899	0.0834917	0.0749536	0.0549669	0.0832153	0.0316124	0.0518324	0.0346324	0.0412917	0.0299064	0.0359897	0.027469	0.0240657	0.00840023
es	0.0210571	0.0103566	0.00590905	0.00316488	0.00332514	0.00249162	0.00293229	0.00199522	0.0024482	0.00295775	0.00295092	0.00480443	0.00566054	0.00616457	0.0101971	0.0098216	0.0130156	0.0167355	0.0089213	0.00722223	0.00605263	0.0057143	0.00801764	0.00445385	0.0110143	0.0247233	0.0344948	0.0510847	0.0661365	0.0580704	0.0357302	0.0689413	0.0345177	0.057992	0.078497	0.0707892	0.055491	0.0657282	0.048794	0.0524736	0.0191517
persévérant	0.0494183	0.0281519	0.0129805	0.0163203	0.00781081	0.00975492	0.00650628	0.00516605	0.00685719	0.0116837	0.00587321	0.00897928	0.00660651	0.00931247	0.0139647	0.017699	0.0223494	0.0211427	0.0163042	0.016654	0.0208201	0.021352	0.0244936	0.0151864	0.0154617	0.0181576	0.0222084	0.0275612	0.057881	0.0553752	0.0351374	0.0639162	0.0207955	0.0272318	0.0307063	0.0408646	0.0351981	0.0467142	0.0434368	0.0467875	0.0371789
