 	a66	a87	a23	a50	a83	a93	a11	a0	a75	a47	a85	a5	a21	a12	a31	a21	a5	a61	a75	a92	a37	a75	a37	a93	a4	a57	a3	a87	a23	a38	a93	a56	a92	a37	a75	a85	a6	a36	a90	a44	a75	a37	a66	a61	a18	a71	a9	a87	a23	a97	</S>
au	0.0589823	0.0701462	0.0714129	0.0450896	0.0619538	0.0384355	0.0239952	0.0315616	0.0557686	0.0425883	0.0261953	0.0181721	0.0228153	0.0142287	0.0190636	0.0146888	0.0180448	0.016218	0.0172336	0.00579024	0.00703071	0.0233374	0.0177475	0.0190834	0.0439884	0.0172638	0.0232283	0.00806344	0.00645297	0.00397444	0.00266761	0.00315024	0.00440119	0.00723836	0.0131253	0.0123518	0.0107886	0.00890909	0.0064066	0.00819218	0.00500779	0.00713769	0.0070915	0.00425378	0.00682883	0.008065	0.00540209	0.00785016	0.0084764	0.0101629	0.00993828
commencement	0.0139818	0.0197247	0.0385817	0.0336802	0.0363125	0.0486202	0.044724	0.0320004	0.0704387	0.108662	0.0998089	0.0426634	0.036828	0.020441	0.030485	0.0116625	0.0223405	0.0330951	0.00940987	0.0189662	0.0182465	0.00774851	0.0117364	0.00192314	0.0134486	0.0148634	0.030656	0.0104256	0.00705754	0.00443726	0.00373566	0.00487798	0.00630182	0.0134917	0.0140344	0.0167548	0.00844275	0.00341435	0.00232327	0.00220222	0.00220528	0.00288817	0.00179958	0.00253263	0.00107746	0.00344629	0.00322775	0.00177594	0.00522018	0.00402125	0.00325685
quand	0.0408424	0.0247118	0.0302392	0.0148576	0.0127949	0.00775239	0.00762513	0.0100607	0.0120432	0.0174183	0.0211069	0.0266764	0.0319109	0.0286907	0.0379177	0.0337412	0.0413312	0.0520461	0.0431447	0.0214394	0.0331422	0.042844	0.0373096	0.0396017	0.0413377	0.0259755	0.0511345	0.0176052	0.0209957	0.00825468	0.0179507	0.0165639	0.0147605	0.0131762	0.010429	0.00877968	0.00575974	0.00894988	0.00266633	0.00225837	0.00206476	0.00319871	0.00231089	0.00346766	0.00380351	0.00839575	0.00547895	0.00797544	0.00815908	0.0120039	0.00729564
dieu	0.0140874	0.00685113	0.00499782	0.0042839	0.00790708	0.00581766	0.00610521	0.00797206	0.00665301	0.00731887	0.0114016	0.0205018	0.0179743	0.0211693	0.0365154	0.0380956	0.028034	0.0438441	0.0372996	0.0260769	0.0398879	0.0762977	0.0354654	0.0350029	0.0299975	0.0170055	0.023256	0.0132988	0.0179919	0.0211816	0.0408374	0.0437747	0.0216355	0.0162145	0.0181156	0.00957936	0.00878205	0.0157817	0.00824382	0.00712756	0.00718366	0.00653661	0.00421566	0.0086321	0.0142106	0.0135648	0.0179108	0.0223319	0.0126414	0.0195523	0.0208361
créa	0.0179669	0.0115486	0.0110217	0.00299614	0.00567617	0.00756883	0.00606737	0.00831517	0.00734232	0.0031718	0.0162603	0.0297114	0.0401548	0.040023	0.0396099	0.0525167	0.0327522	0.0531234	0.0290472	0.0124766	0.0468844	0.0520498	0.0364158	0.0475787	0.0366672	0.0215049	0.0322223	0.0235242	0.0165304	0.0182058	0.0227734	0.0226946	0.0138267	0.0193624	0.0153881	0.0179477	0.0114558	0.0114143	0.00389598	0.00514119	0.00511114	0.0041652	0.00359837	0.00619022	0.00706776	0.00985787	0.00785436	0.00883122	0.0089575	0.0187542	0.0167781
l'	0.0123753	0.00692916	0.00894906	0.00484847	0.00327166	0.00386074	0.00327758	0.00395602	0.00457935	0.00642011	0.0112502	0.0280173	0.0289715	0.0351195	0.039921	0.064405	0.0471812	0.0511137	0.0722483	0.0580648	0.0676683	0.0585395	0.0502475	0.0593004	0.0370664	0.0178736	0.0248568	0.0174558	0.0186968	0.011673	0.0293965	0.017319	0.0102464	0.00898367	0.00882119	0.00794298	0.00554493	0.0103642	0.00329569	0.00239996	0.00358079	0.00305634	0.00159968	0.00256026	0.00280671	0.00286793	0.00202465	0.00477689	0.00261699	0.00408015	0.00757693
homme	0.0140864	0.00774098	0.00704256	0.00245426	0.00157458	0.00187621	0.00202747	0.00255643	0.00266243	0.00536324	0.0105117	0.0228642	0.0269951	0.0300372	0.0312464	0.0422464	0.0324319	0.0549652	0.0340848	0.0304697	0.0516206	0.0526173	0.0448625	0.0478626	0.0329036	0.0182453	0.0281877	0.0229012	0.0228349	0.0212937	0.041279	0.0237044	0.0160794	0.0191903	0.0125126	0.0217067	0.0122388	0.0288915	0.0150074	0.0103987	0.0149156	0.0239919	0.00555969	0.00553751	0.0077009	0.00771201	0.00536932	0.0064071	0.00547687	0.00567987	0.00407381
celui-ci	0.0242161	0.0125122	0.0124349	0.00421624	0.00343586	0.00431776	0.00467094	0.00406469	0.00422348	0.0059951	0.012713	0.0242558	0.0371759	0.0363796	0.0279462	0.0407824	0.038131	0.0342746	0.0345652	0.0309908	0.0404932	0.0332635	0.039546	0.0573518	0.0277634	0.0159867	0.0157919	0.0157775	0.0205822	0.0164674	0.030485	0.0243555	0.0141033	0.0093054	0.0104068	0.00814674	0.0105552	0.0122627	0.00992518	0.0103579	0.0165005	0.0125075	0.0116361	0.0228749	0.0213673	0.0163317	0.017113	0.0206212	0.0148231	0.0163295	0.00966616
était	0.0160074	0.00865232	0.00758441	0.00463592	0.00424599	0.00548934	0.00528652	0.00566055	0.00418275	0.00628981	0.0139971	0.0275352	0.030571	0.0323487	0.0254257	0.0300055	0.025788	0.0312049	0.0308193	0.0172693	0.0296274	0.0267009	0.0367447	0.0399239	0.017284	0.0127924	0.0132724	0.0148131	0.015522	0.0140682	0.0184837	0.018576	0.0132294	0.0101374	0.0108091	0.00891962	0.0103517	0.0131785	0.0110653	0.0138164	0.0185208	0.0235555	0.0192897	0.0351703	0.0385077	0.0300801	0.0358724	0.0432611	0.0264402	0.0287793	0.0182072
parfait	0.0156842	0.0123217	0.0137068	0.00850404	0.00773694	0.00823651	0.00576455	0.00430837	0.00343837	0.00539498	0.0101235	0.0161759	0.0288042	0.0234241	0.0173548	0.0217337	0.0232335	0.0224063	0.0147252	0.00746171	0.0176627	0.0214927	0.0314051	0.0417768	0.0241299	0.0137141	0.0137786	0.0178483	0.0224259	0.029393	0.031483	0.0321715	0.0259751	0.0214991	0.0234752	0.0189346	0.024607	0.0239979	0.0100976	0.016335	0.0172278	0.0221311	0.0199191	0.0239889	0.0262207	0.0263069	0.0207816	0.0254238	0.0317566	0.0412399	0.012261
