 	a87	a23	a54	a47	a6	a36	a56	a75	a25	a56	a92	a37	a36	a6	a36	a2	a57	a87	a23	a87	a23	a97	</S>
on	0.129701	0.117344	0.078624	0.0902961	0.0472283	0.0489107	0.0259684	0.0156688	0.00592861	0.00715346	0.00451316	0.00528203	0.00729189	0.0152116	0.0235965	0.0278285	0.0496348	0.0250492	0.0337199	0.0371527	0.0490385	0.0859256	0.0689318
tisse	0.0233678	0.0222532	0.0251996	0.0383397	0.0658929	0.0727231	0.09447	0.0544391	0.0375295	0.0345439	0.0111114	0.0100753	0.016806	0.02567	0.0191239	0.0604617	0.0515725	0.0335426	0.0738369	0.0573204	0.0555578	0.0594069	0.0567558
la	0.0228226	0.019496	0.0184338	0.0193921	0.0246132	0.0246972	0.0223902	0.0122773	0.00533589	0.00591552	0.00655736	0.0294013	0.0286923	0.0750854	0.0449756	0.0250673	0.0348993	0.0664162	0.0726054	0.0799465	0.0901969	0.0920903	0.178692
hotte	0.00662276	0.00753721	0.0202522	0.0166553	0.0285801	0.0478467	0.0910173	0.117679	0.103282	0.112876	0.115976	0.0796092	0.103902	0.0357284	0.0294991	0.0150252	0.0137918	0.0175886	0.00883319	0.0138077	0.00494791	0.00422341	0.00471873
à	0.0271817	0.018595	0.0257722	0.0249467	0.0127607	0.0179612	0.00969002	0.0144369	0.02751	0.0391178	0.0338069	0.0671078	0.0920649	0.120578	0.0880226	0.0419346	0.0452447	0.0537592	0.0544276	0.0540922	0.0423333	0.0299148	0.0587409
l'	0.0390066	0.0208673	0.0120859	0.00736343	0.0056688	0.00966507	0.00805287	0.0082083	0.0117467	0.0384969	0.0439964	0.0672238	0.0969481	0.0909729	0.0817721	0.0827901	0.0953623	0.0414097	0.0538088	0.0547867	0.0473363	0.0471318	0.0352994
aide	0.0370607	0.0215148	0.0227393	0.0174421	0.00715226	0.00798328	0.0065822	0.0125784	0.0112154	0.0173913	0.0244557	0.0412528	0.0516874	0.0360947	0.0691804	0.0829976	0.102874	0.0613403	0.0848422	0.0762086	0.0828154	0.0758784	0.0487133
de	0.126107	0.052084	0.0421022	0.0185918	0.00776606	0.00863691	0.00605062	0.0150801	0.0148369	0.0189903	0.0152568	0.023777	0.040441	0.0249987	0.0492431	0.0272849	0.0523431	0.0447111	0.0643035	0.0494779	0.0789483	0.0684024	0.150566
la	0.169936	0.0925703	0.0776586	0.028677	0.0124632	0.0165869	0.0108419	0.0254654	0.0315146	0.0539677	0.062125	0.0614639	0.0537238	0.0273513	0.023628	0.0240887	0.0336833	0.0256719	0.024582	0.0276152	0.0262721	0.0404598	0.0496532
liane	0.0879472	0.0494151	0.0490535	0.0236764	0.0125039	0.0160848	0.0124139	0.0240624	0.0337588	0.0407409	0.0521901	0.0692278	0.0897444	0.0443716	0.0245146	0.0364138	0.0435891	0.0259315	0.0372061	0.0367577	0.0402849	0.055908	0.0942038
lekaa	0.189343	0.0995925	0.0743124	0.0419141	0.0162413	0.0176559	0.0103698	0.0159254	0.0312714	0.023756	0.0459433	0.055132	0.0589124	0.0445278	0.0273221	0.0296591	0.0287118	0.0252804	0.0232445	0.0258883	0.0280951	0.0301809	0.0567207
</S>	0.219484	0.128518	0.0893938	0.046008	0.0134052	0.0163513	0.00716042	0.00852963	0.011232	0.0192701	0.0189969	0.0202324	0.0222784	0.0206373	0.0225295	0.0222458	0.0345718	0.0235026	0.0236671	0.02834	0.0386472	0.0486595	0.116339
