 	a66	a87	a23	a83	a88	a0	a31	a21	a12	a98	a47	a98	a79	a37	a44	a93	a70	a4	a57	a3	a87	a23	a87	</S>
nous	0.0318331	0.0318679	0.0270859	0.0280985	0.0255729	0.0266542	0.0276408	0.0192521	0.00997107	0.00986931	0.017968	0.0294166	0.0273532	0.0251389	0.0256346	0.0731703	0.0632021	0.0688781	0.117332	0.062527	0.0493149	0.0785085	0.0635044	0.0602058
avons	0.0330803	0.0237018	0.0361727	0.0124419	0.0100186	0.0150178	0.0222116	0.0398155	0.0582964	0.0351166	0.0317916	0.03169	0.04362	0.0502418	0.0497125	0.0595369	0.07095	0.0767539	0.0675484	0.0573578	0.0555459	0.0397625	0.0478784	0.0317372
l'	0.0197539	0.014546	0.00995529	0.0188074	0.0218792	0.0228694	0.0529953	0.0414233	0.0378496	0.0410247	0.0258931	0.0177134	0.0175338	0.0171629	0.0129014	0.0359962	0.0633193	0.0652479	0.0420288	0.0815693	0.0568988	0.117253	0.0879774	0.0774012
habitude	0.0168385	0.0104424	0.0084007	0.0126823	0.0308287	0.0748519	0.0379973	0.0581277	0.113803	0.104165	0.0950191	0.0869873	0.0488826	0.0381765	0.0469704	0.0532804	0.0284147	0.0605266	0.0321247	0.0147229	0.0111913	0.00382549	0.00232323	0.00941743
de	0.126837	0.0853825	0.0778622	0.0422491	0.0349554	0.0177083	0.0226101	0.0269207	0.0165573	0.018365	0.00847086	0.013581	0.0120786	0.00887656	0.0165157	0.0112914	0.0147845	0.020793	0.0519084	0.0461621	0.0562503	0.0523132	0.151953	0.0655739
boire	0.082734	0.120804	0.070867	0.086826	0.0608564	0.038278	0.0118952	0.0400231	0.066027	0.0831424	0.026971	0.0303684	0.0137575	0.0110706	0.0182885	0.012081	0.0153015	0.0263191	0.0328507	0.0257891	0.0207711	0.0225222	0.0471031	0.0353527
le	0.0911452	0.10682	0.0772269	0.062995	0.0208377	0.0146373	0.0207945	0.0101363	0.00834986	0.0160697	0.00860272	0.00958176	0.00315819	0.00369057	0.00872007	0.0153524	0.0258698	0.0427553	0.0706271	0.0611708	0.0972072	0.0680461	0.0995753	0.0566305
vin	0.0405148	0.0470288	0.0332974	0.030022	0.0132915	0.00844716	0.0174276	0.00940982	0.00720473	0.0206029	0.00832282	0.00983983	0.00339522	0.0050652	0.00859702	0.0199426	0.042486	0.0677211	0.0762983	0.0977741	0.113636	0.100419	0.138086	0.0811695
de	0.0515894	0.0677944	0.0756249	0.0482933	0.0230796	0.0079834	0.00953279	0.0105932	0.0054346	0.00874757	0.00348255	0.00503815	0.00223015	0.00347206	0.00713245	0.00916739	0.0258752	0.0402909	0.0745694	0.115155	0.09168	0.101064	0.163008	0.0491614
palme	0.0338598	0.026502	0.0350763	0.0224678	0.0172188	0.00896	0.0172661	0.0148114	0.00924397	0.0165683	0.00384335	0.00758246	0.00367768	0.00624241	0.0126885	0.0188799	0.0748512	0.0666525	0.0735482	0.130092	0.0906217	0.095678	0.134864	0.0788034
</S>	0.0290513	0.0243353	0.0304395	0.0253517	0.0255447	0.0141923	0.0124077	0.0146411	0.0081934	0.00790985	0.00285662	0.00519923	0.00564654	0.00975173	0.0173189	0.0223614	0.0574149	0.0544863	0.0698245	0.116793	0.0826576	0.0907132	0.122955	0.149955
