 	a23	a85	a87	a23	a87	a23	a18	a38	a24	a41	a18	a31	a24	a41	a27	a25	a87	a23	a79	a20	a41	a27	a11	a62	a18	a88	a71	a53	a90	a94	a66	a54	a73	a94	a66	a38	a75	a41	a18	a25	a87	</S>
sur	0.110326	0.0989713	0.0405708	0.0395338	0.0317598	0.0292002	0.0433351	0.0437565	0.0132406	0.0233189	0.0290073	0.0121774	0.0163597	0.00905616	0.0161394	0.0103394	0.0137803	0.00917755	0.0110303	0.0180597	0.0242891	0.0203482	0.01331	0.00963344	0.00907201	0.00790214	0.00695288	0.00975777	0.0127943	0.0240234	0.018078	0.0279374	0.023988	0.0252247	0.0208293	0.0269157	0.0235578	0.0141249	0.0122356	0.0112815	0.0120784	0.0265247
cette	0.0136251	0.00940564	0.00415908	0.0067787	0.00758714	0.00627604	0.0105902	0.00852769	0.00409585	0.0115865	0.021263	0.0148513	0.0228486	0.029869	0.0326379	0.0815951	0.031496	0.0278508	0.0321004	0.023095	0.0396653	0.0202358	0.012007	0.0128496	0.013038	0.00668926	0.0174036	0.010244	0.0343636	0.027538	0.100512	0.0660745	0.0469773	0.0237534	0.0319188	0.0252706	0.0236253	0.0168099	0.0140803	0.0200565	0.0234655	0.0131831
bande	0.0141747	0.00719229	0.00375738	0.00364768	0.00669083	0.00746113	0.00892616	0.00879736	0.00920208	0.00985068	0.0199484	0.024755	0.0295073	0.0386192	0.030853	0.0543469	0.029271	0.100873	0.137283	0.10583	0.0923713	0.053723	0.0443558	0.0319606	0.0421753	0.0221885	0.0216694	0.00623367	0.00614927	0.0050043	0.00621856	0.00400761	0.00199475	0.00236775	0.00144529	0.00156052	0.000659419	0.00100457	0.000525765	0.000765112	0.000938092	0.00169446
de	0.0489855	0.0167231	0.00483205	0.00675612	0.0112782	0.00715078	0.00441735	0.00673051	0.0111837	0.00627837	0.0160499	0.029498	0.0242573	0.0527331	0.0420076	0.0730588	0.0485161	0.0336303	0.039368	0.0256934	0.0377468	0.0381225	0.0323063	0.0222356	0.0299976	0.0278941	0.0382663	0.0376615	0.0279212	0.0134153	0.0158977	0.0211951	0.00868876	0.00806755	0.0110353	0.0110728	0.0172198	0.0197476	0.0160234	0.0194209	0.0257481	0.0111672
terrain	0.0524578	0.0154112	0.0106706	0.00385614	0.00439736	0.00360843	0.00248619	0.00260507	0.00809648	0.0062539	0.00807083	0.0153993	0.0111234	0.0258907	0.0168425	0.0214792	0.00593962	0.00860553	0.00695374	0.00720843	0.0133467	0.0165474	0.0116048	0.0155472	0.0201561	0.012481	0.0277884	0.0169772	0.0241927	0.0105796	0.0426533	0.0177247	0.0272674	0.0374364	0.0792238	0.0677397	0.0757169	0.0520096	0.0379519	0.0669625	0.066769	0.0219671
il	0.0596041	0.0400908	0.0254264	0.0092731	0.00538128	0.00433108	0.00708532	0.00652565	0.0105286	0.0117368	0.010285	0.0171967	0.0126569	0.0148509	0.0130948	0.0123243	0.0135009	0.0107231	0.0108379	0.00738895	0.00939491	0.00970143	0.00743136	0.01144	0.0127473	0.0137921	0.0191694	0.0160123	0.016226	0.0152476	0.034801	0.0274196	0.0293675	0.0156802	0.0348476	0.0295668	0.0311207	0.0384228	0.0832973	0.0595771	0.0835774	0.098317
a	0.0639452	0.0270035	0.00844594	0.00525554	0.00376616	0.00209257	0.00412442	0.00413738	0.00666112	0.00596432	0.00571263	0.00906284	0.00599025	0.0110329	0.011025	0.0106854	0.0141411	0.00428915	0.00577286	0.00355415	0.00418937	0.00524059	0.00360983	0.00758921	0.00943424	0.00688848	0.00889125	0.00655395	0.00827214	0.00590964	0.00979648	0.0122292	0.0196546	0.0215059	0.0370219	0.0382098	0.0464957	0.0576069	0.120999	0.109367	0.133681	0.114191
fait	0.0605781	0.033194	0.0171417	0.0117014	0.00391653	0.00367571	0.00830239	0.00756263	0.00899781	0.0113764	0.00966474	0.0111029	0.010889	0.0108154	0.0191035	0.013486	0.0118519	0.00802518	0.00976641	0.00672856	0.0144523	0.0110605	0.0110985	0.0106328	0.0101462	0.012024	0.00711698	0.00731295	0.00679571	0.00745355	0.0155995	0.0165568	0.0247476	0.0264383	0.0383964	0.048974	0.0486375	0.0532575	0.0910008	0.0615784	0.10106	0.0977798
une	0.0417599	0.0332749	0.0167636	0.0142435	0.00470479	0.00532713	0.00788249	0.00844234	0.00918783	0.00936922	0.00833689	0.0104022	0.00798595	0.0120876	0.0157982	0.00794783	0.00773045	0.00454587	0.00715241	0.00454451	0.00960384	0.00709084	0.00722287	0.00617124	0.00609361	0.00817424	0.00773963	0.00642262	0.0061758	0.00570551	0.0101825	0.0125947	0.0356756	0.0287507	0.0494505	0.0556011	0.064866	0.0673825	0.089232	0.0639556	0.0801951	0.134226
belle	0.03639	0.0281686	0.0206714	0.0191005	0.0108229	0.00981846	0.0130775	0.0137788	0.0130802	0.0156669	0.0149274	0.0177601	0.0120116	0.0225345	0.0193024	0.0117352	0.0120629	0.00839027	0.00921412	0.00684479	0.00951657	0.00773132	0.00785992	0.00672901	0.0108763	0.0123986	0.0151147	0.0112373	0.015355	0.0120458	0.0265006	0.0201	0.0366882	0.0152684	0.0353887	0.0366403	0.0445256	0.0514906	0.0720028	0.0523192	0.0759556	0.108897
plantation	0.0490601	0.037727	0.038075	0.0415949	0.0172206	0.019436	0.025387	0.0263136	0.0289397	0.0338012	0.0329761	0.0348439	0.0125526	0.0187079	0.0143353	0.0091009	0.00750019	0.00886394	0.00630211	0.00634099	0.00446228	0.0050968	0.00339562	0.0051575	0.00687605	0.00598663	0.00762523	0.00553844	0.0127553	0.0143933	0.0184171	0.0285857	0.0431907	0.0223378	0.0333246	0.0325935	0.0345949	0.0377796	0.0428186	0.0426925	0.0557734	0.0675257
</S>	0.0384562	0.0268359	0.0152449	0.0148212	0.003083	0.00586575	0.00582879	0.00646033	0.00473049	0.00521392	0.0039918	0.00307947	0.00298615	0.00424209	0.00325972	0.00277454	0.00183062	0.00293008	0.00217611	0.00389433	0.00550397	0.0054284	0.00561468	0.00770844	0.00960225	0.00730772	0.00716902	0.00764592	0.00811757	0.00705101	0.00682737	0.00917296	0.0252187	0.0344932	0.0750885	0.0803323	0.0727955	0.110921	0.129356	0.0822869	0.0758212	0.0688317
