 	a66	a87	a23	a99	a53	a44	a11	a43	a61	a75	a85	a6	a36	a75	a85	a47	a36	a0	a43	a11	a90	a94	a57	a3	a87	a99	a54	a30	a6	a36	a85	a5	a61	a88	a62	a21	a85	a6	a37	a90	a56	a43	a75	a37	a43	a21	a47	a88	a71	a25	a87	a23	a87	</S>
le	0.018456	0.0260103	0.0293885	0.0335225	0.0211519	0.0305206	0.0486745	0.0683957	0.0597304	0.0553789	0.0436346	0.02181	0.025033	0.0148074	0.0197723	0.0230836	0.0132776	0.0181849	0.0093319	0.0186913	0.0184594	0.0241847	0.0222357	0.0160486	0.0153948	0.0153867	0.0281161	0.0212207	0.0165818	0.0182601	0.00993145	0.0139432	0.0112047	0.0100836	0.00757145	0.00760362	0.0107239	0.00897503	0.00671101	0.00627248	0.00916075	0.00627447	0.00726394	0.00517513	0.00803593	0.00501843	0.0066965	0.00843407	0.0110304	0.00832345	0.00684709	0.00873204	0.00618448	0.0150586
cabri	0.00267873	0.00235585	0.0159511	0.011687	0.0222711	0.056884	0.0406643	0.101436	0.0243202	0.100309	0.0393882	0.0822988	0.0359436	0.0206449	0.0294834	0.0414305	0.0396876	0.0389517	0.0370242	0.0255764	0.0142344	0.028499	0.0296097	0.0227624	0.0281121	0.0131891	0.0208584	0.00767725	0.00890705	0.011557	0.00444505	0.00967901	0.00448876	0.00305757	0.00132649	0.00271074	0.00341978	0.00312105	0.00142001	0.00205985	0.00285762	0.00163177	0.00114389	0.000611177	0.000230691	0.00071495	0.000305291	0.000216169	0.000228246	0.000267027	0.000369841	0.000258304	0.000701435	0.000342188
broute	0.0206133	0.0221628	0.0245458	0.0214272	0.0223639	0.031349	0.0252136	0.0311459	0.039966	0.0559991	0.0226304	0.0378425	0.0132991	0.0109613	0.0204051	0.0470597	0.0704221	0.106306	0.055039	0.044847	0.0275057	0.0257604	0.0175716	0.0145404	0.0200872	0.0124332	0.0114756	0.00740523	0.017354	0.0154395	0.0115347	0.0109827	0.00930085	0.0104762	0.00785595	0.00688225	0.0047405	0.00481115	0.00614659	0.00254125	0.00481095	0.00577085	0.00469871	0.00134901	0.00132518	0.000745933	0.00109146	0.00150832	0.00156095	0.000753888	0.00142807	0.00147781	0.00384315	0.00119184
l'	0.0314358	0.0189411	0.0141772	0.0131836	0.00779369	0.0100186	0.0133713	0.0171685	0.00910007	0.0197118	0.0180979	0.0177188	0.0250831	0.0229181	0.0317561	0.0305844	0.0404989	0.0234083	0.0296738	0.0133904	0.0156522	0.0201674	0.0327393	0.0283036	0.0194789	0.0325717	0.0415313	0.0347337	0.0536176	0.054338	0.0473833	0.0224363	0.0266444	0.0187907	0.00830843	0.00708625	0.00353941	0.00346967	0.0060222	0.00585014	0.0069112	0.00571164	0.00560037	0.00655452	0.00602184	0.00618232	0.00620073	0.00648188	0.00812277	0.00911554	0.010601	0.00967763	0.0106658	0.0114569
herbe	0.0474037	0.0299225	0.0226555	0.0128282	0.00847707	0.00619031	0.00381728	0.00471729	0.0043863	0.00397459	0.00756445	0.00734317	0.0082455	0.0148845	0.0148302	0.0196428	0.0175407	0.0194074	0.0174273	0.0306547	0.0313079	0.0471063	0.0451386	0.0359753	0.0279009	0.03202	0.0290373	0.0261029	0.0335946	0.0301067	0.0332323	0.0361315	0.0490649	0.0461253	0.0310078	0.0252342	0.0115844	0.00990095	0.00968201	0.00724122	0.0141495	0.0171928	0.00930272	0.00267873	0.00382859	0.00274832	0.0041919	0.00532656	0.0107042	0.00612794	0.00600602	0.00467162	0.00620476	0.00745771
mais	0.0162813	0.0188791	0.00892074	0.00563223	0.00331844	0.00345572	0.00339981	0.00397749	0.007393	0.0053199	0.0112404	0.0107352	0.0157576	0.0201761	0.0217436	0.0286671	0.0282722	0.0236409	0.030569	0.0478377	0.0412147	0.0382378	0.0275534	0.0312875	0.0213842	0.0244121	0.0177804	0.0199831	0.0240505	0.018273	0.0169508	0.00877999	0.0201186	0.0201276	0.0204709	0.0119856	0.00635025	0.00622764	0.00536729	0.00367692	0.00620058	0.0114357	0.0138752	0.0148072	0.0250236	0.0257868	0.027682	0.0309467	0.0343424	0.0224732	0.0209433	0.0262286	0.0206386	0.0201661
moi	0.0102321	0.0125918	0.0116952	0.0121453	0.00808821	0.00663117	0.00522864	0.00466445	0.00513323	0.00480866	0.00752832	0.00724586	0.00704936	0.0103224	0.0123364	0.0210709	0.0190815	0.0151456	0.026914	0.0415384	0.0393187	0.033345	0.0205032	0.0255376	0.0243059	0.0231649	0.0217173	0.0219762	0.017805	0.0153367	0.0175617	0.0133293	0.0286025	0.0158938	0.0141105	0.0154475	0.00877545	0.00832776	0.00695181	0.00893257	0.00815209	0.0123752	0.0182247	0.0202651	0.0322508	0.0285102	0.040608	0.0340434	0.043242	0.029177	0.0244651	0.0241604	0.0263918	0.0277396
je	0.0147514	0.0159578	0.0178995	0.0193567	0.0127603	0.011556	0.00876014	0.0105147	0.00840574	0.00774972	0.00793834	0.00726485	0.00641126	0.00795449	0.00902332	0.0192852	0.0110088	0.0140019	0.0135177	0.01968	0.0253888	0.0267962	0.0234277	0.032927	0.0215063	0.0261692	0.0267301	0.0211968	0.0169115	0.0148385	0.0148194	0.012356	0.0162545	0.0158023	0.0167806	0.0199752	0.0128311	0.0135924	0.0129292	0.023403	0.0158463	0.0279662	0.0328637	0.0223141	0.0309821	0.0184904	0.0255816	0.020565	0.0395519	0.0236141	0.021808	0.0268054	0.0267674	0.0284104
ne	0.017731	0.0196822	0.0226022	0.0269168	0.016277	0.0183086	0.0155083	0.0149272	0.00795659	0.00551043	0.00382995	0.00263253	0.00221295	0.00410264	0.00387356	0.00864634	0.00596167	0.00691974	0.0066393	0.00834227	0.00924932	0.0109631	0.0088452	0.01191	0.0130812	0.0100474	0.0109589	0.0121761	0.0073533	0.0061489	0.00641516	0.0054316	0.00675615	0.00786002	0.0103871	0.0131719	0.0112717	0.0144482	0.0125863	0.0241607	0.0184152	0.0330786	0.0293449	0.0267881	0.0295954	0.0346592	0.0361235	0.0389955	0.0717299	0.0488327	0.041099	0.0434868	0.0492581	0.0667893
mange	0.0324962	0.0281746	0.0318421	0.0331624	0.0251218	0.0264594	0.0171155	0.0117675	0.00672742	0.00631752	0.00569278	0.00383001	0.00378971	0.00693428	0.00614946	0.0128271	0.00905782	0.0100464	0.00915082	0.0117451	0.0102506	0.011761	0.0103537	0.0118077	0.0132328	0.0115668	0.0120465	0.0123325	0.00988855	0.00825178	0.00740089	0.00566713	0.0068151	0.010616	0.01409	0.0165739	0.016297	0.0204311	0.0189745	0.0341807	0.0270947	0.035416	0.0224285	0.0203755	0.022145	0.0294672	0.0283859	0.0269897	0.0504186	0.0271492	0.031998	0.0268606	0.043477	0.0468481
