 	a66	a87	a23	a87	a83	a62	a96	a43	a93	a75	a61	a21	a12	a21	a85	a6	a56	a21	a85	a6	a36	a27	a84	a87	a23	a87	</S>
dans	0.0432526	0.048765	0.0357768	0.0310642	0.0239611	0.0393359	0.020984	0.0182967	0.0211926	0.0110841	0.01034	0.00862629	0.0121041	0.0120141	0.0268474	0.0427673	0.0512977	0.0367881	0.0736216	0.0547071	0.0239553	0.0684993	0.0676255	0.0502869	0.0372805	0.0376715	0.0918544
ma	0.0530939	0.0600057	0.0751528	0.0660025	0.0499717	0.0460055	0.0406378	0.0357939	0.0368141	0.0270585	0.0229432	0.0239548	0.0319278	0.0348436	0.0295917	0.0265132	0.0240328	0.0312389	0.0295446	0.0303911	0.0341979	0.0241699	0.0234422	0.0324756	0.0297278	0.0489794	0.0314893
parcelle	0.0897466	0.0649162	0.0378677	0.0623845	0.0658721	0.115478	0.117782	0.0691553	0.0288639	0.0255397	0.0213388	0.0181197	0.067567	0.0279365	0.0170453	0.00761817	0.00760011	0.0217064	0.0119453	0.0178498	0.011906	0.0170962	0.0134681	0.0173471	0.0159425	0.022727	0.00518067
il	0.126231	0.0693612	0.045631	0.0581926	0.0529355	0.0605624	0.0593827	0.038133	0.0289151	0.0291965	0.0235674	0.026612	0.0186685	0.0225506	0.0205063	0.0133695	0.0179836	0.0181743	0.0235549	0.0308677	0.033786	0.021781	0.0195763	0.030335	0.0332637	0.0407407	0.0361213
y	0.0365497	0.0178436	0.00833166	0.00762691	0.00707551	0.00870311	0.00811748	0.0118666	0.010148	0.01437	0.0229279	0.0448127	0.0333553	0.050784	0.0396615	0.0546411	0.0378192	0.0696853	0.047325	0.0548533	0.0490292	0.0439981	0.0580229	0.071529	0.063921	0.0589965	0.0680055
a	0.0432569	0.0205145	0.0149749	0.0106449	0.0093801	0.00676025	0.00644498	0.00783224	0.0115748	0.0183294	0.0203593	0.0281909	0.0201075	0.0243126	0.0185245	0.0289251	0.041377	0.070844	0.0754384	0.0687486	0.049068	0.0639786	0.0614628	0.0770309	0.0681654	0.0580926	0.075661
des	0.0260294	0.0239644	0.0213829	0.0192242	0.0173924	0.0162706	0.0132609	0.0122774	0.0113323	0.00785633	0.00674325	0.00788392	0.00720477	0.0105179	0.0189859	0.0437158	0.0409807	0.0498279	0.0511708	0.0509831	0.0806836	0.0616123	0.0646211	0.105845	0.0663557	0.0690185	0.094859
palmiers	0.0396264	0.0187302	0.0122471	0.011098	0.0148617	0.0168907	0.0188082	0.0200747	0.0215288	0.018441	0.0190708	0.0170107	0.0129587	0.0147885	0.0116067	0.0156358	0.0287981	0.0325225	0.0445908	0.0294065	0.0477486	0.0493323	0.062	0.0975664	0.0800239	0.0996813	0.144952
à	0.0495807	0.0149987	0.00705324	0.00500842	0.00606476	0.00565292	0.00415494	0.00523926	0.00765506	0.0045644	0.00565407	0.00510386	0.00526208	0.00387508	0.00683118	0.00844574	0.0155107	0.0239259	0.040567	0.0344144	0.0524955	0.0831365	0.0865836	0.121983	0.115595	0.135211	0.145433
huile	0.0598517	0.0196486	0.0105317	0.0089322	0.00953849	0.00860773	0.00875072	0.00901323	0.0116119	0.0108725	0.0139727	0.0174224	0.0151927	0.01583	0.0181018	0.0171576	0.0272891	0.0471082	0.0466283	0.0432856	0.0326662	0.0715977	0.0612077	0.100762	0.0983268	0.157049	0.0590433
</S>	0.0517152	0.0215991	0.0130738	0.0102451	0.00778749	0.00528307	0.00433935	0.00519438	0.00518188	0.00469939	0.00782467	0.0141316	0.016767	0.0139054	0.0212417	0.0208008	0.0213419	0.0497006	0.047056	0.0358718	0.0192553	0.074495	0.0616984	0.0997164	0.124462	0.18833	0.0542825
