 	a10	a87	a23	a53	a15	a98	a92	a37	a62	a88	a9	a75	a79	a37	a90	a15	a92	a34	a21	a5	a43	a25	a56	a62	a83	a38	a75	a47	a26	a57	a99	a87	a23	a87	a23	a10	a50	a75	a79	a90	a98	a85	a6	a26	a56	a70	a75	a25	a4	a13	a53	a75	a21	a44	a98	a85	a92	a44	a98	a85	a37	a62	a47	a88	a24	a88	a71	a11	a93	a70	a96	a18	a26	a9	a97	a87	a97	a9	a99	a97	</S>
tout	0.0122567	0.0107387	0.011309	0.00572192	0.0145665	0.0122117	0.0128508	0.0147643	0.0116466	0.0161071	0.0168686	0.0199615	0.0196483	0.018344	0.0248955	0.0249227	0.0229644	0.0206573	0.0246831	0.0264845	0.0213419	0.021921	0.0199165	0.0151917	0.0105	0.0114684	0.00876561	0.00815107	0.00755187	0.00962079	0.00908846	0.00954297	0.00743218	0.0123082	0.0117262	0.0133063	0.0218902	0.0252605	0.0194373	0.0211052	0.0185269	0.0141471	0.0116815	0.020607	0.0127464	0.0146344	0.0154345	0.0144818	0.0236941	0.0154803	0.0189682	0.0200808	0.0154498	0.0119894	0.00982389	0.00909105	0.00518257	0.00792888	0.0091269	0.00712354	0.0100972	0.00622852	0.00248297	0.00275015	0.00235693	0.00430862	0.00333779	0.0041363	0.00567939	0.00363928	0.0042567	0.00357697	0.00403217	0.00435134	0.00467424	0.00506516	0.00377229	0.00384785	0.00508352	0.00499111	0.00800296
le	0.00306504	0.00275899	0.00275719	0.0024771	0.00618857	0.00501532	0.00865232	0.00764324	0.00910858	0.00867322	0.014141	0.0154321	0.01717	0.0182512	0.0139434	0.0190762	0.015204	0.0257788	0.0314266	0.0373915	0.0257873	0.0242745	0.0194757	0.0206119	0.00699036	0.0152297	0.0164122	0.0179712	0.0134387	0.017757	0.0332939	0.0178824	0.0285927	0.0192184	0.029198	0.0313174	0.0305004	0.0418728	0.0412	0.0171139	0.0156106	0.014575	0.0121677	0.0110991	0.0112713	0.0104702	0.00716189	0.00971366	0.00975058	0.00857092	0.0101947	0.00672335	0.00692199	0.00482957	0.00357584	0.00405335	0.00719519	0.00255423	0.00458537	0.00504291	0.00249203	0.00268735	0.00421809	0.00246683	0.00156655	0.00180209	0.00159663	0.00206266	0.00189436	0.00446898	0.00545915	0.00750178	0.00825324	0.01055	0.00707119	0.00720799	0.007344	0.00679838	0.00467016	0.00657416	0.00495402
village	0.0125122	0.011159	0.00791003	0.00951038	0.0120385	0.0183864	0.0222388	0.032286	0.0419076	0.037929	0.0258954	0.0198463	0.0131884	0.0106601	0.0153484	0.0253393	0.0288107	0.0509495	0.0423803	0.0552472	0.0483797	0.0365937	0.0117766	0.0118029	0.00379545	0.00496367	0.00296146	0.00353905	0.00268917	0.00365295	0.00597801	0.00454951	0.00474699	0.00735546	0.00971379	0.0136817	0.0158594	0.0212616	0.0282524	0.0199692	0.0252363	0.0180755	0.0161232	0.00956938	0.0133349	0.0116286	0.0083129	0.0136119	0.0108837	0.00865131	0.0096641	0.00469715	0.0126472	0.00957662	0.0109682	0.0066873	0.0112379	0.00720257	0.00535161	0.00422575	0.00385297	0.00238805	0.00290535	0.00105114	0.00101268	0.000910393	0.000690175	0.000581646	0.000711291	0.000972285	0.000948544	0.000722513	0.000889068	0.000861842	0.000912836	0.00113939	0.00124227	0.00134896	0.00123873	0.00124362	0.00162416
ne	0.0375803	0.018069	0.00974854	0.0076561	0.00298291	0.00611378	0.0054695	0.00549443	0.0107818	0.00843814	0.0296231	0.051158	0.0411036	0.0292704	0.0288666	0.0373314	0.0334814	0.0665614	0.0456107	0.0548923	0.0512493	0.0370241	0.0171067	0.0172497	0.0138225	0.0166531	0.013457	0.0153072	0.00526277	0.00443439	0.00376376	0.00300109	0.00252618	0.00394366	0.00412981	0.00476276	0.00325267	0.00574431	0.0077097	0.00653892	0.00689973	0.00489439	0.00711411	0.0047473	0.0040768	0.00528963	0.00929877	0.00446726	0.00419236	0.00459311	0.00605457	0.00725848	0.00679774	0.0110334	0.00830072	0.0124475	0.0126398	0.00974494	0.00699217	0.00593748	0.00753512	0.00310095	0.00619246	0.00402363	0.00977353	0.00456102	0.00381577	0.00257653	0.00118418	0.00206998	0.000909857	0.00190259	0.00234816	0.00215522	0.00252129	0.00483512	0.00586494	0.00517342	0.00714892	0.00740254	0.00495171
veut	0.0275765	0.0191321	0.0136338	0.0119132	0.00896072	0.00854106	0.00967137	0.00910455	0.00956944	0.0151099	0.0179269	0.0165551	0.00718201	0.00739663	0.00708346	0.00927494	0.00919345	0.0145628	0.0107897	0.0146255	0.0160167	0.0151986	0.00991228	0.014167	0.0115091	0.0122604	0.0103069	0.0106002	0.0151953	0.011054	0.0120626	0.0125173	0.014519	0.0130408	0.0101544	0.0179208	0.0163493	0.017738	0.0215106	0.0206126	0.0210261	0.0135986	0.0131045	0.0153503	0.0154191	0.0187468	0.0157929	0.0170902	0.0201252	0.0208227	0.0185503	0.0238639	0.0214168	0.0253418	0.0198365	0.0178151	0.0105925	0.011331	0.00959014	0.00602089	0.00541153	0.00470154	0.00440715	0.00319306	0.00615248	0.00307044	0.00403834	0.00397127	0.00268837	0.00566778	0.00338555	0.00721956	0.00626422	0.00698696	0.00610767	0.00926949	0.0076888	0.00733997	0.0143399	0.0107649	0.0114469
plus	0.020771	0.0190683	0.0205904	0.0225756	0.0126274	0.0107413	0.00962795	0.00554067	0.00432589	0.0051681	0.00384134	0.00327821	0.00145536	0.00175787	0.001931	0.00289416	0.00318839	0.0037893	0.00392178	0.0038187	0.00509671	0.00807827	0.00611904	0.00762809	0.00680034	0.00676051	0.00643655	0.00642806	0.00709018	0.00662179	0.00690497	0.00758605	0.00798901	0.00729379	0.00740018	0.00846446	0.00919064	0.0109424	0.0179698	0.0160757	0.0210637	0.0145845	0.0159811	0.0224858	0.0268727	0.0255842	0.0288794	0.0356747	0.040118	0.0340252	0.0334194	0.0361942	0.037818	0.0486086	0.0273127	0.0255527	0.0186276	0.0132298	0.0089695	0.00685816	0.006433	0.00442863	0.0046609	0.0047537	0.00779601	0.0047565	0.0068183	0.00566434	0.00717048	0.00623065	0.00483936	0.00527429	0.00681835	0.00818774	0.00785245	0.0124475	0.00826593	0.00944808	0.00902254	0.00785439	0.0116275
de	0.00737602	0.00553816	0.00376094	0.00358722	0.00428667	0.00419763	0.0042258	0.00271974	0.00167849	0.00332242	0.00258413	0.0016013	0.00138948	0.00119048	0.00114146	0.00192762	0.00147082	0.00181095	0.00259447	0.00348569	0.00482552	0.00720546	0.00564214	0.00882199	0.00656937	0.0127821	0.00831156	0.00987906	0.0107368	0.00966445	0.0108457	0.008746	0.00983206	0.0140829	0.010602	0.00944785	0.00855157	0.0148778	0.0347225	0.0216921	0.0255317	0.017051	0.0123886	0.018006	0.0305476	0.0328658	0.01948	0.0359276	0.0384368	0.0447571	0.0330958	0.0396919	0.0509398	0.0479443	0.0327295	0.035332	0.0275362	0.0221833	0.0189711	0.0118556	0.00707889	0.00450688	0.00367832	0.00421927	0.00552801	0.00486928	0.00395937	0.00302067	0.00279504	0.00311245	0.00172302	0.00409756	0.00351853	0.00559232	0.00451312	0.00706872	0.0077066	0.00901614	0.0108875	0.00724338	0.0128647
nyasoni	0.0135612	0.00753601	0.00455057	0.00493299	0.00448148	0.00205703	0.00103433	0.000783132	0.000461344	0.00178441	0.00153006	0.00178207	0.00186917	0.00145862	0.0015963	0.00290868	0.00214157	0.00279696	0.00316851	0.00510835	0.00660439	0.0101386	0.00809763	0.00898755	0.00695097	0.0142759	0.0102383	0.0181737	0.0166861	0.0142655	0.0147844	0.0136884	0.0115233	0.017649	0.0121237	0.0117829	0.00994255	0.0121244	0.0344553	0.0172976	0.0298404	0.0205086	0.0211829	0.0166932	0.0330771	0.0431315	0.0308379	0.0382999	0.0351756	0.0361817	0.0223096	0.0240127	0.0272818	0.0232181	0.0180054	0.0204437	0.0119015	0.00838929	0.0097694	0.00737441	0.00626307	0.0051094	0.00404956	0.00520938	0.00715673	0.00606921	0.00469109	0.00376559	0.00390293	0.00393704	0.00420333	0.00778822	0.00933313	0.0144251	0.00895771	0.0163106	0.0116958	0.0157911	0.0193482	0.0120599	0.0169651
parce	0.0161581	0.0118922	0.0101866	0.013514	0.00763911	0.0043004	0.00257209	0.00121267	0.000702897	0.00204798	0.00145964	0.00187102	0.0016576	0.00185702	0.00159277	0.00238128	0.00245367	0.00269525	0.0030331	0.00333735	0.00380366	0.00545052	0.00594446	0.00769099	0.00811931	0.0112618	0.0102175	0.0165034	0.0183915	0.0175864	0.016338	0.0167733	0.0161102	0.0188128	0.0169474	0.0177387	0.0141479	0.0146761	0.022829	0.0185182	0.0192769	0.0196962	0.0143683	0.0179385	0.0209483	0.0271722	0.023892	0.0185092	0.0213959	0.0271911	0.0216803	0.0260679	0.022973	0.0212835	0.018417	0.0218067	0.0170149	0.00993953	0.0135579	0.00787437	0.00587667	0.00696974	0.00539602	0.00615627	0.00956522	0.00693914	0.00487164	0.00472929	0.00410064	0.00509192	0.00539309	0.0120423	0.0093859	0.0146775	0.013117	0.0152231	0.0128464	0.0156844	0.0305149	0.0224639	0.0275253
qu'	0.0201418	0.0226278	0.0194475	0.0215893	0.0142837	0.011812	0.00724938	0.00477507	0.00305343	0.00629495	0.00742032	0.00581487	0.00361005	0.00498188	0.00463445	0.00465975	0.00474539	0.00593163	0.0063707	0.00440793	0.00474809	0.00372724	0.00341793	0.00647555	0.00699704	0.0096093	0.00804186	0.0125181	0.0142588	0.0140912	0.0138119	0.0137575	0.0128522	0.0141916	0.0137696	0.0134812	0.0113135	0.011573	0.0171691	0.0145686	0.0159649	0.0171187	0.0101387	0.0121549	0.0138496	0.0159323	0.0138225	0.0110246	0.013525	0.0152338	0.0136348	0.0152313	0.0145719	0.0134311	0.0122157	0.0142519	0.0143289	0.0121796	0.0126535	0.00917858	0.00996984	0.00660802	0.00898997	0.00875343	0.0140125	0.0132118	0.00966814	0.0105769	0.00826227	0.0119357	0.00751571	0.0176962	0.0107364	0.0155896	0.0242285	0.0169199	0.0175623	0.0209693	0.0310555	0.0252413	0.035829
