 	a87	a23	a62	a0	a75	a25	a70	a75	a92	a66	a75	a66	a11	a35	a98	a85	a27	a30	a10	a90	a25	a69	a84	a57	a83	a75	a47	a44	a70	a13	a4	a93	a90	a44	a98	a44	a84	a62	a83	a9	a50	a0	a75	a47	a79	a44	a66	a70	a4	a44	a9	a87	a23	a87	</S>
l'	0.0542493	0.0434368	0.027225	0.0293376	0.0279219	0.0317674	0.0156492	0.0222588	0.020444	0.0238861	0.0140053	0.0177692	0.0132213	0.00840998	0.010484	0.00941779	0.0169396	0.0207959	0.0155709	0.0159995	0.013834	0.0168006	0.026229	0.0233983	0.0395988	0.0171465	0.0195438	0.0172515	0.0191791	0.0106167	0.00848379	0.0104507	0.0129697	0.0130349	0.0110068	0.0170894	0.038004	0.02561	0.012892	0.0116657	0.0124083	0.0172475	0.0143471	0.0153966	0.0105635	0.00925901	0.0108064	0.0119824	0.0103603	0.0126199	0.00851714	0.0122519	0.0141067	0.0121414	0.0243969
esondo	0.00219022	0.00314023	0.00473199	0.00397915	0.00683692	0.0202195	0.0128064	0.0225717	0.01705	0.0159249	0.014523	0.0594816	0.0444045	0.0840936	0.131254	0.076969	0.0991613	0.0435355	0.0134785	0.0182614	0.0216841	0.0121887	0.00387785	0.0136896	0.0162795	0.00560729	0.00495382	0.0164086	0.0122406	0.00780853	0.00916643	0.00798051	0.00654068	0.00660293	0.00511651	0.00467094	0.00985375	0.0111814	0.0169985	0.0159346	0.0177721	0.0138067	0.0103035	0.0087601	0.00793959	0.00577747	0.00218259	0.005291	0.00351613	0.0023561	0.00149065	0.00207023	0.00232359	0.00397002	0.00904161
est	0.00877561	0.00409515	0.0037793	0.0105791	0.0111743	0.0121003	0.0106831	0.0105331	0.0104096	0.0108111	0.0145575	0.0196463	0.018725	0.0373502	0.026571	0.0217656	0.0158266	0.0139743	0.0316458	0.0301196	0.0496385	0.0534479	0.0393106	0.0602211	0.0566193	0.0903102	0.0414985	0.0457214	0.0556683	0.0196975	0.0241917	0.0269677	0.0156967	0.0141075	0.0112836	0.00729827	0.00428193	0.00248021	0.00187679	0.00146708	0.00159366	0.00175869	0.00273772	0.00283975	0.00341736	0.00364308	0.00447973	0.00352902	0.00256597	0.00468072	0.0038484	0.00592565	0.00436276	0.00473436	0.00497594
un	0.0354785	0.0265232	0.0272945	0.0185973	0.0213692	0.018346	0.0137928	0.0084435	0.0137759	0.0139604	0.00809143	0.00833239	0.00811406	0.0106507	0.0123568	0.0106862	0.0166817	0.0262542	0.0151207	0.0144136	0.0178497	0.0185231	0.0335583	0.0203786	0.0212088	0.0281176	0.0199108	0.0329937	0.0308524	0.0178479	0.0203987	0.022318	0.0213177	0.0180565	0.0243974	0.0264387	0.0203869	0.0164594	0.022896	0.0172387	0.01251	0.0137893	0.00724038	0.00930483	0.00893072	0.00783291	0.00886155	0.00630527	0.0124492	0.0152506	0.017737	0.0236239	0.0185715	0.0216129	0.0365482
fruit	0.0142631	0.0127584	0.0136813	0.0175063	0.0191111	0.0186032	0.0174168	0.0195913	0.0200465	0.0199168	0.0140358	0.014168	0.0158095	0.0178065	0.0240726	0.0166641	0.0146676	0.0201974	0.0299289	0.0311779	0.0379725	0.0427639	0.0384797	0.0425707	0.0314395	0.0350733	0.0297139	0.0418909	0.0329057	0.0281201	0.0341226	0.0331722	0.0275862	0.0261319	0.0235765	0.0222783	0.0177899	0.014009	0.0134672	0.00822871	0.00555818	0.00415831	0.00296699	0.00268318	0.00290915	0.00254056	0.00234214	0.00165073	0.00234693	0.00337011	0.00239003	0.00325833	0.00239959	0.00370582	0.00500407
rouge	0.011693	0.00629443	0.00577478	0.00772897	0.00845574	0.00728953	0.00683566	0.00892089	0.00909611	0.0140299	0.017246	0.0125698	0.01533	0.0162507	0.0135822	0.012899	0.0177328	0.0254293	0.0435793	0.0405833	0.0624218	0.0464392	0.0701822	0.0825664	0.0495883	0.0485429	0.0407355	0.0640002	0.043268	0.0351742	0.0311039	0.0262716	0.0164122	0.0102606	0.00765279	0.00550117	0.00475749	0.00403593	0.00181764	0.00140266	0.00103967	0.00126689	0.0017136	0.00163032	0.00127766	0.00165726	0.00305793	0.00210793	0.00363597	0.00558044	0.00556541	0.00553047	0.00482131	0.0038209	0.0038383
avec	0.0101195	0.00472782	0.00491299	0.00712694	0.0090899	0.00687763	0.0108007	0.0153713	0.015306	0.0151973	0.0165055	0.0162753	0.0245025	0.0298695	0.0253605	0.0314938	0.0220545	0.023438	0.0379313	0.0285886	0.0506409	0.0314641	0.0354632	0.0409921	0.0329176	0.0390708	0.0299454	0.0500792	0.0432848	0.0356554	0.0383314	0.0361674	0.0232006	0.0235039	0.0188268	0.0157836	0.00737061	0.0052205	0.00236042	0.0018926	0.0011045	0.00178232	0.0021023	0.00266342	0.00260955	0.00314658	0.00475407	0.00387079	0.00721554	0.0083059	0.00843469	0.00824729	0.00875037	0.00639862	0.0128931
des	0.0117856	0.00547109	0.00477535	0.00600865	0.00747173	0.0056785	0.00833841	0.0134356	0.0136146	0.0152413	0.0182967	0.0195864	0.0252591	0.0277893	0.0288208	0.0311642	0.0268366	0.0283527	0.0440865	0.0378803	0.059921	0.0409729	0.0479849	0.0534124	0.0348865	0.0467136	0.034766	0.0438576	0.0348491	0.0238132	0.0250087	0.0252558	0.0178297	0.0160206	0.0125807	0.0110887	0.00704507	0.00502886	0.00311912	0.00244884	0.00200039	0.00225822	0.00269478	0.00303028	0.00297586	0.0025651	0.0046994	0.00319612	0.00614605	0.00879008	0.00865064	0.00636349	0.00643184	0.00471486	0.00898595
pepins	0.0139852	0.00934088	0.00880533	0.00743606	0.00792605	0.00932896	0.00749784	0.0107347	0.00777002	0.00946066	0.00674346	0.0109797	0.0111983	0.0105837	0.0151962	0.0135812	0.020584	0.018005	0.0283812	0.0588642	0.0435835	0.0476321	0.0536363	0.0486051	0.03539	0.0232742	0.0281232	0.0345902	0.0339281	0.0191387	0.0123234	0.0170935	0.0142728	0.0128724	0.00981512	0.0105127	0.0123569	0.0159676	0.00838647	0.008194	0.00927348	0.00929075	0.00727367	0.00575047	0.00800028	0.00903798	0.0194448	0.0170905	0.0179619	0.0265167	0.0240994	0.0251159	0.0164468	0.0136339	0.0149647
noirs	0.0271713	0.0258797	0.0258045	0.0119928	0.0143188	0.0192979	0.0133122	0.0151572	0.0165906	0.0239047	0.0168111	0.0142112	0.0133023	0.0144803	0.0179242	0.0162695	0.0298096	0.0377903	0.0379365	0.0491485	0.052444	0.0563087	0.0710347	0.059247	0.0465782	0.0300338	0.0309763	0.0300765	0.0186624	0.0137325	0.00768145	0.00646349	0.00476831	0.0038527	0.0028792	0.00248144	0.00305651	0.00270553	0.0012425	0.000933126	0.000909771	0.000672589	0.000426815	0.000587076	0.00111583	0.00219803	0.00526405	0.00610528	0.0114788	0.0172897	0.0152085	0.0146472	0.0115495	0.013651	0.0126241
