 	a66	a87	a23	a38	a20	a47	a6	a79	a92	a85	a47	a37	a79	a37	a25	a92	a56	a32	a11	a88	a71	a9	a87	a23	a87	</S>
l'	0.0644077	0.0564044	0.052053	0.053932	0.0668308	0.0896608	0.106338	0.0604514	0.0262567	0.0305639	0.0202343	0.0215591	0.0180099	0.0149688	0.0182395	0.0410984	0.0259891	0.0153017	0.0170636	0.017953	0.0271524	0.0303289	0.0232109	0.0288042	0.0191177	0.0540699
enfant	0.00851537	0.0104092	0.0231347	0.0354543	0.0683054	0.103353	0.175796	0.206433	0.122708	0.0630482	0.0400195	0.0364802	0.0228028	0.0171186	0.00938772	0.00620288	0.00403489	0.00530476	0.00523145	0.00202339	0.00524108	0.00498582	0.00414876	0.00532665	0.0073692	0.00716507
est	0.0675647	0.0520333	0.0586765	0.0419373	0.0573764	0.0772781	0.119816	0.0782728	0.0315755	0.0228974	0.0192092	0.0153286	0.0201279	0.0265866	0.0264451	0.0135661	0.0115454	0.00853592	0.0128458	0.014414	0.025744	0.0296438	0.0384434	0.034481	0.049475	0.0461795
en	0.0168338	0.0108672	0.00771516	0.00495348	0.0034966	0.00244744	0.00259549	0.00752956	0.0317581	0.0277252	0.0513713	0.0623242	0.0844126	0.107472	0.0794967	0.0577017	0.0402784	0.0703018	0.0568087	0.0387555	0.0475032	0.0475955	0.0493831	0.0347407	0.0199585	0.0359737
train	0.0295807	0.0268857	0.021042	0.0173772	0.0179888	0.0138479	0.00498704	0.0046639	0.0210755	0.0359375	0.05387	0.126674	0.123122	0.124361	0.0693478	0.0629115	0.0229581	0.0269964	0.0274478	0.02533	0.0368577	0.0353755	0.0278441	0.0190119	0.0131305	0.011375
de	0.0425956	0.0208463	0.0142967	0.00793191	0.010944	0.0245412	0.0216676	0.0195586	0.00940697	0.023915	0.0213579	0.0122151	0.00905451	0.00765937	0.00727913	0.0132054	0.00970843	0.00969361	0.0212083	0.0358813	0.0441789	0.0610319	0.124407	0.153778	0.14015	0.133487
toucher	0.0497943	0.056709	0.064103	0.0765457	0.0885428	0.0532553	0.0647051	0.111187	0.0791701	0.0653131	0.0535962	0.0403493	0.0252497	0.0207141	0.0172791	0.013663	0.00906279	0.00815263	0.00849754	0.00919741	0.00993815	0.012886	0.0171561	0.0153569	0.0134682	0.016107
le	0.0346387	0.0337917	0.0374207	0.0376683	0.0535832	0.0312351	0.0325858	0.0399244	0.0340999	0.0368175	0.0298364	0.0191443	0.0108345	0.0152255	0.00712565	0.0169709	0.0124861	0.034743	0.0583379	0.0584668	0.0544851	0.0708749	0.0865451	0.0515676	0.0402085	0.0613825
poisson	0.0389571	0.025398	0.0204381	0.0186947	0.0205267	0.0138187	0.0137837	0.0215237	0.0153914	0.0102748	0.00563723	0.00653078	0.0035604	0.00544234	0.00253755	0.00862072	0.0103278	0.0251239	0.0527046	0.087019	0.0637163	0.07694	0.130556	0.124528	0.102023	0.095925
partout	0.0290066	0.01536	0.0113924	0.00938076	0.0112374	0.0104865	0.00807609	0.00900656	0.00872392	0.00634706	0.00399569	0.00401121	0.00319674	0.00503039	0.00288173	0.0102758	0.0123549	0.0234137	0.0408942	0.0756569	0.0849926	0.0839981	0.132586	0.124726	0.106209	0.166759
avec	0.0707005	0.0567193	0.0497225	0.0624065	0.0670558	0.0212522	0.0204874	0.0280494	0.0293347	0.0134958	0.00695453	0.00581484	0.00523846	0.00754779	0.0113954	0.0190318	0.0357307	0.0410317	0.0421524	0.038271	0.0479076	0.0348506	0.0604088	0.0591681	0.0642451	0.101027
ses	0.0715339	0.0538028	0.0490687	0.0517086	0.0506954	0.0214765	0.0199215	0.0304251	0.0356198	0.0202422	0.00983275	0.00859673	0.00588162	0.00980909	0.00844961	0.0131606	0.0228952	0.023071	0.0232118	0.0268652	0.0251119	0.0404425	0.0798452	0.0865449	0.101738	0.11005
doigts	0.0504051	0.0286414	0.0238758	0.0201344	0.0221701	0.0237866	0.0168038	0.011754	0.0107729	0.0115635	0.0136491	0.0267967	0.0291172	0.0457125	0.0300943	0.0353901	0.0333881	0.046486	0.0527673	0.0528564	0.0482872	0.0501087	0.0543802	0.0698267	0.0840178	0.107214
</S>	0.0753264	0.0260296	0.0162945	0.0124578	0.0150176	0.0128185	0.00920313	0.0071662	0.00531681	0.0053596	0.00581671	0.00554912	0.00882864	0.020216	0.0159732	0.0642641	0.0459829	0.057657	0.071866	0.077039	0.0553882	0.0635333	0.0621814	0.0729637	0.0659678	0.121783
