 	a66	a87	a23	a87	a23	a79	a20	a6	a5	a36	a98	a85	a5	a61	a56	a96	a88	a0	a90	a69	a58	a82	a10	a87	a23	a82	</S>
il	0.0684085	0.0924818	0.0747897	0.0433525	0.0709171	0.0413019	0.0762111	0.0707536	0.0676377	0.0624486	0.0378192	0.0290936	0.00950795	0.00834402	0.00677729	0.0073023	0.00578588	0.0114812	0.0169817	0.022079	0.0244193	0.0216931	0.024353	0.0253355	0.0288399	0.0255482	0.0263364
s'	0.0171858	0.012316	0.01399	0.0169062	0.0203723	0.0323214	0.0562156	0.065285	0.0552382	0.0433886	0.0601054	0.0706525	0.0484669	0.0340758	0.0278904	0.038	0.0185506	0.0127923	0.0294283	0.0475784	0.0620382	0.0371563	0.0456741	0.0298395	0.0377545	0.0405198	0.026258
est	0.0411345	0.0170841	0.0146706	0.0212242	0.017067	0.0159822	0.0180646	0.0265603	0.0407226	0.0235676	0.011017	0.0137855	0.0191352	0.0164909	0.0112207	0.0102005	0.00893869	0.0161297	0.0155065	0.0209521	0.029094	0.0442364	0.0539274	0.0788151	0.120794	0.12769	0.165989
fait	0.0144006	0.0106475	0.00671237	0.00704986	0.00707015	0.0077336	0.00527716	0.00347605	0.00390424	0.00387727	0.00594711	0.0137905	0.0339129	0.0478731	0.0796785	0.155533	0.196868	0.302563	0.0326425	0.0107112	0.0112588	0.0134411	0.00699493	0.00452951	0.00449796	0.00371028	0.00589912
une	0.0802937	0.0246505	0.0151804	0.0134566	0.0117865	0.0109306	0.0148116	0.0125568	0.00657855	0.00998968	0.0148044	0.025503	0.0531524	0.0399919	0.0648161	0.0866243	0.0571051	0.0647727	0.0332977	0.0442689	0.0316912	0.0320248	0.0606351	0.050565	0.0556906	0.0252866	0.0595355
entorse	0.0346043	0.0315152	0.0251346	0.0259691	0.0308951	0.0258722	0.0175501	0.0315429	0.0368331	0.0598679	0.0679604	0.033817	0.0357761	0.0418615	0.0383107	0.0320162	0.0375118	0.0324914	0.039196	0.0470756	0.0422475	0.0493758	0.0386029	0.0273448	0.0272109	0.0295278	0.0598893
à	0.0642854	0.0571596	0.0410132	0.0301698	0.0308115	0.0179414	0.0228218	0.0683489	0.0554263	0.0776077	0.050028	0.0165593	0.0192197	0.0209501	0.028468	0.0367818	0.0448748	0.0426338	0.0302082	0.0307826	0.0208547	0.0176603	0.0320276	0.0285873	0.0368788	0.0272264	0.0506731
l'	0.0340309	0.0329579	0.0246329	0.0185949	0.0196824	0.0114249	0.0115204	0.012255	0.00819516	0.00721609	0.00981438	0.00658516	0.00862502	0.00831252	0.0111408	0.0174523	0.0258411	0.0359466	0.041487	0.0602193	0.0647307	0.0793491	0.11664	0.103439	0.0774919	0.0629071	0.089507
omoplate	0.049504	0.0637934	0.0669798	0.0635772	0.0619895	0.0439476	0.0301418	0.0275652	0.0173258	0.0113111	0.0121227	0.0164713	0.0235959	0.0304835	0.0324089	0.0187232	0.0195786	0.0224354	0.0172219	0.0301427	0.0337631	0.0341207	0.0405731	0.0433574	0.0513328	0.0677078	0.0698255
</S>	0.0684468	0.0447051	0.0360593	0.0301973	0.0327212	0.0235449	0.0330601	0.04503	0.0321886	0.0211122	0.0178841	0.0165178	0.0145626	0.0100704	0.0035784	0.00246155	0.00339598	0.00672931	0.00579281	0.00967668	0.0101949	0.0150768	0.0474521	0.0677689	0.100029	0.0947847	0.206958
