 	a66	a87	a23	a99	a40	a7	a79	a15	a0	a54	a56	a0	a90	a93	a70	a90	a79	a69	a32	a75	a47	a6	a92	a56	a96	a18	a4	a13	a57	a13	a57	a82	a57	a87	a23	a87	</S>
ma	0.0591024	0.0925326	0.0469909	0.0527815	0.0467965	0.0531201	0.0320549	0.0502345	0.0402394	0.0455107	0.0287762	0.0219672	0.0115856	0.0116668	0.00787787	0.00995578	0.009231	0.0100984	0.0143087	0.0201606	0.02529	0.0182815	0.0174322	0.0248164	0.0186537	0.0199555	0.0225162	0.0236401	0.0166966	0.0205152	0.021257	0.0131937	0.0145599	0.0162545	0.0170952	0.0111038	0.0337469
femme	0.00231529	0.0105638	0.0247393	0.0417181	0.0653787	0.148496	0.147895	0.108447	0.134219	0.0808536	0.0455402	0.0515637	0.0203062	0.015568	0.0116768	0.0107352	0.00645942	0.00799888	0.00657222	0.00617187	0.0098944	0.00588212	0.00411871	0.00544102	0.00425798	0.00198975	0.00478656	0.00341543	0.00169201	0.00178746	0.00132365	0.0010218	0.000943749	0.00145128	0.00133384	0.00141567	0.00202637
a	0.0455102	0.0166977	0.0307561	0.0422986	0.0349995	0.0600161	0.091319	0.0495385	0.0418727	0.0595377	0.0336025	0.0427576	0.0373353	0.0288509	0.0430504	0.036675	0.0336743	0.025937	0.0272133	0.0158925	0.00977756	0.0080135	0.00511507	0.00340206	0.0042094	0.00559976	0.00683724	0.00933405	0.0143241	0.00917809	0.010923	0.0134634	0.0149863	0.0192571	0.0174449	0.0323647	0.0182349
acheté	0.00949642	0.00497159	0.00495848	0.00195766	0.00247303	0.00394399	0.00546332	0.0131862	0.0248359	0.014703	0.0326067	0.0315734	0.038143	0.0471514	0.0699764	0.0724243	0.077687	0.0864117	0.076756	0.0586435	0.0573523	0.0378821	0.0329561	0.032474	0.0204959	0.0190398	0.0128138	0.0100059	0.00946031	0.0168629	0.00477441	0.00686151	0.0105309	0.0170308	0.00819686	0.0108897	0.0150097
une	0.0815526	0.0401811	0.0335166	0.0211419	0.014337	0.0141652	0.0157782	0.0170577	0.0314955	0.0310642	0.0361444	0.0409558	0.0437607	0.0476971	0.0249512	0.0379502	0.0291326	0.0272	0.0358649	0.0320776	0.0271032	0.0276504	0.0209923	0.0248647	0.0165242	0.0175911	0.0129058	0.0132826	0.00996941	0.0193543	0.00927287	0.0175603	0.0229323	0.0231371	0.0228775	0.0239814	0.0339763
houe	0.0234615	0.00876589	0.0112332	0.0120042	0.0119705	0.0200024	0.0122037	0.0121665	0.0248087	0.0268468	0.0469209	0.0568238	0.0793604	0.059908	0.0859391	0.0736645	0.0576275	0.0312108	0.0480584	0.0393877	0.0302859	0.0295331	0.0230449	0.0246449	0.0166217	0.0104034	0.0120634	0.00754241	0.00543316	0.00978045	0.00333814	0.00598383	0.00846592	0.0241069	0.0136328	0.0221244	0.0106301
chez	0.138986	0.0771603	0.0605429	0.0435105	0.0334421	0.0251301	0.0133021	0.015627	0.0123816	0.0235771	0.0198801	0.0202659	0.0247281	0.0251817	0.0132078	0.017179	0.0133746	0.00698064	0.013728	0.0132127	0.00948151	0.00958038	0.0131892	0.00763357	0.0051322	0.00865609	0.00698631	0.00570023	0.00793657	0.00769271	0.0123049	0.0292801	0.0430255	0.0333231	0.0454809	0.0531462	0.0900526
le	0.0632214	0.0292204	0.0207569	0.0130389	0.00942268	0.00889262	0.0053929	0.00820346	0.00523709	0.0138169	0.0126384	0.0147955	0.0248192	0.0199825	0.0181942	0.0265569	0.0270076	0.0147056	0.0229327	0.0260181	0.0193481	0.025496	0.0268434	0.0155414	0.0140246	0.0185023	0.0154464	0.0151921	0.0207776	0.0243274	0.0289117	0.0595953	0.0737042	0.0529232	0.0626945	0.0685289	0.073289
forgeron	0.0272339	0.0138481	0.0130038	0.0118449	0.00953469	0.00891178	0.00423669	0.00410758	0.00233431	0.00501311	0.00535428	0.00844589	0.0193135	0.0177168	0.0164869	0.022007	0.0318642	0.016011	0.0217324	0.0310964	0.0265224	0.0312136	0.0370138	0.0273516	0.0268486	0.0555367	0.0404379	0.0410361	0.0420955	0.0568924	0.0328309	0.0488329	0.0364532	0.0580903	0.0488991	0.0637416	0.0361061
</S>	0.0704465	0.0468184	0.0393005	0.0268468	0.016007	0.0174687	0.0104641	0.00487611	0.00462658	0.00794643	0.0081657	0.00916883	0.0136901	0.0122881	0.0086521	0.0118888	0.0116031	0.0100195	0.0106211	0.0167121	0.0190041	0.0165593	0.0190804	0.0145821	0.0092856	0.0130864	0.012605	0.0166454	0.0207675	0.021438	0.0373902	0.0607584	0.0746219	0.0639532	0.0616827	0.0700458	0.110884
