 	a66	a10	a87	a23	a83	a75	a47	a36	a98	a79	a25	a79	a56	a12	a47	a31	a34	a56	a93	a4	a13	a57	a13	a3	a87	a97	a3	a97	a99	a97	</S>
je	0.0573217	0.0666227	0.0280765	0.0386599	0.0271661	0.0303414	0.014351	0.0207821	0.01837	0.010397	0.0103547	0.00969023	0.0117688	0.00727819	0.0111968	0.0256867	0.0277352	0.0359484	0.0376745	0.0491856	0.0629003	0.0631695	0.0369991	0.0295634	0.0440644	0.0383652	0.0243809	0.0239534	0.0368112	0.0321395	0.0690457
n'	0.0180842	0.0166177	0.0144636	0.0169208	0.0240817	0.0330079	0.039555	0.0372767	0.0467157	0.0585889	0.0582652	0.131807	0.114565	0.0346322	0.0172132	0.0150951	0.0132915	0.0134036	0.0324052	0.0410739	0.0394911	0.0278002	0.0205031	0.0170357	0.0197864	0.0155381	0.0165028	0.0155233	0.0164781	0.0157276	0.0185505
ai	0.0450929	0.0266624	0.020019	0.0171524	0.0131653	0.0194967	0.0262651	0.0213576	0.0137238	0.0117477	0.013148	0.0122658	0.0134399	0.0234627	0.0189978	0.0126289	0.0172707	0.0192516	0.0300591	0.0270899	0.0328982	0.0285354	0.0402391	0.0307024	0.0578145	0.0596493	0.0757328	0.0572636	0.058575	0.0755443	0.0807481
pas	0.059919	0.0636978	0.0671601	0.0536954	0.0396765	0.0331672	0.0253696	0.0194946	0.0211412	0.0245066	0.0398209	0.0511173	0.0598671	0.0380263	0.0316032	0.030915	0.0202902	0.0183859	0.0173904	0.0175063	0.0173571	0.0182129	0.0167378	0.0181117	0.0167414	0.0215202	0.0268619	0.0255439	0.0256637	0.0287442	0.0517544
pu	0.155123	0.108487	0.0944187	0.0656647	0.045713	0.045098	0.0332641	0.0228193	0.0218253	0.0261466	0.0303594	0.0433096	0.0336311	0.0205376	0.0264866	0.0117302	0.0127298	0.011123	0.00867516	0.00726742	0.00600191	0.00835283	0.00672109	0.00888302	0.00905098	0.0130973	0.0192014	0.0176152	0.01991	0.0268568	0.0399
le	0.0385272	0.0255886	0.0245057	0.0185773	0.0175444	0.0185411	0.0207943	0.0178661	0.0144047	0.011222	0.0116417	0.0109603	0.0129527	0.0161413	0.0250665	0.0277236	0.0376464	0.0364013	0.0506773	0.0481824	0.0512123	0.0527015	0.0554106	0.0487644	0.0405582	0.0433598	0.0507177	0.0455964	0.0401753	0.0400571	0.0464818
supporter	0.0631601	0.0410252	0.0350258	0.0257883	0.0220715	0.0227396	0.0295319	0.0250883	0.0171727	0.0207613	0.0185535	0.0131579	0.0107751	0.0178197	0.0350874	0.0266169	0.0313309	0.0235187	0.0286179	0.0194065	0.0191967	0.0469368	0.0344486	0.0688495	0.0414949	0.0525813	0.062014	0.0493428	0.0384965	0.0293973	0.0299925
à	0.116437	0.0527453	0.0412859	0.0444358	0.0384265	0.0354577	0.021749	0.0220208	0.0137027	0.0129017	0.00949213	0.0140384	0.0285852	0.0143645	0.0256421	0.0249149	0.0273068	0.0194882	0.0130845	0.0135663	0.0102401	0.0260275	0.0293966	0.0441609	0.0257786	0.0448582	0.0598321	0.0441414	0.0389538	0.0394598	0.0475061
cause	0.0785057	0.0275827	0.0258613	0.0210827	0.0214256	0.0193525	0.00944762	0.00984231	0.00732396	0.00427457	0.00365617	0.00626315	0.0118765	0.00761969	0.0167859	0.0234458	0.039454	0.0322669	0.0345872	0.0353824	0.0274056	0.0464369	0.0425418	0.0597427	0.0479989	0.0465816	0.0676659	0.0578501	0.0594602	0.0539618	0.0543181
de	0.057386	0.0290534	0.0187882	0.0189059	0.0117075	0.0156586	0.0104988	0.0119387	0.00733233	0.00381908	0.00232221	0.00257456	0.0048219	0.00387703	0.0112406	0.0173186	0.0375185	0.0256505	0.0269088	0.0272263	0.0294827	0.0537195	0.0431322	0.0605571	0.0574385	0.0619803	0.0754268	0.0628915	0.071422	0.055761	0.0836408
ses	0.0466953	0.0287877	0.0189176	0.0175876	0.0116156	0.0182541	0.0141474	0.0184414	0.00960308	0.00500573	0.00257407	0.00119326	0.0025688	0.00567271	0.0195052	0.0225321	0.0291488	0.0173665	0.0132588	0.0113423	0.0151289	0.0328007	0.0312219	0.0601784	0.0471595	0.0729732	0.0897889	0.0703578	0.0857681	0.0671553	0.113249
caprices	0.0533085	0.0259266	0.0239277	0.0214386	0.01313	0.00786912	0.0055292	0.00500214	0.00418125	0.003892	0.00300326	0.00282176	0.00408184	0.00632368	0.0124524	0.0228573	0.0316919	0.0255746	0.0239842	0.0184415	0.0181048	0.026354	0.0421796	0.0517487	0.0470596	0.0678473	0.108385	0.0831173	0.0865627	0.0775223	0.0756812
</S>	0.0502214	0.0313609	0.0218564	0.0218832	0.0158508	0.0218671	0.0136377	0.0103918	0.00752363	0.00510832	0.00582909	0.00668657	0.00998048	0.00903942	0.0174512	0.0214151	0.0228786	0.0265596	0.0301507	0.0363044	0.0314134	0.0485776	0.0449297	0.0766932	0.0533414	0.051222	0.067514	0.0539229	0.0718951	0.052876	0.0616183
