 	a66	a87	a23	a44	a54	a92	a37	a85	a6	a36	a61	a62	a21	a75	a25	a79	a44	a96	a62	a83	a9	a99	a97	a87	a23	a99	a97	</S>
l'	0.0275082	0.0318988	0.0458331	0.0548871	0.0574386	0.0961024	0.0858486	0.0588993	0.0351082	0.0257367	0.0220893	0.0323404	0.0160309	0.0143279	0.0112479	0.0106347	0.0150587	0.0312993	0.0270168	0.0315973	0.0279341	0.0323531	0.043477	0.0449167	0.0345152	0.0247369	0.0254898	0.035673
enfant	0.00485655	0.00606236	0.0120798	0.0373148	0.0484345	0.0905512	0.124759	0.140495	0.113692	0.0995582	0.0853085	0.0523003	0.0385365	0.0362516	0.0231885	0.0203437	0.00400514	0.00212202	0.00213623	0.00337426	0.00310179	0.00422973	0.00392154	0.00769306	0.00680509	0.00722878	0.0105125	0.011137
a	0.0399505	0.0678768	0.0636611	0.080011	0.0682894	0.0520217	0.0624024	0.041471	0.0240844	0.0141275	0.0123399	0.0175919	0.0217429	0.0236095	0.0159784	0.0194039	0.0111646	0.0157797	0.0134071	0.0221537	0.00734419	0.0285732	0.0353891	0.0456143	0.0408932	0.0361339	0.0521941	0.0667906
attrapé	0.044803	0.0467658	0.0187938	0.00923027	0.00935804	0.0111522	0.00983774	0.0176788	0.0463244	0.0419336	0.0615803	0.0443057	0.0420749	0.032574	0.0273777	0.0202871	0.0299805	0.0413929	0.034397	0.0244891	0.022032	0.0393156	0.0527234	0.0679156	0.0510373	0.0378089	0.036463	0.0783672
le	0.0409424	0.0248834	0.0172813	0.0143032	0.0106198	0.0066479	0.00276684	0.001731	0.0103212	0.0227072	0.0273088	0.0407171	0.0565277	0.054754	0.0817364	0.0522172	0.0583233	0.0644798	0.0585615	0.0365561	0.0323937	0.0561535	0.0534029	0.0503501	0.0416332	0.0266004	0.0228446	0.0332351
petit	0.034151	0.0226712	0.0148898	0.01953	0.0155225	0.0126668	0.00962137	0.00590491	0.016719	0.0408054	0.0375639	0.0553517	0.0788834	0.0745128	0.0903606	0.0575027	0.0427233	0.0349198	0.0369457	0.0391513	0.0320611	0.0393008	0.0345087	0.0349713	0.0368815	0.0245812	0.0237448	0.0335537
oiseau	0.023618	0.0361892	0.0237878	0.0229418	0.0174961	0.0146102	0.0131882	0.00937141	0.0193045	0.0265142	0.0284709	0.0485707	0.0750335	0.0551713	0.0746435	0.0485359	0.0308092	0.038219	0.0356923	0.0386954	0.0228357	0.0535276	0.0479753	0.0462082	0.044515	0.0261335	0.0268797	0.0510619
de	0.0691358	0.059603	0.0305607	0.0247998	0.0163004	0.0135451	0.01234	0.0087125	0.00716182	0.00788597	0.0104178	0.0247474	0.0263479	0.0212746	0.0447062	0.0456244	0.036279	0.054118	0.0474838	0.0567859	0.042205	0.0696182	0.0556856	0.0492111	0.0483704	0.0330982	0.0338114	0.0501702
la	0.0790239	0.0510046	0.0288657	0.0232513	0.0145098	0.00696196	0.00579448	0.00404621	0.00433034	0.00403064	0.00653404	0.00942089	0.00567096	0.00491579	0.00605486	0.0073652	0.0112383	0.0178882	0.0256461	0.0382364	0.0284517	0.0402297	0.077999	0.10173	0.11019	0.0996105	0.081364	0.105635
plaine	0.0480486	0.0610624	0.0574228	0.0730611	0.0605864	0.0195349	0.0135504	0.00714639	0.00957472	0.00916114	0.0179262	0.0227923	0.0183255	0.0152314	0.0122022	0.00789583	0.0083684	0.00816141	0.0148133	0.0166353	0.0126281	0.0150128	0.0322984	0.0506161	0.0737991	0.0724705	0.0750521	0.166622
</S>	0.0622785	0.0581031	0.0476984	0.0404589	0.0363881	0.0242063	0.0161898	0.00761903	0.0156122	0.0155008	0.0183306	0.0226704	0.0188468	0.0148825	0.0248624	0.0143659	0.0205531	0.0297543	0.0266829	0.0224065	0.0134379	0.0277537	0.0415091	0.0521452	0.0614433	0.0584477	0.062354	0.145498
