 	a66	a87	a97	a82	a53	a93	a90	a25	a69	a75	a5	a75	a5	a85	a0	a61	a88	a71	a9	a97	a87	a97	a23	a97	</S>
ma	0.0392437	0.0674509	0.0741641	0.0413432	0.0253674	0.00857513	0.00772447	0.00552403	0.00509503	0.00362313	0.00461125	0.00715999	0.00949204	0.0112197	0.015953	0.0292564	0.0640703	0.0899125	0.0667903	0.0872117	0.0534031	0.0628262	0.069338	0.0593927	0.0912518
soeur	0.00845506	0.00871011	0.0082679	0.0124096	0.0219031	0.0414827	0.113534	0.16557	0.138089	0.0759029	0.0723559	0.0839045	0.0592695	0.0789626	0.0323335	0.0180157	0.0055085	0.00152621	0.00182592	0.007391	0.00553616	0.00804428	0.00667399	0.0185356	0.00579268
m'	0.0683152	0.0817811	0.0785953	0.070488	0.0447117	0.0214466	0.021476	0.0187414	0.0193416	0.014629	0.0150981	0.0135167	0.0144714	0.0154275	0.0225853	0.0174131	0.0346414	0.0410687	0.0558584	0.0546366	0.0507931	0.0479356	0.0511434	0.0718688	0.0540162
a	0.0231018	0.014769	0.012244	0.0137061	0.00909443	0.00552835	0.00515068	0.0192421	0.0115026	0.0144597	0.00458883	0.00946285	0.00657873	0.0141848	0.0126213	0.0104959	0.0222843	0.0309714	0.0870639	0.105086	0.0910875	0.0899279	0.115764	0.125418	0.145667
donné	0.0359507	0.0548706	0.0416666	0.0410108	0.0317039	0.0166067	0.0245384	0.0398225	0.0675316	0.108476	0.0714035	0.0516867	0.0198294	0.0490139	0.040814	0.0282206	0.0561276	0.031112	0.0385116	0.0197529	0.0197665	0.0187972	0.0238714	0.0239616	0.0449536
un	0.0277171	0.0183811	0.0142859	0.0128379	0.00994271	0.0095572	0.0125001	0.0145045	0.0214364	0.0279704	0.0300093	0.0229255	0.0187321	0.0247779	0.0296087	0.0326024	0.0403191	0.0590742	0.0706303	0.0742779	0.055812	0.0603023	0.0705858	0.0896683	0.151541
peu	0.0436434	0.0308033	0.0224988	0.0296401	0.0313677	0.0286666	0.0284883	0.0241284	0.020256	0.0222826	0.0263153	0.0212605	0.0194531	0.0221873	0.0373307	0.0209799	0.0289171	0.0398675	0.0627131	0.0553839	0.0633264	0.0702389	0.075295	0.0828896	0.0920668
de	0.0528171	0.0391181	0.0200021	0.0190763	0.0126635	0.00472005	0.00465864	0.00433581	0.00221206	0.0024653	0.00572692	0.0092253	0.00752542	0.0104637	0.0144959	0.0255755	0.0633683	0.0873603	0.160492	0.0713669	0.0863382	0.101367	0.0715084	0.0920058	0.0311107
poisson	0.0612286	0.0348152	0.0178653	0.0174974	0.0158506	0.0122834	0.017149	0.014028	0.0078087	0.0152056	0.013713	0.0105588	0.00886841	0.0113704	0.0310125	0.0237599	0.0616449	0.0812579	0.141853	0.081913	0.0898241	0.073824	0.0614474	0.0607616	0.0344594
</S>	0.0664767	0.0591993	0.0352691	0.0361073	0.030471	0.0321097	0.0257627	0.0131852	0.00803014	0.0096371	0.00721155	0.00949267	0.00904877	0.00755251	0.0144932	0.0206098	0.0286206	0.0578617	0.0859154	0.0497534	0.0824774	0.088096	0.0644126	0.10307	0.0551364
