 	a66	a87	a23	a99	a38	a36	a44	a54	a15	a7	a44	a11	a13	a4	a13	a90	a15	a79	a92	a6	a36	a2	a44	a13	a9	a87	a23	a87	</S>
c'	0.0322694	0.0413849	0.0319214	0.0223477	0.0275395	0.0409307	0.054077	0.0681106	0.0667453	0.0282731	0.0313714	0.0404774	0.0163557	0.0182647	0.0354855	0.054406	0.0187619	0.00874195	0.0172232	0.0133975	0.0319555	0.0256156	0.0335597	0.0343015	0.0577275	0.0286976	0.0365289	0.0209856	0.0625433
est	0.0501544	0.0315747	0.0275448	0.0247534	0.0168565	0.026668	0.0337044	0.034036	0.0459359	0.0466416	0.037197	0.0274601	0.020631	0.0135781	0.0146158	0.00885165	0.0124975	0.0187222	0.0448353	0.0386268	0.0340697	0.0401669	0.0403108	0.0486844	0.0404186	0.0535536	0.0598791	0.0613667	0.046665
dieu	0.0984705	0.0804539	0.0590975	0.0481133	0.0325231	0.0451905	0.0239237	0.0182395	0.0157642	0.0114128	0.0159799	0.0202234	0.0346001	0.0389626	0.0194296	0.0110108	0.00745898	0.0139129	0.0126741	0.0182989	0.00831169	0.0165901	0.0192901	0.031747	0.0194824	0.0353306	0.0327303	0.116412	0.0943652
qui	0.0384124	0.016527	0.00762477	0.00777309	0.00573565	0.00488152	0.00420554	0.00214163	0.00243176	0.00377536	0.00314662	0.00871309	0.0311719	0.0495552	0.0798966	0.0868415	0.071026	0.134771	0.0467289	0.0359845	0.0328026	0.0436245	0.0535622	0.0444211	0.0274345	0.034458	0.0279941	0.0518531	0.0425065
délivre	0.0259753	0.0131127	0.00920405	0.00980292	0.0073113	0.00599637	0.00551498	0.00395586	0.00638578	0.0098084	0.00949239	0.0156321	0.0508886	0.12667	0.0981077	0.0615844	0.0689898	0.0776656	0.0853617	0.0386059	0.0406903	0.0373026	0.053727	0.0337464	0.0229818	0.02042	0.022205	0.0289439	0.00991702
les	0.0372319	0.0292496	0.0223531	0.0162183	0.0148265	0.0141675	0.0101495	0.0124433	0.0238043	0.0274459	0.0316451	0.0308105	0.0921513	0.147788	0.12237	0.0467156	0.0426298	0.0493621	0.0531481	0.027165	0.0271782	0.0244955	0.0291031	0.0216292	0.0166161	0.0110878	0.00962399	0.0054275	0.00316334
hommes	0.041263	0.0177846	0.0114761	0.00889786	0.00992636	0.0141893	0.0113141	0.0155703	0.0342425	0.0368144	0.0515172	0.0433749	0.0402965	0.0445041	0.0507988	0.0275494	0.0298706	0.0478215	0.0608342	0.0432439	0.0691461	0.0553609	0.0734325	0.0449526	0.0530377	0.0286399	0.0198841	0.00977573	0.00448075
des	0.0520705	0.0203557	0.012312	0.0084922	0.00552371	0.00902053	0.00263065	0.00191257	0.00283438	0.00285858	0.00474047	0.00598782	0.0141162	0.0166732	0.0167672	0.0175761	0.025388	0.0378068	0.0528194	0.0644387	0.0707183	0.0966249	0.0973947	0.0778157	0.0574454	0.0771784	0.0506755	0.0560035	0.0418187
maladies	0.0486864	0.0282104	0.0194266	0.0162804	0.0118864	0.0231378	0.0200209	0.0143243	0.0177321	0.0182627	0.0156484	0.015744	0.0258146	0.0232742	0.0179411	0.0166988	0.0214355	0.0135846	0.0206803	0.0164736	0.0382072	0.0489299	0.0476637	0.0723952	0.0727642	0.0712906	0.0712946	0.0818659	0.0903259
</S>	0.0589601	0.0290781	0.0183413	0.0147742	0.012495	0.0208407	0.0198532	0.0136924	0.0156375	0.0122238	0.0111957	0.0124509	0.0184716	0.0206518	0.0161717	0.0129983	0.0146095	0.0106926	0.0178096	0.0185046	0.0355522	0.0486384	0.0442008	0.0690693	0.0627995	0.073984	0.0681781	0.0939939	0.134131
