 	a66	a87	a23	a79	a20	a69	a90	a25	a92	a85	a5	a24	a31	a88	a31	a21	a85	a6	a25	a56	a41	a25	a69	a58	a82	a87	a23	a87	</S>
il	0.0379367	0.0561166	0.0557335	0.0549391	0.0438384	0.0371814	0.0496434	0.0252946	0.0156472	0.0195429	0.0257109	0.026293	0.0141734	0.0118233	0.0102743	0.00837281	0.00671175	0.0057909	0.0126576	0.0300666	0.049228	0.0479227	0.0405471	0.0433168	0.0584283	0.0509597	0.0581353	0.0533959	0.0503178
grimpe	0.0100295	0.00962741	0.0126372	0.0148238	0.0174988	0.0277203	0.0289461	0.0191107	0.0207227	0.0244987	0.0116842	0.0152083	0.0201581	0.0202215	0.0194744	0.0186283	0.0241821	0.0301876	0.0196219	0.0296341	0.0485707	0.0623138	0.0900845	0.107145	0.0969894	0.0831104	0.0537371	0.0465757	0.0168577
sur	0.0261685	0.0211851	0.0185108	0.0108109	0.00662569	0.00968519	0.00335684	0.00313715	0.0057868	0.00733604	0.0026996	0.00416255	0.00429745	0.00338178	0.00364657	0.00301851	0.00753531	0.00695814	0.0135152	0.0217621	0.0294773	0.0431221	0.05111	0.0641073	0.0673876	0.104811	0.106897	0.226113	0.123394
un	0.0270278	0.0141501	0.0119473	0.0126699	0.0141586	0.0124873	0.00585789	0.0135852	0.022937	0.0178354	0.00483715	0.00579404	0.00647344	0.0074618	0.00934057	0.00874094	0.0130939	0.0105353	0.028887	0.0448264	0.0519888	0.0555738	0.062778	0.0827201	0.0794174	0.090017	0.0980996	0.078536	0.108222
palmier	0.0353817	0.0185307	0.00866664	0.00973371	0.0109436	0.026314	0.0352928	0.0188235	0.0170076	0.0191117	0.00841125	0.0235617	0.0271817	0.0248912	0.0186905	0.0144003	0.021722	0.0174462	0.0232323	0.0341189	0.0339977	0.036535	0.0542492	0.101016	0.098181	0.0860229	0.0715163	0.0591585	0.0458618
à	0.0495533	0.0211385	0.0117345	0.0121355	0.0116529	0.0205787	0.0318353	0.0270481	0.0360484	0.0494603	0.0242421	0.0361752	0.0254367	0.0166327	0.0127805	0.0112656	0.0163344	0.0174631	0.0312285	0.0489466	0.058565	0.0579281	0.0615582	0.0859612	0.0459312	0.0530941	0.0362249	0.0422857	0.0467605
l'	0.0510325	0.0260585	0.0182614	0.0210328	0.0146832	0.0253158	0.0161839	0.0201689	0.0180293	0.0323019	0.0109169	0.0160803	0.0154864	0.00847787	0.00747179	0.00821369	0.0118256	0.0127717	0.0191648	0.0355409	0.0591851	0.056022	0.0640714	0.0810984	0.0615678	0.0655505	0.0611706	0.072563	0.089753
aide	0.0552011	0.0366389	0.038798	0.0406815	0.0264291	0.0210305	0.0194026	0.0259136	0.0261161	0.0399721	0.0227011	0.0337592	0.0231969	0.0214103	0.0228479	0.0221847	0.0221184	0.0225006	0.0190748	0.0203658	0.0380461	0.0352678	0.0315091	0.0629005	0.041966	0.0434593	0.046793	0.0621413	0.0775735
d'	0.0433895	0.0229626	0.0221834	0.0201966	0.019786	0.0276077	0.0244968	0.0372893	0.0295538	0.0389576	0.0238762	0.0179922	0.0182443	0.0126519	0.00992841	0.0117584	0.0190039	0.0165802	0.0114738	0.0169236	0.0289803	0.0326691	0.0473361	0.0795102	0.0506321	0.0667737	0.0534305	0.0677414	0.12807
une	0.0401252	0.0235733	0.030471	0.0278251	0.0255037	0.0276334	0.0226253	0.0366031	0.0351983	0.0517076	0.0272537	0.0238264	0.0200539	0.0134867	0.00843109	0.00911311	0.0134495	0.0091647	0.0120073	0.0186613	0.0254168	0.0286341	0.0327808	0.0598156	0.0435441	0.0482641	0.0585726	0.0703437	0.155914
ceinture	0.0328934	0.0135837	0.0137291	0.0141635	0.0157957	0.0379022	0.0382116	0.0593966	0.0630532	0.0808088	0.0588364	0.0480865	0.0406169	0.0264526	0.0182398	0.0148921	0.0215061	0.0218536	0.0213254	0.0221772	0.0311776	0.0307033	0.0323534	0.0538085	0.0328635	0.0314916	0.0305276	0.0393646	0.0541854
de	0.0292724	0.014065	0.00750511	0.00902864	0.0100328	0.0195513	0.0488234	0.0355664	0.0146887	0.0145802	0.0213724	0.0286224	0.0222908	0.0160959	0.0103782	0.013387	0.0161246	0.0234318	0.0721325	0.0944098	0.0471901	0.0497033	0.0612549	0.0442443	0.0441821	0.0558475	0.0442751	0.074218	0.0577252
corde	0.0206199	0.0183659	0.0105255	0.00922591	0.011516	0.0302817	0.0814418	0.0532776	0.0188951	0.0238102	0.0305867	0.0328399	0.0284763	0.0190765	0.0149274	0.0211917	0.0270797	0.0475254	0.0759478	0.0911113	0.0372845	0.0371304	0.0474788	0.0294789	0.0309136	0.0377787	0.0284853	0.0453827	0.0393447
ou	0.017359	0.0119961	0.00747854	0.0070506	0.00808143	0.02731	0.100784	0.0655506	0.0214081	0.0289406	0.0215493	0.0239035	0.016315	0.0123577	0.0117697	0.0128856	0.013481	0.0217317	0.051153	0.0648901	0.0403551	0.0423554	0.0484342	0.0445179	0.0488335	0.0497414	0.0461863	0.0557161	0.0778644
de	0.0163214	0.0142353	0.0155947	0.0104062	0.0136376	0.0166893	0.0247582	0.018246	0.00735238	0.00699774	0.0117682	0.0143182	0.0105313	0.0121819	0.0126651	0.0106364	0.008482	0.0138481	0.0337905	0.0673537	0.0687269	0.0625947	0.0965977	0.0881583	0.0944005	0.0757488	0.0530357	0.0538582	0.0670649
liane	0.0410115	0.0374335	0.0377244	0.0224465	0.0217298	0.0174194	0.0337709	0.0229157	0.0147183	0.016021	0.0172329	0.0141255	0.0139491	0.0124718	0.012762	0.0164059	0.0198185	0.0283249	0.0701856	0.0802023	0.0554812	0.0439843	0.0494532	0.0326385	0.0362599	0.0386275	0.0457601	0.0576587	0.089467
</S>	0.0406638	0.0318623	0.0308337	0.0208485	0.0174521	0.0161813	0.0436539	0.0389257	0.0145637	0.0163559	0.0229091	0.0219781	0.0132315	0.0129687	0.0114258	0.0122989	0.0142631	0.0179378	0.0446988	0.0636888	0.0437658	0.0450815	0.0507121	0.0341249	0.0404558	0.0546823	0.0628953	0.0916754	0.0698654
