 	a15	a82	a87	a23	a53	a44	a90	a79	a44	a56	a62	a75	a85	a6	a36	a25	a69	a90	a56	a75	a47	a31	a21	a75	a6	a37	a36	a27	a57	a87	a23	a87	a23	a87	</S>
celui	0.0282797	0.0338993	0.0476106	0.0528043	0.0483426	0.0627268	0.0727518	0.0785531	0.062185	0.0318539	0.0234654	0.0305764	0.0209594	0.0145012	0.0100622	0.0092164	0.00781856	0.00534504	0.00590352	0.0061185	0.00649224	0.0096363	0.020989	0.0186289	0.0169269	0.0245797	0.0189282	0.0225025	0.0256696	0.0200814	0.0186548	0.0229568	0.021903	0.0276025	0.0714742
qui	0.019986	0.0150395	0.00857713	0.00835685	0.0124686	0.0120219	0.0115803	0.0138294	0.0169636	0.0224848	0.023659	0.0182921	0.0169376	0.0173642	0.0159207	0.0169426	0.0176051	0.0162445	0.0123956	0.0138342	0.0230752	0.0355335	0.0261822	0.0435028	0.0713663	0.0493317	0.0715986	0.0579304	0.0392246	0.0492766	0.0439358	0.0525156	0.0443038	0.0541175	0.0276017
vient	0.0491657	0.0542013	0.0323584	0.0311892	0.0343689	0.043361	0.022483	0.0244516	0.0295936	0.0265798	0.0374425	0.0261967	0.0280154	0.0258608	0.0128067	0.0107732	0.00905814	0.0104973	0.00907995	0.0101051	0.0114631	0.00862233	0.00694667	0.00942506	0.00955867	0.0101853	0.00982842	0.0124845	0.0173073	0.0256992	0.037718	0.0313081	0.0682917	0.117384	0.0961899
après	0.066997	0.0437676	0.0266481	0.0190542	0.0188036	0.0187573	0.0156512	0.0137912	0.0131967	0.0152191	0.019192	0.0105583	0.0113951	0.0121293	0.0245009	0.0211507	0.0172336	0.0181569	0.0155204	0.0235088	0.0234287	0.0192551	0.0183631	0.0200219	0.0248992	0.0249536	0.0302519	0.0314489	0.0379797	0.0363054	0.0423059	0.0534273	0.0570279	0.120025	0.0350743
moi	0.0957635	0.0886041	0.0595514	0.0379067	0.0399207	0.0418138	0.0207432	0.0198984	0.0253832	0.0365123	0.0321623	0.0286194	0.0274838	0.0194091	0.0121094	0.0216847	0.0160629	0.0155208	0.0157059	0.0199384	0.0214378	0.0181094	0.00817167	0.00599844	0.0122298	0.0081323	0.00993227	0.00864681	0.0157282	0.0208856	0.0277926	0.0225654	0.0320443	0.0717394	0.0417921
va	0.0403974	0.0254655	0.0127395	0.00901348	0.010909	0.0267826	0.0261616	0.0299782	0.0188526	0.0251172	0.0153172	0.01194	0.0156361	0.0163177	0.0130465	0.0107275	0.00817894	0.00541044	0.00664516	0.0102978	0.0169511	0.0223631	0.0412315	0.0562865	0.0729051	0.0597967	0.0492849	0.0424471	0.0456867	0.0425114	0.0488534	0.0342498	0.0514772	0.0541282	0.0228927
ramasser	0.0499831	0.0272071	0.0109268	0.00798696	0.00908494	0.0115096	0.0089003	0.0107894	0.0103108	0.00970335	0.00983232	0.00903814	0.0090133	0.0118626	0.00927495	0.0110731	0.00752523	0.00658669	0.00509545	0.010552	0.0253065	0.0298233	0.0364542	0.0580818	0.0830869	0.0557813	0.0621035	0.0274553	0.0370379	0.0420427	0.0665156	0.0444577	0.0738461	0.0815978	0.0301533
l'	0.081571	0.050693	0.0371467	0.0285313	0.0269141	0.0243968	0.0146311	0.0135346	0.0167755	0.0184495	0.0171659	0.0160129	0.0159086	0.0168881	0.0100796	0.0119241	0.0129201	0.0121424	0.0164564	0.0246904	0.0290643	0.0330016	0.0379959	0.0371007	0.0528186	0.0381329	0.0386721	0.0226009	0.0273233	0.0251789	0.0472935	0.0190472	0.0514897	0.0571887	0.0162596
argent	0.0690522	0.0576091	0.0486258	0.0458139	0.0305738	0.0269506	0.019991	0.0179011	0.0173608	0.0109235	0.0106619	0.0102242	0.011293	0.0118421	0.00518787	0.00523469	0.00376796	0.00390102	0.00474363	0.00682507	0.0128422	0.0137811	0.0173677	0.0211597	0.0294458	0.0238961	0.0270198	0.0199902	0.0305049	0.0298151	0.0510884	0.0350341	0.0543066	0.136286	0.0789788
que	0.0863551	0.0580512	0.0368721	0.039556	0.0301732	0.0247857	0.0174913	0.014203	0.0150418	0.00716979	0.00706256	0.0060035	0.00698487	0.00805884	0.00329261	0.00448272	0.00387133	0.00439074	0.00713978	0.0100292	0.0157278	0.0166882	0.0158052	0.0203893	0.0267935	0.0235112	0.0169698	0.0207336	0.0249261	0.0215305	0.0410251	0.0369231	0.0755767	0.158447	0.0939372
j'	0.086217	0.044739	0.0250855	0.0264741	0.031218	0.0156218	0.0104834	0.00973185	0.0126695	0.010731	0.00685586	0.00449069	0.00471617	0.00648737	0.00402915	0.00750061	0.00749252	0.00684608	0.0129538	0.0166665	0.027896	0.0237252	0.0270441	0.0278404	0.0374913	0.0429571	0.0327469	0.0249819	0.0392625	0.042452	0.0657543	0.0466913	0.0779974	0.0939714	0.0381784
ai	0.0907864	0.0602049	0.0366915	0.0471857	0.050441	0.0314112	0.0124562	0.0121256	0.0184816	0.0104487	0.0107319	0.0074956	0.0090915	0.00984206	0.00443955	0.00674377	0.00628203	0.00741509	0.0107377	0.0190767	0.0509287	0.0590402	0.0422754	0.0234531	0.0285125	0.0250066	0.016687	0.0133412	0.0185611	0.022662	0.0313755	0.0246663	0.0476262	0.0469604	0.0868151
fait	0.0513861	0.0278009	0.0117112	0.0134761	0.0160296	0.0126633	0.0115836	0.0116324	0.0185513	0.017537	0.0141843	0.0101552	0.00864208	0.00640968	0.00545352	0.00957708	0.00604378	0.00607058	0.00774773	0.0145709	0.0517595	0.0644645	0.0707646	0.0490465	0.0473219	0.040013	0.0273996	0.0365165	0.0541498	0.0459515	0.0454342	0.0378063	0.044904	0.0390798	0.0641618
tomber	0.0308922	0.0171956	0.0178135	0.0295431	0.030093	0.0151734	0.02077	0.0254439	0.0321925	0.020556	0.0151237	0.0227211	0.0240838	0.0172876	0.0094334	0.0122837	0.00758295	0.00625114	0.009018	0.0123451	0.0380297	0.0334131	0.0759684	0.0404175	0.0308826	0.035981	0.0282914	0.0268286	0.0318494	0.0335235	0.0332203	0.0435344	0.0409004	0.0365007	0.0948552
</S>	0.022188	0.0178345	0.0254668	0.0330973	0.0318918	0.0275072	0.0411978	0.0495929	0.038101	0.0166972	0.00747975	0.0149495	0.0112662	0.00707597	0.00682122	0.0115922	0.00981808	0.00830828	0.0135724	0.0121191	0.0207068	0.0192793	0.0598424	0.0396585	0.0303579	0.0430657	0.0476667	0.0342755	0.0381847	0.0325048	0.0351343	0.0560448	0.0347872	0.0473818	0.0545325
