 	a66	a87	a23	a87	a23	a97	a87	a23	a62	a88	a9	a62	a56	a96	a93	a21	a47	a61	a31	a88	a66	a93	a96	a88	a62	a31	a24	a9	a10	a87	a23	a87	a97	</S>
il	0.109038	0.0889102	0.0775776	0.0530082	0.0275381	0.0180452	0.0201095	0.0201429	0.0275135	0.0633009	0.032407	0.0425201	0.0280476	0.0245496	0.0123847	0.0143289	0.0111694	0.0060551	0.00446432	0.00217821	0.00351669	0.00325669	0.00237428	0.00611633	0.00478525	0.00796766	0.0185834	0.0318574	0.0352952	0.033473	0.0258498	0.0374176	0.0460963	0.060121
y	0.026951	0.0211389	0.0210544	0.0222662	0.0469673	0.0423575	0.056602	0.0523073	0.0525604	0.054022	0.0465813	0.0560651	0.0412016	0.0449831	0.0321118	0.0383114	0.0290686	0.0377867	0.0153039	0.0103883	0.0196883	0.0240977	0.0119822	0.0197346	0.0152289	0.0163994	0.0116984	0.0241688	0.0176498	0.00747083	0.0141691	0.021956	0.0265406	0.0211863
a	0.0167345	0.0140372	0.0134836	0.0128099	0.0210455	0.0227027	0.0318138	0.0382348	0.0245843	0.0453801	0.025714	0.0290975	0.0259268	0.0200201	0.0219355	0.0297071	0.0257122	0.0183214	0.0111923	0.00671357	0.0154167	0.0142474	0.0139546	0.0058833	0.00867598	0.0129748	0.0171263	0.0380987	0.0792995	0.0255488	0.0703291	0.0550115	0.123477	0.0647893
beaucoup	0.0745526	0.0941061	0.082131	0.0762159	0.048196	0.0540052	0.045509	0.0357528	0.0545545	0.0369422	0.0181656	0.0192901	0.0198942	0.0205639	0.0209255	0.0200258	0.0143542	0.0203918	0.0169302	0.0241588	0.0197427	0.0240051	0.0122021	0.0160489	0.0173749	0.00908664	0.0158623	0.0114475	0.00991628	0.00860887	0.0148215	0.0116408	0.0104262	0.0221508
de	0.0528578	0.0367712	0.0293956	0.0273193	0.0241147	0.0312052	0.0224341	0.0209133	0.0267056	0.0254547	0.0319028	0.0372833	0.0340741	0.0424748	0.0389979	0.0403415	0.0317843	0.0290503	0.0222018	0.0253375	0.017956	0.0170419	0.0136541	0.0154767	0.0205729	0.0224772	0.0268483	0.014556	0.0375645	0.0388717	0.0414816	0.0372688	0.0305099	0.0351004
larves	0.0481421	0.0483585	0.0388723	0.039309	0.0357372	0.0309872	0.0345051	0.0369293	0.0375845	0.0255449	0.028812	0.025859	0.0216836	0.0251137	0.0203197	0.0223594	0.0227731	0.0230197	0.0153269	0.0263339	0.0232109	0.0283314	0.0167026	0.0241919	0.0357453	0.037979	0.0437183	0.0209997	0.0415784	0.0288027	0.025165	0.0164891	0.0164024	0.0331121
dans	0.0738036	0.0694373	0.065474	0.0707271	0.0495704	0.0404022	0.024405	0.0213152	0.0150592	0.0116423	0.0118341	0.00664362	0.00434229	0.00451847	0.00391593	0.008012	0.0109388	0.0168443	0.0157125	0.0125439	0.0158287	0.00750918	0.0143756	0.0208519	0.0135275	0.0387444	0.0385117	0.044709	0.040549	0.0541344	0.0551161	0.0555496	0.0436712	0.0197793
cet	0.0787641	0.0466271	0.031157	0.0278362	0.0159255	0.0146897	0.0104223	0.00933598	0.00650338	0.00594982	0.00641675	0.00445429	0.00274879	0.00352087	0.00174418	0.00492371	0.010491	0.00986185	0.0145752	0.014193	0.0175878	0.00715044	0.012194	0.0274587	0.0181947	0.0632691	0.0953369	0.100127	0.0858515	0.0407887	0.0665618	0.0605467	0.0612737	0.0235181
étang	0.0995433	0.0508617	0.0240083	0.0192869	0.00931089	0.0132726	0.0110806	0.0101142	0.0110817	0.0101011	0.0187902	0.0160917	0.0110309	0.016183	0.00629262	0.00825904	0.0159158	0.0141246	0.0162556	0.021475	0.0141049	0.0126555	0.0184204	0.0142365	0.0114276	0.0456226	0.076194	0.0813637	0.101378	0.0366752	0.0644791	0.0433524	0.0442841	0.0327266
</S>	0.059673	0.0394142	0.0205855	0.021347	0.0130928	0.0116351	0.0108221	0.00896388	0.0069321	0.00650355	0.00764272	0.00348059	0.00244726	0.00336882	0.00157534	0.00390861	0.00637503	0.00435739	0.00802245	0.0124423	0.00894264	0.00508125	0.012346	0.0150131	0.0147751	0.0441079	0.0509524	0.0711679	0.104005	0.0546845	0.131387	0.0585514	0.100693	0.0757022
