 	a87	a23	a79	a20	a44	a20	a69	a4	a53	a90	a32	a20	a76	a94	a98	a73	a94	a98	a73	a84	a57	a87	a23	a53	a69	a4	a13	a53	a79	a44	a41	a44	a54	a73	a69	a4	a53	a69	a84	a82	a87	</S>
elle	0.0129505	0.0135305	0.017807	0.0139826	0.0174252	0.053296	0.048188	0.035778	0.0763163	0.0478061	0.0744445	0.0264759	0.0294762	0.0204027	0.0205718	0.0110871	0.016851	0.00905881	0.0191097	0.00677706	0.00698915	0.014337	0.016905	0.0185731	0.0185709	0.0163801	0.0185213	0.00717136	0.00394857	0.00625664	0.0075253	0.00988716	0.0224431	0.0197253	0.0128594	0.0223946	0.036728	0.0335875	0.0329554	0.0386239	0.023323	0.0409592
oint	0.00626161	0.0045001	0.00821827	0.0140178	0.0297017	0.0212863	0.0286363	0.0483919	0.0797759	0.0692646	0.058199	0.0472836	0.0409433	0.0553	0.0207125	0.0154404	0.0125997	0.0105834	0.00875568	0.00537024	0.00456973	0.00564982	0.004657	0.00537285	0.00549121	0.00787403	0.00780652	0.0140495	0.0171571	0.0269262	0.0140864	0.0120705	0.0168409	0.0254779	0.0265485	0.0531132	0.0338117	0.0412497	0.0371144	0.0193482	0.0237555	0.011787
le	0.0171212	0.0126513	0.011646	0.0107729	0.010935	0.0103957	0.0225165	0.0291817	0.0486448	0.049727	0.0346333	0.0180135	0.0107351	0.00888164	0.00395888	0.00439717	0.00344727	0.00283768	0.00280189	0.00168765	0.00191088	0.00225143	0.00178696	0.00219803	0.00257525	0.00293287	0.00315639	0.00413163	0.00424783	0.00952161	0.00687831	0.0117443	0.0334772	0.0603607	0.0443759	0.0683398	0.0769663	0.0952554	0.0730722	0.0560791	0.056519	0.0672327
fétiche	0.0142118	0.0158762	0.0131762	0.0155894	0.0133254	0.0250859	0.0172155	0.0340103	0.0206407	0.0222744	0.0362911	0.0217678	0.0134773	0.0214824	0.0217088	0.0231684	0.0293902	0.0389148	0.029431	0.048856	0.0371483	0.0455263	0.0301481	0.0348704	0.0217382	0.0303728	0.0409871	0.0595628	0.071241	0.0589417	0.0332336	0.0182447	0.00790075	0.00520183	0.0104596	0.00681002	0.00289904	0.00152134	0.00162441	0.00126211	0.00186622	0.00254588
avec	0.0529474	0.0355922	0.0287765	0.0211675	0.0178656	0.0147131	0.0130035	0.0305982	0.0155712	0.023772	0.0282705	0.0182236	0.0109492	0.0125283	0.0149236	0.0110792	0.0143098	0.0191396	0.0190491	0.0306468	0.0159385	0.0172888	0.0162853	0.014396	0.0151131	0.0139453	0.0240438	0.0435049	0.038705	0.0625195	0.0358791	0.0445934	0.0309326	0.0387686	0.0386987	0.0250232	0.0182489	0.0159455	0.0116741	0.0110906	0.0143043	0.0199738
de	0.0133688	0.0160409	0.0203207	0.0183997	0.020672	0.0232159	0.0116218	0.0274088	0.0301567	0.0372312	0.0395321	0.0178061	0.019047	0.00901831	0.0211115	0.0100347	0.00652137	0.00765593	0.0101588	0.00652186	0.00701516	0.017101	0.00853921	0.0170766	0.0123507	0.0112818	0.0138004	0.0165283	0.0133313	0.0151087	0.0171919	0.0200116	0.0278944	0.0405272	0.0338629	0.0430931	0.0660466	0.0550567	0.0652167	0.0437343	0.0395479	0.0498396
la	0.0370781	0.0339801	0.0336248	0.0294442	0.0174809	0.0128536	0.0215474	0.0192213	0.0235244	0.0247574	0.019753	0.0155336	0.0134999	0.0160619	0.0177348	0.0156032	0.0104959	0.0121186	0.00898534	0.00523549	0.00529618	0.00993463	0.00467902	0.00990737	0.0055057	0.0116212	0.0144142	0.0212898	0.0161852	0.00957325	0.0140182	0.0161013	0.0249512	0.0253319	0.024818	0.0300919	0.0454096	0.0452963	0.0762288	0.0703432	0.058643	0.0718259
poudre	0.0342686	0.0202876	0.0162824	0.0201626	0.0120439	0.00849042	0.0144679	0.0185672	0.0203843	0.0180854	0.0262571	0.013741	0.0177223	0.0136944	0.0301346	0.0219803	0.0107786	0.0200608	0.0218106	0.0106372	0.00642809	0.0081151	0.00883878	0.0134186	0.00939052	0.0215575	0.0295187	0.0254224	0.0308822	0.0189533	0.0606414	0.0363856	0.0546484	0.0354746	0.0315841	0.022511	0.0382407	0.0248804	0.0319026	0.0405601	0.0274642	0.0533246
de	0.0316943	0.0232137	0.0196203	0.0199083	0.0154137	0.0100357	0.016699	0.0231513	0.032065	0.0200034	0.021233	0.0132779	0.0172245	0.0130343	0.0202612	0.0117519	0.00649371	0.0122479	0.00939637	0.002574	0.00233286	0.0073085	0.00442256	0.010463	0.00735575	0.0146492	0.0220649	0.0171914	0.0191678	0.0136293	0.0274366	0.0185725	0.040865	0.0317736	0.0291907	0.0320381	0.0561065	0.0332861	0.0521868	0.0518346	0.0372595	0.131565
bois	0.0434965	0.0248114	0.0266227	0.0329599	0.0173055	0.00861578	0.0233625	0.01683	0.0182819	0.0206433	0.0161534	0.00859917	0.0133187	0.00698471	0.0154055	0.0107205	0.00641443	0.0100872	0.00667406	0.00354123	0.00326356	0.00688402	0.00372919	0.00776578	0.00551244	0.0099315	0.0145751	0.0187749	0.0194525	0.0196767	0.0243161	0.0249793	0.0420254	0.0423813	0.0382544	0.0322094	0.0525574	0.0445803	0.055397	0.0619153	0.0514847	0.0895054
