 	a66	a87	a23	a87	a23	a40	a6	a36	a85	a5	a36	a90	a25	a92	a61	a18	a71	a9	a87	a23	a40	a6	a0	a21	a85	a92	a56	a75	a56	a93	a70	a11	a90	a98	a92	a75	a56	a96	a62	a47	a31	a0	a24	a9	a10	a87	a23	a88	a24	a41	a5	a43	a0	a21	a5	a0	a27	a57	a87	a23	a87	</S>
les	0.0282662	0.0512693	0.0478117	0.0663616	0.0431223	0.046149	0.0390101	0.0440205	0.0530601	0.0333753	0.0244568	0.0184236	0.0141378	0.0275811	0.0271458	0.0177284	0.0121027	0.0206465	0.0163994	0.0166409	0.0178867	0.0117471	0.00888598	0.00562669	0.00681404	0.00737159	0.00526492	0.00526726	0.00750118	0.00503511	0.0080034	0.0080296	0.00812696	0.00643932	0.0114427	0.00572267	0.00555214	0.00458015	0.00768456	0.0175266	0.0166158	0.0148869	0.0132707	0.0136224	0.00988618	0.00872201	0.00570881	0.00935134	0.0049661	0.00578946	0.00449837	0.0059117	0.00614669	0.00629775	0.00657124	0.00448173	0.00487117	0.00389023	0.0048302	0.00851199	0.00569427	0.0232572
élèves	0.00325577	0.00392305	0.00511131	0.0055653	0.00572077	0.0158109	0.0458086	0.0501492	0.0552583	0.131131	0.106036	0.0785284	0.0398524	0.0318853	0.0394145	0.0248883	0.0162445	0.00805879	0.0075987	0.00788372	0.0084661	0.00983922	0.00793158	0.0215671	0.0206422	0.0155599	0.027851	0.0256721	0.0182601	0.0149941	0.0148241	0.0158753	0.00854645	0.011546	0.0136374	0.0115345	0.00879295	0.00549542	0.00925035	0.00838263	0.00734509	0.00678005	0.00353756	0.00343004	0.00336388	0.00208561	0.00120217	0.000558161	0.000448736	0.000823016	0.000334943	0.000443363	0.000199179	0.000580278	0.000435367	0.000731613	0.000849748	0.000710865	0.00128183	0.00108474	0.00157069	0.0014094
parlent	0.0131472	0.018838	0.0109793	0.0202554	0.0194384	0.0404973	0.0464948	0.0826509	0.0379452	0.0443261	0.035695	0.0247213	0.0490923	0.0496371	0.0305961	0.0308925	0.0257037	0.0279856	0.022578	0.0181878	0.0132652	0.0138346	0.0165838	0.0196908	0.017946	0.0103102	0.0171332	0.0163967	0.0137537	0.0134326	0.00872127	0.012725	0.0135853	0.0118033	0.0135801	0.0109818	0.0108587	0.0116619	0.00810232	0.00945008	0.00835602	0.00830769	0.0129151	0.0074654	0.00606697	0.00614982	0.00465184	0.00372334	0.00310984	0.00273684	0.00117907	0.00140423	0.000617798	0.000856207	0.00124155	0.000646676	0.00155457	0.00269194	0.0030435	0.0027903	0.00531284	0.00170005
à	0.0113424	0.00571479	0.004514	0.00553961	0.00484553	0.0105646	0.0116726	0.0124232	0.0124832	0.0121917	0.00954727	0.0107008	0.0151199	0.0119027	0.0118593	0.0132775	0.0101094	0.00828803	0.0107777	0.00849537	0.00740388	0.00590516	0.00805942	0.0102616	0.0118991	0.0152405	0.0103963	0.0110775	0.0145274	0.0117887	0.0120914	0.0131314	0.0204838	0.0249638	0.0249453	0.0313013	0.0286376	0.0325453	0.028193	0.0244098	0.0392686	0.0282019	0.0321498	0.0227822	0.00999574	0.0128363	0.00758587	0.00617002	0.00615571	0.00672786	0.0137867	0.0121743	0.0202078	0.0183216	0.0323753	0.0274878	0.0307298	0.0313959	0.0355305	0.020087	0.0210364	0.0163612
propos	0.00814846	0.0033873	0.00217574	0.00281795	0.00307846	0.00376176	0.0027736	0.0019087	0.00351525	0.00392176	0.00543586	0.0080952	0.00554014	0.00427078	0.00612158	0.010333	0.00568378	0.00329082	0.00413639	0.0037802	0.00244031	0.00243677	0.00394402	0.00318594	0.00822441	0.00965258	0.0112063	0.015136	0.0178754	0.0187792	0.0124751	0.0156383	0.0236637	0.0254186	0.0231331	0.0172723	0.0193282	0.0237503	0.0201589	0.0207388	0.0259196	0.0296919	0.0343334	0.0424877	0.0244056	0.0407831	0.0241352	0.0208091	0.0226815	0.030085	0.0406301	0.0393018	0.0475953	0.038422	0.024503	0.0267074	0.0330155	0.0209781	0.0204922	0.0125808	0.00936532	0.00444133
de	0.0159918	0.00672111	0.00637101	0.00667977	0.00481783	0.00291149	0.00259704	0.00311442	0.00383852	0.00483294	0.00610297	0.00609751	0.0136595	0.0149706	0.0118404	0.0113705	0.0118436	0.0135718	0.0119326	0.0165633	0.019751	0.0206524	0.0215972	0.0216395	0.0353382	0.0276533	0.0351509	0.0241786	0.0452767	0.0413798	0.0555343	0.0297555	0.0322147	0.0314068	0.0400238	0.0200153	0.0276345	0.0223071	0.0228232	0.0237129	0.0161403	0.0164463	0.0173125	0.0129545	0.0126169	0.0123483	0.00882547	0.00908702	0.00796711	0.00788322	0.0100405	0.0106897	0.0111161	0.0102211	0.00744391	0.00687408	0.00506256	0.00550579	0.00767094	0.010432	0.00702971	0.0124576
la	0.019648	0.0101427	0.00847815	0.00831684	0.00726344	0.00337561	0.00259101	0.00324841	0.00730429	0.00775191	0.0107541	0.0131488	0.0157066	0.0197814	0.0179635	0.0185351	0.0164493	0.0206431	0.017299	0.0230027	0.0166162	0.0207914	0.0188528	0.0185185	0.0154007	0.0193666	0.0219425	0.0152168	0.0367627	0.0294439	0.0393609	0.0271666	0.0277102	0.0311607	0.0418291	0.0315875	0.0280766	0.028196	0.0387931	0.0365089	0.0258487	0.0218251	0.0236642	0.0168426	0.0142158	0.011353	0.00670401	0.00802105	0.00472763	0.00388361	0.00418241	0.00424755	0.00443268	0.00537903	0.00370372	0.00425423	0.00373327	0.00572753	0.00712915	0.00808779	0.00749177	0.00983955
maladie	0.0143561	0.0125425	0.00945959	0.00919897	0.010948	0.00590638	0.00426741	0.00363814	0.00615032	0.00532292	0.00845724	0.0087899	0.0117735	0.010605	0.0108574	0.0104821	0.00880686	0.0117578	0.0116547	0.0141952	0.013211	0.0112719	0.00876042	0.0151356	0.00916251	0.0312592	0.0168743	0.013023	0.0493694	0.031422	0.0405167	0.0277387	0.0233879	0.0372277	0.0444253	0.0280403	0.0333598	0.0337499	0.0535171	0.0413492	0.0425115	0.0361494	0.03933	0.0298219	0.016323	0.0134413	0.00697549	0.00769943	0.00408212	0.00244592	0.00161501	0.00183188	0.00184919	0.00342774	0.00216846	0.0049694	0.00438047	0.00659874	0.00802127	0.00607863	0.00570988	0.00259718
de	0.0270875	0.0119485	0.00669679	0.00288939	0.00310724	0.00109044	0.000890105	0.00129792	0.00278492	0.00294987	0.00459391	0.00437616	0.00368359	0.00671967	0.00769321	0.0129158	0.0143222	0.0263815	0.0313331	0.0353575	0.0322576	0.0308893	0.0373463	0.0551392	0.0410601	0.0511366	0.0350373	0.0324782	0.0435808	0.0296621	0.0230766	0.0206736	0.0268093	0.0209498	0.0247783	0.012019	0.0101583	0.0104924	0.0103116	0.0131057	0.0119935	0.0133496	0.016824	0.0165839	0.0139451	0.0128069	0.0106424	0.0171074	0.0137319	0.00477489	0.00249955	0.00302498	0.00210837	0.00506027	0.0041661	0.00666068	0.0113606	0.0115321	0.0137407	0.0142439	0.0168707	0.00789073
l'	0.0253435	0.0126457	0.00832722	0.00424301	0.00426159	0.00175856	0.00178217	0.00128058	0.00206437	0.00170762	0.00362192	0.00340152	0.00499868	0.00480587	0.00574931	0.00847875	0.00748654	0.0106065	0.0125078	0.0133184	0.0100891	0.00820466	0.0114497	0.0150477	0.0165215	0.0450044	0.0239697	0.0332244	0.0438808	0.0340357	0.0331814	0.0311305	0.0218463	0.0301012	0.0304348	0.0267517	0.026749	0.024712	0.0282312	0.0282928	0.0212508	0.0251014	0.0308562	0.0376359	0.0335118	0.0290455	0.0239187	0.0173862	0.0173223	0.0115206	0.00705587	0.00653278	0.00886268	0.00815942	0.00432806	0.00509167	0.00814953	0.00503028	0.00950797	0.0119999	0.0108512	0.00563311
