 	a15	a66	a87	a23	a50	a88	a62	a47	a12	a31	a96	a94	a56	a21	a47	a24	a88	a93	a13	a4	a13	a57	a3	a87	a23	a97	</S>
il	0.0816198	0.0852969	0.0654802	0.053758	0.0441392	0.0251601	0.0165267	0.0139534	0.0108521	0.0121709	0.00981915	0.0149122	0.0101202	0.00662295	0.011211	0.0153494	0.043152	0.0655732	0.0700217	0.0696227	0.0629228	0.0597084	0.0345263	0.0345133	0.0221994	0.0280579	0.0327102
y	0.0763292	0.0331438	0.0714454	0.0494145	0.0754309	0.0536472	0.0326912	0.0321908	0.0405278	0.0247623	0.0289433	0.0294676	0.034607	0.0424024	0.0239168	0.0345121	0.0179088	0.0102871	0.026734	0.0240179	0.0249395	0.0146723	0.0238298	0.0305014	0.0364776	0.0588442	0.0483548
a	0.0518014	0.0339583	0.035947	0.0259508	0.0280301	0.0260827	0.0140837	0.0104489	0.0101579	0.00916277	0.0100158	0.00844804	0.00967546	0.00601124	0.0052379	0.0076474	0.00718713	0.00834858	0.0122749	0.0216016	0.0399145	0.0524295	0.084812	0.138426	0.095228	0.146262	0.100857
un	0.115457	0.0761242	0.0564554	0.0731925	0.0427013	0.0621463	0.0527518	0.0350996	0.0282047	0.0215759	0.0261459	0.0129225	0.017024	0.0149855	0.0225729	0.0340204	0.0206436	0.0197143	0.0277381	0.0223792	0.0246132	0.0228168	0.0221449	0.0240382	0.0260622	0.0313548	0.0671149
morceau	0.088234	0.0727011	0.0716075	0.0694291	0.0472074	0.0470941	0.0600036	0.0615938	0.052962	0.0665705	0.0401564	0.0168667	0.018508	0.0140278	0.0136793	0.00984956	0.0173296	0.0241823	0.0132777	0.00912609	0.00718121	0.00954249	0.0199999	0.0438413	0.0269051	0.0280583	0.050065
de	0.151547	0.119988	0.124815	0.105999	0.0633375	0.0415189	0.0435799	0.0415362	0.0390538	0.0410524	0.0272881	0.0149149	0.0125503	0.00821279	0.0083285	0.0114514	0.00920456	0.0116025	0.00914217	0.0105898	0.00792108	0.0105365	0.0111925	0.0184994	0.0158423	0.0282727	0.0120226
bois	0.0881583	0.0878381	0.072033	0.0594556	0.034914	0.0240159	0.0244172	0.0272436	0.0272802	0.0232492	0.0265999	0.0123995	0.0244468	0.0124761	0.00835387	0.0152125	0.0258802	0.0600898	0.0520063	0.0547317	0.0335456	0.0443289	0.0467702	0.0366801	0.0333473	0.037643	0.00688322
sur	0.0661524	0.0710447	0.0338306	0.0329168	0.01637	0.0184735	0.0159029	0.0175754	0.0154867	0.0184275	0.0118548	0.0122107	0.0109802	0.0092631	0.0145324	0.0311217	0.0285803	0.0373705	0.0338603	0.0548777	0.0295862	0.0613382	0.0680933	0.0805398	0.0655216	0.0982579	0.0458306
la	0.0536061	0.0467874	0.0304537	0.0281768	0.014006	0.012539	0.0132248	0.0144672	0.0138713	0.0150399	0.0135923	0.0121821	0.0118904	0.00910834	0.0118463	0.0227476	0.0307245	0.0567248	0.048704	0.0836671	0.0431406	0.0619554	0.0661636	0.0882804	0.0844298	0.0798821	0.0327882
route	0.0432331	0.0323992	0.0387733	0.0344591	0.0218456	0.0187492	0.014815	0.0133483	0.0130141	0.0171692	0.0261406	0.0221359	0.0298274	0.0156129	0.0154726	0.0338388	0.0352736	0.0442784	0.0263446	0.0537141	0.0387889	0.0367251	0.0790367	0.0711516	0.11028	0.0739918	0.0395809
</S>	0.0855303	0.0292666	0.0224606	0.0171629	0.00574421	0.00332912	0.00220777	0.00234205	0.00321966	0.00450706	0.00408609	0.003683	0.00543013	0.00413152	0.00548965	0.00988383	0.0123973	0.028029	0.0307834	0.102013	0.0445691	0.049618	0.0932986	0.115822	0.12498	0.123471	0.0665446
