 	a66	a87	a23	a54	a47	a85	a98	a85	a6	a12	a62	a88	a38	a11	a96	a66	a9	a99	a87	a23	a87	</S>
cet	0.0631377	0.110203	0.0907023	0.0652422	0.0715078	0.0992921	0.0748941	0.0851574	0.0345713	0.00836833	0.00924132	0.00568369	0.00933961	0.00885574	0.00710971	0.013281	0.0214865	0.0501001	0.0500096	0.0483294	0.036413	0.0370744
enfant	0.00747766	0.0111872	0.0359948	0.168585	0.20466	0.122301	0.146025	0.186085	0.0578074	0.0146069	0.00759165	0.00624978	0.00482314	0.00221277	0.0042775	0.00161546	0.00217444	0.00138001	0.00292342	0.00280321	0.00695335	0.00226614
a	0.0498015	0.0542265	0.0515902	0.0648741	0.0323878	0.0236357	0.0236006	0.0268351	0.0229247	0.0275594	0.0148037	0.0108166	0.00749845	0.0150678	0.021995	0.0210144	0.0268664	0.0449226	0.0887014	0.0892264	0.171278	0.110374
l'	0.0245028	0.0163779	0.0211803	0.0464053	0.0436579	0.0274138	0.0359499	0.0643172	0.0498354	0.0395225	0.0315399	0.0649001	0.0426478	0.0331933	0.0267223	0.0266644	0.0271628	0.037345	0.0633874	0.0684237	0.101095	0.107755
habitude	0.0461004	0.0315285	0.0219005	0.0136742	0.0139217	0.0293247	0.0194447	0.020255	0.0554058	0.156389	0.102517	0.076891	0.054088	0.0170154	0.0226622	0.0374566	0.0432542	0.0869411	0.0551286	0.0393031	0.026211	0.0305868
de	0.0316526	0.0199153	0.00867567	0.00570555	0.00590429	0.00822041	0.0147521	0.0161885	0.011053	0.00821444	0.00727498	0.00463498	0.00566979	0.0138574	0.0272313	0.0307222	0.086569	0.083096	0.22779	0.134547	0.151453	0.0968728
tout	0.119697	0.170261	0.0978625	0.0476776	0.0382724	0.0525359	0.0697123	0.0753665	0.0423423	0.0398062	0.0297426	0.0187287	0.0196495	0.0139224	0.0111669	0.0137335	0.0175443	0.0293878	0.036275	0.0244174	0.0221231	0.00977441
mettre	0.041273	0.0361153	0.0174334	0.0144211	0.0146488	0.0148934	0.013975	0.00917092	0.0205006	0.04535	0.0323765	0.0209664	0.0140356	0.0265596	0.0288277	0.0616118	0.132066	0.14699	0.0850745	0.0800741	0.0735694	0.0700675
en	0.024444	0.0210333	0.0125698	0.0144438	0.0157484	0.0124352	0.00778563	0.00556327	0.0072475	0.00706753	0.00738938	0.00446714	0.0041622	0.00787097	0.0131309	0.0326772	0.0951498	0.146266	0.130363	0.122716	0.165419	0.14205
doute	0.016919	0.0139878	0.00960542	0.011413	0.00975985	0.00537262	0.00418804	0.00350848	0.00593285	0.00994465	0.0109017	0.00677786	0.00469209	0.00948393	0.0140015	0.0341882	0.0947711	0.131982	0.0999337	0.13948	0.145736	0.21742
</S>	0.042697	0.0241574	0.0125396	0.00593499	0.00605588	0.00332784	0.00226796	0.00198549	0.00441517	0.0102347	0.0167373	0.00828806	0.00534193	0.0160239	0.0205759	0.0373775	0.0660922	0.103746	0.101218	0.145771	0.139221	0.225991
