 	a87	a23	a40	a47	a6	a92	a34	a96	a61	a75	a25	a7	a44	a93	a70	a34	a21	a37	a34	a96	a90	a69	a58	a82	a87	a23	a87	a23	a83	a88	a83	a93	a90	a92	a6	a37	a62	a21	a5	a36	a27	a30	a10	a87	a23	a97	a87	</S>
ma	0.0653734	0.0734018	0.04528	0.0455815	0.0390847	0.0639287	0.0749548	0.0675402	0.0540455	0.0440699	0.0488474	0.0242002	0.0182988	0.0237855	0.0286135	0.0197039	0.0157977	0.020063	0.0166811	0.0110757	0.00887001	0.00603707	0.00882611	0.0103209	0.00720927	0.00546253	0.00612942	0.00518456	0.00436256	0.00380706	0.00336379	0.00406461	0.00540037	0.00524041	0.00517587	0.00581831	0.00444658	0.00595618	0.00695545	0.00773566	0.009504	0.00900655	0.00834144	0.00906911	0.00651869	0.00811531	0.00838225	0.0203685
grand-mère	0.00394407	0.0206741	0.0618636	0.140236	0.245043	0.0634924	0.0785399	0.0449816	0.0445041	0.033494	0.0482998	0.0207575	0.02287	0.00528432	0.0122592	0.0167813	0.0110119	0.0121392	0.0106978	0.00848396	0.0088896	0.00553594	0.00465277	0.00369499	0.00366397	0.00379952	0.00573477	0.00504481	0.00476035	0.00224067	0.00686514	0.00501846	0.00585814	0.00425162	0.00388787	0.0026658	0.0014947	0.00171098	0.00162034	0.00264924	0.00156277	0.00232973	0.000938684	0.000891475	0.000780938	0.00157652	0.00145343	0.0010692
a	0.0294413	0.0183989	0.0190715	0.0165352	0.0299939	0.0315875	0.020224	0.0340167	0.039806	0.0316881	0.0468121	0.0341094	0.027119	0.0317149	0.050345	0.0550189	0.0358663	0.0520647	0.030122	0.0337326	0.0267586	0.023939	0.0207914	0.0157157	0.0180386	0.0148218	0.0093329	0.00834465	0.00606816	0.00615998	0.00611625	0.00600974	0.00380907	0.00335752	0.00376949	0.00457203	0.00564372	0.00886732	0.00936622	0.0132959	0.0116533	0.0149776	0.015335	0.0168283	0.0133232	0.014791	0.0162252	0.0144201
pris	0.023933	0.00987977	0.0103262	0.0051797	0.00759481	0.011426	0.00763427	0.00960769	0.0119025	0.012913	0.0259978	0.0337726	0.0253212	0.0360441	0.0537417	0.0491178	0.0441333	0.0330312	0.029419	0.0318489	0.031754	0.019015	0.0217876	0.0179114	0.0265768	0.0220858	0.0127649	0.0138359	0.0141529	0.014211	0.0130185	0.0086	0.0048775	0.00692212	0.00965623	0.0105158	0.0173988	0.0167672	0.0148124	0.0215291	0.0146452	0.0160734	0.0174395	0.0179661	0.0246758	0.023198	0.0379846	0.0569996
de	0.017512	0.00963442	0.00885045	0.00762621	0.00554718	0.00668803	0.0074549	0.00840055	0.0189127	0.018232	0.0216535	0.0238131	0.0259713	0.0739166	0.03454	0.03918	0.0548877	0.0522425	0.0621155	0.0618813	0.0525483	0.0427662	0.0556294	0.0404523	0.0412935	0.0234965	0.0209796	0.0224148	0.0208423	0.0191414	0.0150224	0.00558628	0.00371189	0.00626255	0.00874453	0.00519214	0.00675282	0.00550057	0.00268815	0.00266436	0.00205906	0.00300245	0.00420806	0.00304654	0.00589284	0.0036898	0.00309342	0.0142577
la	0.01345	0.00467411	0.00332801	0.00195836	0.0017541	0.00226137	0.00329127	0.00417865	0.00678006	0.0144236	0.0196821	0.0246465	0.0336214	0.0439454	0.0640449	0.0645815	0.0514302	0.0549071	0.060891	0.0562228	0.0573067	0.0502942	0.0500977	0.0429271	0.0348905	0.0265596	0.011387	0.0117012	0.00765055	0.00817233	0.00654802	0.0037589	0.00422198	0.00705507	0.00794219	0.00810595	0.0142637	0.0151438	0.0109014	0.0115005	0.00864111	0.00940396	0.011083	0.00800318	0.0117763	0.0100096	0.00823772	0.0123443
latérite	0.00772421	0.00193733	0.00222603	0.00378154	0.00531429	0.00599041	0.0104624	0.0107759	0.0142538	0.0244161	0.022975	0.0180707	0.0214795	0.0561156	0.053298	0.0571172	0.0561197	0.0613669	0.0524141	0.0569212	0.0406414	0.0398161	0.0449829	0.036638	0.0359321	0.0188162	0.00683955	0.00697236	0.00500959	0.00590644	0.00557484	0.0043457	0.00415027	0.00557442	0.00685004	0.00872109	0.011097	0.015351	0.0136833	0.0154699	0.0114478	0.0171094	0.0162469	0.0151694	0.0195114	0.0167982	0.0125381	0.0160463
noire	0.0836796	0.0268562	0.0140077	0.0113056	0.0103674	0.0159586	0.00960026	0.00834115	0.0167345	0.031176	0.0383338	0.0246099	0.0496518	0.0522281	0.0745708	0.042338	0.0388028	0.043894	0.0420021	0.0294559	0.0244671	0.0224074	0.0271562	0.0271237	0.016596	0.0117577	0.00502895	0.00499697	0.00448993	0.00786123	0.00809779	0.0172126	0.00786209	0.00746005	0.0175569	0.00850386	0.0154025	0.0117874	0.00687914	0.0116512	0.00813297	0.0109407	0.00733492	0.00923838	0.00952135	0.00943389	0.00956593	0.00761906
pour	0.0257738	0.0172732	0.00961991	0.00467187	0.00584326	0.00324743	0.0019912	0.00146853	0.00403349	0.00616474	0.0153349	0.0115057	0.0180056	0.0186098	0.0416335	0.0401935	0.0356683	0.0559042	0.046086	0.0492009	0.030588	0.0282085	0.0266575	0.0163715	0.0234661	0.0186043	0.0138639	0.0146154	0.0184818	0.0382152	0.0265465	0.0296849	0.0198085	0.0271675	0.038261	0.0210562	0.0231672	0.017107	0.0132022	0.0150107	0.008404	0.0103886	0.0106552	0.0116176	0.0166737	0.0168913	0.026255	0.026801
fabriquer	0.029395	0.0251557	0.0125896	0.00659906	0.00652962	0.00541822	0.00441643	0.00379254	0.0057683	0.0073079	0.017124	0.0122168	0.0120352	0.0223412	0.03066	0.0407034	0.029463	0.0332425	0.0340475	0.0263346	0.0238973	0.0202377	0.0175669	0.0160611	0.0201385	0.0203534	0.0143255	0.0166789	0.020636	0.0423665	0.0314101	0.0330397	0.0254893	0.0308276	0.0289363	0.0233101	0.0177871	0.0154763	0.0134697	0.0157268	0.0115977	0.0122856	0.0152962	0.0140068	0.0243516	0.0238111	0.0304331	0.0553427
