 	a84	a87	a40	a7	a90	a44	a15	a47	a0	a37	a44	a56	a75	a98	a85	a6	a37	a85	a6	a36	a2	a57	a87	a23	a10	a83	a12	a18	a62	a88	a62	a56	a79	a44	a75	a92	a37	a98	a47	a7	a37	a96	a23	a27	a82	a87	a97	a3	a97	a87	a23	a99	a25	</S>
mes	0.0502732	0.0521765	0.0390764	0.0328439	0.0376024	0.0411201	0.0400748	0.0572783	0.0496421	0.0459097	0.0517949	0.0461207	0.0289882	0.0267597	0.0218816	0.023909	0.0198186	0.013072	0.0142703	0.0172148	0.0129347	0.0239494	0.0160896	0.0143992	0.00940845	0.00874739	0.0081176	0.00545885	0.00715542	0.00910496	0.00644174	0.00502909	0.00580065	0.00768442	0.00842806	0.00739613	0.00598908	0.00771785	0.00903568	0.00512907	0.00555	0.00444687	0.00468372	0.00535797	0.00601107	0.00631981	0.00457673	0.00560163	0.00607284	0.00599924	0.00747498	0.00824162	0.00853797	0.0272809
beaux-parents	0.00555647	0.00705959	0.0154351	0.00930905	0.0154611	0.0188456	0.0455406	0.0619089	0.104472	0.0795187	0.0755672	0.064442	0.0698858	0.0667765	0.0706913	0.0491839	0.0339765	0.0134316	0.0236218	0.0144863	0.0147571	0.016524	0.00686229	0.00861021	0.00738849	0.00620867	0.00640303	0.0114522	0.00669121	0.00550654	0.00224992	0.00330487	0.00232942	0.0018004	0.00153722	0.00137487	0.00202582	0.00201019	0.00193247	0.00167909	0.00332686	0.00496406	0.00473311	0.00641191	0.00469629	0.00434269	0.00169023	0.00178257	0.00193458	0.00193663	0.00227791	0.00235626	0.00240271	0.00132597
boudent	0.0170703	0.0106307	0.00855832	0.0185909	0.0162901	0.0251012	0.0309136	0.0526501	0.0552809	0.0579468	0.0516795	0.0394888	0.0267413	0.0185979	0.0274668	0.0261929	0.0284024	0.0289531	0.034212	0.0372666	0.0436579	0.0289887	0.0325184	0.0258516	0.0121098	0.0161686	0.0133822	0.00863713	0.00777861	0.0071959	0.00714904	0.00897301	0.00574986	0.00795689	0.00426354	0.00626781	0.0026143	0.00144415	0.00168538	0.00189316	0.00381166	0.00585465	0.00578534	0.00943605	0.00641341	0.0102814	0.00603023	0.010774	0.00790106	0.0178394	0.0214148	0.0184736	0.0143738	0.00529025
contre	0.0587261	0.0402207	0.0369368	0.0267582	0.0221684	0.0148591	0.0112343	0.0107018	0.0116265	0.0085266	0.0190122	0.00874065	0.0108272	0.00655663	0.0106142	0.00778558	0.0168683	0.0396321	0.0342695	0.0366271	0.0313996	0.0284359	0.0235658	0.0207372	0.0233296	0.0201077	0.0214994	0.0176158	0.0221629	0.0195482	0.0144588	0.0121273	0.00788607	0.0106119	0.00942247	0.0133548	0.0115581	0.0122816	0.0103573	0.0126243	0.014111	0.0163628	0.0154208	0.0206634	0.0195008	0.0141585	0.0117744	0.0138426	0.0141413	0.0143901	0.021898	0.0111832	0.0162315	0.0205445
moi	0.0914295	0.0437493	0.0172697	0.0125389	0.00543337	0.00761374	0.00520055	0.00450364	0.00431233	0.00402656	0.0145072	0.0145601	0.00639295	0.00735208	0.00741684	0.00594062	0.013998	0.0198076	0.0337199	0.0310419	0.0335531	0.0166844	0.0206606	0.0200063	0.0266756	0.0217117	0.0221951	0.0236076	0.0254375	0.0271126	0.0255662	0.0418457	0.0248846	0.047573	0.0252135	0.0332403	0.0134186	0.00927393	0.00667408	0.00597642	0.00981331	0.0103681	0.00714916	0.0138132	0.0160936	0.0123642	0.0106666	0.0163147	0.0135458	0.0125596	0.0166225	0.00897674	0.0102007	0.019386
parce	0.0303154	0.0226246	0.0121841	0.00739028	0.00535785	0.00512623	0.00552277	0.00378561	0.00255907	0.00147854	0.00357713	0.00506664	0.00745477	0.011729	0.0141235	0.0195859	0.0218267	0.0329783	0.0396164	0.0212142	0.0304068	0.0125931	0.022205	0.0221396	0.0287541	0.0470832	0.0452649	0.036744	0.0351585	0.0294398	0.0243724	0.0170271	0.0122408	0.0223708	0.0116321	0.0283547	0.0179655	0.011516	0.0128643	0.0109743	0.0216136	0.0173797	0.0107384	0.0261747	0.0358567	0.0157853	0.0150483	0.0292854	0.0168238	0.0137507	0.0155125	0.0105991	0.00953248	0.00927525
que	0.0267611	0.0166128	0.00859237	0.00498121	0.00456808	0.0025088	0.00159489	0.00180129	0.00134389	0.00220584	0.00761179	0.00511616	0.0151134	0.0188388	0.024944	0.0425555	0.0318301	0.0482331	0.0380138	0.0268534	0.024261	0.0187451	0.0245461	0.0195718	0.0312722	0.0616395	0.0528488	0.0291723	0.0321657	0.0281907	0.0230181	0.0126699	0.00958991	0.0195951	0.00850328	0.0182691	0.0118827	0.0122867	0.0146578	0.0104721	0.0130053	0.0136066	0.0091188	0.0175468	0.020732	0.0142563	0.0129916	0.0203771	0.0132629	0.0154698	0.0149023	0.0122445	0.0152049	0.013843
j'	0.0167525	0.0160475	0.0153165	0.0140699	0.0153571	0.010039	0.00603794	0.00293011	0.00273433	0.00224191	0.00586435	0.00578388	0.0109485	0.0194774	0.0174452	0.0262608	0.0232528	0.0285497	0.0221098	0.0168706	0.0133081	0.0222928	0.0259044	0.0190882	0.0176446	0.0275503	0.0182786	0.0121249	0.0110591	0.0178442	0.0139868	0.00827242	0.0057835	0.00923014	0.00659557	0.0131343	0.011238	0.0122148	0.0222322	0.0199259	0.0194359	0.0317165	0.0153644	0.0470724	0.0403698	0.0335354	0.0271867	0.0426516	0.0351382	0.0283325	0.0225987	0.0284739	0.0300767	0.0122488
ai	0.0478377	0.036941	0.0170976	0.00662332	0.00467024	0.00284199	0.0012995	0.000659441	0.000481448	0.000636651	0.00258376	0.00272139	0.00391734	0.00400849	0.00589783	0.00886696	0.00669069	0.0176202	0.016745	0.0169918	0.0135462	0.0105564	0.00909779	0.0127278	0.0074794	0.0101558	0.00683332	0.00383636	0.00496982	0.0103566	0.00811594	0.00781187	0.00576489	0.0122553	0.0100426	0.0189591	0.00906954	0.0181412	0.0197965	0.0173407	0.0205706	0.0331302	0.0211974	0.0523905	0.0204488	0.0336994	0.0375866	0.0558508	0.0390281	0.0545245	0.040637	0.0540514	0.078887	0.036008
refusé	0.0484617	0.0415484	0.0239932	0.0162799	0.0102025	0.0073569	0.00280661	0.00193395	0.000970883	0.00142514	0.00434827	0.00554276	0.00894769	0.00797729	0.0134951	0.0148583	0.0157395	0.0358271	0.0341542	0.0365417	0.0317725	0.0222488	0.0185201	0.0242688	0.0163148	0.0204841	0.0127405	0.00859631	0.0111352	0.0188445	0.0135772	0.0121655	0.0105428	0.0166852	0.0140163	0.0248321	0.0191309	0.0181467	0.0181711	0.012212	0.0164193	0.0186788	0.0119401	0.0201411	0.012434	0.0125337	0.0148144	0.0252007	0.0207998	0.0267312	0.0204366	0.0292698	0.0476165	0.0461673
