 	a66	a87	a23	a53	a54	a92	a37	a96	a18	a90	a15	a79	a54	a47	a54	a47	a6	a36	a37	a43	a56	a94	a11	a70	a71	a82	a87	a23	a87	</S>
l'	0.0298009	0.0549939	0.0463437	0.0627304	0.123621	0.0746901	0.0750262	0.0442309	0.0369485	0.0279756	0.0285017	0.0181604	0.0135436	0.0200888	0.011936	0.00849774	0.00740369	0.00503183	0.00986364	0.0120276	0.0184051	0.0265419	0.0276689	0.0248281	0.0355559	0.0271584	0.0384712	0.0325941	0.0193478	0.0380125
enfant	0.00302613	0.00307592	0.0103641	0.0146312	0.0266982	0.0786235	0.10033	0.0957231	0.112527	0.106055	0.072751	0.086514	0.103128	0.0938899	0.0253701	0.0176928	0.0109118	0.00548513	0.00662078	0.00155274	0.00270782	0.00187957	0.00161627	0.00166898	0.00161432	0.00177078	0.00287326	0.00188041	0.00476994	0.00424801
a	0.0413542	0.0370023	0.0378708	0.0376913	0.0561646	0.0516531	0.0518054	0.0637742	0.0569702	0.0643342	0.0484308	0.0761262	0.0493359	0.0338318	0.0152943	0.0163282	0.0167076	0.0158159	0.00788565	0.00318813	0.00623066	0.00579197	0.00921004	0.0167604	0.0129463	0.0259715	0.0254137	0.0378715	0.0411283	0.0371107
renversé	0.0239878	0.0105508	0.00538737	0.00459152	0.00463863	0.00378381	0.00216638	0.00352359	0.00711506	0.0346682	0.031072	0.0678154	0.0480244	0.0392578	0.0421989	0.0597507	0.0819198	0.0919199	0.0409916	0.0330438	0.0248351	0.0180501	0.0214247	0.0226892	0.0320009	0.0456624	0.0491123	0.050499	0.0325398	0.0667789
l'	0.0488775	0.0613284	0.0441236	0.0501181	0.0403975	0.0265442	0.0127721	0.0197607	0.0179624	0.017585	0.0281904	0.0240713	0.0218432	0.033656	0.0465763	0.0496769	0.0421355	0.038518	0.0227668	0.0259704	0.0244453	0.0208333	0.0238862	0.0284639	0.0428093	0.0311286	0.0273608	0.0279961	0.0288934	0.0713087
eau	0.0459774	0.0374167	0.0303352	0.0239149	0.0166367	0.0106267	0.0102564	0.0236432	0.0356739	0.0505555	0.045973	0.0374684	0.0198523	0.0197832	0.0177803	0.0320503	0.0301264	0.0400091	0.0193299	0.0359311	0.022254	0.0267014	0.0347379	0.0433501	0.0474512	0.0463372	0.046194	0.0382523	0.0429869	0.0683944
qui	0.0621458	0.0514942	0.0254673	0.0284779	0.0316874	0.0149215	0.0137953	0.0343874	0.0548897	0.0574403	0.0337586	0.0221803	0.0121452	0.0141929	0.0105272	0.0150019	0.0124391	0.0206774	0.0207258	0.017695	0.0275307	0.0201476	0.0220564	0.0321209	0.0540064	0.0337539	0.046384	0.0650211	0.0387115	0.106217
était	0.0432637	0.0341917	0.0296461	0.0357575	0.0413895	0.0232548	0.0267763	0.0422026	0.0453129	0.0449934	0.0416164	0.0283184	0.0211466	0.0244626	0.0266795	0.0275347	0.0250295	0.0190058	0.00633867	0.014408	0.00973541	0.0146822	0.0154596	0.0303132	0.041731	0.0384401	0.0445872	0.0692535	0.0497791	0.08469
dans	0.0562868	0.0462413	0.0283575	0.0229376	0.0170107	0.0104863	0.00973444	0.0139894	0.0234038	0.0281424	0.0272178	0.0207245	0.0137806	0.0097415	0.00962018	0.0103936	0.0110022	0.018597	0.00710376	0.0213672	0.0222371	0.0225097	0.0236471	0.0319663	0.0496973	0.0564254	0.0875322	0.0955676	0.0849173	0.119361
la	0.0415144	0.0439534	0.0315205	0.0377706	0.0303716	0.0173184	0.0164433	0.0171323	0.020561	0.0146195	0.0107448	0.00782628	0.00501468	0.0034006	0.00334159	0.00432761	0.00412816	0.0067341	0.00234666	0.0190962	0.0107901	0.026778	0.0309238	0.0399266	0.0773507	0.0541745	0.0752137	0.0837638	0.072325	0.190588
marmite	0.0380863	0.022835	0.0129226	0.0120941	0.0083093	0.00397548	0.00327113	0.00752873	0.0145854	0.0232502	0.0207148	0.0173035	0.0119493	0.0107918	0.00885249	0.0157758	0.0137162	0.0288646	0.00884825	0.0299852	0.0186321	0.0220864	0.0244826	0.0361511	0.0689432	0.0757932	0.0801052	0.0997086	0.0914068	0.169031
</S>	0.0423556	0.0309199	0.0205384	0.02636	0.0237209	0.0140763	0.00988633	0.0170842	0.017887	0.0140346	0.0129954	0.0114636	0.00879197	0.00930915	0.00823565	0.0102311	0.00840232	0.0168959	0.0069488	0.0451052	0.0178254	0.0421008	0.0581787	0.0569243	0.0868193	0.0644166	0.059038	0.0711071	0.0590695	0.129278
