 	a66	a87	a23	a87	a23	a44	a7	a37	a36	a79	a44	a53	a54	a5	a37	a66	a90	a79	a56	a62	a47	a96	a88	a11	a94	a62	a88	a62	a47	a96	a88	a0	a11	a70	a13	a38	a27	a57	a87	a23	a87	</S>
le	0.0230502	0.0349624	0.0405483	0.0382893	0.0595315	0.0735539	0.0944954	0.0892606	0.105192	0.0583895	0.00726386	0.00978668	0.00611031	0.00719339	0.00531376	0.00616371	0.00843667	0.0123229	0.0162317	0.0212337	0.0160653	0.0135599	0.019391	0.00914967	0.0154499	0.0162942	0.0106113	0.00676384	0.00556367	0.00826227	0.0107773	0.00982017	0.0101589	0.00937667	0.00925864	0.0108877	0.0100247	0.0133058	0.0139102	0.0206384	0.0153562	0.0280446
bras	0.0014278	0.0032635	0.0038735	0.00950603	0.0162326	0.0269221	0.0920654	0.155779	0.216774	0.0732451	0.0314197	0.0182386	0.0256469	0.0197444	0.00721846	0.0333192	0.0388707	0.0414144	0.0428918	0.030155	0.021363	0.0214535	0.0118619	0.00431191	0.0139029	0.00507801	0.0080534	0.00397583	0.00310821	0.00283875	0.000843996	0.000755119	0.000796938	0.00095733	0.000905152	0.000699747	0.00125324	0.00106388	0.00165545	0.00203303	0.00256111	0.00251957
fracturé	0.0109686	0.0145608	0.0142053	0.0187437	0.0266668	0.0357753	0.0716635	0.113838	0.16285	0.0392831	0.0565157	0.00939665	0.0404921	0.0272218	0.0164092	0.0515627	0.0592137	0.0295757	0.0250336	0.0431238	0.0331312	0.0151277	0.0187897	0.00886115	0.00624819	0.00517436	0.00435089	0.00360122	0.00243013	0.00162313	0.00112076	0.00115993	0.00135173	0.00187742	0.00183226	0.00322475	0.00421015	0.00412528	0.00350814	0.0026163	0.00445012	0.00408598
de	0.0249053	0.0245908	0.0194759	0.0171138	0.0204542	0.0210114	0.0556135	0.0500737	0.0568845	0.0503941	0.0308195	0.0335756	0.0393132	0.0278272	0.0224216	0.0221847	0.0176205	0.0335002	0.0241244	0.025953	0.028286	0.0251619	0.0274396	0.0244098	0.0217875	0.0254522	0.0269762	0.0181552	0.0174763	0.0134125	0.00845378	0.00513184	0.0090426	0.00588696	0.0064179	0.0163845	0.0160372	0.0152463	0.0129704	0.0130839	0.0193794	0.0255511
cette	0.0303022	0.023638	0.0114904	0.00475738	0.00535106	0.00416685	0.00501411	0.00278759	0.00485486	0.0084044	0.0297685	0.0477141	0.0505342	0.0563619	0.0712485	0.0484009	0.0370937	0.0335484	0.0403744	0.0356902	0.0436326	0.0375879	0.0452822	0.0569717	0.0296153	0.0368161	0.0308106	0.0254968	0.0341858	0.022677	0.00893891	0.00456476	0.00863402	0.00422525	0.00667315	0.00536599	0.00629746	0.00610853	0.00592645	0.0093631	0.0089188	0.0104058
enfant	0.0441107	0.0293003	0.0173094	0.0106391	0.00838553	0.00566456	0.00447822	0.002275	0.00624508	0.00647503	0.00883902	0.0117501	0.0116396	0.0175974	0.0393223	0.0331125	0.0274715	0.0254456	0.0185524	0.0140052	0.0159156	0.0160265	0.0191139	0.019672	0.011077	0.0190405	0.0120564	0.0141262	0.0213405	0.0184034	0.0245774	0.0230231	0.0265825	0.0213431	0.021794	0.0272457	0.0349476	0.0527938	0.0381861	0.0617002	0.0651418	0.0932739
s'	0.0394125	0.0351203	0.0407691	0.0565967	0.0587089	0.0488066	0.0273539	0.0141241	0.018459	0.0125594	0.0125155	0.0171642	0.021129	0.0348624	0.0487055	0.0423674	0.043863	0.0398933	0.0274076	0.02077	0.0275601	0.0205531	0.0231073	0.0296616	0.0109579	0.0179301	0.00742625	0.0056015	0.00427708	0.00243197	0.00296766	0.00472997	0.00407534	0.00599103	0.00705952	0.0133695	0.0224932	0.0206571	0.0260623	0.0200488	0.0228061	0.039644
est	0.0240652	0.0381001	0.0418571	0.0483759	0.0500403	0.0315826	0.0318593	0.0204817	0.0241732	0.015563	0.0165846	0.0136251	0.0186003	0.0224735	0.0338164	0.04732	0.0522057	0.045087	0.0392937	0.0424631	0.0377523	0.0289882	0.0312717	0.0274108	0.0201496	0.0170044	0.00897503	0.00702525	0.00792848	0.00575359	0.00529187	0.00672767	0.00675002	0.00845545	0.0109745	0.0150809	0.0215306	0.0148572	0.0107499	0.0159972	0.0148891	0.0188686
rétréci	0.0339625	0.0269492	0.0283294	0.0233994	0.0188793	0.0123451	0.0102945	0.00889533	0.0219762	0.0240782	0.0291878	0.0460077	0.0308918	0.032035	0.0314639	0.0299741	0.0320333	0.0210199	0.0144965	0.0109412	0.0130736	0.0117933	0.0137794	0.0183206	0.0110168	0.0198619	0.0140244	0.0115383	0.0131436	0.0102912	0.00650204	0.0141077	0.00753478	0.0138047	0.0131543	0.0210825	0.0388087	0.0381664	0.0370569	0.053657	0.0496319	0.0824895
</S>	0.0632877	0.0416829	0.0292582	0.0257231	0.0130886	0.0123841	0.0102618	0.00639457	0.00861936	0.00932776	0.00790159	0.0231997	0.0126701	0.0181172	0.0244545	0.022103	0.0209877	0.017248	0.0139	0.00981134	0.00876113	0.0077257	0.00923505	0.0115117	0.0115558	0.0189595	0.0143297	0.010782	0.014729	0.0169835	0.0122303	0.0298702	0.01895	0.0292599	0.0266634	0.0299069	0.0399772	0.0492486	0.0466639	0.065469	0.0507062	0.0860599
