 	a66	a87	a23	a79	a69	a58	a40	a47	a6	a21	a75	a85	a6	a0	a56	a94	a98	a47	a36	a2	a57	a40	a47	a37	a90	a69	a58	a90	a15	a69	a54	a47	a6	a36	a26	a36	a2	a57	a87	a23	a87	a97	a10	</S>
celui	0.0536315	0.0620027	0.0578104	0.0494217	0.0345394	0.039764	0.0573496	0.0415011	0.0464943	0.0663369	0.0794533	0.065791	0.0188852	0.0260913	0.0157583	0.0106031	0.00849908	0.00829814	0.00574456	0.00715029	0.00541157	0.00652733	0.00527971	0.00672917	0.00489545	0.00734864	0.00499719	0.0105108	0.00692138	0.00300916	0.00272492	0.00572533	0.00447003	0.00247949	0.00413823	0.0130279	0.0137722	0.0171902	0.0197209	0.0226995	0.0167863	0.0228762	0.0168294	0.0208031
qui	0.00311594	0.00400705	0.00512116	0.00561049	0.0240022	0.0173311	0.057322	0.0655851	0.0922642	0.0824198	0.060829	0.0318358	0.0417452	0.0384586	0.0400513	0.0286193	0.0314007	0.0234902	0.0140097	0.0150197	0.0101455	0.00563423	0.00655405	0.00647756	0.00954291	0.0061229	0.0117955	0.0115157	0.0126403	0.00520274	0.013836	0.011483	0.0178943	0.0235083	0.0258622	0.00514284	0.0187445	0.0182782	0.0217089	0.017358	0.0147493	0.0165014	0.0150976	0.0119656
a	0.00881455	0.00462823	0.00506036	0.00209578	0.0130061	0.00998444	0.0187683	0.0326108	0.0374404	0.0405161	0.0350617	0.024364	0.0271798	0.0269428	0.0304799	0.0351053	0.0473223	0.0259484	0.0182734	0.0150793	0.0178649	0.00709831	0.00742986	0.00770949	0.00766932	0.0103804	0.00994181	0.00497444	0.00849102	0.00367198	0.00974625	0.0061462	0.00817824	0.0138413	0.0139521	0.00576125	0.00918495	0.0141613	0.0215425	0.0442338	0.0487002	0.0463487	0.0699205	0.144369
grillé	0.0718176	0.0393004	0.0329594	0.0159124	0.0102011	0.00599724	0.0074584	0.00601014	0.0101039	0.0125943	0.0152428	0.00942838	0.011526	0.0402802	0.0305088	0.0168979	0.030027	0.0390258	0.0247	0.048001	0.0145217	0.00526564	0.0045394	0.00580526	0.00567112	0.00279428	0.00784085	0.00853138	0.0100215	0.00884342	0.0185875	0.0183232	0.030011	0.0446089	0.0317785	0.0160885	0.0228581	0.013997	0.0181409	0.0240012	0.0328611	0.0417119	0.0527795	0.0824251
ces	0.0477246	0.0399253	0.0406025	0.0148668	0.0238091	0.00792596	0.00999059	0.00983193	0.0193416	0.0207147	0.0283865	0.013829	0.0148168	0.0251735	0.02893	0.025332	0.0353379	0.0318297	0.0240303	0.0265796	0.0171288	0.0122	0.0119298	0.0137863	0.0104846	0.00841202	0.00830116	0.00982175	0.0191523	0.005815	0.0169406	0.0119757	0.0244472	0.0508146	0.0417334	0.0265456	0.0328073	0.0153571	0.0152389	0.02083	0.0219097	0.0335488	0.04042	0.041421
poissons	0.0288861	0.0159749	0.00875245	0.00439472	0.00967215	0.00517091	0.005209	0.00402648	0.00802996	0.0115622	0.0223468	0.0129202	0.0203654	0.0167987	0.0159511	0.0139162	0.0292733	0.039578	0.040529	0.0331752	0.0529542	0.03547	0.0352308	0.036484	0.0339827	0.0258359	0.0197782	0.0179249	0.0239261	0.00954175	0.0264284	0.0211214	0.0335868	0.047737	0.0382112	0.0382433	0.0337905	0.0316301	0.0198115	0.0194611	0.0103804	0.0176516	0.0124712	0.0118143
n'	0.0295301	0.0158653	0.0085521	0.0021838	0.00921906	0.00770618	0.00932442	0.00772479	0.00950462	0.00906276	0.0154605	0.00936487	0.00904865	0.011914	0.0103151	0.0101609	0.0165318	0.0183858	0.0148337	0.0119335	0.0209261	0.0109164	0.0134463	0.0151154	0.0143391	0.0119347	0.0128367	0.00930347	0.0309955	0.00840794	0.0180893	0.00808166	0.0235568	0.0507328	0.0413238	0.0457501	0.0395316	0.0565302	0.0416484	0.0781368	0.0653153	0.0342347	0.0563988	0.0558262
a	0.0177827	0.0144386	0.0128089	0.00767636	0.0190749	0.0119224	0.0167513	0.0160611	0.0192761	0.0185888	0.0142332	0.0200726	0.0235465	0.032928	0.0273117	0.0258652	0.0340369	0.0442304	0.0336319	0.0401258	0.0315257	0.0175518	0.0205939	0.0151117	0.0143863	0.0156901	0.0185796	0.0148565	0.0164409	0.00559241	0.0110231	0.017374	0.0218844	0.0358231	0.0335684	0.0226092	0.0236603	0.0227347	0.022137	0.029575	0.0396675	0.0223491	0.0359808	0.0409211
pas	0.0292669	0.0304471	0.0363305	0.0291198	0.038862	0.0231394	0.0188883	0.0144519	0.0116555	0.00787171	0.00643826	0.00829875	0.00814465	0.0097621	0.0077258	0.0118998	0.0121105	0.0178128	0.0203069	0.020475	0.0215919	0.0159735	0.0183776	0.0256509	0.018469	0.0207802	0.0225385	0.0139271	0.025203	0.0127413	0.0162925	0.0123793	0.01821	0.0237433	0.0256167	0.0391081	0.0313809	0.0408433	0.0263837	0.0350521	0.0300516	0.0479469	0.0416083	0.0531226
mis	0.024784	0.0181343	0.0218829	0.0186615	0.0232515	0.0239055	0.0249374	0.0218885	0.0282269	0.0257533	0.0219782	0.0296063	0.0262802	0.0274303	0.0243828	0.0312633	0.0277016	0.0244159	0.0312204	0.0218328	0.0235732	0.0235789	0.022158	0.0235289	0.0190219	0.0233198	0.014453	0.0117884	0.0178301	0.00832351	0.00841927	0.0110574	0.0135921	0.013033	0.00974878	0.0202274	0.0120773	0.0135961	0.0125237	0.0181204	0.0272029	0.0340254	0.027505	0.0937577
du	0.0258773	0.0167418	0.0242018	0.017952	0.0174953	0.0175598	0.0198293	0.0181817	0.0253317	0.0206303	0.0150539	0.0268715	0.026036	0.0264634	0.0266401	0.032161	0.0268926	0.0224987	0.0288049	0.0185715	0.0207602	0.0279529	0.0244783	0.0230801	0.0203817	0.0282966	0.016135	0.0173136	0.0169804	0.0110043	0.015314	0.0165679	0.0165802	0.0160377	0.00938276	0.019631	0.0117025	0.0116143	0.0147892	0.0220889	0.0306909	0.0329044	0.0335261	0.0889926
sel	0.00714855	0.00256424	0.00310523	0.00221926	0.00371475	0.00504157	0.00768904	0.00706303	0.0130268	0.0210997	0.020296	0.0395434	0.032419	0.0345281	0.033796	0.0380546	0.0274603	0.0226675	0.0276342	0.0164735	0.0190677	0.0241834	0.0246611	0.0296153	0.0267135	0.0379693	0.0202901	0.0271668	0.0220515	0.0179872	0.021775	0.0224028	0.0173081	0.0196841	0.0147782	0.0177567	0.0187415	0.0168754	0.0240729	0.0299895	0.0489149	0.0347452	0.0393531	0.058352
</S>	0.0123739	0.0104904	0.00960548	0.00920238	0.00980832	0.00770129	0.0220394	0.0154914	0.0313836	0.0357224	0.0292126	0.0370052	0.0252044	0.0201525	0.0189782	0.0190808	0.0109752	0.0079702	0.00939385	0.00557861	0.00675076	0.00720582	0.00431266	0.00373159	0.0047829	0.00988021	0.00785689	0.0252154	0.0325674	0.0178731	0.0202989	0.0431054	0.057987	0.0271234	0.0240555	0.0294718	0.0290998	0.0294099	0.0390689	0.0435936	0.0461317	0.0394248	0.0541118	0.0495709
