 	a66	a87	a97	a3	a10	a87	a23	a62	a96	a70	a93	a90	a98	a85	a5	a36	a90	a25	a92	a75	a96	a66	a26	a82	a87	a97	a30	a53	a15	a47	a92	a85	a6	a37	a61	a62	a88	a75	a85	a47	a36	a2	a57	a84	a82	a87	a23	a82	a57	</S>
lorsqu'	0.0255041	0.0338887	0.032895	0.0225278	0.0253012	0.0236577	0.0226522	0.0193427	0.0292266	0.0568565	0.0447311	0.0269885	0.041056	0.0572513	0.065246	0.0390009	0.0283056	0.0179562	0.0132375	0.0129642	0.00799379	0.0147516	0.00883963	0.0137048	0.0127885	0.0130094	0.0181755	0.0173481	0.0223855	0.0267892	0.0239266	0.0302927	0.0134147	0.0149387	0.0116996	0.00743774	0.00609349	0.0034382	0.00519569	0.00411338	0.00428349	0.00441596	0.00483953	0.00494888	0.00492409	0.00553956	0.0068367	0.00614043	0.0116729	0.0314718
il	0.0101412	0.0073795	0.00830635	0.00369011	0.00894217	0.00510353	0.00452876	0.0109233	0.00563692	0.00849262	0.0116331	0.012447	0.0151036	0.0149101	0.0175791	0.0184009	0.0241578	0.0259803	0.0411408	0.0393954	0.0559505	0.047565	0.0724725	0.0411498	0.0418856	0.0286688	0.0247363	0.0146586	0.00930845	0.0102241	0.00795726	0.00573157	0.00312084	0.00350722	0.00282606	0.0072196	0.00556313	0.00914858	0.0151474	0.0102536	0.00550589	0.0127459	0.010189	0.0204014	0.0294626	0.0383273	0.0399067	0.0434599	0.0367937	0.0522203
est	0.0260934	0.0131017	0.0121399	0.00737742	0.00981979	0.00782949	0.00867196	0.0133323	0.00965144	0.00445059	0.0148878	0.0250864	0.0166658	0.0191877	0.035263	0.0142472	0.0302645	0.0209777	0.0345484	0.0437225	0.0482729	0.025016	0.0300012	0.0202397	0.038066	0.0314415	0.013993	0.0148717	0.00830663	0.019502	0.0172797	0.0105383	0.00402123	0.00188801	0.00560992	0.00601251	0.005596	0.00586346	0.00818082	0.00561258	0.00456545	0.00967062	0.0100309	0.0117493	0.020874	0.029689	0.0563744	0.0534673	0.0640117	0.0519349
rentré	0.0380892	0.0411636	0.055839	0.0515486	0.0335371	0.0387434	0.0343383	0.0349515	0.0260845	0.0121823	0.00517748	0.0095291	0.00445665	0.0034347	0.00522519	0.00477254	0.00631642	0.00707972	0.00506786	0.00356378	0.00461328	0.00331127	0.0032492	0.00426802	0.0090879	0.0107902	0.0106201	0.00681278	0.00939715	0.0131595	0.010978	0.00985149	0.015012	0.016395	0.014175	0.0375567	0.0268505	0.0285816	0.0459169	0.0688353	0.0460529	0.0336449	0.0461564	0.0247025	0.0195869	0.0244287	0.0126653	0.00924463	0.0043617	0.00859333
de	0.0596414	0.0431677	0.0368855	0.0327909	0.0210589	0.0212055	0.0182901	0.0227057	0.024749	0.0134367	0.00846632	0.0122584	0.0134683	0.0105887	0.0141766	0.0115519	0.0252888	0.0199751	0.0201381	0.0273211	0.0217021	0.0127944	0.0169229	0.0138004	0.0423898	0.0332152	0.0344058	0.0269134	0.0371334	0.0367666	0.0258938	0.0243904	0.0121571	0.0067872	0.00535632	0.00579516	0.00234649	0.00422478	0.00500755	0.00680053	0.00608322	0.00688752	0.0103071	0.00746808	0.0107276	0.0243375	0.0184354	0.0227254	0.0188949	0.0421652
l'	0.0222708	0.0133746	0.0102026	0.0111042	0.0101406	0.00988281	0.00964551	0.00798845	0.00701626	0.00862457	0.00244043	0.00321629	0.00370409	0.00396364	0.00454535	0.00300962	0.00883349	0.00727605	0.00893016	0.0152146	0.0128119	0.0148348	0.0217902	0.0228232	0.0772186	0.110002	0.0999396	0.0902709	0.0932569	0.0831853	0.0769592	0.0324422	0.012416	0.00756359	0.00721203	0.0069013	0.00711095	0.00383871	0.0060959	0.00490251	0.00254491	0.00317743	0.00320547	0.00256889	0.00257901	0.00468125	0.00357512	0.0039747	0.00433849	0.00639442
école	0.0208517	0.0145582	0.0114261	0.0155534	0.0126642	0.0150767	0.0210319	0.0137436	0.0125726	0.0120737	0.00364493	0.00419168	0.00327279	0.00401199	0.00532967	0.00351511	0.00569047	0.00564428	0.00698673	0.00879759	0.00934138	0.0070658	0.0133511	0.0126177	0.0331243	0.0674638	0.0519248	0.0691628	0.0843717	0.106686	0.10863	0.0576602	0.026436	0.0122278	0.0213465	0.0144487	0.0163192	0.0104196	0.00926869	0.00983376	0.00501118	0.00481919	0.00501629	0.00358439	0.00460138	0.00766622	0.0059722	0.00705074	0.0070642	0.006877
il	0.0450573	0.023883	0.0164767	0.00593075	0.00820446	0.00482887	0.00434887	0.00576981	0.00517353	0.008764	0.0108664	0.0104408	0.00966752	0.0111385	0.0128896	0.00889983	0.0181826	0.0160792	0.0191041	0.0235855	0.0212725	0.0172959	0.028693	0.0213473	0.0623955	0.0515481	0.0354526	0.0341497	0.0355435	0.0439568	0.0332334	0.013155	0.00424582	0.00156048	0.00241649	0.00439958	0.010187	0.0142334	0.0203066	0.0243618	0.0179787	0.0281237	0.0292708	0.0272607	0.0231908	0.0295049	0.021209	0.0295847	0.0246818	0.020149
a	0.0390197	0.0210263	0.0195726	0.0119108	0.01496	0.0128965	0.0128028	0.00977867	0.0139779	0.0145608	0.0148593	0.0171935	0.0139684	0.011717	0.0135766	0.00879872	0.0192938	0.015147	0.028895	0.0208314	0.0250813	0.015806	0.0165914	0.0156797	0.0278067	0.031423	0.0324728	0.0241805	0.0270674	0.0292377	0.0193152	0.0136626	0.0108311	0.00406529	0.00478557	0.00646429	0.0054125	0.00913769	0.00871841	0.0138837	0.00754939	0.019945	0.0224307	0.0275201	0.0204359	0.0255796	0.0288932	0.0551041	0.0563929	0.0597393
bondit	0.0465	0.0392449	0.038891	0.0241128	0.0257316	0.0207956	0.0155629	0.00918641	0.0145796	0.0240544	0.0246029	0.0121109	0.0140736	0.009474	0.00946384	0.00557867	0.0114058	0.00942063	0.0168335	0.0154286	0.0137545	0.00900675	0.009107	0.00848463	0.0184135	0.0207455	0.0254274	0.0219651	0.0232527	0.0238964	0.0175624	0.0152116	0.00952035	0.00382921	0.00551627	0.00651803	0.00797783	0.0100669	0.00897723	0.00907282	0.00830338	0.0114038	0.0120407	0.0168507	0.0110506	0.018398	0.0204772	0.042478	0.0667385	0.136901
sur	0.0464262	0.0333227	0.0301477	0.0173592	0.0231644	0.0205391	0.019088	0.0134236	0.0145896	0.0128038	0.0120659	0.0105688	0.0083825	0.0100695	0.0117767	0.00910052	0.0172074	0.017652	0.0226123	0.0266495	0.019102	0.0133585	0.0126656	0.010809	0.0189343	0.0177514	0.0177348	0.0147991	0.0161192	0.0165285	0.00934782	0.00940836	0.00707658	0.00356383	0.00375573	0.00334748	0.00518166	0.00624101	0.0119949	0.0103128	0.0101762	0.0167513	0.0138385	0.0222932	0.0174421	0.0284338	0.0342131	0.0607416	0.0750165	0.116112
la	0.0350843	0.0237438	0.0165053	0.0110012	0.0114238	0.0116137	0.0138975	0.0162695	0.015531	0.0104176	0.00695975	0.00857872	0.00661472	0.0098525	0.0113648	0.0125174	0.0200904	0.0202954	0.0218524	0.0265306	0.01889	0.0147586	0.0129028	0.00824793	0.0149848	0.017086	0.0165391	0.0142342	0.016688	0.0172459	0.0128705	0.0143765	0.00769979	0.00617703	0.00526194	0.00372238	0.0058054	0.00475166	0.0147769	0.0169916	0.0136205	0.0314649	0.0247193	0.0346306	0.0405562	0.0531958	0.0541932	0.0678341	0.0689038	0.0567262
nourriture	0.0301155	0.0180188	0.0131684	0.00796601	0.00714629	0.00661041	0.00951273	0.00938848	0.0100789	0.00479197	0.00338993	0.00359697	0.00196319	0.00290899	0.0058801	0.00663388	0.00800704	0.00985771	0.0164851	0.0128396	0.0126335	0.00801917	0.00667754	0.00584737	0.00884565	0.0096338	0.00855816	0.00565488	0.00559361	0.00740436	0.00506056	0.00681301	0.00738487	0.00447347	0.00608372	0.00602231	0.00780981	0.0075364	0.0191234	0.0260598	0.0191938	0.0407242	0.0285265	0.0470394	0.0531747	0.0704264	0.0842251	0.105204	0.104283	0.083608
</S>	0.0246202	0.0211933	0.0176933	0.0169281	0.0117969	0.00886788	0.00962482	0.0098827	0.0122878	0.0193683	0.01356	0.0122768	0.0107395	0.0128723	0.0163505	0.0135768	0.0187691	0.01874	0.0160991	0.0144578	0.0120328	0.0093252	0.00824536	0.00866932	0.011028	0.0133404	0.00896847	0.013722	0.015243	0.0166804	0.018927	0.0157156	0.0136082	0.00900967	0.0184541	0.0157923	0.0150213	0.0139154	0.0152371	0.0149422	0.0155498	0.0349303	0.0318685	0.0386918	0.0391434	0.0429215	0.0460143	0.0499874	0.0553465	0.0779635
