 	a66	a97	a87	a23	a87	a23	a87	a97	a82	a97	a26	a3	a30	a53	a69	a54	a7	a56	a94	a54	a37	a35	a30	a37	a35	a90	a15	a44	a7	a44	a11	a75	a79	a44	a94	a4	a99	a50	a0	a24	a54	a73	a69	a53	a15	a73	a44	a70	a83	a99	a44	a26	a82	a87	a97	a82	a87	a23	a87	</S>
il	0.0107383	0.0122317	0.0121983	0.00808594	0.00782261	0.0136141	0.010965	0.0191083	0.0169279	0.0287531	0.0582125	0.0264021	0.0162909	0.0588804	0.0811088	0.0495423	0.0472074	0.0430542	0.0451535	0.0329945	0.011353	0.00520497	0.00818925	0.00891353	0.0075716	0.0108503	0.00634822	0.00627088	0.0112237	0.00967979	0.013352	0.00603272	0.00546234	0.00460713	0.00630244	0.0045138	0.00588826	0.00633695	0.0108831	0.015139	0.0176931	0.0171693	0.0193377	0.0229809	0.0106811	0.00820873	0.00717552	0.0119927	0.00682363	0.00525253	0.0105574	0.0077479	0.0107725	0.00995837	0.00941032	0.00604281	0.00938907	0.0119345	0.0126538	0.0208033
fume	0.00664195	0.00544421	0.00720075	0.00520016	0.00531165	0.00503337	0.00853311	0.00945221	0.0115399	0.00671209	0.0113041	0.00773217	0.0122719	0.0151162	0.0145147	0.0286014	0.022086	0.0283017	0.0256613	0.0258091	0.0231599	0.0231383	0.024556	0.0262162	0.0283051	0.0181946	0.0267166	0.0245506	0.0233883	0.0190971	0.0189961	0.0197537	0.027639	0.0218964	0.0128586	0.0238417	0.0297111	0.0330602	0.0252426	0.0109617	0.0111117	0.00813186	0.00670745	0.00519932	0.00516194	0.00836598	0.00923494	0.0132312	0.0211358	0.0268359	0.0259079	0.0187695	0.0131082	0.0192013	0.0147864	0.0146418	0.0166415	0.013328	0.0156183	0.00912943
trop	0.0184567	0.00965079	0.0102122	0.00701454	0.00667438	0.00855018	0.00739133	0.00751948	0.00739275	0.00701289	0.00723713	0.00923971	0.0103393	0.0147085	0.0257656	0.0263019	0.0552191	0.0802164	0.0567837	0.0448131	0.0265773	0.0377157	0.031938	0.0358023	0.0382914	0.0382726	0.0245015	0.0391623	0.0285877	0.0195017	0.016658	0.0165553	0.0165163	0.0162937	0.0150294	0.0252591	0.0104059	0.0109507	0.00435675	0.0026012	0.00315442	0.00532775	0.00360032	0.00364449	0.00440145	0.00575018	0.00420925	0.00495567	0.00342192	0.0031463	0.00410467	0.00369422	0.00439558	0.00596966	0.00537085	0.0071451	0.008764	0.0126359	0.0134505	0.0173811
de	0.0592135	0.0323207	0.0243161	0.0308976	0.0160509	0.0126806	0.012707	0.00938068	0.00862571	0.0145039	0.00634121	0.00944527	0.00513831	0.00310297	0.00931855	0.0046214	0.00793224	0.00887059	0.00716797	0.010886	0.0136118	0.0171469	0.0165824	0.0181115	0.0207483	0.0331329	0.0150227	0.0228141	0.0130975	0.0164213	0.0139552	0.0108197	0.0108898	0.0152699	0.0182324	0.0224107	0.0105294	0.0137937	0.0108001	0.0126323	0.0151521	0.0204775	0.013227	0.0178029	0.0242676	0.0319328	0.0168556	0.0160615	0.0129632	0.0109506	0.0109979	0.013634	0.0160224	0.018111	0.0194595	0.0219002	0.0141276	0.0247674	0.0235395	0.0382062
chanvre	0.0272911	0.0132887	0.00966772	0.0106628	0.00757904	0.00533092	0.00372012	0.00438221	0.00255837	0.00579962	0.00326074	0.0035601	0.00235329	0.00183143	0.0050271	0.00456149	0.00585994	0.00841462	0.00635813	0.00796278	0.0143226	0.0325435	0.0290028	0.0482298	0.0578414	0.0741836	0.0565917	0.0699714	0.0363775	0.0578919	0.0386396	0.0308086	0.0189371	0.0252504	0.0259141	0.0235465	0.0106054	0.00989864	0.0110918	0.00868471	0.00829985	0.0093958	0.00663851	0.00529555	0.0058753	0.00639217	0.0077099	0.00967629	0.00413746	0.00349415	0.00452991	0.00609905	0.00737479	0.0126098	0.00915579	0.0114587	0.0109886	0.016891	0.0161406	0.0180334
voilà	0.0507903	0.0219046	0.0164533	0.0147815	0.00903109	0.00939456	0.00800336	0.00895324	0.00642152	0.00941161	0.00615779	0.0120021	0.00696126	0.00541974	0.00984306	0.00798335	0.00531761	0.0136713	0.00861741	0.0082403	0.012448	0.0346069	0.0303511	0.0518255	0.0549183	0.0452162	0.0434075	0.0489572	0.0532689	0.0642568	0.0484215	0.0276783	0.0234138	0.0253543	0.0239878	0.0191098	0.0141247	0.00814945	0.00873276	0.00334092	0.00553504	0.0069727	0.00721153	0.00841621	0.00682576	0.0067293	0.00459975	0.00938505	0.00225494	0.00362559	0.0041167	0.00327248	0.00439365	0.0048965	0.00341348	0.0057547	0.0049092	0.00959386	0.00738247	0.00978249
pourquoi	0.0381586	0.012781	0.00833573	0.00513718	0.00301776	0.00260052	0.00314627	0.00188036	0.00158956	0.00210769	0.00123133	0.00261041	0.00148688	0.00234782	0.0057143	0.00423782	0.00559035	0.0136179	0.00510403	0.0112267	0.0178217	0.0409351	0.0459719	0.0725626	0.0906295	0.0779637	0.0465029	0.0585799	0.0485362	0.038243	0.0402674	0.0189446	0.0139489	0.0126113	0.013861	0.0100211	0.00688914	0.00411941	0.00616127	0.00234572	0.00313615	0.00524632	0.00779463	0.00482109	0.00468269	0.00490374	0.0076033	0.0142439	0.00818018	0.0102316	0.0145496	0.012459	0.0170264	0.0148306	0.011385	0.0183074	0.0117857	0.0143405	0.00953863	0.00609535
ses	0.0452461	0.0186984	0.0124155	0.00941495	0.00606417	0.00590511	0.00615359	0.00555039	0.00325785	0.00502869	0.00282382	0.00598457	0.00270338	0.0041872	0.00674728	0.00654038	0.00441648	0.00784714	0.00307262	0.00775899	0.0120794	0.0219611	0.027637	0.0455395	0.0641014	0.0550691	0.0351526	0.0428004	0.0396042	0.0356984	0.0284583	0.0132838	0.00833901	0.0110496	0.0102369	0.00768129	0.00465009	0.00268367	0.00490524	0.00197315	0.00296387	0.00436628	0.00904571	0.00682218	0.0085407	0.00757876	0.0130131	0.0184164	0.00847924	0.0150166	0.0155097	0.0307684	0.0248828	0.0304493	0.0284042	0.0367328	0.0284584	0.0228298	0.0254678	0.0195332
yeux	0.0393291	0.0152651	0.0109486	0.0114485	0.00652975	0.00763041	0.00729964	0.00636403	0.00495727	0.00743383	0.00456724	0.00820152	0.00400187	0.00536814	0.00379009	0.00273798	0.00162555	0.00220677	0.00160796	0.00236798	0.0045273	0.00842207	0.00973346	0.0224714	0.0276743	0.0209827	0.032289	0.0298458	0.0392747	0.0386335	0.0319397	0.0119473	0.0142473	0.0121283	0.0114624	0.013495	0.0113498	0.0097723	0.0141668	0.00462423	0.00947988	0.0121836	0.0138517	0.0189025	0.0192414	0.0156379	0.0228359	0.0254268	0.0137928	0.0205918	0.0198746	0.0317214	0.0267741	0.0249664	0.0290396	0.0356107	0.0301533	0.0282646	0.0369544	0.0420278
sont	0.030285	0.0094596	0.0055257	0.00595151	0.00313922	0.00441139	0.00307451	0.00267731	0.0021302	0.00407493	0.00258156	0.0046772	0.00203466	0.00342394	0.00495679	0.00577862	0.00377368	0.00544314	0.0035763	0.00706519	0.00875699	0.011487	0.0145965	0.0176178	0.0255075	0.0258223	0.0180804	0.0202419	0.0288441	0.0219546	0.0258874	0.00810725	0.0073764	0.00625713	0.0059342	0.00506698	0.00418811	0.00454333	0.00587611	0.00164356	0.0034422	0.00533317	0.00607903	0.0101995	0.0116745	0.00925349	0.0146857	0.0189332	0.0094011	0.0155956	0.0172293	0.0320892	0.0405894	0.0603438	0.036045	0.0604287	0.0563926	0.0567737	0.0772089	0.0764717
devenus	0.0323854	0.00947624	0.00644998	0.00711462	0.00443899	0.00600414	0.0042474	0.00478972	0.00332236	0.00610798	0.00452832	0.00633015	0.00386372	0.00594215	0.00469095	0.00484039	0.00284268	0.00354192	0.00258515	0.00347961	0.00432635	0.00793352	0.00892405	0.0118756	0.0119579	0.0104074	0.0178471	0.0180553	0.0276186	0.0273689	0.0276722	0.0148778	0.0142177	0.0124057	0.012973	0.0109335	0.00977992	0.0102563	0.0116417	0.00534629	0.00854065	0.0113739	0.0122296	0.0256182	0.0238881	0.0184462	0.0297682	0.0341481	0.0167076	0.0267592	0.0237348	0.0363796	0.0406219	0.0411231	0.0329812	0.047745	0.0390448	0.036842	0.0459232	0.0447238
