 	a66	a87	a23	a30	a4	a70	a34	a21	a41	a5	a43	a31	a47	a61	a21	a5	a21	a5	a85	a47	a6	a36	a26	a57	a87	a23	a87	</S>
le	0.0847867	0.0962833	0.0954722	0.086821	0.0558966	0.0453321	0.0319864	0.019804	0.0124668	0.00842487	0.00838116	0.00600137	0.00491245	0.0049622	0.00553556	0.00652782	0.00899579	0.0188099	0.0251555	0.0320848	0.0498341	0.0571551	0.0610452	0.0462969	0.0295633	0.0321368	0.0233091	0.0420189
testeur	0.00226784	0.0110085	0.0230774	0.0303238	0.0486269	0.0409696	0.101799	0.133783	0.137009	0.0915563	0.0491177	0.090273	0.0556843	0.0275756	0.0419757	0.0211318	0.0349366	0.0342625	0.0101506	0.00202709	0.00153193	0.00163952	0.00190104	0.00143953	0.00166177	0.0014996	0.00130378	0.00146678
de	0.0487171	0.14863	0.0945862	0.0729805	0.0511722	0.0473649	0.0489193	0.055813	0.030564	0.0294343	0.0755597	0.0579689	0.0250409	0.0280993	0.0396866	0.0113549	0.0276662	0.023864	0.0164756	0.0076526	0.00611069	0.00748104	0.0056083	0.0090869	0.0135371	0.00507647	0.00872877	0.00282032
cette	0.102464	0.113524	0.0324159	0.0420518	0.0382187	0.0407354	0.0287626	0.0285005	0.015606	0.0154635	0.0308875	0.0302639	0.021852	0.0266927	0.0313291	0.00802331	0.0256064	0.0172192	0.0188139	0.0203131	0.0237176	0.0401195	0.0386357	0.0470988	0.0494755	0.0418325	0.0400214	0.0303561
machine	0.0493805	0.104122	0.0497776	0.0684508	0.025681	0.0270926	0.0150427	0.0241595	0.0123711	0.0370103	0.0330917	0.0375459	0.04794	0.036845	0.0311469	0.0194599	0.0488273	0.0365821	0.0129943	0.0102855	0.0101118	0.0125457	0.02498	0.0518927	0.0480769	0.0451925	0.0443185	0.0350753
est	0.0399798	0.0489087	0.0631664	0.0550053	0.0363109	0.0382849	0.0233081	0.0379898	0.0288512	0.0670551	0.077416	0.0757203	0.0567452	0.0352833	0.0363595	0.0162103	0.0213438	0.0236387	0.0187952	0.0211613	0.0156381	0.0224211	0.02411	0.022923	0.0200762	0.0206246	0.0314932	0.0211801
un	0.0230785	0.0187119	0.0194009	0.0227268	0.0150148	0.0187671	0.0074631	0.0144538	0.0160629	0.0282471	0.0364967	0.0382697	0.049262	0.0378973	0.0431373	0.0337274	0.038164	0.0483831	0.0510195	0.0641619	0.0507719	0.0490146	0.0626307	0.0471536	0.0426314	0.048371	0.0329225	0.0420586
homme	0.0214175	0.0179341	0.0206245	0.0267468	0.0144634	0.0215599	0.00792593	0.0222286	0.0221283	0.0581173	0.0584738	0.0643529	0.0824324	0.0513619	0.0423681	0.0453644	0.028831	0.0394775	0.0393813	0.0508904	0.0270656	0.0333637	0.0352559	0.0313959	0.0339102	0.0525404	0.0238527	0.0265357
blanc	0.0446957	0.0426463	0.0370789	0.0360701	0.0191904	0.0243393	0.0104217	0.0145817	0.0134838	0.0162186	0.012913	0.0127016	0.011303	0.0117329	0.0138208	0.0119587	0.0126438	0.0186718	0.0255653	0.0418396	0.0613503	0.0865662	0.0890372	0.055857	0.0693	0.0512938	0.0708359	0.0838827
</S>	0.0411016	0.0418301	0.0335159	0.0297029	0.0131434	0.0162189	0.00821534	0.0096082	0.00747169	0.0143089	0.00991116	0.0127966	0.0127557	0.0108329	0.0148581	0.010838	0.0190788	0.0341492	0.0365563	0.043786	0.067374	0.0801868	0.0686474	0.0596127	0.0607084	0.0680978	0.0638848	0.110808
