 	a66	a87	a97	a87	a97	a87	a97	a87	a23	a83	a53	a69	a58	a53	a69	a4	a58	a44	a4	a54	a56	a93	a4	a13	a57	a58	a13	a4	a70	a83	a88	a0	a90	a70	a88	a0	a54	a44	a54	a69	a53	a69	a58	a40	a54	a37	a70	a54	a73	a58	a26	a11	a50	a62	a83	a71	a9	a3	a97	a87	a97	a87	a23	a87	a23	a97	a10	a82	</S>
après	0.00763386	0.0135099	0.0197168	0.0115584	0.0109056	0.0159853	0.00853533	0.0105292	0.0134381	0.0222906	0.04218	0.0210892	0.0422358	0.0446267	0.0408692	0.0491869	0.0466871	0.0382692	0.0484437	0.0268417	0.0217873	0.013362	0.0109406	0.0130892	0.0186104	0.018252	0.0123344	0.00771081	0.0118226	0.0152977	0.0103763	0.0136177	0.00867248	0.00694712	0.0143988	0.0119033	0.00776053	0.0111421	0.00712579	0.0100879	0.010319	0.00717285	0.0074357	0.00761019	0.00555686	0.00599482	0.00637613	0.00563181	0.00336625	0.00305611	0.00322105	0.00228974	0.00507582	0.00378881	0.00601467	0.00483944	0.00668823	0.00480738	0.00853715	0.0129599	0.00953852	0.0107326	0.00880551	0.00867124	0.0101791	0.00691768	0.00809014	0.0125286	0.0240228
la	0.00837039	0.00703204	0.00831612	0.00815959	0.0063622	0.00655467	0.00748142	0.00537625	0.0105542	0.0106586	0.0109454	0.00617635	0.0141122	0.0197852	0.0324874	0.0255221	0.0577067	0.0253403	0.0128069	0.0162232	0.0159679	0.0132397	0.011544	0.0104745	0.0143887	0.0173449	0.0146757	0.01176	0.0127611	0.0154748	0.0141524	0.0156108	0.0135841	0.0127021	0.0140019	0.0138456	0.0128213	0.016037	0.0139565	0.0151689	0.0135189	0.0146048	0.0112726	0.0255998	0.0249911	0.0254663	0.0158421	0.0144667	0.00918297	0.00695092	0.00980521	0.0100213	0.0144717	0.0186774	0.017467	0.0203798	0.0195889	0.0287784	0.0187522	0.0153621	0.012859	0.00776767	0.0123589	0.00703786	0.0103205	0.00909322	0.00666688	0.0118352	0.00737714
bise	0.0236	0.0107337	0.011217	0.0090431	0.0092968	0.00689007	0.00871353	0.0079013	0.010415	0.0145427	0.0199934	0.0194557	0.024245	0.008684	0.010153	0.0281071	0.102964	0.0389992	0.0216306	0.0249532	0.0180749	0.0206156	0.0388829	0.0257748	0.0174282	0.0170066	0.013578	0.0369246	0.0218512	0.0239833	0.0228412	0.0195234	0.00638223	0.00530415	0.011571	0.0149018	0.0120049	0.0237248	0.0262814	0.0192541	0.0147741	0.0137993	0.0116579	0.0127713	0.00912815	0.0111599	0.00733068	0.00578575	0.00579262	0.00450038	0.00522473	0.00566435	0.00447033	0.0039251	0.0051275	0.00228164	0.00152659	0.00241805	0.00308397	0.00317742	0.00516586	0.00492751	0.0084733	0.00559101	0.00425907	0.0105963	0.0108952	0.00630211	0.00274284
a	0.0153387	0.0104879	0.00699261	0.00710947	0.00842561	0.00631672	0.0123861	0.00912758	0.00710817	0.00637733	0.00542133	0.00505282	0.00335532	0.0029651	0.00490123	0.00818611	0.0209103	0.0189542	0.0179502	0.0224966	0.0190573	0.0129628	0.0300252	0.0300889	0.0214172	0.0324957	0.0424445	0.0383975	0.0207146	0.0245024	0.0276589	0.0274974	0.0593401	0.0229587	0.0338047	0.0338561	0.0260969	0.0233211	0.0208319	0.018566	0.0155548	0.035908	0.0127296	0.0150125	0.0132536	0.0118171	0.00676504	0.00539294	0.00860326	0.00594645	0.00693757	0.00650391	0.00368571	0.0018127	0.00246192	0.00171926	0.00177327	0.00239716	0.00125456	0.00160825	0.00253378	0.00485585	0.00512594	0.00833539	0.0069753	0.0118347	0.0111487	0.00987704	0.0122745
renoncé	0.0164082	0.00850415	0.00894636	0.00929755	0.00961358	0.00883135	0.0115779	0.010829	0.0119847	0.0112055	0.00653829	0.00320273	0.00337673	0.00544887	0.00409957	0.00769357	0.0128914	0.00505276	0.00689272	0.0063479	0.00608605	0.00276571	0.00697635	0.0129715	0.00635699	0.0112398	0.0183851	0.0112799	0.0143428	0.0173173	0.0186902	0.0230229	0.0145639	0.0439278	0.03816	0.0625345	0.064114	0.0470724	0.0497519	0.0368669	0.0343295	0.0463929	0.0386035	0.0142194	0.0155081	0.0129385	0.01021	0.0111058	0.0113894	0.0103623	0.00787802	0.00628685	0.00814611	0.00502406	0.0051075	0.0057311	0.00435431	0.0029146	0.00463557	0.00334877	0.00539102	0.00743573	0.0046394	0.00499969	0.00689029	0.012127	0.00923595	0.0109498	0.00467592
à	0.00690484	0.00752962	0.00697169	0.00493082	0.00484275	0.004712	0.0030927	0.00365627	0.00303014	0.00332795	0.00557521	0.00191588	0.0026686	0.00421942	0.00594317	0.00481739	0.0125844	0.00990058	0.00651534	0.0116327	0.0213415	0.0154051	0.0163795	0.0202534	0.0420317	0.0484984	0.03783	0.027279	0.0453519	0.0336305	0.0409638	0.0448547	0.0566185	0.0386515	0.0537293	0.0396923	0.0332388	0.0278551	0.027413	0.0273942	0.0186501	0.0136261	0.00848377	0.00412755	0.00430099	0.00302852	0.00234165	0.00268499	0.00243887	0.000853514	0.0024005	0.00224088	0.00373564	0.00447253	0.00479613	0.00657733	0.00684608	0.0066827	0.00827247	0.00771158	0.0068039	0.010047	0.00882559	0.00849018	0.00925228	0.00892173	0.0066449	0.00838583	0.00517324
lui	0.0150181	0.0136074	0.0144075	0.0129092	0.0146183	0.0126915	0.0150565	0.0166902	0.0153605	0.0152205	0.00678205	0.00272725	0.00282681	0.0043215	0.00461025	0.00718523	0.0196969	0.0118511	0.0142766	0.015641	0.0201979	0.0155946	0.0151676	0.0107618	0.0189946	0.0191577	0.0229902	0.0150265	0.0174569	0.0158426	0.0182796	0.0173459	0.0211482	0.0225775	0.0275362	0.0247762	0.0292211	0.0254213	0.0270245	0.0265662	0.0265735	0.0355785	0.0261034	0.0164137	0.0163468	0.0116588	0.00903034	0.00883949	0.00898452	0.00737359	0.0101973	0.00721708	0.0102342	0.00896489	0.00690359	0.00736622	0.00827924	0.00915314	0.00505639	0.00721532	0.00653881	0.0081783	0.0101394	0.0124018	0.0137925	0.0137666	0.0126199	0.0139925	0.0144946
faire	0.00790592	0.00881364	0.00935594	0.00685786	0.00851039	0.00852801	0.00622207	0.00712701	0.0062232	0.00463337	0.00375809	0.00166028	0.00208477	0.00483082	0.00777154	0.013738	0.0179197	0.0131353	0.0211471	0.016943	0.0302216	0.0277413	0.0191233	0.0178415	0.0410737	0.0333349	0.0471909	0.022562	0.0188244	0.0198639	0.014894	0.016052	0.0173199	0.0156653	0.0222649	0.0211964	0.0233469	0.0230095	0.0239011	0.0219769	0.0186915	0.0234001	0.0187151	0.0143053	0.0143219	0.0122472	0.0119781	0.00674933	0.00781814	0.00554014	0.00776398	0.00786273	0.00603118	0.00603896	0.00426672	0.00465268	0.0068776	0.0068054	0.00666901	0.0126823	0.00731391	0.0130441	0.0130446	0.0265695	0.0164083	0.013083	0.0143528	0.0126869	0.0255091
ôter	0.0113652	0.00912585	0.0100746	0.00752129	0.00889221	0.00892041	0.00896194	0.0091555	0.00682695	0.0045451	0.00337974	0.00213316	0.00237373	0.00329497	0.00548388	0.0120845	0.0133091	0.012165	0.0171572	0.0155759	0.023863	0.0246249	0.0238829	0.0277654	0.033669	0.0259727	0.0292	0.0216032	0.0178039	0.0162172	0.0124642	0.0165549	0.0167017	0.0125878	0.0172098	0.0176718	0.0181994	0.0188124	0.0180611	0.0184425	0.014014	0.0177632	0.0154493	0.013421	0.0151846	0.0125282	0.0110098	0.010134	0.0122857	0.00909868	0.0106659	0.011235	0.00820675	0.00657941	0.00703627	0.00618478	0.00672791	0.00788927	0.00440353	0.0101793	0.00982708	0.0192914	0.0197981	0.033057	0.0202703	0.0248225	0.0331929	0.0193833	0.026707
son	0.0220479	0.0205695	0.0257574	0.0123967	0.0131553	0.00962367	0.00652564	0.0098236	0.00452575	0.00281478	0.00295442	0.00141534	0.00181524	0.00202799	0.00495769	0.00767384	0.0105266	0.0144743	0.0248254	0.0173326	0.0253206	0.0227565	0.0206465	0.0179893	0.0302166	0.0190603	0.0218244	0.0160046	0.0162464	0.0114698	0.0120055	0.0115995	0.0151202	0.00859092	0.0135512	0.0144415	0.0123614	0.0124692	0.0120166	0.0126494	0.0142567	0.012291	0.0104974	0.0109949	0.0102281	0.0109432	0.00959454	0.0137548	0.0138253	0.00791565	0.0185697	0.0155108	0.0149893	0.00927788	0.015174	0.0102162	0.0113161	0.0123229	0.00727083	0.0178798	0.0165753	0.0201444	0.023296	0.0254913	0.023856	0.0244632	0.0263111	0.0258487	0.025601
