 	a66	a87	a23	a30	a44	a26	a32	a94	a70	a83	a50	a88	a18	a94	a90	a98	a92	a21	a5	a61	a47	a96	a88	a36	a27	a57	a87	a23	a87	a97	a87	</S>
quelle	0.044544	0.0997359	0.0904716	0.0799081	0.0643189	0.0332823	0.0155174	0.0134223	0.0119541	0.0106234	0.00862363	0.00644372	0.00454519	0.00546661	0.00476458	0.00372742	0.00430671	0.00523404	0.00552941	0.0134973	0.0166026	0.0386941	0.0398533	0.031488	0.0420081	0.0695705	0.0457166	0.0514021	0.039379	0.0312234	0.0283532	0.0397923
est	0.0247155	0.0228051	0.00906849	0.00772808	0.0229575	0.0330145	0.0297067	0.0264635	0.0260077	0.0154321	0.0166842	0.0213219	0.028263	0.0279516	0.0294355	0.0414198	0.0624811	0.0457111	0.0452787	0.0338933	0.0376422	0.0340224	0.0338136	0.036335	0.0485118	0.035906	0.034925	0.0419714	0.0361686	0.0338838	0.0342806	0.0222005
la	0.0915616	0.0816746	0.0483856	0.0189198	0.0177329	0.00870034	0.0168128	0.0467797	0.0519805	0.0312415	0.0226551	0.0263649	0.0251064	0.0140827	0.016515	0.0157344	0.0132156	0.0128302	0.01269	0.0107002	0.0111494	0.0130263	0.0191957	0.0204127	0.0263438	0.02556	0.0335768	0.0434462	0.0546342	0.0360533	0.0671064	0.0658112
personne	0.0397642	0.0317148	0.0271173	0.0224634	0.0391264	0.0207644	0.0443377	0.0453155	0.0547948	0.0772229	0.0729235	0.0637443	0.0636103	0.0305502	0.0266545	0.0203589	0.0185665	0.0118299	0.0114159	0.0127845	0.0188982	0.0255465	0.0226642	0.0209735	0.0306578	0.0166494	0.0214037	0.0233945	0.0219363	0.0189885	0.018459	0.0253687
qui	0.0934695	0.0441	0.00690581	0.00449179	0.00488568	0.00702193	0.00530878	0.00918719	0.0113077	0.00624866	0.00266765	0.00342685	0.00201498	0.00298528	0.00387041	0.00596602	0.0192032	0.0224525	0.0172809	0.0228713	0.0398643	0.0453504	0.0560705	0.0623118	0.0463777	0.0328776	0.0468058	0.0636565	0.0763403	0.0771205	0.113317	0.0442412
a	0.19635	0.0529057	0.0171509	0.00736976	0.0161795	0.0108835	0.0179785	0.0279364	0.0260365	0.0291496	0.0176147	0.0175359	0.00985168	0.00870573	0.00844995	0.00837333	0.0139028	0.026549	0.0516169	0.0332546	0.0652173	0.0820737	0.0468259	0.0293705	0.0284985	0.027194	0.0209817	0.0268161	0.0237375	0.023387	0.0179746	0.0101283
déraciné	0.0616021	0.0234662	0.0144999	0.0126531	0.011684	0.0117377	0.00873204	0.0101173	0.00988079	0.0107187	0.00827172	0.00823879	0.00618145	0.006571	0.00902511	0.0110954	0.0202827	0.0331315	0.0399778	0.0364378	0.049028	0.0561389	0.0601764	0.0723972	0.0634098	0.0538489	0.0445672	0.061053	0.0603264	0.0524712	0.0456781	0.0265998
cet	0.03662	0.0240297	0.0151076	0.00904434	0.0106201	0.00820433	0.00426824	0.00920586	0.0156705	0.0139302	0.00893102	0.00933954	0.00617212	0.00908734	0.00926718	0.00822628	0.0129673	0.0234221	0.0168124	0.0302791	0.0294783	0.0556596	0.0667195	0.0778993	0.0594346	0.0524678	0.0710409	0.0638306	0.0698414	0.0568845	0.0605442	0.0549941
arbre	0.0335735	0.0448859	0.0483321	0.0231018	0.0178003	0.00984665	0.0141813	0.0268135	0.0280704	0.0220318	0.0132044	0.0129929	0.0106628	0.00913765	0.00801167	0.00757441	0.00943247	0.0128446	0.0117742	0.0202176	0.0172866	0.0327942	0.033436	0.0387563	0.0343765	0.0606275	0.0604947	0.0516563	0.0680478	0.0494821	0.0567127	0.11184
</S>	0.0277299	0.0337081	0.0311122	0.0208456	0.0194579	0.0145879	0.0152857	0.017006	0.0178218	0.0111442	0.00747454	0.00683811	0.00630812	0.00669618	0.00530489	0.00523654	0.00719532	0.00833565	0.00717653	0.0150304	0.0142517	0.0328831	0.0328133	0.0405947	0.0346396	0.0700693	0.0618727	0.0567109	0.0826551	0.0620479	0.0744036	0.152762
