 	a23	a79	a20	a58	a94	a98	a71	a9	a38	a75	a73	a41	a12	a24	a41	a94	a70	a98	a71	a9	a38	a75	a56	a34	a47	a24	a32	a98	a73	a79	a15	a73	a93	a15	a73	a69	a15	a69	a90	a57	a38	a11	a90	a4	a90	a98	a73	a69	a20	a84	a87	</S>
il	0.0118376	0.0109101	0.0281909	0.0562183	0.043844	0.0904584	0.0596742	0.0874104	0.0707128	0.0345031	0.0454037	0.0530685	0.0387758	0.0158374	0.0166611	0.0111741	0.00886958	0.00644691	0.00481361	0.00453894	0.00464332	0.00345687	0.00359657	0.00353505	0.00522993	0.00381379	0.00389148	0.00302475	0.00218444	0.00156472	0.00259292	0.00198296	0.00171594	0.0022642	0.00355965	0.00186657	0.00460825	0.00463379	0.011033	0.00760137	0.0179361	0.026795	0.00873973	0.00575861	0.00755377	0.00846409	0.00557264	0.0137238	0.0348561	0.0349423	0.0237094	0.0357994
a	0.00114752	0.00159615	0.00318452	0.0150039	0.0249004	0.0416887	0.0319073	0.044742	0.0387182	0.0137401	0.022094	0.01913	0.0337375	0.0347732	0.0519301	0.0326734	0.0360119	0.0747498	0.0432422	0.0337804	0.0269454	0.0159698	0.0154118	0.0114629	0.0117813	0.0147143	0.0126772	0.0213429	0.00766197	0.00773624	0.0116924	0.0074482	0.00418208	0.00325728	0.00353476	0.00531909	0.00697078	0.0103286	0.00735155	0.0075582	0.0102879	0.00876001	0.00868243	0.0117094	0.0202589	0.0203906	0.0210162	0.0173446	0.0202237	0.0157421	0.019534	0.013952
trouvé	0.00585643	0.00501719	0.00261385	0.00729305	0.0165402	0.0183372	0.0282609	0.0277787	0.0275268	0.0427938	0.0314057	0.0277331	0.0461903	0.0850344	0.0726722	0.0552161	0.0320376	0.0696609	0.0431403	0.0306996	0.026949	0.00674948	0.0085353	0.00514707	0.00384186	0.00469062	0.0029932	0.00483154	0.00407355	0.00397575	0.00295016	0.00286973	0.00177292	0.0026886	0.00150076	0.00166689	0.00237828	0.00355563	0.00247332	0.00203372	0.00276129	0.0030586	0.00337566	0.00626858	0.0102023	0.0142764	0.0263915	0.0350276	0.0425641	0.0283043	0.0280107	0.0282736
une	0.0298977	0.0268692	0.0253778	0.0287704	0.0282427	0.0375479	0.0322306	0.0361844	0.0258934	0.033628	0.0338316	0.025874	0.0334196	0.0194645	0.0291413	0.0219075	0.0129869	0.0177274	0.019148	0.015969	0.0119703	0.0113903	0.0113887	0.013563	0.0143058	0.0183674	0.0114699	0.0225491	0.0232913	0.0202464	0.0162253	0.012802	0.0152046	0.0212623	0.0431429	0.020557	0.0192162	0.0095833	0.00865352	0.0246382	0.00582214	0.0155079	0.0171935	0.0169122	0.00999337	0.0110688	0.00761361	0.00599722	0.00567239	0.00468584	0.00491793	0.0106754
astuce	0.0152054	0.00778727	0.00744747	0.0139637	0.0185553	0.0105833	0.0217865	0.0213841	0.03022	0.0282933	0.0236891	0.0308268	0.0317171	0.0269998	0.0265602	0.0270271	0.0280457	0.0318854	0.0273077	0.0297078	0.0298052	0.0229649	0.0246316	0.0204377	0.0238348	0.0186711	0.016057	0.0219344	0.0133111	0.0189502	0.0187725	0.0190331	0.024297	0.0178108	0.0275227	0.0218447	0.0226398	0.0125476	0.0151706	0.0157419	0.015889	0.0168395	0.0137496	0.0167652	0.0151517	0.0125174	0.00853356	0.0090166	0.00300474	0.00526613	0.008854	0.00944129
pour	0.0209989	0.0188209	0.0157802	0.0176412	0.0270377	0.0306616	0.0445231	0.0724288	0.0910487	0.0479358	0.0525019	0.0464912	0.048209	0.0158929	0.0275948	0.0241088	0.0215943	0.0134761	0.0104605	0.011603	0.00908569	0.0140531	0.00748377	0.0100096	0.0112177	0.00729952	0.00863771	0.00984214	0.00892644	0.00616273	0.0140059	0.0125929	0.0119421	0.0129161	0.0129239	0.00782695	0.0152595	0.0241362	0.0220216	0.0168845	0.00811931	0.0122316	0.00770991	0.0058115	0.00587456	0.00618691	0.00590973	0.00644087	0.00867863	0.00659949	0.00876869	0.0156315
faire	0.0248483	0.0160476	0.0152456	0.010224	0.00794181	0.0209552	0.0238548	0.0163195	0.0208741	0.0174649	0.0147827	0.0139586	0.0139068	0.0108689	0.0284032	0.00860196	0.0127511	0.0212541	0.0168284	0.0189105	0.0141069	0.0262869	0.0187677	0.0184708	0.0170393	0.0201346	0.019998	0.016899	0.0236457	0.0249266	0.0120697	0.00801381	0.00693913	0.00547422	0.00746185	0.00629451	0.0154763	0.0173663	0.0133705	0.0113806	0.0134591	0.0182707	0.0176712	0.0191154	0.0153028	0.0152786	0.0132462	0.0193903	0.0317045	0.0368438	0.0572453	0.104307
faire	0.023339	0.0183578	0.0130403	0.00961018	0.00870639	0.0186252	0.0154827	0.0136038	0.0143163	0.0091709	0.0103405	0.00829054	0.0144027	0.0117871	0.0434431	0.0232341	0.0134471	0.0320399	0.0266178	0.0232474	0.0243825	0.0323221	0.0322377	0.0247875	0.0282572	0.0428987	0.0294189	0.0313371	0.0359875	0.0382497	0.0204213	0.0187122	0.0151742	0.0120528	0.0195935	0.011772	0.0172974	0.0157291	0.0125728	0.0136971	0.0150972	0.0159727	0.0171895	0.0167146	0.0123912	0.0113567	0.00953107	0.0123624	0.0147871	0.0128269	0.0125705	0.021196
son	0.0274596	0.023999	0.0219818	0.0184618	0.0118205	0.0118806	0.00921925	0.00959354	0.00781512	0.0103237	0.00889574	0.00817174	0.0128561	0.00744332	0.0114808	0.00975851	0.00636069	0.018451	0.0124115	0.0118192	0.0130196	0.0143697	0.0209516	0.0168999	0.0229459	0.0299495	0.0311066	0.023628	0.0124816	0.010605	0.0167246	0.0163324	0.0166167	0.0301587	0.0292332	0.0127996	0.0229625	0.0195518	0.0373761	0.0239317	0.0287774	0.0307992	0.0215663	0.0167655	0.0158192	0.0174309	0.0170499	0.0303052	0.0210157	0.0295233	0.031412	0.0576874
travail	0.00993024	0.00987689	0.0117141	0.012417	0.0125676	0.0146806	0.0206296	0.0234418	0.028523	0.0222351	0.018353	0.0267327	0.0222168	0.0156403	0.0101131	0.0144468	0.0147678	0.0142556	0.0107973	0.0123454	0.0108497	0.0148229	0.0126955	0.0177485	0.0213279	0.0207738	0.0221731	0.0174721	0.0105147	0.00988661	0.0184886	0.0162587	0.0131211	0.0290045	0.033307	0.0163581	0.0259001	0.0229402	0.0520154	0.0265074	0.0349106	0.0369362	0.0269089	0.0254536	0.0234006	0.0185586	0.015453	0.0220712	0.00846452	0.0148536	0.0140512	0.0210871
par	0.0157562	0.0109704	0.0126003	0.0270397	0.0212375	0.0287615	0.0307131	0.0312436	0.0261357	0.0305121	0.0218741	0.0215528	0.027385	0.0094117	0.0168338	0.00606938	0.00306522	0.00727698	0.00550164	0.00439166	0.00397963	0.00432441	0.00616331	0.00511491	0.00483302	0.00708863	0.00842356	0.00663729	0.00384604	0.00369326	0.0068644	0.00480533	0.00620309	0.013255	0.011272	0.00581552	0.0159073	0.0227374	0.0353446	0.0174672	0.025868	0.0497159	0.0275461	0.0236736	0.020438	0.0186763	0.0126656	0.0286683	0.0285138	0.0361516	0.0523449	0.12363
son	0.0103624	0.00585892	0.00432654	0.0180855	0.0156951	0.0333193	0.0273153	0.025538	0.0213224	0.0184559	0.0127958	0.024513	0.0254321	0.0147422	0.0179246	0.00957734	0.00573594	0.0154288	0.0134741	0.00991286	0.00740681	0.00796501	0.0116088	0.00983078	0.00843336	0.0128639	0.0159152	0.0158041	0.00694368	0.00743513	0.00946318	0.00792453	0.00609026	0.00806759	0.00909952	0.00661346	0.0129335	0.0160392	0.0134066	0.0108195	0.0169331	0.0303794	0.0188	0.0185558	0.0185233	0.0198066	0.0151344	0.0279117	0.0387104	0.0652498	0.10397	0.091545
frère	0.0057306	0.00419588	0.00372623	0.0104415	0.0156342	0.036332	0.0208799	0.0311588	0.0279929	0.0137033	0.0117742	0.0274598	0.0232624	0.0257238	0.019691	0.0234725	0.0202992	0.0340871	0.0183679	0.014754	0.0106376	0.0130442	0.0169136	0.0158912	0.0153689	0.0230817	0.0225371	0.0237398	0.00929788	0.0124496	0.0139337	0.015486	0.014307	0.0201534	0.0197316	0.0175815	0.02048	0.0222009	0.0229804	0.0205702	0.0217058	0.0278731	0.022164	0.0234977	0.0217713	0.0170736	0.0119592	0.0136028	0.014446	0.0229834	0.0318639	0.0319854
</S>	0.0309149	0.0186782	0.0123423	0.0189659	0.0158405	0.0403014	0.0382671	0.0170438	0.0166994	0.0294666	0.0172392	0.0147101	0.0198202	0.00982938	0.0110328	0.00851161	0.00582582	0.0100654	0.00869162	0.00833894	0.00911313	0.00564703	0.0105732	0.0116238	0.0121341	0.0132287	0.00889437	0.0139701	0.0037556	0.00566482	0.00643301	0.00621632	0.0063928	0.00747844	0.0158441	0.0081175	0.0260243	0.0280602	0.0268569	0.0180186	0.0272819	0.025086	0.0238714	0.0205353	0.0176358	0.0183073	0.0139107	0.0142991	0.0311583	0.0388669	0.0705462	0.101869
