 	a66	a87	a23	a79	a54	a92	a47	a93	a70	a96	a62	a70	a75	a79	a98	a47	a36	a37	a21	a5	a43	a75	a79	a7	a70	a93	a13	a38	a70	a44	a26	a3	a87	a23	a87	</S>
c'	0.0195034	0.0387737	0.0469193	0.0621287	0.0985893	0.079925	0.0638458	0.034748	0.0140008	0.020396	0.0249941	0.025777	0.0231728	0.0146732	0.0118901	0.00999972	0.0115009	0.0134825	0.0150538	0.021019	0.0207755	0.0230703	0.0417598	0.0404184	0.0243928	0.0215236	0.0180209	0.021125	0.0151869	0.0226699	0.0195592	0.0169602	0.0151562	0.0114949	0.0107879	0.0267056
est	0.0490139	0.0327443	0.0298646	0.0256861	0.0273216	0.0280478	0.0266422	0.0214066	0.0169399	0.0189319	0.0162675	0.0153951	0.0111001	0.00882716	0.00622155	0.00634858	0.0116284	0.00943635	0.0094152	0.00904203	0.00974424	0.0157024	0.025501	0.0347921	0.0367977	0.0352017	0.0404068	0.058764	0.0600425	0.0516951	0.0366618	0.0544387	0.0575212	0.0304652	0.0390659	0.0329188
par	0.0817591	0.0700502	0.0821515	0.0678967	0.030116	0.0291876	0.0221562	0.0221766	0.0276258	0.0346561	0.0332647	0.0374234	0.0254426	0.017256	0.0184208	0.0129009	0.0184916	0.014015	0.0151638	0.0156216	0.0182892	0.0145899	0.0124821	0.0148906	0.00775672	0.00730002	0.00766797	0.0102503	0.015009	0.0116756	0.0103419	0.0210831	0.03564	0.0194017	0.042545	0.0753006
haine	0.0325292	0.0158538	0.0153062	0.0101291	0.00611025	0.00929492	0.0118624	0.0221674	0.029317	0.049236	0.0434841	0.0661705	0.0462547	0.0423882	0.0511671	0.0450308	0.031381	0.0323423	0.0325567	0.0408871	0.0487757	0.0240238	0.0185489	0.019124	0.0160565	0.0126774	0.0127944	0.0169654	0.027487	0.0170281	0.0188813	0.023471	0.0309586	0.0201061	0.0325966	0.0270367
qu'	0.0153623	0.00551554	0.00657242	0.00616219	0.0105294	0.0220658	0.0515127	0.0864406	0.0942473	0.0608814	0.0776554	0.0688762	0.0840916	0.0433355	0.0817862	0.0601715	0.0354489	0.0362964	0.0355234	0.0139223	0.0201774	0.00817327	0.00743437	0.00587336	0.00438794	0.00576252	0.00432854	0.00435568	0.00431914	0.00826502	0.00489865	0.00520439	0.00292255	0.00685185	0.00592064	0.00472742
il	0.117515	0.061081	0.0741893	0.0360768	0.01792	0.0191387	0.0122569	0.0205647	0.0266566	0.0364194	0.0349899	0.0512677	0.0358891	0.0344686	0.0323377	0.0134189	0.0157999	0.0136934	0.0120831	0.0200016	0.0170987	0.0210836	0.0154534	0.0262104	0.0161698	0.00729494	0.0105257	0.013171	0.00838487	0.0171851	0.022013	0.0218923	0.0220964	0.0264631	0.0381659	0.0310231
élimine	0.0248652	0.00989005	0.0219919	0.0182634	0.014648	0.0205989	0.0195333	0.0288712	0.0267752	0.0271279	0.0237509	0.0238558	0.02899	0.032871	0.0423081	0.0361186	0.0365917	0.0603007	0.0653195	0.0731212	0.0761398	0.0338842	0.0178389	0.0168467	0.0182684	0.0133381	0.00804581	0.0155493	0.00789252	0.0222209	0.0202526	0.0209806	0.0146101	0.0279283	0.0239502	0.0264611
le	0.0498307	0.0356468	0.0463631	0.0457524	0.0490611	0.0341249	0.0145549	0.0153116	0.0134141	0.0215679	0.0166993	0.0242057	0.0245873	0.0268571	0.0240924	0.024286	0.0238353	0.0349693	0.0299926	0.0272547	0.0375012	0.0233292	0.0200973	0.0270527	0.0175724	0.0305456	0.0129371	0.0147164	0.0157703	0.0339295	0.0364841	0.023263	0.0255553	0.0354977	0.0289363	0.0344045
petit	0.0280499	0.0318303	0.0456975	0.0455198	0.0465075	0.0423911	0.0342134	0.0268982	0.0231424	0.0271245	0.0344542	0.0346472	0.0261608	0.022057	0.022559	0.0206812	0.0195745	0.0183675	0.0141037	0.0111692	0.0142075	0.00865702	0.00646765	0.00759427	0.00426187	0.0047925	0.00661472	0.0152295	0.0199702	0.0439115	0.0379932	0.0299841	0.0490006	0.0401137	0.034477	0.101576
bétail	0.0355623	0.0354568	0.0611248	0.0633804	0.069235	0.0721147	0.0496399	0.0367929	0.033445	0.0288697	0.0386874	0.0380281	0.0246454	0.0217481	0.0198074	0.0160331	0.0171856	0.0200503	0.018218	0.0129181	0.0164878	0.0104264	0.00855889	0.00942455	0.00465159	0.00504684	0.00656608	0.010869	0.00849019	0.0151879	0.017194	0.0193779	0.0303689	0.0207662	0.033939	0.0697021
