 	a66	a87	a97	a99	a83	a62	a96	a66	a44	a93	a56	a93	a98	a47	a36	a98	a47	a79	a44	a90	a54	a36	a26	a57	a3	a97	a3	a97	a82	</S>
on	0.0381241	0.0289207	0.028793	0.0263571	0.0272396	0.0374448	0.0356252	0.0228331	0.0211947	0.0318166	0.0292078	0.0444754	0.0352079	0.0590146	0.0375322	0.0231381	0.0200355	0.0213635	0.0215301	0.0116917	0.0182751	0.0149473	0.0688965	0.0335213	0.0288465	0.0278637	0.0364068	0.0327346	0.0376264	0.0993362
extrait	0.0531984	0.0403099	0.0420463	0.0217052	0.0204458	0.0241826	0.0206474	0.0177983	0.0249694	0.0107923	0.0209997	0.0110942	0.0125864	0.0233803	0.0359041	0.0434188	0.0478506	0.04342	0.056131	0.0484511	0.0518695	0.0295756	0.036772	0.0439917	0.0283167	0.0281874	0.032287	0.0394121	0.0537567	0.0364995
de	0.0286448	0.0196524	0.0212671	0.0162898	0.0156463	0.0137064	0.0217266	0.0319032	0.0292138	0.0302619	0.0347041	0.034175	0.0417452	0.0379062	0.0338204	0.0187848	0.0213345	0.0237201	0.0245112	0.0278152	0.044593	0.0426186	0.0351606	0.0516698	0.0486202	0.0330259	0.0429648	0.0345098	0.0614436	0.0785649
l'	0.0478863	0.0146722	0.0126855	0.0130296	0.0195525	0.00960689	0.0120428	0.0280936	0.0253211	0.0429417	0.0629293	0.0662131	0.0987535	0.0913055	0.0818292	0.0468225	0.0385243	0.037838	0.0371212	0.0211697	0.0403016	0.0126043	0.023159	0.0155627	0.016398	0.011482	0.0175115	0.0127381	0.0182271	0.0236773
huile	0.019081	0.012677	0.0165377	0.02721	0.0527763	0.0267957	0.0612016	0.0497877	0.0671695	0.0829283	0.0669661	0.0615659	0.0288855	0.0674458	0.0317137	0.0150681	0.0255383	0.0334674	0.0187762	0.0311182	0.0173624	0.0242348	0.0151608	0.0260687	0.0213449	0.0227179	0.0171599	0.0225918	0.020209	0.0164399
de	0.0758692	0.0459742	0.0465571	0.036191	0.0235813	0.0507524	0.0215823	0.0214582	0.0270577	0.0170298	0.0375473	0.017223	0.0114581	0.0145468	0.00929873	0.0125496	0.0251614	0.016754	0.0184897	0.021324	0.0227199	0.023887	0.0266705	0.044354	0.0695652	0.0517422	0.0496871	0.042044	0.0637898	0.0551344
la	0.0604375	0.0292504	0.0313988	0.020208	0.012023	0.0256378	0.00978277	0.0116486	0.0149344	0.00916242	0.026606	0.0149821	0.0111093	0.00825087	0.00750862	0.00954794	0.020928	0.01935	0.0286784	0.0423495	0.0413046	0.0666481	0.0384246	0.0498743	0.0763827	0.0527307	0.0539063	0.0622836	0.0885401	0.0561105
datte	0.0633371	0.0421396	0.0342585	0.0264282	0.0238481	0.0310247	0.014664	0.00864866	0.00732313	0.00479853	0.0103569	0.00898588	0.0075353	0.00805055	0.0125729	0.00837697	0.0131359	0.00978355	0.0114513	0.0353033	0.0346096	0.0731668	0.0263664	0.0687429	0.0429227	0.065897	0.0431807	0.0779889	0.0715048	0.113597
lekolo	0.0871638	0.0321488	0.0285588	0.0189705	0.0129802	0.0184565	0.0154566	0.0107794	0.00869802	0.00783885	0.0112062	0.00618363	0.00681478	0.00905505	0.0104058	0.0163539	0.0152226	0.0138277	0.016778	0.0326589	0.0444671	0.0501955	0.0422578	0.0565411	0.057451	0.0809038	0.0598184	0.0746511	0.0714637	0.0826925
</S>	0.071895	0.0218997	0.0154942	0.0156817	0.0144534	0.0143294	0.0225008	0.0306455	0.0244902	0.026303	0.0248281	0.015731	0.0162236	0.0191087	0.0198014	0.0316077	0.0214243	0.0220734	0.031986	0.0454297	0.0472295	0.0454894	0.0396147	0.040823	0.0533814	0.054328	0.051742	0.0534108	0.0591386	0.0489358
