 	a66	a87	a23	a97	a99	a90	a15	a25	a44	a56	a93	a56	a43	a21	a41	a21	a12	a96	a18	a71	a25	a87	a23	a87	a82	</S>
la	0.0476469	0.0783246	0.0600218	0.0645416	0.0450681	0.058906	0.123597	0.133368	0.0662938	0.0312025	0.0104446	0.0038882	0.0024078	0.0020193	0.00382749	0.00578728	0.0120524	0.0251239	0.0221058	0.0357279	0.0334358	0.0204514	0.0258822	0.0289593	0.0218088	0.0371078
pirogue	0.00360986	0.00592078	0.00936365	0.013493	0.0284462	0.0622693	0.146659	0.309799	0.24192	0.107364	0.0306742	0.0122597	0.00641686	0.0057319	0.00725561	0.00163159	0.000964084	0.000337133	0.00076212	0.000242976	0.000506287	0.000382958	0.000927673	0.00093413	0.00162497	0.000504192
a	0.0107199	0.0137532	0.0150274	0.0192531	0.0195363	0.0370847	0.102467	0.147377	0.218733	0.191838	0.104706	0.0346258	0.0359752	0.0145076	0.0082276	0.00107827	0.000834883	0.000896963	0.00203858	0.000888609	0.00270874	0.00159875	0.00201197	0.00204406	0.0103476	0.00171934
chaviré	0.0148423	0.00698717	0.00895973	0.0120106	0.0114163	0.0136908	0.0297003	0.0437256	0.0514817	0.0560094	0.084907	0.0593175	0.0662649	0.0718846	0.10221	0.0906536	0.0847286	0.0489805	0.0431505	0.0153035	0.0214047	0.0140223	0.0129584	0.0153067	0.0116035	0.00848014
dans	0.0190577	0.0262381	0.0289798	0.0288889	0.0333734	0.0460718	0.0379788	0.0472543	0.0499467	0.101694	0.205679	0.125863	0.119584	0.0581404	0.0166969	0.00414058	0.00459657	0.00311051	0.0076094	0.00423409	0.00767512	0.00506469	0.00420662	0.00452422	0.00384902	0.00554249
la	0.0469862	0.0282203	0.0172389	0.0100422	0.0130862	0.00608997	0.00358851	0.00426282	0.00653015	0.0082642	0.0117699	0.0140223	0.023639	0.0174209	0.0201636	0.0399682	0.0509932	0.0938198	0.132608	0.0715298	0.0817718	0.047784	0.055931	0.0596578	0.0472764	0.0873346
partie	0.0234507	0.0193333	0.0150572	0.0144905	0.0135614	0.0109535	0.0125127	0.0184265	0.022825	0.0192801	0.0284503	0.0344736	0.0557511	0.0387574	0.0507079	0.0454504	0.04367	0.0583262	0.131665	0.0734252	0.0812772	0.0433492	0.0391022	0.038333	0.0299835	0.0373872
peu	0.0827867	0.0477842	0.0321508	0.0209192	0.0209988	0.00832281	0.00746288	0.00873569	0.0129462	0.0164113	0.0108555	0.00592199	0.00518828	0.0033256	0.00600484	0.00910974	0.0141549	0.0198749	0.0382726	0.0532301	0.0466134	0.0531526	0.119659	0.115529	0.0955429	0.145046
profonde	0.0602551	0.0487686	0.0433894	0.0353955	0.040115	0.0228777	0.0125959	0.0130453	0.00998431	0.00917916	0.00524899	0.00242724	0.00214008	0.00165082	0.00438303	0.011117	0.0141605	0.0209949	0.0529034	0.0758541	0.0471386	0.0735471	0.0985347	0.0901046	0.0840124	0.120177
du	0.127409	0.0714744	0.0442416	0.0259858	0.0268402	0.00915432	0.00505231	0.00566251	0.0069538	0.0098111	0.00813064	0.00850547	0.0121014	0.0105392	0.0182916	0.0273009	0.027891	0.0404943	0.0647804	0.0678288	0.0587005	0.0587644	0.0510092	0.0615497	0.0609851	0.0905428
fleuve	0.0476786	0.0258772	0.0162724	0.0104708	0.0116641	0.00432363	0.00202242	0.00192219	0.00212263	0.00468924	0.00424622	0.00567109	0.00878966	0.00937349	0.0157368	0.032656	0.0428871	0.0815874	0.0750037	0.105791	0.0604151	0.0774046	0.0729167	0.0820315	0.0813579	0.117089
</S>	0.0832821	0.0709053	0.0512727	0.0299764	0.0320301	0.0177763	0.00995973	0.0131235	0.00757691	0.00399173	0.00299624	0.00255767	0.00386135	0.00484608	0.00970715	0.0144832	0.0226627	0.0330622	0.0466747	0.0564083	0.0317493	0.0431671	0.0469577	0.0571934	0.0544175	0.249361
