 	a23	a18	a40	a5	a12	a62	a21	a12	a18	a5	a47	a75	a56	a75	a92	a37	a47	a62	a88	a71	a9	a83	a62	a21	a12	a18	a21	a92	a56	a92	a12	a18	a93	a94	a43	a56	a43	a75	a47	a98	a47	a36	a7	a36	a2	a57	a87	a23	a87	</S>
la	0.00695128	0.00686395	0.00574984	0.0144313	0.0142523	0.0167691	0.0238688	0.0391576	0.0449185	0.0219304	0.0181656	0.0148995	0.0149399	0.0289096	0.023941	0.0172072	0.0311025	0.0260665	0.0414903	0.0659415	0.0604506	0.0489072	0.0538758	0.0255063	0.0396399	0.0290321	0.0304625	0.0152346	0.0202675	0.0102823	0.00960932	0.0148037	0.0335476	0.0179347	0.0143475	0.0110283	0.00521897	0.00214315	0.00322635	0.0027239	0.00292119	0.00335918	0.0033049	0.00259553	0.00494577	0.0035132	0.00558506	0.0100473	0.0135383	0.0243905
manière	0.00158222	0.00436123	0.0145151	0.0226424	0.0304522	0.0517895	0.0516343	0.0494501	0.0430199	0.0416536	0.0587951	0.0511225	0.0383574	0.0724444	0.0822511	0.0610176	0.0466517	0.0265824	0.0239056	0.0120882	0.020181	0.0104082	0.013996	0.0132958	0.0156646	0.0157777	0.0181473	0.0158084	0.0276451	0.0272494	0.00988737	0.00254887	0.00561562	0.00421246	0.00201921	0.00161838	0.00112631	0.0012022	0.00129693	0.00255996	0.00232304	0.00095322	0.000402903	0.00020743	0.000172901	0.000253347	0.000230919	0.000213724	0.00041673	0.00024831
dont	0.0263262	0.0181089	0.0318389	0.0618925	0.0848005	0.127074	0.0705877	0.0423513	0.0400338	0.0438211	0.0909254	0.0332816	0.0226857	0.0138039	0.0199131	0.0213383	0.0207937	0.017108	0.0151683	0.00919852	0.0113668	0.0152171	0.0224823	0.022437	0.0189266	0.0150569	0.0230151	0.00796353	0.0136721	0.0042134	0.00118353	0.00352904	0.00248251	0.00289211	0.00387097	0.00220616	0.00185986	0.00117101	0.000755782	0.000676646	0.000822342	0.000546918	0.000604905	0.000838291	0.000327799	0.00156873	0.00113152	0.0023978	0.00444577	0.00128661
il	0.0311986	0.00830204	0.0119546	0.0295039	0.0122698	0.0126925	0.0128093	0.0200565	0.00579677	0.0102137	0.0313287	0.00666517	0.0195147	0.0128106	0.022349	0.0181606	0.0203159	0.021732	0.0272221	0.028757	0.0120826	0.0204109	0.0261112	0.0407348	0.0381357	0.0229717	0.0324028	0.0168667	0.0180643	0.0141063	0.010311	0.0162022	0.0125817	0.0210535	0.0200914	0.0290308	0.0531336	0.0534917	0.0259331	0.0177977	0.0118045	0.00799053	0.00710695	0.00969618	0.00803094	0.0269386	0.0147171	0.0222199	0.022631	0.00369722
est	0.0114683	0.0041555	0.00806923	0.0239887	0.00785438	0.00859167	0.0108283	0.0172346	0.00524839	0.00911396	0.0196634	0.0099644	0.0230897	0.0158413	0.0210757	0.0257772	0.0263767	0.0500026	0.0505508	0.0495076	0.027061	0.0161013	0.0169278	0.0209698	0.0341915	0.0302962	0.0558358	0.0177647	0.0840333	0.0697854	0.036266	0.0246635	0.029131	0.0146512	0.0255353	0.0138612	0.0106971	0.00918175	0.0162574	0.00769543	0.00387338	0.004961	0.00211943	0.00229501	0.00256242	0.00340419	0.00427483	0.00563788	0.00680671	0.00475586
rentré	0.00916693	0.00440448	0.00292658	0.00603654	0.00374166	0.00632108	0.01048	0.0241761	0.0145233	0.0219208	0.0271466	0.0282187	0.0421088	0.036981	0.036514	0.0372423	0.0506305	0.0494134	0.0559957	0.0484886	0.0328743	0.0222411	0.0240223	0.0267307	0.0310837	0.0435121	0.0577197	0.0235238	0.0502659	0.0254522	0.0129986	0.0103626	0.0130073	0.0101829	0.00845767	0.0064256	0.00450089	0.00530295	0.00662567	0.0050808	0.00388954	0.00380852	0.00264276	0.00286086	0.0042387	0.00741548	0.00759446	0.0112212	0.00678509	0.0127357
montre	0.0125753	0.00833546	0.00903806	0.0106871	0.00820883	0.0164315	0.0165652	0.0152022	0.0138518	0.0234331	0.0192662	0.0142842	0.0343218	0.0191737	0.02214	0.0408833	0.0171223	0.0259643	0.0207359	0.016896	0.013266	0.0237988	0.0158401	0.0386476	0.0159763	0.018454	0.0239376	0.0116853	0.0208461	0.0148985	0.0183098	0.00842095	0.0101754	0.00911488	0.0114534	0.012624	0.0181014	0.0476247	0.021557	0.0221674	0.0163509	0.0129971	0.0169567	0.0202948	0.0141178	0.0480201	0.0262227	0.0320746	0.0219419	0.0490079
qu'	0.0178543	0.0121768	0.00699499	0.0101287	0.00428557	0.00744804	0.00335328	0.00710675	0.00557676	0.00720975	0.0064256	0.00897416	0.0131685	0.00797819	0.0129822	0.0197892	0.0141534	0.0154442	0.01306	0.0156965	0.0151451	0.025136	0.0146893	0.0257007	0.0129189	0.0133283	0.0119617	0.0076073	0.00900133	0.00430949	0.00442622	0.00731298	0.0147354	0.0117545	0.0133492	0.0172955	0.0220542	0.0259144	0.0242078	0.0350361	0.0310007	0.043438	0.0443919	0.0533356	0.0485786	0.0656668	0.044526	0.0516554	0.0508213	0.0408941
il	0.0104514	0.0085538	0.00372159	0.00461001	0.00544004	0.00280086	0.00183772	0.000985886	0.00233959	0.00278073	0.00166314	0.00349069	0.00606561	0.00532288	0.00798238	0.0140079	0.0168244	0.0261147	0.0312712	0.0424429	0.045594	0.0465695	0.0357889	0.0318649	0.0312688	0.032695	0.0371065	0.0103108	0.0108041	0.00669086	0.00372193	0.00695373	0.0151018	0.0102222	0.0229329	0.0259361	0.0246129	0.0256175	0.0530721	0.0388887	0.0347915	0.0382303	0.0207239	0.0188851	0.0242322	0.0258791	0.026757	0.0381685	0.0432112	0.0146608
m'	0.0100538	0.00870871	0.00642995	0.0116362	0.00374027	0.00522796	0.00255578	0.00357996	0.00284463	0.00289718	0.00202767	0.00505693	0.00720618	0.006159	0.00904513	0.0146973	0.0147923	0.0222587	0.0212707	0.021128	0.0204188	0.0155208	0.0121256	0.0120455	0.0098905	0.0155433	0.0128303	0.0122351	0.0128488	0.0110456	0.00730683	0.0176834	0.0233916	0.0290162	0.0346065	0.0457055	0.0369177	0.0303615	0.0824574	0.0516955	0.0295684	0.032868	0.0148531	0.0149854	0.0183355	0.0171998	0.0294842	0.0415367	0.061799	0.0644069
avait	0.0218117	0.0173931	0.0120617	0.0168237	0.00585694	0.0113707	0.0124583	0.0154361	0.0129786	0.0086538	0.00638136	0.0159441	0.0173465	0.0173585	0.0215908	0.0187673	0.0219933	0.0176478	0.0184605	0.0168209	0.0173992	0.0148523	0.0161887	0.0136929	0.0121083	0.0133764	0.0136124	0.0127426	0.0155996	0.0152962	0.00981348	0.0122239	0.0198918	0.0193768	0.0171882	0.0198499	0.014497	0.0132993	0.0440188	0.0324415	0.0248723	0.0272826	0.0189103	0.0159591	0.0216831	0.0267744	0.0313642	0.0429253	0.0543929	0.0812109
pas	0.0290522	0.0196383	0.013567	0.010368	0.00762688	0.0182598	0.0156864	0.0129053	0.0122516	0.0248424	0.0146888	0.0324961	0.0265858	0.0237992	0.0317951	0.0299512	0.0240249	0.0206582	0.0186304	0.0179895	0.0204856	0.0303828	0.0293176	0.0336451	0.015142	0.0166705	0.0121459	0.0134116	0.0108848	0.00916507	0.00615857	0.0103002	0.00458317	0.00651573	0.00615046	0.00839437	0.010979	0.0135683	0.0293773	0.0196603	0.0188385	0.0195119	0.0115168	0.0119069	0.0193851	0.0269247	0.0271773	0.0321791	0.0295611	0.0912434
