 	a66	a87	a23	a99	a97	a30	a93	a96	a44	a54	a6	a37	a96	a83	a50	a83	a50	a88	a83	a9	a99	a3	a99	a83	a70	a93	a56	a79	a37	a93	a44	a34	a92	a37	a70	a61	a47	a96	a75	a79	a44	a26	a84	a3	a97	a87	a97	a87	a23	a87	</S>
il	0.0270362	0.0707122	0.0687336	0.0724508	0.0670167	0.0459676	0.0296944	0.0308461	0.0275422	0.0199175	0.0208615	0.0186121	0.0128972	0.010488	0.0103606	0.0112139	0.0110357	0.0101548	0.0139442	0.00832422	0.00688795	0.00896138	0.00817361	0.0124709	0.0102572	0.0104543	0.00710884	0.00830243	0.011598	0.0134083	0.0127388	0.00937844	0.010864	0.00627477	0.00976942	0.00905551	0.00647799	0.00752275	0.0171105	0.0188347	0.0190352	0.0151174	0.0386024	0.0175951	0.021542	0.0171474	0.015014	0.0111415	0.0155922	0.0114112	0.0243424
y	0.0106035	0.0121999	0.0150928	0.0165047	0.0245975	0.0341488	0.0309417	0.0354114	0.0269678	0.0722383	0.0248643	0.0195816	0.018723	0.0159742	0.0187953	0.0127509	0.00998274	0.0147384	0.0144042	0.0154105	0.0131822	0.0105795	0.0173033	0.0171009	0.0198522	0.0260572	0.0257602	0.0270143	0.0201431	0.00898319	0.0129734	0.0084937	0.00727157	0.00880095	0.00804253	0.0076983	0.0103363	0.015442	0.0246657	0.0276887	0.033017	0.0329672	0.0228522	0.0307919	0.0246101	0.0174904	0.0176619	0.0166747	0.0134387	0.0195774	0.00959733
a	0.026519	0.0292462	0.0184165	0.0222348	0.0122502	0.0106754	0.0159915	0.023814	0.0256899	0.062627	0.0191925	0.0243637	0.0106687	0.0201087	0.0145735	0.0234576	0.00903961	0.0156831	0.0142351	0.0383707	0.0497347	0.0317995	0.0155656	0.0330169	0.0602128	0.0610718	0.0523863	0.0115566	0.00452083	0.00434121	0.00494872	0.00648078	0.00589424	0.00884919	0.00515581	0.00692544	0.00905382	0.0102053	0.0146552	0.0117522	0.0114582	0.0110003	0.0111778	0.00988089	0.0119175	0.00937877	0.0135853	0.0153831	0.01305	0.0283594	0.0195243
plusieurs	0.0525308	0.0499833	0.0293367	0.0524006	0.0469307	0.0215749	0.0152886	0.0232076	0.0124718	0.0168826	0.00773477	0.0110107	0.00984386	0.0117924	0.0088767	0.0134182	0.00879829	0.00925382	0.0133391	0.00687602	0.0172694	0.0101656	0.0069845	0.0113533	0.0165612	0.024582	0.0214376	0.0352838	0.0256708	0.0307732	0.0368076	0.0385609	0.0336491	0.0277414	0.0461225	0.0281159	0.0200286	0.0170876	0.00687159	0.00551037	0.00660451	0.00671042	0.00643031	0.00913533	0.00741484	0.0127773	0.0117911	0.010201	0.0112747	0.0119143	0.0236174
manières	0.0227311	0.015767	0.0161907	0.0157149	0.0163868	0.00911155	0.0111621	0.0173485	0.0152998	0.0325104	0.027806	0.0301008	0.0514939	0.0420451	0.0589764	0.0447336	0.031988	0.0274052	0.0374241	0.0189514	0.048442	0.0168536	0.0194243	0.0238932	0.0402686	0.0564587	0.0411104	0.0286875	0.0269638	0.018518	0.012515	0.00823145	0.00689186	0.0101942	0.00793265	0.00307179	0.0065067	0.0075784	0.00451563	0.00377754	0.0040879	0.00382272	0.00528672	0.004055	0.00312873	0.00532526	0.00792746	0.00562681	0.0101987	0.00958876	0.00596914
de	0.0215376	0.0216291	0.0273602	0.0136389	0.00508391	0.00825565	0.0150153	0.0165137	0.0261214	0.01619	0.0298302	0.0338537	0.0147685	0.0228527	0.0253762	0.0479684	0.0332509	0.0445738	0.0653159	0.0621574	0.0490419	0.0620875	0.0370145	0.0292256	0.0155924	0.00801531	0.00770703	0.00557152	0.0046125	0.00624457	0.0103257	0.0048119	0.00550884	0.00530436	0.00417803	0.00381893	0.00341484	0.00500624	0.00695523	0.00481021	0.00727242	0.0112135	0.0116061	0.0108666	0.00999856	0.0165321	0.0246729	0.0175766	0.0173962	0.0186138	0.0237105
baiser	0.0381296	0.0222325	0.0126191	0.0075755	0.00330528	0.00369116	0.00572831	0.00586424	0.0125997	0.00671451	0.0119665	0.0137459	0.00744402	0.0128437	0.0183565	0.0212879	0.00963834	0.0322944	0.0284824	0.0395562	0.0411143	0.0499278	0.036379	0.0514081	0.0408929	0.0313209	0.0342343	0.027887	0.0238993	0.03663	0.0258757	0.0202256	0.01641	0.0499621	0.0378992	0.0157378	0.017585	0.0169535	0.00930697	0.00736672	0.0063165	0.0091667	0.00895148	0.00703021	0.00614055	0.00725503	0.00866329	0.0088041	0.00885793	0.0164889	0.00723325
chacun	0.0762955	0.0196414	0.0064708	0.00606985	0.00455714	0.00479647	0.00513648	0.00504626	0.00728039	0.00496359	0.00695691	0.011593	0.0115079	0.0146632	0.0152669	0.021687	0.014081	0.0227038	0.0175563	0.0198241	0.0153276	0.0301125	0.0220431	0.0323552	0.0229095	0.0114272	0.0242458	0.0129062	0.0110268	0.0172454	0.0116634	0.00765511	0.009275	0.0147443	0.0227924	0.0162904	0.0159782	0.0134225	0.03483	0.0142103	0.0190263	0.0363267	0.0355502	0.0293781	0.0203593	0.0487568	0.0412017	0.0317449	0.0257481	0.0379394	0.0174093
fait	0.0365173	0.0225432	0.0157351	0.0117569	0.00739645	0.0102898	0.00940943	0.00467918	0.0076151	0.00443451	0.00872529	0.0126478	0.010165	0.0109839	0.0150742	0.0196275	0.0195928	0.03339	0.0125733	0.0340133	0.0149221	0.0410891	0.0339273	0.0260502	0.0213397	0.00825383	0.0143287	0.0119584	0.00975587	0.0207144	0.018889	0.030861	0.0305551	0.0223373	0.0244194	0.01437	0.0150553	0.0115614	0.0156579	0.00882602	0.0124907	0.015935	0.0251683	0.0172629	0.0133385	0.0275009	0.038162	0.0334786	0.0342687	0.0596824	0.0206699
ce	0.0292099	0.0143493	0.00887613	0.0139075	0.0105083	0.00848625	0.00691906	0.00787155	0.00874791	0.00970439	0.0143769	0.0179272	0.0208216	0.0239948	0.0279054	0.0221064	0.0229123	0.0291615	0.0227045	0.0220705	0.0174099	0.0247884	0.0280669	0.028364	0.0229574	0.0150421	0.014606	0.0267554	0.0236542	0.0202295	0.0241683	0.0217048	0.0156772	0.0184007	0.0251542	0.0150182	0.0102913	0.00888876	0.0112246	0.00832768	0.00972381	0.0122553	0.0269279	0.0161305	0.0169313	0.0179581	0.0246938	0.0276066	0.0264959	0.0450302	0.0529556
qu'	0.0221692	0.00759906	0.00627781	0.00789124	0.00503057	0.00565289	0.00511987	0.00699878	0.00504393	0.0087418	0.0109201	0.0260123	0.0225896	0.0257161	0.0294324	0.033586	0.0358682	0.0284304	0.0241995	0.0194857	0.0193153	0.0207597	0.01769	0.0252886	0.0236981	0.0117743	0.0173216	0.0276229	0.0209726	0.0179774	0.0242057	0.0170893	0.0149952	0.01853	0.0151109	0.0170591	0.0111997	0.0110819	0.012276	0.00669769	0.00855204	0.014664	0.021549	0.0147362	0.0178105	0.0211041	0.0314991	0.0376286	0.0302066	0.058836	0.0559824
il	0.0260188	0.0251123	0.0170348	0.0147098	0.0119614	0.00820585	0.00688505	0.00738771	0.00616573	0.00507731	0.00870542	0.00826141	0.00775416	0.0103338	0.013571	0.0162729	0.0185933	0.0177201	0.0139213	0.0186016	0.0166813	0.0296451	0.0175786	0.0194311	0.0222773	0.00669501	0.00955076	0.00602019	0.0044326	0.00512004	0.00471928	0.00707873	0.00860353	0.00373985	0.00588493	0.0061745	0.00485614	0.00546244	0.0291006	0.0194804	0.0275198	0.0365488	0.0956181	0.0508149	0.0314205	0.0426496	0.0589125	0.0332826	0.0473323	0.0552576	0.0258173
veut	0.0249908	0.031584	0.0223122	0.0187716	0.00648024	0.00498876	0.00469144	0.00422289	0.00520963	0.00509198	0.012064	0.0137617	0.00780839	0.0106701	0.0146222	0.0236121	0.0236995	0.0255564	0.0169662	0.0293668	0.0166044	0.0350379	0.0188855	0.0199804	0.0183597	0.0065705	0.0121261	0.0134128	0.0096114	0.0128345	0.0223243	0.0176088	0.0183439	0.0148048	0.0144857	0.0166405	0.0204245	0.0224512	0.0246081	0.0156983	0.0216896	0.0199071	0.0362424	0.0312101	0.0169516	0.0274872	0.0395493	0.0336468	0.0357395	0.0485121	0.03178
</S>	0.0161958	0.011914	0.00946979	0.00987898	0.00428126	0.00417824	0.00592907	0.00632402	0.00587997	0.0058332	0.0108941	0.014798	0.0119599	0.0113407	0.0176101	0.022874	0.0278241	0.019345	0.0177258	0.0203136	0.0138023	0.0247587	0.0125156	0.0158104	0.0150215	0.00675094	0.00927171	0.00824182	0.00633439	0.00453143	0.00840963	0.00621988	0.00738655	0.00578626	0.00393872	0.00728522	0.00990841	0.0149388	0.0353975	0.0334514	0.0399735	0.0438759	0.0491252	0.0439879	0.0391969	0.0507097	0.0525878	0.0408116	0.0455095	0.0453562	0.0445349
