 	a66	a87	a23	a18	a83	a54	a6	a5	a12	a43	a21	a61	a56	a90	a98	a85	a21	a12	a18	a71	a25	a82	a87	a23	a30	a53	a20	a7	a12	a21	a12	a18	a62	a61	a75	a6	a7	a79	a56	a25	a92	a44	a7	a56	a44	a75	a47	a36	a54	a36	a2	a57	a87	a23	a87	</S>
ibara	0.0325259	0.0383496	0.0370122	0.0333331	0.0386298	0.0447358	0.0296059	0.010483	0.0120184	0.00675734	0.00232903	0.00325169	0.0036442	0.00380523	0.00489965	0.00599116	0.00379874	0.00514435	0.00444116	0.00636701	0.00533487	0.00756667	0.00808589	0.00847903	0.0128512	0.00741284	0.0143719	0.0113156	0.0109644	0.012745	0.0112908	0.0140138	0.0123656	0.0106994	0.00890559	0.00618769	0.0060521	0.00577233	0.00429397	0.00557744	0.00861016	0.00887255	0.00423033	0.00728384	0.00569948	0.00482005	0.0081127	0.0100792	0.0233931	0.0236524	0.0676243	0.0813771	0.0627277	0.0373491	0.0683709	0.0663878
avait	0.00692878	0.00863417	0.0143944	0.0181783	0.0121049	0.016287	0.0170253	0.0124137	0.0179169	0.0233333	0.0112613	0.0329062	0.0270727	0.0355094	0.0353978	0.0377858	0.0202427	0.010846	0.00822008	0.0101744	0.0183585	0.0346303	0.0258653	0.0298495	0.0227883	0.0313804	0.0261349	0.0208032	0.031239	0.0121625	0.0282346	0.0276977	0.0269697	0.0185076	0.0226723	0.0149425	0.0121239	0.0118923	0.00816801	0.00750965	0.0069205	0.0121821	0.0138548	0.00872946	0.0103393	0.0130929	0.0135318	0.0123913	0.00321456	0.0104758	0.0195882	0.0110475	0.0114955	0.0159332	0.020157	0.00848292
l'	0.0157439	0.00937582	0.0137197	0.00938555	0.00956589	0.0145427	0.0114074	0.0115269	0.0155841	0.0147502	0.0122044	0.0221863	0.0166367	0.0294695	0.0210421	0.027197	0.037009	0.0206531	0.0124113	0.0156613	0.0191241	0.0317641	0.0224866	0.0249431	0.00948361	0.0354555	0.0307134	0.0153595	0.0372065	0.0266537	0.0356667	0.0342929	0.0434816	0.0272596	0.0154851	0.0140813	0.0135436	0.00872494	0.00579751	0.0046611	0.00282637	0.00432694	0.00227156	0.00183521	0.00300582	0.00475676	0.00617678	0.00750376	0.0108953	0.0200246	0.0214894	0.0221663	0.0234567	0.0328365	0.0243219	0.0158489
orgueil	0.0294495	0.0317396	0.0157223	0.00608835	0.00578867	0.00674539	0.00452682	0.00460616	0.00588789	0.00480992	0.00709633	0.00460747	0.00696573	0.00607369	0.00794878	0.00858718	0.00601645	0.00822429	0.0102918	0.0101136	0.00889274	0.00624081	0.00900681	0.00499775	0.00627686	0.00640724	0.00873351	0.015915	0.0338586	0.0329718	0.0239874	0.0183617	0.0195875	0.0366948	0.0292389	0.0344656	0.0320537	0.0311182	0.0351104	0.0305775	0.036993	0.0357078	0.0367506	0.0580366	0.0206482	0.0177035	0.0126024	0.017109	0.030003	0.0204612	0.0168625	0.0207126	0.0146158	0.00780266	0.0166857	0.0215185
de	0.0389144	0.0103265	0.00668151	0.00388429	0.00312592	0.0036127	0.00289102	0.00333149	0.00369672	0.00371786	0.00375239	0.00407075	0.0060421	0.00746912	0.00722933	0.0139659	0.0211729	0.0157851	0.0177493	0.015687	0.0115423	0.0156975	0.0138173	0.0138623	0.0107973	0.0165626	0.0205552	0.0291048	0.0396669	0.0591309	0.035424	0.044641	0.0517199	0.0605345	0.0376226	0.0393463	0.0272764	0.0325328	0.0424398	0.0326001	0.0149821	0.0136277	0.00787359	0.0141518	0.01187	0.008688	0.00859939	0.00766154	0.00955151	0.00904825	0.00809311	0.00978148	0.00810786	0.00721186	0.0151054	0.0176658
ne	0.0236296	0.0175414	0.0172067	0.00924481	0.0132246	0.0127087	0.00618427	0.00607986	0.00853506	0.00657585	0.00544483	0.00718702	0.0100657	0.0135592	0.0138489	0.02456	0.0258608	0.015151	0.0138552	0.0165317	0.0131073	0.0175008	0.0167338	0.015958	0.019282	0.0265344	0.029738	0.026245	0.0589013	0.0615478	0.0491804	0.054699	0.0391561	0.0536049	0.0222031	0.0260885	0.0180357	0.0173894	0.0140198	0.014384	0.0103767	0.0108544	0.00628004	0.0088251	0.00512483	0.00529773	0.00612714	0.00673936	0.0117031	0.0105305	0.0111275	0.00953879	0.00827485	0.00765444	0.00980115	0.0104399
pas	0.0144453	0.00719034	0.00588582	0.00395059	0.00394374	0.0028739	0.00235578	0.00272863	0.00470898	0.00424422	0.00354229	0.00577218	0.00622124	0.00960728	0.00739412	0.0155073	0.0193824	0.0119406	0.0123582	0.0113903	0.0056036	0.0141055	0.0116039	0.0152637	0.0194225	0.0288982	0.0307251	0.0350716	0.0454749	0.0858854	0.0408969	0.0683918	0.0596187	0.0409189	0.0363088	0.0379459	0.0236807	0.0241441	0.0286425	0.0213948	0.011572	0.0137067	0.00904365	0.0161288	0.00879482	0.00883656	0.00890906	0.011496	0.00782919	0.0113064	0.0105048	0.00986496	0.0102242	0.00946858	0.0110064	0.0118672
manger	0.0296579	0.0158164	0.0162722	0.0101354	0.00773412	0.00660847	0.00675821	0.00695314	0.0112566	0.0136749	0.00821743	0.0164105	0.0191277	0.0256878	0.0184837	0.0332007	0.0355662	0.0274249	0.0288002	0.0236673	0.0196794	0.0229298	0.0230832	0.0331701	0.0358466	0.0354918	0.0294041	0.0345349	0.0341215	0.0219783	0.0260354	0.0352205	0.0294104	0.0248675	0.0275913	0.02163	0.0132111	0.0120158	0.0122286	0.0120146	0.011268	0.0143719	0.0113602	0.0162919	0.0106501	0.00987354	0.00837673	0.00805479	0.00194509	0.00576617	0.00780194	0.00541496	0.00542618	0.00595837	0.00772537	0.00379597
des	0.0338075	0.0195417	0.015283	0.00858293	0.00760178	0.00593759	0.00627207	0.00623418	0.00880557	0.0114557	0.00572614	0.00982749	0.0115425	0.016955	0.00981242	0.0213779	0.0234371	0.0217239	0.0221918	0.0168263	0.0217627	0.013098	0.0135725	0.0302787	0.0405077	0.0296561	0.0359738	0.0353836	0.0303986	0.0233554	0.0145175	0.0262125	0.0264991	0.0186915	0.0294748	0.0142223	0.0107957	0.0125284	0.0149899	0.0172816	0.0163946	0.021281	0.0152544	0.018308	0.0141364	0.0136998	0.0142926	0.0142672	0.00662474	0.0169773	0.0188826	0.0128157	0.0172586	0.020233	0.0215562	0.0158746
aliments	0.055034	0.0273501	0.0237125	0.014387	0.0128552	0.0133194	0.013088	0.0154268	0.0282382	0.0305956	0.015195	0.0212397	0.0250866	0.035334	0.0183062	0.0282339	0.035732	0.0386845	0.0265713	0.0273244	0.0320716	0.0223923	0.0302397	0.0252022	0.0245288	0.0145692	0.0137796	0.016515	0.0185836	0.00459568	0.0124574	0.0112147	0.012804	0.0180316	0.0197582	0.0126027	0.0103233	0.0186052	0.0160658	0.0180718	0.0124684	0.0192002	0.0157366	0.0159733	0.00566587	0.0048775	0.00502059	0.0042249	0.00313963	0.00498738	0.00837039	0.00524294	0.00746421	0.00876574	0.00836967	0.012366
