 	a85	a87	a23	a87	a23	a87	a23	a24	a25	a24	a98	a88	a24	a43	a24	a32	a25	a24	a94	a75	a14	a2	a57	a87	a23	a38	a20	a69	a58	a10	a24	a41	a35	a41	a0	a41	a2	a40	a41	a73	a2	a57	a87	</S>
la	0.11832	0.115501	0.06881	0.0624406	0.0598231	0.119794	0.0549723	0.0260933	0.0142245	0.0108689	0.0113357	0.0146645	0.0139571	0.0182351	0.0142683	0.00605953	0.00747196	0.00513763	0.00499908	0.00536354	0.00486027	0.00540945	0.00372296	0.00410144	0.00476719	0.00448667	0.00390816	0.00326205	0.00361997	0.00349475	0.00425504	0.00882142	0.0124486	0.0188594	0.0102942	0.00680943	0.00772551	0.0075442	0.00795145	0.0121129	0.0137616	0.031718	0.0263535	0.0373723
mouche	0.00127607	0.00471651	0.00611643	0.00561587	0.0131165	0.0381185	0.0267722	0.0370322	0.0392257	0.034141	0.0578162	0.0488487	0.0548105	0.0270086	0.0141375	0.0279396	0.0185564	0.0157426	0.0135001	0.0137753	0.0157412	0.0119575	0.0126817	0.0267625	0.0341317	0.0468852	0.0809029	0.0806629	0.0385068	0.0303799	0.00801676	0.0162703	0.0363009	0.0187562	0.00842944	0.0146977	0.00656073	0.0020292	0.00151643	0.00370024	0.00136318	0.00180531	0.00247785	0.0011971
est	0.0350337	0.027097	0.0154491	0.024233	0.0244264	0.0651143	0.0584057	0.0314261	0.0620355	0.0343097	0.0596399	0.0438136	0.0248732	0.0165609	0.0165896	0.0293776	0.0106734	0.0152528	0.0175721	0.0135709	0.00625023	0.00361124	0.00539429	0.0034157	0.0055372	0.00751422	0.00492554	0.021278	0.0158685	0.0169941	0.0383861	0.0116641	0.0245611	0.0382927	0.0242739	0.0309148	0.0234142	0.00741095	0.00637262	0.0177529	0.00944933	0.0266594	0.0123138	0.0122906
prise	0.0437362	0.0251681	0.0205529	0.0201591	0.0197914	0.0168778	0.0339667	0.0186502	0.0561473	0.0359475	0.0400799	0.0359099	0.0321281	0.0273679	0.0322591	0.0420615	0.0423477	0.0379288	0.0310942	0.018187	0.014592	0.00917168	0.0106599	0.0110558	0.00986333	0.00874519	0.01324	0.0330001	0.0321149	0.0312781	0.0179615	0.021036	0.0385776	0.0316536	0.0319977	0.0162844	0.0110851	0.00793862	0.00561739	0.00456735	0.00197723	0.00317718	0.00230474	0.00173922
dans	0.0200276	0.0193492	0.0183775	0.020803	0.01956	0.0166962	0.0177994	0.0350043	0.0277274	0.0451453	0.0257252	0.026118	0.0295794	0.0180802	0.0246056	0.0223703	0.0652442	0.042447	0.0234252	0.0142489	0.0171339	0.0156474	0.0200552	0.0214087	0.0146388	0.0149681	0.0262296	0.0269888	0.0490672	0.0509022	0.0301459	0.0340289	0.0501476	0.0461632	0.0190846	0.00587367	0.0038692	0.00444482	0.0018935	0.00306869	0.00211861	0.00389375	0.00255356	0.0033402
la	0.0603081	0.0520357	0.0505824	0.0444717	0.0340648	0.0332079	0.0228401	0.0343065	0.0320464	0.0415159	0.0261355	0.0249278	0.0435887	0.0403898	0.0408385	0.0436881	0.0260773	0.0418844	0.0199403	0.00893328	0.0116233	0.0126895	0.0108676	0.0100132	0.0066231	0.00316302	0.0060505	0.00386577	0.0128817	0.00958894	0.00728532	0.0159632	0.00978167	0.0103931	0.00508779	0.00381538	0.00751636	0.00661775	0.0095583	0.00928838	0.0208239	0.0261437	0.0293091	0.0292662
toile	0.0195637	0.0105262	0.00994426	0.00833874	0.013949	0.017321	0.0374202	0.0308769	0.0285509	0.0320459	0.038139	0.0456043	0.0361913	0.0606882	0.0703328	0.048266	0.0417455	0.0399195	0.00987503	0.0105095	0.0197336	0.0178218	0.0146914	0.00721304	0.00463699	0.00360411	0.00910341	0.00884846	0.0195407	0.0177996	0.0260535	0.0215697	0.0231165	0.027444	0.0226979	0.0208352	0.0201089	0.0243213	0.0107996	0.0158772	0.0141632	0.0143399	0.011593	0.0142789
d'	0.0618146	0.035313	0.0379283	0.0254165	0.0299232	0.0294883	0.0171106	0.0178542	0.0198398	0.0238555	0.0154581	0.0143745	0.0225012	0.0224464	0.0261586	0.0267192	0.0196622	0.0228723	0.0117127	0.0135781	0.0258178	0.0168977	0.0129391	0.00808897	0.00809008	0.00505987	0.00779654	0.00724674	0.0149717	0.0177102	0.0247716	0.0154157	0.0189149	0.0268411	0.0209446	0.0261117	0.017072	0.0334116	0.0379448	0.0357035	0.0457435	0.0293987	0.0232761	0.0258042
araignée	0.0276849	0.0208987	0.0226174	0.0197405	0.0189839	0.0135283	0.0104479	0.00935418	0.0138894	0.0129229	0.0118639	0.0130596	0.0192153	0.0191366	0.022776	0.0253432	0.0205732	0.0248763	0.0153275	0.0150379	0.0168527	0.0108668	0.0122799	0.011726	0.00924577	0.00366101	0.00875789	0.00864454	0.0167757	0.0171797	0.0226001	0.0150871	0.0323889	0.0436452	0.0389333	0.0492631	0.0136796	0.033412	0.0540513	0.0422167	0.0567626	0.0437162	0.0354866	0.0454898
</S>	0.0199886	0.0214175	0.0202904	0.0183519	0.015597	0.0113474	0.00642568	0.00619993	0.00637866	0.00807178	0.00611729	0.00647036	0.0112066	0.0108909	0.0126978	0.0150659	0.010963	0.0186329	0.0108002	0.0126971	0.0135638	0.011775	0.0108996	0.0115186	0.00837407	0.00269614	0.0064816	0.00506869	0.0149288	0.0190631	0.0223498	0.0222314	0.048715	0.0603156	0.0574789	0.0457429	0.0198322	0.0374257	0.0492087	0.0460248	0.0496952	0.0682455	0.0526016	0.0661523
